Date,Open,High,Low,Close,Volume
2000-04-17,300,300.0,300.0,300,7500
2000-05-08,280,280.0,280.0,280,275
2000-05-15,280,280.0,280.0,280,500
2000-07-10,240,240.0,240.0,240,2500
2000-10-09,240,240.0,240.0,240,2525
2000-10-30,240,240.0,240.0,240,5000
2000-11-27,240,240.0,240.0,240,125
2000-12-11,240,240.0,240.0,240,2150
2000-12-18,240,240.0,240.0,240,2500
2001-01-01,257,257.0,257.0,257,8975
2001-01-15,239,248.0,239.0,248,1150
2001-01-29,260,260.0,260.0,260,2500
2001-02-05,260,260.0,260.0,260,5000
2001-02-12,260,260.0,260.0,260,3100
2001-04-23,260,260.0,260.0,260,3250
2001-06-25,256,256.0,256.0,256,7000
2001-07-30,254,254.0,254.0,254,375
2001-08-06,254,254.0,254.0,254,250
2001-09-10,252,252.0,252.0,252,500
2002-03-11,252,252.0,252.0,252,25
2002-07-01,252,252.0,252.0,252,5000
2004-08-02,248,248.0,248.0,248,250
2004-12-27,229,229.0,229.0,229,5750
2005-02-28,200,200.0,200.0,200,250
2005-09-19,192,192.0,192.0,192,225
2005-09-26,192,192.0,192.0,192,150
2006-05-01,190,190.0,190.0,190,1250
2006-08-28,190,190.0,190.0,190,25
2006-10-02,190,190.0,190.0,190,50
2006-11-06,190,190.0,190.0,190,75
2007-03-05,188,188.0,188.0,188,25000
2007-07-09,188,188.0,188.0,188,125
2008-06-09,174,174.0,174.0,174,250
2008-06-16,174,174.0,174.0,174,50
2008-07-07,161,161.0,161.0,161,300
2008-07-14,149,149.0,149.0,149,475
2008-08-04,149,149.0,149.0,149,2700
2008-08-11,149,149.0,149.0,149,50
2008-08-25,148,148.0,148.0,148,200
2008-09-01,146,146.0,146.0,146,6925
2008-09-22,146,146.0,146.0,146,175
2008-09-29,140,140.0,140.0,140,500
2008-10-06,136,136.0,136.0,136,750
2008-11-03,136,136.0,136.0,136,125
2008-11-17,136,136.0,136.0,136,25
2008-12-01,136,136.0,136.0,136,250
2008-12-29,146,146.0,146.0,146,750
2009-01-05,157,157.0,157.0,157,250
2009-04-13,157,157.0,157.0,157,50
2009-07-06,152,152.0,152.0,152,375
2009-10-19,144,144.0,144.0,144,375
2009-10-26,144,144.0,144.0,144,250
2010-06-21,144,144.0,144.0,144,250
2010-07-05,123,123.0,123.0,123,26950
2010-07-26,123,123.0,123.0,123,9100
2010-11-22,123,123.0,123.0,123,50
2010-11-29,123,123.0,123.0,123,25
2011-07-11,123,123.0,123.0,123,25
2011-07-18,116,116.0,116.0,116,975
2011-07-25,120,120.0,120.0,120,3525
2011-08-01,120,120.0,120.0,120,10750
2011-08-08,120,120.0,120.0,120,125
2011-08-22,120,120.0,120.0,120,325
2011-09-05,120,120.0,120.0,120,25
2011-10-03,120,120.0,120.0,120,250
2011-10-24,120,120.0,120.0,120,275
2011-11-28,120,120.0,120.0,120,500
