Date,Open,High,Low,Close,Volume
2000-12-31,300,300.0,240.0,257,32050
2001-12-31,239,260.0,239.0,252,23125
2002-12-31,252,252.0,252.0,252,5025
2004-12-31,248,248.0,229.0,229,6000
2005-12-31,200,200.0,192.0,192,625
2006-12-31,190,190.0,190.0,190,1400
2007-12-31,188,188.0,188.0,188,25125
2008-12-31,174,174.0,136.0,157,13775
2009-12-31,157,157.0,144.0,144,1050
2010-12-31,144,144.0,123.0,123,36375
2011-12-31,123,123.0,116.0,120,16775
2012-12-31,120,120.0,103.0,103,6625
2013-12-31,103,266.0,88.0,240,47325
2014-12-31,240,240.0,138.0,160,63350
2015-12-31,160,249.0,148.0,168,61025
2016-12-31,168,175.0,120.0,120,36475
2017-12-31,120,128.0,35.0,37,69785
2018-12-31,37,985.0,37.0,170,335405
2019-12-31,180,490.0,140.0,140,313313
2020-12-31,150,230.0,115.0,230,256426
2021-12-31,230,670.0,150.0,625,869721
2022-12-31,615,955.0,560.0,800,437656
2023-12-31,750,775.0,550.0,725,102031
2024-12-31,725,890.0,580.0,750,498357
2025-12-31,750,1200.0,515.0,1200,494646
2026-12-31,1190,3100.0,980.0,3000,904430
