Date,Open,High,Low,Close,Volume
2017-10-24,9675,9675,9675,9675,500
2017-10-25,10400,10400,10400,10400,18444
2017-10-26,11180,11180,9620,9850,61557
2017-10-27,9500,9500,9115,9115,18294
2017-10-30,8990,9700,8435,9700,20407
2017-10-31,9600,10000,9005,10000,20372
2017-11-02,9900,9900,9405,9890,5086
2017-11-03,9600,9600,9250,9435,20610
2017-11-06,9430,9430,9100,9425,6475
2017-11-07,9255,9400,9240,9400,13465
2017-11-08,9390,9395,9000,9220,5430
2017-11-09,9195,9340,8905,9340,43275
2017-11-10,9200,9200,9000,9200,5214
2017-11-13,9190,9190,8920,9100,893
2017-11-14,9000,9200,8950,9145,14580
2017-11-16,9100,9100,8600,9090,7229
2017-11-17,9000,9085,8700,9085,10882
2017-11-20,9000,9075,9000,9075,1021
2017-11-21,9000,9070,8995,9070,1471
2017-11-22,9065,9070,8950,9050,60790
2017-11-23,9005,9040,8995,9040,6008
2017-11-24,9000,9040,9000,9040,4162
2017-11-27,9000,9040,9000,9035,1718
2017-11-28,9000,9025,8900,9020,34119
2017-11-29,9000,9005,8900,9005,1343
2017-11-30,9000,9010,8995,9000,10759
2017-12-04,8905,9000,8900,9000,2687
2017-12-05,9000,9000,8980,9000,5602
2017-12-06,9000,9000,8880,9000,7914
2017-12-07,9000,9000,8800,9000,6199
2017-12-08,8995,9000,8990,9000,5857
2017-12-11,8715,9000,8700,9000,16170
2017-12-12,8995,9000,8720,9000,9701
2017-12-13,8995,8995,8705,8990,458
2017-12-14,8950,8950,8700,8900,3294
2017-12-15,8900,9000,8805,9000,8158
2017-12-18,8985,8990,8820,8990,1761
2017-12-19,8900,8950,8800,8950,4937
2017-12-20,8800,8945,8745,8945,11243
2017-12-21,8880,8895,8745,8795,1706
2017-12-22,8745,8900,8700,8900,4066
2017-12-26,8700,9000,8600,9000,12724
2017-12-27,8800,9000,8695,9000,7467
2017-12-28,8850,8995,8820,8990,2132
2017-12-29,8990,9660,8725,9660,99390
2018-01-02,9295,9295,8950,9000,145
2018-01-03,8900,9000,8760,8760,1822
2018-01-04,8800,8995,8800,8900,2381
2018-01-05,8895,8900,8800,8880,3297
2018-01-08,8890,8900,8800,8800,915
2018-01-09,8800,8880,8750,8750,655
2018-01-10,8750,8850,8700,8845,405
2018-01-11,8840,8850,8500,8840,1765
2018-01-12,8800,8800,8700,8700,1272
2018-01-15,8795,8795,8555,8700,301
2018-01-16,8700,8700,8500,8700,578
2018-01-17,8700,8700,8600,8700,695
2018-01-18,8650,8800,8050,8700,5156
2018-01-19,8600,8695,8050,8695,1034
2018-01-22,8695,8695,8100,8500,418
2018-01-23,8395,8600,8150,8600,2574
2018-01-24,8500,8500,8400,8400,209
2018-01-25,8300,8400,8150,8400,4343
2018-01-26,8300,8400,8155,8400,530
2018-01-29,8400,8400,8155,8300,974
2018-01-30,8300,8300,8150,8150,1242
2018-01-31,8200,8400,8100,8400,6666
2018-02-01,8300,8800,8300,8800,17336
2018-02-02,8400,8800,8205,8800,4911
2018-02-05,8650,8650,8150,8400,302
2018-02-06,8395,8500,8150,8500,1181
2018-02-07,8490,8500,8000,8500,11512
2018-02-08,8200,8500,8200,8500,1390
2018-02-09,8490,8500,8330,8500,293
2018-02-12,8400,8490,8400,8490,358
2018-02-13,8500,8500,8100,8450,783
2018-02-14,8400,8450,8200,8440,293
2018-02-15,8300,8450,8155,8450,1600
2018-02-16,8285,8445,8285,8445,1136
2018-02-19,8400,8445,8100,8350,2402
2018-02-20,8350,8440,8200,8400,2719
2018-02-21,8445,8445,8200,8400,1504
2018-02-22,8350,8400,8240,8400,602
2018-02-23,8395,8400,8200,8400,1058
2018-02-26,8400,8400,8200,8395,1492
2018-02-27,8395,8395,8200,8395,576
2018-02-28,8390,8400,8200,8400,1823
2018-03-01,8390,8400,8105,8400,786
2018-03-02,8395,8400,8350,8400,5537
2018-03-05,8400,8400,8300,8395,1349
2018-03-06,8300,8395,8100,8390,3799
2018-03-07,8380,8390,8110,8295,2241
2018-03-08,8290,8300,8110,8295,473
2018-03-09,8290,8300,8275,8300,694
2018-03-12,8200,8295,8000,8295,1186
2018-03-13,8005,8200,8005,8125,636
2018-03-14,8125,8295,8100,8295,2142
2018-03-15,8295,8295,8005,8295,3363
2018-03-16,8105,8295,8105,8295,560
2018-03-19,8200,8295,8200,8290,242
2018-03-20,8245,8290,8125,8290,591
2018-03-21,8130,8200,8130,8200,1130
2018-03-22,8105,8200,8000,8200,2785
2018-03-23,8100,8240,8000,8240,2062
2018-03-26,8200,8230,7770,8200,6999
2018-03-27,8000,8195,8000,8190,352
2018-03-28,8005,8180,7900,8180,2177
2018-03-29,8000,8150,7900,8150,1710
2018-03-30,8010,8200,7665,8200,1939
2018-04-03,8100,8200,7900,8200,1810
2018-04-04,8100,8150,8000,8150,63287
2018-04-05,8150,8150,7990,8150,1350
2018-04-06,7950,8150,7650,8150,3960
2018-04-09,8005,8150,7950,8150,550
2018-04-10,8000,8150,7800,8150,3596
2018-04-11,8000,8100,7900,8100,2282
2018-04-12,8000,8100,7800,8100,5715
2018-04-13,8000,8100,7495,8100,18403
2018-04-16,8000,8100,7495,8100,10665
2018-04-17,7995,8000,7940,8000,789
2018-04-18,7900,8000,7800,8000,2787
2018-04-19,7900,8000,7800,8000,3840
2018-04-20,7800,8050,7700,8050,8041
2018-04-23,7800,8050,7450,8000,45871
2018-04-24,8000,8000,7945,8000,8560
2018-04-25,7800,8080,7800,8080,15944
2018-04-26,7995,8080,7800,8000,1949
2018-04-27,7995,8000,7995,8000,12
2018-04-30,7995,8000,7995,8000,81
2018-05-02,8000,8100,7500,8100,6718
2018-05-03,8000,8200,7995,8200,16568
2018-05-04,8200,8200,8000,8000,41811
2018-05-07,8140,8400,8000,8400,11369
2018-05-08,8300,8500,7835,8500,8312
2018-05-09,8200,8500,8195,8500,1508
2018-05-11,8450,8995,8005,8900,81377
2018-05-14,8700,8900,8695,8900,1575
2018-05-15,8900,8900,8725,8900,1225
2018-05-16,8800,9000,8500,8900,28337
2018-05-17,8700,8900,8700,8900,1421
2018-05-18,8800,8900,8800,8900,63216
2018-05-22,8800,8900,8800,8900,922
2018-05-23,8725,8895,8725,8850,795
2018-05-24,8800,8900,8600,8900,4737
2018-05-25,8895,8900,8800,8900,9035
2018-05-28,8900,8900,8600,8900,7284
2018-05-29,8800,8900,8725,8900,12061
2018-05-30,8750,8900,8750,8750,13699
2018-05-31,8900,8900,8725,8900,4490
2018-06-01,8895,8900,8820,8900,7658
2018-06-04,8850,8900,8800,8900,851
2018-06-05,8900,8905,8800,8900,45799
2018-06-06,8800,8900,8795,8900,1470
2018-06-07,8995,8995,8600,8900,2423
2018-06-08,8900,8900,8850,8900,4323
2018-06-12,8900,9000,8800,9000,4109
2018-06-13,8900,9000,8800,9000,1262
2018-06-15,8800,9200,8800,9200,10337
2018-06-18,9175,9200,8990,9200,3797
2018-06-19,9150,9300,9000,9300,19334
2018-06-20,9200,9500,9195,9500,107927
2018-06-21,9005,9100,8800,8800,201
2018-06-22,8900,8900,8755,8755,1298
2018-06-25,8750,8750,8110,8690,89
2018-06-26,8600,8600,8205,8205,742
2018-06-27,8205,8400,8200,8400,1127
2018-06-28,8300,8600,8300,8300,1712
2018-06-29,8305,8400,8225,8225,1095
2018-07-02,8225,8300,8220,8300,1083
2018-07-03,8300,8305,8250,8300,7780
2018-07-04,8345,8345,8200,8200,168
2018-07-05,8200,8240,8200,8205,715
2018-07-06,8245,8245,8200,8200,1014
2018-07-09,8205,8240,8040,8235,678
2018-07-10,8200,8240,8005,8005,999
2018-07-11,8200,8200,8050,8055,218
2018-07-12,8050,8100,8000,8000,1962
2018-07-13,8005,8240,8005,8055,583
2018-07-16,8055,8500,8055,8300,1593
2018-07-17,8250,8300,8105,8105,464
2018-07-18,8110,8110,8005,8100,179
2018-07-19,8100,8100,8000,8010,1490
2018-07-20,8010,8055,8000,8005,3170
2018-07-23,8100,8155,8100,8150,559
2018-07-24,8200,8200,8000,8000,103
2018-07-25,8000,8495,8000,8495,1803
2018-07-26,8200,8500,8200,8495,216
2018-07-27,8395,8395,8250,8395,4060
2018-07-30,8390,8390,8000,8000,852
2018-07-31,8005,8100,8005,8005,1025
2018-08-01,8005,8095,8000,8000,1668
2018-08-02,8090,8090,7950,7990,4477
2018-08-03,7990,8040,7990,8000,2340
2018-08-08,8000,8000,7900,8000,2775
2018-08-09,7910,7985,7400,7400,4800
2018-08-10,7500,7955,7255,7955,10051
2018-08-13,7850,8000,7500,8000,2133
2018-08-14,7940,8000,7505,8000,1439
2018-08-16,7550,8000,7400,8000,3398
2018-08-17,7900,8000,7900,8000,1810
2018-08-20,7990,7995,7990,7995,107
2018-08-22,7990,7995,7900,7940,385
2018-08-23,7880,8000,7800,8000,7445
2018-08-24,7990,7990,7900,7950,219
2018-08-27,7950,7950,7900,7940,1089
2018-08-28,7945,7945,7410,7900,405
2018-08-29,7940,7940,7900,7900,238
2018-08-30,7550,7900,7405,7800,860
2018-08-31,7800,7810,7500,7810,260
2018-09-03,7780,7850,7780,7800,6675
2018-09-04,7800,7800,7700,7800,1345
2018-09-05,7400,7800,7400,7800,990
2018-09-06,7795,7800,7400,7795,5257
2018-09-07,7795,7800,7500,7800,1609
2018-09-10,7400,7700,7215,7625,3799
2018-09-11,7400,7600,7390,7600,2964
2018-09-12,7500,7600,7030,7600,3743
2018-09-13,7200,7690,7200,7690,3958
2018-09-14,7150,7690,7150,7600,1154
2018-09-17,7500,7600,7500,7600,622
2018-09-18,7500,7595,7450,7595,2384
2018-09-19,7490,7600,7490,7600,3505
2018-09-20,7585,7585,7495,7495,258
2018-09-21,7490,7490,7450,7450,111
2018-09-24,7300,7440,7200,7440,1377
2018-09-25,7285,7400,7285,7395,868
2018-09-26,7200,7400,7100,7400,4842
2018-09-28,7200,7300,7100,7300,528
2018-10-01,7155,7300,7155,7290,980
2018-10-02,7290,7290,7100,7290,350
2018-10-03,7100,7290,7100,7290,301
2018-10-04,7100,7280,7100,7280,441
2018-10-05,7200,7280,7000,7280,7655
2018-10-08,7280,7280,7000,7280,187
2018-10-11,7150,7200,6995,7200,935
2018-10-12,7140,7195,7130,7195,1046
2018-10-15,7100,7185,7100,7185,165
2018-10-17,6650,7120,6650,7120,78
2018-10-19,7000,7000,6995,7000,60
2018-10-22,6980,6985,6500,6980,1636
2018-10-23,6975,6990,6460,6990,11232
2018-10-24,6500,7000,6500,7000,2633
2018-10-25,6885,6985,6885,6985,350
2018-10-26,6975,6975,6975,6975,850
2018-10-30,6845,6975,6800,6975,320
2018-10-31,6950,7000,6950,7000,11250
2018-11-02,6700,6890,6680,6890,1373
2018-11-05,6500,6845,6500,6845,16
2018-11-06,6335,6870,6335,6870,3015
2018-11-07,6355,6840,6355,6840,335
2018-11-08,6355,6840,6355,6840,650
2018-11-14,6400,6795,6330,6795,3040
2018-11-16,6640,6700,6290,6290,6177
2018-11-19,6695,6700,6000,6500,132
2018-11-21,6020,6380,6020,6360,103
2018-11-22,6000,6300,6000,6300,315
2018-11-23,6000,6245,6000,6245,1252
2018-11-26,5780,6200,5780,6200,1562
2018-11-27,5735,6200,5735,6200,515
2018-11-28,6150,6175,6150,6175,96
2018-11-29,6145,6150,6145,6150,58
2018-12-03,5800,6000,5800,6000,215
2018-12-06,5550,6000,5550,6000,1044
2018-12-10,5985,6000,5985,6000,802
2018-12-11,5990,5990,5550,5550,950
2018-12-12,5965,5965,5965,5965,108
2018-12-13,5550,5955,5550,5955,81
2018-12-14,5550,5950,5550,5950,2152
2018-12-17,5950,5950,5950,5950,10
2018-12-18,5800,5900,5700,5900,235
2018-12-19,5900,5900,5480,5900,595
2018-12-20,5895,5900,5895,5900,1005
2018-12-21,5890,5925,5750,5925,226
2018-12-24,5795,5925,5700,5925,75
2018-12-26,5895,5925,5890,5925,146
2018-12-27,5925,5925,5925,5925,1
2018-12-28,5920,6000,5820,6000,2825
2019-01-02,5600,6000,5550,6000,1499
2019-01-03,5950,6000,5550,6000,1061
2019-01-04,5990,6000,5980,6000,197
2019-01-07,6000,6000,5800,6000,235
2019-01-08,5800,5985,5800,5800,58
2019-01-09,5600,5800,5600,5785,1102
2019-01-10,5600,5655,5600,5600,353
2019-01-11,5700,5700,5550,5550,149
2019-01-14,5550,5550,5550,5550,11
2019-01-15,5545,5750,5400,5400,135
2019-01-16,5395,5500,5395,5500,151
2019-01-17,5150,5150,5150,5150,16
2019-01-18,5400,5400,5150,5150,157
2019-01-21,5200,5200,5150,5150,65
2019-01-22,5100,5100,5000,5000,279
2019-01-23,5000,5045,5000,5000,43
2019-01-24,5010,5010,5000,5005,537
2019-01-25,5005,5005,5000,5005,41
2019-01-28,5000,5000,4700,4700,221
2019-01-29,4700,4900,4350,4900,2030
