Date,Open,High,Low,Close,Volume
2017-12-31,9675,11180,8435,9660,605570
2018-03-31,9295,9295,7665,8200,133401
2018-06-30,8100,9500,7450,8225,731506
2018-09-30,8225,8500,7030,7300,122602
2018-12-31,7155,7300,5480,6000,69578
2019-03-31,5600,6000,3240,3600,56226
2019-06-30,3600,4000,3400,3500,25020
2019-09-30,3500,3600,2885,2885,30565
2019-12-31,3000,6470,2745,6470,155521
2020-03-31,5995,5995,3000,3000,24511
2020-06-30,3100,4100,2775,3700,27812
2020-09-30,3690,3700,3000,3390,55411
2020-12-31,3320,6250,3115,6000,144412
2021-03-31,5550,5550,3145,3550,31279
2021-06-30,3600,5600,3555,5190,96485
2021-09-30,5190,6605,4650,5925,136280
2021-12-31,5900,6500,5550,6185,69269
2022-03-31,6185,6185,5320,5800,80636
2022-06-30,5800,5995,5200,5850,98673
2022-09-30,5700,5970,5000,5300,59442
2022-12-31,5295,6200,4205,5975,183509
2023-03-31,5890,5890,4605,4900,50493
2023-06-30,4900,5400,4655,5245,29229
2023-09-30,5250,6350,5000,6315,51011
2023-12-31,6300,6315,5355,6000,108449
2024-03-31,5990,5990,5250,5690,58798
2024-06-30,5650,6300,5090,6290,54568
2024-09-30,6295,6595,5865,6300,124074
2024-12-31,6300,7955,6100,7090,98530
2025-03-31,7090,9240,7050,8400,101683
2025-06-30,8400,10650,7595,10210,146160
2025-09-30,10400,11815,9000,11500,126054
2025-12-31,11450,12240,10970,11445,112650
2026-03-31,11445,15000,11000,14100,109566
2026-06-30,14100,20000,12860,19650,126621
2026-09-30,19655,24500,19555,22900,62123
