Date,Open,High,Low,Close,Volume
2017-10-30,9675,11180.0,8435.0,9700,119202
2017-11-06,9600,10000.0,9005.0,9425,52543
2017-11-13,9255,9400.0,8905.0,9100,68277
2017-11-20,9000,9200.0,8600.0,9075,33712
2017-11-27,9000,9070.0,8950.0,9035,74149
2017-12-04,9000,9025.0,8900.0,9000,48908
2017-12-11,9000,9000.0,8700.0,9000,41742
2017-12-18,8995,9000.0,8700.0,8990,23372
2017-12-25,8900,8950.0,8700.0,8900,21952
2018-01-01,8700,9660.0,8600.0,9660,121713
2018-01-08,9295,9295.0,8760.0,8800,8560
2018-01-15,8800,8880.0,8500.0,8700,4398
2018-01-22,8700,8800.0,8050.0,8500,7881
2018-01-29,8395,8600.0,8150.0,8300,8630
2018-02-05,8300,8800.0,8100.0,8400,30457
2018-02-12,8395,8500.0,8000.0,8490,14734
2018-02-19,8500,8500.0,8100.0,8350,6214
2018-02-26,8350,8445.0,8200.0,8395,7375
2018-03-05,8395,8400.0,8105.0,8395,10071
2018-03-12,8300,8395.0,8000.0,8295,8393
2018-03-19,8005,8295.0,8005.0,8290,6943
2018-03-26,8245,8290.0,7770.0,8200,13567
2018-04-02,8000,8200.0,7665.0,8200,6178
2018-04-09,8100,8200.0,7650.0,8150,70957
2018-04-16,8000,8150.0,7495.0,8100,40661
2018-04-23,7995,8050.0,7450.0,8000,61328
2018-04-30,8000,8080.0,7800.0,8000,26546
2018-05-07,8000,8400.0,7500.0,8400,76466
2018-05-14,8300,8995.0,7835.0,8900,92772
2018-05-21,8900,9000.0,8500.0,8900,94199
2018-05-28,8800,8900.0,8600.0,8900,22773
2018-06-04,8800,8900.0,8725.0,8900,38759
2018-06-11,8900,8995.0,8600.0,8900,54015
2018-06-18,8900,9200.0,8800.0,9200,19505
2018-06-25,9150,9500.0,8110.0,8690,128849
2018-07-02,8600,8600.0,8200.0,8300,5759
2018-07-09,8300,8345.0,8040.0,8235,10355
2018-07-16,8200,8500.0,8000.0,8300,5355
2018-07-23,8250,8300.0,8000.0,8150,5862
2018-07-30,8200,8500.0,8000.0,8000,7034
2018-08-06,8005,8100.0,7950.0,8000,9510
2018-08-13,8000,8000.0,7255.0,8000,19759
2018-08-20,7940,8000.0,7400.0,7995,6754
2018-08-27,7990,8000.0,7800.0,7940,9138
2018-09-03,7945,7945.0,7405.0,7800,8438
2018-09-10,7800,7800.0,7215.0,7625,13000
2018-09-17,7400,7690.0,7030.0,7600,12441
2018-09-24,7500,7600.0,7200.0,7440,7635
2018-10-01,7285,7400.0,7100.0,7290,7218
2018-10-08,7290,7290.0,7000.0,7280,8934
2018-10-15,7150,7200.0,6995.0,7185,2146
2018-10-22,6650,7120.0,6500.0,6980,1774
2018-10-29,6975,7000.0,6460.0,6975,15065
2018-11-05,6845,7000.0,6500.0,6845,12959
2018-11-12,6335,6870.0,6335.0,6840,4000
2018-11-19,6400,6795.0,6000.0,6500,9349
2018-11-26,6020,6380.0,5780.0,6200,3232
2018-12-03,5735,6200.0,5735.0,6000,884
2018-12-10,5550,6000.0,5550.0,6000,1846
2018-12-17,5990,5990.0,5550.0,5950,3301
2018-12-24,5800,5925.0,5480.0,5925,2136
2018-12-31,5895,6000.0,5820.0,6000,2972
2019-01-07,5600,6000.0,5550.0,6000,2992
2019-01-14,5800,5985.0,5550.0,5550,1673
2019-01-21,5545,5750.0,5150.0,5150,524
2019-01-28,5100,5100.0,4700.0,4700,1121
2019-02-04,4700,5000.0,4350.0,4750,3807
2019-02-11,4750,4750.0,4200.0,4400,1686
2019-02-18,4400,4400.0,4200.0,4250,1070
2019-02-25,4250,4500.0,3935.0,4500,11886
2019-03-04,4500,4800.0,4450.0,4450,686
2019-03-11,4495,4675.0,3935.0,4550,2749
2019-03-18,4500,4500.0,3800.0,3995,6901
2019-03-25,3995,4100.0,3430.0,3500,5145
2019-04-01,3600,3700.0,3240.0,3700,16140
2019-04-08,3775,4000.0,3680.0,3965,2492
2019-04-15,3965,3965.0,3905.0,3950,953
2019-04-22,3950,3960.0,3900.0,3900,735
2019-04-29,3900,4000.0,3850.0,3900,6765
2019-05-06,3900,3910.0,3420.0,3585,4422
2019-05-13,3575,3700.0,3505.0,3700,1769
2019-05-20,3695,3950.0,3695.0,3950,716
2019-05-27,3900,3950.0,3750.0,3800,321
2019-06-03,3750,3945.0,3710.0,3800,528
2019-06-10,3800,3800.0,3725.0,3725,862
2019-06-17,3785,3795.0,3700.0,3700,1601
2019-06-24,3725,3725.0,3400.0,3600,3296
2019-07-01,3405,3600.0,3405.0,3430,939
2019-07-08,3500,3500.0,3400.0,3400,668
2019-07-15,3335,3430.0,3140.0,3300,3425
2019-07-22,3300,3300.0,3200.0,3300,6150
2019-07-29,3310,3355.0,3300.0,3300,1095
2019-08-05,3345,3345.0,3200.0,3210,2377
2019-08-12,3225,3295.0,3210.0,3290,289
2019-08-19,3290,3290.0,3250.0,3265,2321
2019-08-26,3260,3260.0,3200.0,3255,2052
2019-09-02,3255,3255.0,3150.0,3200,4346
2019-09-09,3140,3230.0,3100.0,3200,1456
2019-09-16,3200,3200.0,3010.0,3180,2086
2019-09-23,3015,3180.0,3000.0,3180,2281
2019-09-30,3180,3180.0,2885.0,2885,1486
2019-10-07,3000,3000.0,2800.0,2890,3030
2019-10-14,2800,3060.0,2745.0,3060,2602
2019-10-21,3060,3230.0,3060.0,3215,770
2019-10-28,3215,3300.0,3065.0,3300,3588
2019-11-04,3100,3300.0,3100.0,3295,147
2019-11-11,3120,3430.0,3100.0,3300,1068
2019-11-18,3190,3190.0,3050.0,3070,3875
2019-11-25,3070,3300.0,3000.0,3300,2535
2019-12-02,3300,3500.0,3150.0,3500,24270
2019-12-09,3300,3800.0,3300.0,3800,6172
2019-12-16,3700,5000.0,3700.0,5000,8726
2019-12-23,4850,5000.0,4355.0,4565,7006
2019-12-30,4905,6020.0,4905.0,6020,58626
2020-01-06,5660,6470.0,5660.0,6470,33106
2020-01-13,5995,5995.0,5700.0,5700,56
2020-01-20,5275,5650.0,5275.0,5650,406
2020-01-27,5230,5700.0,5230.0,5650,3851
2020-02-10,5230,5230.0,4480.0,4850,1192
2020-02-17,4490,4600.0,4255.0,4300,2391
2020-02-24,4000,4000.0,3700.0,3970,36
2020-03-02,3675,3920.0,3675.0,3695,2565
2020-03-09,3715,3715.0,3400.0,3405,8462
2020-03-16,3405,3405.0,3400.0,3405,3144
2020-03-23,3405,3500.0,3400.0,3400,420
2020-03-30,3400,3400.0,3000.0,3000,1553
2020-04-06,3015,3100.0,2775.0,3100,2679
2020-04-13,3150,3150.0,3100.0,3105,631
2020-04-20,3000,3000.0,2905.0,3000,7299
2020-04-27,3100,3105.0,3010.0,3105,554
2020-05-04,3105,3150.0,3050.0,3050,392
2020-05-11,3100,3330.0,3100.0,3100,317
2020-05-18,3100,3235.0,3000.0,3000,1163
2020-05-25,3100,3300.0,3100.0,3200,1608
2020-06-01,3200,3300.0,2960.0,3200,1661
2020-06-08,3250,3975.0,3250.0,3760,2751
2020-06-15,3800,4100.0,3500.0,3700,3103
2020-06-22,3700,4000.0,3500.0,3950,876
2020-06-29,3895,3900.0,3515.0,3700,2039
2020-07-06,3700,3700.0,3400.0,3400,3695
2020-07-13,3400,3400.0,3200.0,3400,901
2020-07-20,3400,3655.0,3190.0,3385,3592
2020-07-27,3385,3385.0,3000.0,3345,1928
2020-08-03,3300,3600.0,3300.0,3400,2251
2020-08-10,3450,3450.0,3200.0,3300,1810
2020-08-17,3300,3395.0,3300.0,3380,1929
2020-08-24,3370,3370.0,3205.0,3250,5688
2020-08-31,3300,3450.0,3200.0,3450,6621
2020-09-07,3195,3205.0,3100.0,3205,12707
2020-09-14,3200,3250.0,3115.0,3250,1036
2020-09-21,3245,3350.0,3150.0,3155,15423
2020-09-28,3160,3390.0,3160.0,3390,886
2020-10-05,3160,3390.0,3160.0,3200,485
2020-10-12,3200,3200.0,3115.0,3200,1556
2020-10-19,3200,3500.0,3150.0,3500,2252
2020-10-26,3500,4000.0,3400.0,4000,8683
2020-11-02,3905,4000.0,3700.0,3950,2317
2020-11-09,3745,4000.0,3700.0,4000,4078
2020-11-16,3925,4000.0,3720.0,4000,15057
2020-11-23,3995,4620.0,3995.0,4620,6911
2020-11-30,4620,5335.0,4620.0,5300,9150
2020-12-07,5000,5500.0,4920.0,5100,13676
2020-12-14,5100,5500.0,5070.0,5300,5331
2020-12-21,5050,6250.0,4905.0,6245,27566
2020-12-28,5780,6195.0,5620.0,5900,4444
2021-01-04,5460,6000.0,5460.0,5550,43065
2021-01-11,5195,5200.0,4465.0,4470,538
2021-01-18,4470,4470.0,4000.0,4095,1061
2021-01-25,4050,4160.0,3590.0,4095,743
2021-02-01,4095,4500.0,4095.0,4500,81
2021-02-08,4500,4600.0,4400.0,4400,9103
2021-02-15,4400,4550.0,4095.0,4095,386
2021-02-22,4000,4000.0,3400.0,3400,2703
2021-03-01,3200,3625.0,3145.0,3500,2609
2021-03-08,3500,3755.0,3400.0,3755,1135
2021-03-15,3790,3995.0,3600.0,3850,4411
2021-03-22,3600,3850.0,3600.0,3795,819
2021-03-29,3750,3795.0,3515.0,3600,7483
2021-04-05,3525,3800.0,3525.0,3800,575
2021-04-12,3650,3800.0,3555.0,3750,2021
2021-04-19,3750,3890.0,3610.0,3750,4754
2021-04-26,3800,3850.0,3605.0,3800,1178
2021-05-03,3800,4200.0,3630.0,4150,12726
2021-05-10,4195,4200.0,3885.0,3885,7254
2021-05-17,3700,3885.0,3700.0,3885,1994
