Date,Open,High,Low,Close,Volume
1998-09-18,5365,5365,5365,5365,180
1998-09-21,5635,5635,5635,5635,1520
1998-09-23,5500,5500,5500,5500,1440
1998-09-25,5513,5513,5513,5513,2480
1998-09-28,5513,5513,5513,5513,80
1998-10-02,5513,5513,5513,5513,1080
1998-10-09,5800,5800,5800,5800,80
1998-10-12,5800,5800,5800,5800,20
1998-10-14,5800,5800,5800,5800,20
1998-10-16,5500,5500,5500,5500,520
1998-10-19,5900,5900,5900,5900,100
1998-10-23,5900,5900,5900,5900,200
1998-11-02,5900,5900,5900,5900,20
1998-11-04,5900,5900,5900,5900,100
1998-11-13,5458,5458,5458,5458,780
1998-11-20,5048,5048,5048,5048,820
1998-11-27,4750,4750,4750,4750,200
1998-12-02,4750,4750,4750,4750,80
1998-12-09,4750,4750,4750,4750,80
1998-12-11,4500,4500,4500,4500,140
1998-12-14,4500,4500,4500,4500,2000
1998-12-16,4500,4500,4500,4500,460
1998-12-18,4500,4500,4500,4500,160
1998-12-21,4500,4500,4500,4500,200
1998-12-23,4163,4163,4163,4163,160
1998-12-28,4163,4163,4163,4163,100
1998-12-30,4162,4162,4162,4162,4080
1999-01-08,4000,4000,4000,4000,340
1999-01-20,3925,3925,3925,3925,2000
1999-01-22,3925,3925,3925,3925,8720
1999-01-27,3925,3925,3925,3925,8780
1999-02-03,3900,3900,3900,3900,7760
1999-02-05,3900,3900,3900,3900,7280
1999-02-10,3900,3900,3900,3900,3780
1999-02-12,3900,3900,3900,3900,420
1999-02-19,3750,3750,3750,3750,480
1999-02-24,3800,3800,3800,3800,2000
1999-02-26,3800,3800,3800,3800,1520
1999-03-03,3800,3800,3800,3800,200
1999-03-05,3900,3900,3900,3900,200
1999-03-10,3800,3800,3800,3800,1000
1999-03-12,3800,3800,3800,3800,340
1999-03-17,3800,3800,3800,3800,340
1999-03-19,3800,3800,3800,3800,3340
1999-03-24,3900,3900,3900,3900,860
1999-03-26,4000,4000,4000,4000,540
1999-03-31,3900,3900,3900,3900,1100
1999-04-09,4050,4050,4050,4050,240
1999-04-12,4000,4000,4000,4000,18800
1999-04-14,3900,3900,3900,3900,3200
1999-04-16,3800,3800,3800,3800,6600
1999-04-19,3800,3800,3800,3800,8580
1999-04-21,3800,3800,3800,3800,25460
1999-04-23,3801,3801,3801,3801,1040
1999-04-26,3801,3801,3801,3801,800
1999-04-30,3805,3805,3805,3805,600
1999-05-03,3808,3808,3808,3808,600
1999-05-07,3810,3810,3810,3810,220
1999-05-10,3810,3810,3810,3810,100
1999-05-14,3900,3900,3900,3900,200
1999-05-17,4005,4005,4005,4005,640
1999-05-19,4005,4005,4005,4005,600
1999-05-21,4004,4004,4004,4004,220
1999-05-26,4005,4005,4005,4005,3660
1999-05-28,4200,4200,4200,4200,640
1999-05-31,4200,4200,4200,4200,660
1999-06-02,4250,4250,4250,4250,60000
1999-06-04,4250,4250,4250,4250,900
1999-06-07,4250,4250,4250,4250,800
1999-06-09,4300,4300,4300,4300,4300
1999-06-11,4300,4300,4300,4300,5100
1999-06-14,4500,4500,4500,4500,1094000
1999-06-18,4500,4500,4500,4500,106000
1999-06-23,4500,4500,4500,4500,880
1999-06-25,4500,4500,4500,4500,14920
1999-07-02,3900,3900,3900,3900,340
1999-07-05,3850,3850,3850,3850,200
1999-07-09,4300,4300,4300,4300,9160
1999-07-12,4500,4500,4500,4500,46800
1999-07-14,4250,4250,4250,4250,600
1999-07-16,4250,4250,4250,4250,800
1999-07-19,4250,4250,4250,4250,720
1999-07-21,4075,4075,4075,4075,800
1999-07-23,4250,4250,4250,4250,2000
1999-07-28,4300,4300,4300,4300,5080
1999-07-30,4300,4300,4300,4300,1680
1999-08-06,4500,4500,4500,4500,40000
1999-08-11,4301,4301,4301,4301,420
1999-08-13,4301,4301,4301,4301,100
1999-08-16,4335,4335,4335,4335,340
1999-08-18,4335,4335,4335,4335,200
1999-08-20,4325,4325,4325,4325,740
1999-08-27,4330,4330,4330,4330,1000
1999-09-01,4350,4350,4350,4350,580
1999-09-03,4350,4350,4350,4350,460
1999-09-06,4420,4420,4420,4420,14780
1999-09-08,4420,4420,4420,4420,4040
1999-09-10,4400,4400,4400,4400,600
1999-09-13,4405,4405,4405,4405,1880
1999-09-15,4400,4400,4400,4400,300
1999-09-17,4400,4400,4400,4400,600
1999-09-24,4400,4400,4400,4400,140
1999-09-27,4400,4400,4400,4400,1160
1999-09-29,4400,4400,4400,4400,1620
1999-10-01,4400,4400,4400,4400,2160
1999-10-04,4400,4400,4400,4400,3500
1999-10-06,4400,4400,4400,4400,4180
1999-10-08,4400,4400,4400,4400,5000
1999-10-15,4400,4400,4400,4400,140
1999-10-18,4400,4400,4400,4400,100
1999-10-20,4400,4400,4400,4400,80
1999-11-05,4300,4300,4300,4300,160
1999-11-17,4200,4200,4200,4200,640
1999-11-19,4200,4200,4200,4200,820
1999-11-22,4200,4200,4200,4200,200
1999-11-24,4200,4200,4200,4200,520
1999-11-29,4200,4200,4200,4200,100
1999-12-01,4200,4200,4200,4200,300
1999-12-17,4150,4150,4150,4150,1940
1999-12-29,4150,4150,4150,4150,40
2000-01-12,4050,4050,4050,4050,420
2000-01-17,4000,4000,4000,4000,760
2000-01-19,4000,4000,4000,4000,34000
2000-01-21,3925,3925,3925,3925,380
2000-01-24,3925,3925,3925,3925,100
2000-01-26,3631,3631,3631,3631,1340
2000-02-02,3375,3375,3375,3375,700
2000-02-04,3450,3450,3450,3450,12000
2000-02-07,3375,3375,3375,3375,3040
2000-02-09,3375,3375,3375,3375,2200
2000-02-11,3375,3375,3375,3375,780
2000-02-14,3375,3375,3375,3375,100
2000-02-16,3400,3400,3400,3400,1800
2000-02-18,3375,3375,3375,3375,740
2000-02-23,3375,3375,3375,3375,140
2000-02-28,3390,3390,3390,3390,3480
2000-03-01,3450,3450,3450,3450,2320
2000-03-06,3450,3450,3450,3450,280
2000-03-08,3460,3460,3460,3460,240
2000-03-10,3450,3450,3450,3450,1180
2000-03-13,3450,3450,3450,3450,20
2000-03-15,3450,3450,3450,3450,420
2000-03-17,3450,3450,3450,3450,27160
2000-03-20,3500,3500,3500,3500,6400
2000-03-22,3750,3750,3750,3750,5020
2000-03-29,3600,3600,3600,3600,26900
2000-03-31,3600,3600,3600,3600,171820
2000-04-03,3800,3800,3800,3800,8000
2000-04-07,3775,3775,3775,3775,3840
2000-04-10,3790,3790,3790,3790,800
2000-04-14,3790,3790,3790,3790,560
2000-04-19,3790,3790,3790,3790,3200
2000-04-21,3791,3791,3791,3791,360
2000-04-28,3800,3800,3800,3800,640
2000-05-03,3800,3800,3800,3800,120
2000-05-05,3800,3800,3800,3800,1280
2000-05-08,3800,3800,3800,3800,360
2000-05-10,3800,3800,3800,3800,1240
2000-05-12,3791,3791,3791,3791,900
2000-05-15,3791,3791,3791,3791,2240
2000-05-17,3791,3791,3791,3791,100
2000-05-19,3791,3791,3791,3791,2920
2000-05-22,3791,3791,3791,3791,20
2000-05-24,3791,3791,3791,3791,20
2000-06-09,3791,3791,3791,3791,100
2000-07-03,3800,3800,3800,3800,8000
2000-07-07,3650,3650,3650,3650,260
2000-07-10,3650,3650,3650,3650,96200
2000-07-12,3800,3800,3800,3800,108000
2000-07-14,3825,3825,3825,3825,700
2000-07-17,3825,3825,3825,3825,211360
2000-07-19,3650,3650,3650,3650,10000
2000-07-21,3600,3600,3600,3600,980
2000-07-26,3625,3625,3625,3625,36680
2000-07-28,3896,3896,3896,3896,110480
2000-07-31,3925,3925,3925,3925,2320
2000-08-04,3653,3653,3653,3653,1240
2000-08-09,3653,3653,3653,3653,1000
2000-08-11,3650,3650,3650,3650,7320
2000-08-14,3650,3650,3650,3650,960
2000-08-18,3650,3650,3650,3650,2360
2000-08-21,3650,3650,3650,3650,240
2000-08-23,3650,3650,3650,3650,7600
2000-08-28,3924,3924,3924,3924,49500
2000-08-30,3900,3900,3900,3900,400
2000-09-01,3925,3925,3925,3925,62420
2000-09-08,3850,3850,3850,3850,360
2000-09-15,3925,3925,3925,3925,88700
2000-09-20,3925,3925,3925,3925,100
2000-09-22,3925,3925,3925,3925,140
2000-09-29,3750,3750,3750,3750,260
2000-10-02,3680,3680,3680,3680,240
2000-10-04,3650,3650,3650,3650,2380
2000-10-06,3651,3651,3651,3651,740
2000-10-09,3650,3650,3650,3650,820
2000-10-11,3650,3650,3650,3650,5120
2000-10-13,3750,3750,3750,3750,105760
2000-10-16,3750,3750,3750,3750,40
2000-10-20,3750,3750,3750,3750,260
2000-10-30,3749,3749,3749,3749,1100
2000-11-02,3749,3749,3749,3749,60
2000-11-03,3749,3749,3749,3749,880
2000-11-13,3950,3950,3950,3950,41920
2000-11-27,3950,3950,3950,3950,52860
2000-12-11,3945,3945,3945,3945,300
2000-12-13,3950,3950,3950,3950,34100
2000-12-20,3950,3950,3950,3950,280
2000-12-22,3950,3950,3950,3950,200
2000-12-26,3950,3950,3950,3950,80
2001-01-12,3950,3950,3950,3950,17900
2001-01-26,3750,3750,3750,3750,640
2001-01-29,3750,3750,3750,3750,620
2001-02-02,3750,3750,3750,3750,1100
2001-02-05,3750,3750,3750,3750,1200
2001-02-07,3750,3750,3750,3750,240
2001-02-09,3750,3750,3750,3750,60
2001-02-19,3750,3750,3750,3750,100
2001-02-21,3850,3850,3850,3850,4020
2001-02-26,3850,3850,3850,3850,60
2001-02-28,3850,3850,3850,3850,200
2001-03-02,3850,3850,3850,3850,260
2001-03-06,3850,3850,3850,3850,800
2001-03-09,3850,3850,3850,3850,9300
2001-03-14,3925,3925,3925,3925,2980
2001-03-19,3925,3925,3925,3925,400
2001-03-21,3925,3925,3925,3925,460
2001-03-23,3925,3925,3925,3925,140
2001-03-28,3925,3925,3925,3925,880
2001-03-30,3925,3925,3925,3925,1780
2001-04-06,3900,3900,3900,3900,1000
2001-04-09,3900,3900,3900,3900,720
2001-04-13,3900,3900,3900,3900,2800
2001-04-18,3900,3900,3900,3900,280
2001-04-20,3900,3900,3900,3900,200
2001-04-27,3901,3901,3901,3901,6780
2001-05-02,3900,3900,3900,3900,780
2001-05-04,3900,3900,3900,3900,100
2001-05-07,3900,3900,3900,3900,100
2001-05-09,3900,3900,3900,3900,140
2001-05-11,3900,3900,3900,3900,840
2001-05-16,3900,3900,3900,3900,400
2001-05-18,3900,3900,3900,3900,200
2001-05-21,3900,3900,3900,3900,2180
2001-05-28,3900,3900,3900,3900,60
2001-05-30,3900,3900,3900,3900,260
2001-06-01,3900,3900,3900,3900,480
2001-06-06,3900,3900,3900,3900,40
2001-06-08,3900,3900,3900,3900,320
2001-06-11,3900,3900,3900,3900,100
2001-06-13,3900,3900,3900,3900,1220
2001-06-15,3900,3900,3900,3900,680
2001-06-20,3900,3900,3900,3900,1200
2001-06-22,3900,3900,3900,3900,520
2001-06-25,3625,3625,3625,3625,300
2001-06-29,3625,3625,3625,3625,40
2001-07-06,3625,3625,3625,3625,140
2001-07-09,3625,3625,3625,3625,340
2001-07-11,3625,3625,3625,3625,3540
2001-07-18,3625,3625,3625,3625,1180
2001-07-20,3625,3625,3625,3625,220
2001-07-23,3625,3625,3625,3625,240
2001-07-25,3625,3625,3625,3625,200
2001-07-27,3625,3625,3625,3625,320
2001-08-01,3625,3625,3625,3625,2000
2001-08-03,3625,3625,3625,3625,200
2001-08-08,3625,3625,3625,3625,2180
2001-08-10,3625,3625,3625,3625,1920
2001-08-17,3625,3625,3625,3625,300
2001-08-22,3625,3625,3625,3625,100
2001-08-29,3625,3625,3625,3625,4460
2001-08-31,3625,3625,3625,3625,280
2001-09-03,3625,3625,3625,3625,80
2001-09-07,3625,3625,3625,3625,340
2001-09-10,3625,3625,3625,3625,740
2001-09-12,3625,3625,3625,3625,740
2001-09-14,3625,3625,3625,3625,600
2001-09-19,3625,3625,3625,3625,900
2001-09-26,3625,3625,3625,3625,980
2001-10-03,3625,3625,3625,3625,500
2001-10-05,3625,3625,3625,3625,620
2001-10-10,3625,3625,3625,3625,160
2001-10-12,3625,3625,3625,3625,1140
2001-10-15,3625,3625,3625,3625,960
2001-10-17,3625,3625,3625,3625,2000
2001-10-19,3625,3625,3625,3625,600
2001-10-24,3625,3625,3625,3625,600
2001-10-26,3625,3625,3625,3625,560
2001-10-31,3625,3625,3625,3625,980
2001-11-05,3625,3625,3625,3625,760
2001-11-07,3625,3625,3625,3625,200
2001-11-12,3625,3625,3625,3625,2120
2001-11-14,3625,3625,3625,3625,200
2001-11-19,3625,3625,3625,3625,300
2001-11-21,3625,3625,3625,3625,200
2001-11-23,3625,3625,3625,3625,260
2001-11-28,3625,3625,3625,3625,500
2001-12-10,3625,3625,3625,3625,6580
2001-12-11,3625,3625,3625,3625,420
2001-12-14,3625,3625,3625,3625,400
2001-12-17,3625,3625,3625,3625,300
2001-12-19,3625,3625,3625,3625,280
2001-12-21,3625,3625,3625,3625,200
2001-12-24,3625,3625,3625,3625,200
2001-12-28,3625,3625,3625,3625,3860
2001-12-31,3625,3625,3625,3625,260
2002-01-02,3625,3625,3625,3625,100
2002-01-04,3625,3625,3625,3625,220
2002-01-08,3625,3625,3625,3625,300
2002-01-15,3625,3625,3625,3625,200
2002-01-16,3625,3625,3625,3625,420
2002-01-18,3625,3625,3625,3625,1000
2002-01-21,3625,3625,3625,3625,120
2002-01-22,3625,3625,3625,3625,120
2002-01-23,3625,3625,3625,3625,120
2002-01-24,3625,3625,3625,3625,1540
2002-01-25,3625,3625,3625,3625,660
2002-01-29,3625,3625,3625,3625,400
2002-01-31,3625,3625,3625,3625,640
2002-02-05,3625,3625,3625,3625,600
2002-02-06,3625,3625,3625,3625,1000
2002-02-07,3650,3650,3650,3650,7000
2002-02-08,3650,3650,3650,3650,480
2002-02-12,3650,3650,3650,3650,220
2002-02-13,3650,3650,3650,3650,200
2002-02-14,3650,3650,3650,3650,400
2002-02-20,3650,3650,3650,3650,200
2002-02-25,3650,3650,3650,3650,60
2002-02-27,3650,3650,3650,3650,400
2002-02-28,3650,3650,3650,3650,120
2002-03-04,3650,3650,3650,3650,200
2002-03-05,3650,3650,3650,3650,300
2002-03-06,3650,3650,3650,3650,200
2002-03-08,3650,3650,3650,3650,660
2002-03-19,3650,3650,3650,3650,20
2002-03-20,3650,3650,3650,3650,100
2002-03-25,3650,3650,3650,3650,100
2002-03-28,3650,3650,3650,3650,4000
2002-04-05,3650,3650,3650,3650,60
2002-04-23,3650,3650,3650,3650,420
2002-04-24,3650,3650,3650,3650,600
2002-04-25,3650,3650,3650,3650,1100
2002-05-02,3650,3650,3650,3650,200
2002-05-14,3924,3924,3924,3924,800
2002-05-15,3924,3924,3924,3924,40
2002-06-03,3924,3924,3924,3924,60
2002-06-07,3925,3925,3925,3925,1480
2002-06-13,3925,3925,3925,3925,120
2002-06-17,3925,3925,3925,3925,400
2002-07-09,3750,3750,3750,3750,900
2002-07-10,3750,3750,3750,3750,340
2002-07-15,3750,3750,3750,3750,420
2002-07-16,3750,3750,3750,3750,40
2002-07-17,3750,3750,3750,3750,100
2002-07-25,3750,3750,3750,3750,980
2002-08-01,3750,3750,3750,3750,60
2002-08-27,3750,3750,3750,3750,140
2002-09-06,3750,3750,3750,3750,2000
2002-09-13,3750,3750,3750,3750,2000
2002-09-24,3750,3750,3750,3750,120
2002-09-26,3625,3625,3625,3625,7600
2002-09-27,3625,3625,3625,3625,220
2002-09-30,3625,3625,3625,3625,400
2002-10-01,3625,3625,3625,3625,140
2002-10-02,3625,3625,3625,3625,3080
2002-10-04,3625,3625,3625,3625,2100
2002-10-11,3625,3625,3625,3625,680
2002-10-14,3625,3625,3625,3625,9100
2002-10-15,3625,3625,3625,3625,60
2002-10-16,3625,3625,3625,3625,380
2002-10-18,3625,3625,3625,3625,1440
2002-10-22,3625,3625,3625,3625,20000
2002-10-24,3625,3625,3625,3625,300
2002-10-28,3625,3625,3625,3625,500
2002-10-29,3625,3625,3625,3625,1000
2002-10-31,3625,3625,3625,3625,40
2002-11-19,3625,3625,3625,3625,14000
2002-11-25,3675,3675,3675,3675,180
2002-12-23,3675,3675,3675,3675,100
2003-01-16,3625,3625,3625,3625,20100
2003-01-17,3625,3625,3625,3625,3220
2003-01-20,3625,3625,3625,3625,5120
2003-01-22,3638,3638,3638,3638,21480
2003-01-30,3625,3625,3625,3625,200
2003-02-04,3625,3625,3625,3625,38020
2003-02-14,3625,3625,3625,3625,120
2003-02-17,3625,3625,3625,3625,200
2003-03-13,3625,3625,3625,3625,52920
2003-03-20,3625,3625,3625,3625,340
2003-03-24,3625,3625,3625,3625,340
2003-03-31,3625,3625,3625,3625,200
2003-04-01,3625,3625,3625,3625,260
2003-04-02,3625,3625,3625,3625,240
2003-04-29,3650,3650,3650,3650,200
2003-04-30,3650,3650,3650,3650,600
2003-05-02,3650,3650,3650,3650,1260
2003-05-09,3650,3650,3650,3650,60
2003-05-20,3665,3665,3665,3665,300
2003-05-23,3650,3650,3650,3650,1000
2003-05-26,3650,3650,3650,3650,80
2003-05-28,3650,3650,3650,3650,220
2003-06-19,3625,3625,3625,3625,400
2003-06-23,3625,3625,3625,3625,20
2003-07-04,3550,3550,3550,3550,1180
2003-07-07,3600,3600,3600,3600,8400
2003-07-08,3600,3600,3600,3600,1160
2003-07-14,3600,3600,3600,3600,120
2003-07-15,3625,3625,3625,3625,2880
2003-07-16,3625,3625,3625,3625,200
2003-07-17,3625,3625,3625,3625,6060
2003-07-25,3625,3625,3625,3625,680
2003-07-29,3625,3625,3625,3625,800
2003-07-30,3625,3625,3625,3625,160
2003-08-01,3625,3625,3625,3625,200
2003-08-04,3625,3625,3625,3625,100
2003-08-05,3600,3600,3600,3600,160
2003-08-11,3625,3625,3625,3625,9000
2003-08-21,3625,3625,3625,3625,60
2003-08-26,3625,3625,3625,3625,220
2003-08-27,3625,3625,3625,3625,44180
2003-08-28,3625,3625,3625,3625,6000
2003-09-05,3600,3600,3600,3600,300
2003-09-09,3600,3600,3600,3600,1720
2003-09-17,3600,3600,3600,3600,200
2003-09-23,3600,3600,3600,3600,20
2003-09-25,3625,3625,3625,3625,200
2003-09-30,3625,3625,3625,3625,20
2003-10-02,3650,3650,3650,3650,1040
2003-10-03,3650,3650,3650,3650,660
2003-10-06,3650,3650,3650,3650,200
2003-10-09,3625,3625,3625,3625,220
2003-10-10,3625,3625,3625,3625,200
2003-10-13,3625,3625,3625,3625,40
2003-10-21,3625,3625,3625,3625,1000
2003-10-24,3625,3625,3625,3625,160
2003-11-04,3625,3625,3625,3625,1580
2003-11-05,3625,3625,3625,3625,20
2003-11-07,3625,3625,3625,3625,340
