Date,Open,High,Low,Close,Volume
1998-09-30,5365,5635.0,5365.0,5513,5700
1998-10-31,5513,5900.0,5500.0,5900,2020
1998-11-30,5900,5900.0,4750.0,4750,1920
1998-12-31,4750,4750.0,4162.0,4162,7460
1999-01-31,4000,4000.0,3925.0,3925,19840
1999-02-28,3900,3900.0,3750.0,3800,23240
1999-03-31,3800,4000.0,3800.0,3900,7920
1999-04-30,4050,4050.0,3800.0,3805,65320
1999-05-31,3808,4200.0,3808.0,4200,7540
1999-06-30,4250,4500.0,4250.0,4500,1286900
1999-07-31,3900,4500.0,3850.0,4300,68180
1999-08-31,4500,4500.0,4301.0,4330,42800
1999-09-30,4350,4420.0,4350.0,4400,26160
1999-10-31,4400,4400.0,4400.0,4400,15160
1999-11-30,4300,4300.0,4200.0,4200,2440
1999-12-31,4200,4200.0,4150.0,4150,2280
2000-01-31,4050,4050.0,3631.0,3631,37000
2000-02-29,3375,3450.0,3375.0,3390,24980
2000-03-31,3450,3750.0,3450.0,3600,241760
2000-04-30,3800,3800.0,3775.0,3800,17400
2000-05-31,3800,3800.0,3791.0,3791,9200
2000-06-30,3791,3791.0,3791.0,3791,100
2000-07-31,3800,3925.0,3600.0,3925,584980
2000-08-31,3653,3924.0,3650.0,3900,70620
2000-09-30,3925,3925.0,3750.0,3750,151980
2000-10-31,3680,3750.0,3650.0,3749,116460
2000-11-30,3749,3950.0,3749.0,3950,95720
2000-12-31,3945,3950.0,3945.0,3950,34960
2001-01-31,3950,3950.0,3750.0,3750,19160
2001-02-28,3750,3850.0,3750.0,3850,6980
2001-03-31,3850,3925.0,3850.0,3925,17000
2001-04-30,3900,3901.0,3900.0,3901,11780
2001-05-31,3900,3900.0,3900.0,3900,5060
2001-06-30,3900,3900.0,3625.0,3625,4900
2001-07-31,3625,3625.0,3625.0,3625,6180
2001-08-31,3625,3625.0,3625.0,3625,11440
2001-09-30,3625,3625.0,3625.0,3625,4380
2001-10-31,3625,3625.0,3625.0,3625,8120
2001-11-30,3625,3625.0,3625.0,3625,4540
2001-12-31,3625,3625.0,3625.0,3625,12500
2002-01-31,3625,3625.0,3625.0,3625,5840
2002-02-28,3625,3650.0,3625.0,3650,10680
2002-03-31,3650,3650.0,3650.0,3650,5580
2002-04-30,3650,3650.0,3650.0,3650,2180
2002-05-31,3650,3924.0,3650.0,3924,1040
2002-06-30,3924,3925.0,3924.0,3925,2060
2002-07-31,3750,3750.0,3750.0,3750,2780
2002-08-31,3750,3750.0,3750.0,3750,200
2002-09-30,3750,3750.0,3625.0,3625,12340
2002-10-31,3625,3625.0,3625.0,3625,38820
2002-11-30,3625,3675.0,3625.0,3675,14180
2002-12-31,3675,3675.0,3675.0,3675,100
2003-01-31,3625,3638.0,3625.0,3625,50120
2003-02-28,3625,3625.0,3625.0,3625,38340
2003-03-31,3625,3625.0,3625.0,3625,53800
2003-04-30,3625,3650.0,3625.0,3650,1300
2003-05-31,3650,3665.0,3650.0,3650,2920
2003-06-30,3625,3625.0,3625.0,3625,420
2003-07-31,3550,3625.0,3550.0,3625,21640
2003-08-31,3625,3625.0,3600.0,3625,59920
2003-09-30,3600,3625.0,3600.0,3625,2460
2003-10-31,3650,3650.0,3625.0,3625,3520
2003-11-30,3625,3625.0,3625.0,3625,2280
2003-12-31,3625,3625.0,3625.0,3625,7180
2004-01-31,3625,3625.0,3625.0,3625,6700
2004-02-29,3625,3625.0,3625.0,3625,440
2004-03-31,3625,3625.0,3500.0,3500,21100
2004-04-30,3500,3500.0,3500.0,3500,420
2004-05-31,3500,3500.0,3500.0,3500,1800
2004-06-30,3750,3750.0,3700.0,3750,23060
2004-07-31,3750,3750.0,3750.0,3750,1400
2004-08-31,3625,3625.0,3600.0,3600,6300
2004-09-30,3600,3600.0,3500.0,3600,11580
2004-10-31,3600,3600.0,3600.0,3600,2840
2004-11-30,3575,3575.0,3575.0,3575,1360
2004-12-31,3575,3575.0,3560.0,3560,2120
2005-01-31,3300,3300.0,3250.0,3250,600
2005-02-28,3250,3250.0,3250.0,3250,40
2005-03-31,3250,3250.0,3250.0,3250,7000
2005-04-30,3250,3300.0,3250.0,3300,2760
2005-05-31,3300,3300.0,3300.0,3300,680
