Date,Open,High,Low,Close,Volume
1998-09-30,5365,5635,5365,5513,5700
1998-12-31,5513,5900,4162,4162,11400
1999-03-31,4000,4000,3750,3900,51000
1999-06-30,4050,4500,3800,4500,1359760
1999-09-30,3900,4500,3850,4400,137140
1999-12-31,4400,4400,4150,4150,19880
2000-03-31,4050,4050,3375,3600,303740
2000-06-30,3800,3800,3775,3791,26700
2000-09-30,3800,3925,3600,3750,807580
2000-12-31,3680,3950,3650,3950,247140
2001-03-31,3950,3950,3750,3925,43140
2001-06-30,3900,3901,3625,3625,21740
2001-09-30,3625,3625,3625,3625,22000
2001-12-31,3625,3625,3625,3625,25160
2002-03-31,3625,3650,3625,3650,22100
2002-06-30,3650,3925,3650,3925,5280
2002-09-30,3750,3750,3625,3625,15320
2002-12-31,3625,3675,3625,3675,53100
2003-03-31,3625,3638,3625,3625,142260
2003-06-30,3625,3665,3625,3625,4640
2003-09-30,3550,3625,3550,3625,84020
2003-12-31,3650,3650,3625,3625,12980
2004-03-31,3625,3625,3500,3500,28240
2004-06-30,3500,3750,3500,3750,25280
2004-09-30,3750,3750,3500,3600,19280
2004-12-31,3600,3600,3560,3560,6320
2005-03-31,3300,3300,3250,3250,7640
2005-06-30,3250,3300,2950,2950,3780
2005-09-30,2950,2950,2550,2550,1300
2005-12-31,2450,2580,2400,2580,217680
2006-03-31,2580,2580,2345,2345,500
2006-06-30,1950,1950,1200,1200,14520
2006-09-30,1200,1585,1200,1585,10400
2006-12-31,1600,2130,1600,2130,169900
2007-03-31,2000,2315,2000,2315,12880
2007-06-30,2315,3500,2315,3250,16400
2007-09-30,3500,3525,3300,3301,12000
2007-12-31,3300,3548,3300,3320,27440
2008-03-31,3320,3550,3320,3550,114160
2008-06-30,3585,3625,3585,3615,31260
2008-09-30,3700,4060,3700,4050,31540
2008-12-31,4050,4050,3400,3400,106060
2009-03-31,3400,3401,2475,2475,15460
2009-06-30,2475,2800,2400,2800,13020
2009-09-30,2800,2900,2544,2544,9040
2009-12-31,2500,3279,2325,3100,136780
2010-03-31,3333,3500,3250,3400,155040
2010-06-30,3655,3655,3224,3224,105360
2010-09-30,2982,2982,2050,2900,37640
2010-12-31,2900,3000,2450,2831,34660
2011-03-31,2650,2650,2438,2438,520
2011-06-30,2438,2438,2438,2438,280
2011-09-30,2475,2550,2400,2450,7340
2011-12-31,2450,2500,2400,2400,71820
2012-03-31,2400,2400,2150,2400,4680
2012-06-30,2400,2400,2200,2200,5860
2012-09-30,2200,2225,2200,2200,3720
2012-12-31,2200,2200,2100,2200,6460
2013-03-31,2200,2225,2200,2225,2920
2013-06-30,2225,2225,2225,2225,58000
2013-09-30,2225,2228,1900,1929,34260
2013-12-31,2073,3250,1920,3250,10120
2014-03-31,3300,3625,3300,3580,14920
2014-06-30,3580,4000,3580,3700,4440
2014-09-30,3695,3700,2197,2600,6780
2014-12-31,2653,3225,2500,2750,53840
2015-03-31,2650,2655,2350,2350,50180
2015-06-30,2350,3010,2064,2800,45160
2015-09-30,2750,3005,2350,2450,169880
2015-12-31,2450,2550,2350,2500,82300
2016-03-31,2500,3000,2265,2550,80900
2016-06-30,2725,3149,2350,3149,58800
2016-09-30,3385,4075,2516,2550,47060
2016-12-31,2550,3000,2525,2650,41260
2017-03-31,2650,3000,2650,2750,375520
2017-06-30,2750,3100,2313,2475,40040
2017-09-30,2475,2870,2300,2870,27204
2017-12-31,2800,2800,1850,1900,183495
2018-03-31,1990,2970,1850,2800,27616
2018-06-30,2850,2900,2455,2645,33048
2018-09-30,2595,2595,1400,1400,1549
2018-12-31,1395,1395,850,1010,40366
2019-03-31,1000,1125,800,1045,6521
2019-06-30,995,1095,715,715,5326
2019-09-30,715,745,595,610,7741
2019-12-31,605,605,395,395,4764
2020-03-31,395,400,240,240,34371
2020-06-30,255,370,200,320,122849
2020-09-30,320,330,270,270,307033
2020-12-31,270,350,235,320,53047
2021-03-31,320,750,320,620,52266
2021-06-30,620,3600,550,3600,65626
2021-09-30,3600,4265,3200,3700,333689
2021-12-31,3705,5600,3650,4605,189194
2022-03-31,4670,6750,4605,6750,70879
2022-06-30,6750,8570,5700,7180,156623
2022-09-30,7190,7695,6155,7100,275176
2022-12-31,7100,8555,5950,8245,170870
2023-03-31,7990,7990,6500,6900,74561
2023-06-30,6805,7985,6505,7695,37104
2023-09-30,7730,9400,7680,9400,135704
2023-12-31,9000,9000,6410,7385,120118
2024-03-31,7295,7400,6250,6900,25191
2024-06-30,6890,7995,6500,7500,119944
2024-09-30,7500,8000,6915,7000,244140
2024-12-31,7000,8000,6900,7960,405697
2025-03-31,7960,10300,7885,9995,235181
2025-06-30,9995,11500,9160,11140,181121
2025-09-30,11135,13400,11135,12935,147415
2025-12-31,12935,15495,9600,10650,80080
2026-03-31,10650,13350,10350,12800,163556
2026-06-30,12800,15655,10900,15495,115750
2026-09-30,15495,17490,15495,16700,37646
