Date,Open,High,Low,Close,Volume
1998-09-21,5365,5635.0,5365.0,5635,1700
1998-09-28,5500,5513.0,5500.0,5513,4000
1998-10-05,5513,5513.0,5513.0,5513,1080
1998-10-12,5800,5800.0,5800.0,5800,100
1998-10-19,5800,5900.0,5500.0,5900,640
1998-10-26,5900,5900.0,5900.0,5900,200
1998-11-02,5900,5900.0,5900.0,5900,20
1998-11-09,5900,5900.0,5900.0,5900,100
1998-11-16,5458,5458.0,5458.0,5458,780
1998-11-23,5048,5048.0,5048.0,5048,820
1998-11-30,4750,4750.0,4750.0,4750,200
1998-12-07,4750,4750.0,4750.0,4750,80
1998-12-14,4750,4750.0,4500.0,4500,2220
1998-12-21,4500,4500.0,4500.0,4500,820
1998-12-28,4163,4163.0,4163.0,4163,260
1999-01-04,4162,4162.0,4162.0,4162,4080
1999-01-11,4000,4000.0,4000.0,4000,340
1999-01-25,3925,3925.0,3925.0,3925,10720
1999-02-01,3925,3925.0,3925.0,3925,8780
1999-02-08,3900,3900.0,3900.0,3900,15040
1999-02-15,3900,3900.0,3900.0,3900,4200
1999-02-22,3750,3750.0,3750.0,3750,480
1999-03-01,3800,3800.0,3800.0,3800,3520
1999-03-08,3800,3900.0,3800.0,3900,400
1999-03-15,3800,3800.0,3800.0,3800,1340
1999-03-22,3800,3800.0,3800.0,3800,3680
1999-03-29,3900,4000.0,3900.0,4000,1400
1999-04-05,3900,3900.0,3900.0,3900,1100
1999-04-12,4050,4050.0,4000.0,4000,19040
1999-04-19,3900,3900.0,3800.0,3800,18380
1999-04-26,3800,3801.0,3800.0,3801,27300
1999-05-03,3805,3808.0,3805.0,3808,1200
1999-05-10,3810,3810.0,3810.0,3810,320
1999-05-17,3900,4005.0,3900.0,4005,840
1999-05-24,4005,4005.0,4004.0,4004,820
1999-05-31,4005,4200.0,4005.0,4200,4960
1999-06-07,4250,4250.0,4250.0,4250,61700
1999-06-14,4300,4500.0,4300.0,4500,1103400
1999-06-21,4500,4500.0,4500.0,4500,106000
1999-06-28,4500,4500.0,4500.0,4500,15800
1999-07-05,3900,3900.0,3850.0,3850,540
1999-07-12,4300,4500.0,4300.0,4500,55960
1999-07-19,4250,4250.0,4250.0,4250,2120
1999-07-26,4075,4250.0,4075.0,4250,2800
1999-08-02,4300,4300.0,4300.0,4300,6760
1999-08-09,4500,4500.0,4500.0,4500,40000
1999-08-16,4301,4335.0,4301.0,4335,860
1999-08-23,4335,4335.0,4325.0,4325,940
1999-08-30,4330,4330.0,4330.0,4330,1000
