Date,Open,High,Low,Close,Volume
1998-12-31,5365,5900,4162,4162,17100
1999-12-31,4000,4500,3750,4150,1567780
2000-12-31,4050,4050,3375,3950,1385160
2001-12-31,3950,3950,3625,3625,112040
2002-12-31,3625,3925,3625,3675,95800
2003-12-31,3625,3665,3550,3625,243900
2004-12-31,3625,3750,3500,3560,79120
2005-12-31,3300,3300,2400,2580,230400
2006-12-31,2580,2580,1200,2130,195320
2007-12-31,2000,3548,2000,3320,68720
2008-12-31,3320,4060,3320,3400,283020
2009-12-31,3400,3401,2325,3100,174300
2010-12-31,3333,3655,2050,2831,332700
2011-12-31,2650,2650,2400,2400,79960
2012-12-31,2400,2400,2100,2200,20720
2013-12-31,2200,3250,1900,3250,105300
2014-12-31,3300,4000,2197,2750,79980
2015-12-31,2650,3010,2064,2500,347520
2016-12-31,2500,4075,2265,2650,228020
2017-12-31,2650,3100,1850,1900,626259
2018-12-31,1990,2970,850,1010,102579
2019-12-31,1000,1125,395,395,24352
2020-12-31,395,400,200,320,517300
2021-12-31,320,5600,320,4605,640775
2022-12-31,4670,8570,4605,8245,673548
2023-12-31,7990,9400,6410,7385,367487
2024-12-31,7295,8000,6250,7960,794972
2025-12-31,7960,15495,7885,10650,643797
2026-12-31,10650,17490,10350,16900,308820
