Date,Open,High,Low,Close,Volume
2009-04-30,2395,2395,2395,2395,24000
2009-05-04,2395,2395,2395,2395,1000
2009-05-05,2395,2395,2395,2395,3380
2009-05-06,2395,2395,2395,2395,500
2009-05-07,2500,2500,2500,2500,300
2009-05-08,2500,2500,2500,2500,2000
2009-05-11,2500,2500,2500,2500,1840
2009-05-12,2500,2500,2500,2500,9760
2009-05-13,2500,2500,2500,2500,6000
2009-05-14,2500,2500,2500,2500,1660
2009-05-19,2510,2510,2510,2510,1180
2009-05-20,2510,2510,2510,2510,540
2009-05-22,2500,2500,2500,2500,940
2009-05-25,2500,2500,2500,2500,2380
2009-05-26,2500,2500,2500,2500,600
2009-05-27,2525,2525,2525,2525,700
2009-05-28,2525,2525,2525,2525,1500
2009-05-29,2500,2500,2500,2500,2360
2009-06-02,2500,2500,2500,2500,400
2009-06-03,2500,2500,2500,2500,100
2009-06-08,2500,2500,2500,2500,960
2009-06-09,2500,2500,2500,2500,20
2009-06-10,2500,2500,2500,2500,800
2009-06-16,2500,2500,2500,2500,100
2009-06-18,2500,2500,2500,2500,360
2009-06-22,2500,2500,2500,2500,600
2009-06-23,2500,2500,2500,2500,1200
2009-06-25,2500,2500,2500,2500,680
2009-06-26,2500,2500,2500,2500,920
2009-06-29,2500,2500,2500,2500,1500
2009-06-30,2500,2500,2500,2500,660
2009-07-01,2500,2500,2500,2500,780
2009-07-03,2500,2500,2500,2500,620
2009-07-06,2500,2500,2500,2500,60
2009-07-07,2500,2500,2500,2500,1660
2009-07-08,2500,2500,2500,2500,60
2009-07-09,2500,2500,2500,2500,1000
2009-07-10,2500,2500,2500,2500,40
2009-07-13,2500,2500,2500,2500,160
2009-07-16,2500,2500,2500,2500,40
2009-07-20,2500,2500,2500,2500,380
2009-07-23,2500,2500,2500,2500,800
2009-07-27,2500,2500,2500,2500,80
2009-07-30,2500,2500,2500,2500,1400
2009-08-04,2500,2500,2500,2500,60
2009-08-05,2500,2500,2500,2500,80
2009-08-06,2500,2500,2500,2500,620
2009-08-10,2500,2500,2500,2500,20
2009-08-13,2500,2500,2500,2500,40
2009-08-14,2450,2450,2450,2450,860
2009-08-17,2450,2450,2450,2450,560
2009-08-19,2400,2400,2400,2400,660
2009-08-20,2450,2450,2450,2450,5900
2009-08-27,2450,2450,2450,2450,4000
2009-08-28,2450,2450,2450,2450,980
2009-09-03,2450,2450,2450,2450,1040
2009-09-04,2449,2449,2449,2449,200
2009-09-07,2500,2500,2500,2500,18940
2009-09-08,2500,2500,2500,2500,36960
2009-09-09,2500,2500,2500,2500,22320
2009-09-10,2494,2494,2494,2494,2000
2009-09-11,2495,2495,2495,2495,280
2009-09-14,2500,2500,2500,2500,1780
2009-09-15,2500,2500,2500,2500,1400
2009-09-16,2450,2450,2450,2450,200
2009-09-18,2450,2450,2450,2450,140
2009-09-22,2450,2450,2450,2450,3020
2009-09-23,2450,2450,2450,2450,600
2009-09-28,2450,2450,2450,2450,60
