Date,Open,High,Low,Close,Volume
2009-04-30,2395,2395,2395,2395,24000
2009-05-31,2395,2525,2395,2500,36640
2009-06-30,2500,2500,2500,2500,8300
2009-07-31,2500,2500,2500,2500,7080
2009-08-31,2500,2500,2400,2450,13780
2009-09-30,2450,2500,2449,2450,90440
2009-10-31,2449,2449,2400,2400,7540
2009-11-30,2400,2400,2400,2400,28780
2009-12-31,2400,2425,2375,2425,30840
2010-01-31,2425,2450,2425,2450,9840
2010-02-28,2450,2450,2450,2450,11480
2010-03-31,2450,2451,2450,2450,13600
2010-04-30,2445,2445,2250,2400,340700
2010-05-31,2425,2425,2250,2395,7420
2010-06-30,2395,2395,2350,2350,20980
2010-07-31,2350,2350,2250,2250,17440
2010-08-31,2275,2300,2270,2300,40920
2010-09-30,2300,2300,2250,2250,7980
2010-10-31,2225,2250,2225,2225,8480
2010-11-30,2225,2250,2200,2248,19020
2010-12-31,2248,2275,2248,2275,177280
2011-01-31,2275,2500,2275,2400,14620
2011-02-28,2400,2450,2400,2450,15940
2011-03-31,2450,2450,2325,2375,33640
2011-04-30,2350,2350,2350,2350,4180
2011-05-31,2350,2375,2350,2350,11300
2011-06-30,2325,2350,2300,2300,6000
2011-07-31,2300,2300,2275,2275,2120
2011-08-31,2275,2275,2274,2274,67740
2011-09-30,2274,2274,2250,2250,2260
2011-10-31,2250,2250,2225,2225,2420
2011-11-30,2225,2225,2095,2098,36680
2011-12-31,2000,2200,2000,2200,28180
2012-01-31,2200,2200,2050,2050,30000
2012-02-29,2050,2050,2000,2000,21200
2012-03-31,2000,2000,2000,2000,12560
2012-04-30,2000,2000,1900,1925,11360
2012-05-31,1900,2005,1900,2005,14880
2012-06-30,2000,2000,1860,2000,31120
2012-07-31,2000,2102,1925,2102,68020
2012-08-31,2150,2255,2105,2250,49100
2012-09-30,2250,2300,2100,2300,35660
2012-10-31,2300,2300,2200,2250,49240
2012-11-30,2300,2300,2201,2250,64560
2012-12-31,2250,2350,2250,2250,56380
2013-01-31,2275,2275,2200,2200,43100
2013-02-28,2250,2250,2125,2200,38660
2013-03-31,2200,2300,2150,2300,60240
2013-04-30,2473,2857,2313,2550,77140
2013-05-31,2550,2550,2400,2500,569860
2013-06-30,2688,3100,2486,2600,645180
2013-07-31,2450,2700,2450,2700,369100
2013-08-31,2750,3450,2700,2950,212800
2013-09-30,2950,2950,2740,2750,515680
2013-10-31,2775,3440,2725,3250,823360
2013-11-30,3438,3438,3100,3200,728320
2013-12-31,3250,3250,3000,3050,438002
2014-01-31,3050,3250,2990,3100,235044
2014-02-28,3150,3448,3050,3225,789622
2014-03-31,3225,3440,3128,3440,745866
