Date,Open,High,Low,Close,Volume
2009-06-30,2395,2525,2395,2500,68940
2009-09-30,2500,2500,2400,2450,111300
2009-12-31,2449,2449,2375,2425,67160
2010-03-31,2425,2451,2425,2450,34920
2010-06-30,2445,2445,2250,2350,369100
2010-09-30,2350,2350,2250,2250,66340
2010-12-31,2225,2275,2200,2275,204780
2011-03-31,2275,2500,2275,2375,64200
2011-06-30,2350,2375,2300,2300,21480
2011-09-30,2300,2300,2250,2250,72120
2011-12-31,2250,2250,2000,2200,67280
2012-03-31,2200,2200,2000,2000,63760
2012-06-30,2000,2005,1860,2000,57360
2012-09-30,2000,2300,1925,2300,152780
2012-12-31,2300,2350,2200,2250,170180
2013-03-31,2275,2300,2125,2300,142000
2013-06-30,2473,3100,2313,2600,1292180
2013-09-30,2450,3450,2450,2750,1097580
2013-12-31,2775,3440,2725,3050,1989682
2014-03-31,3050,3448,2990,3440,1770532
2014-06-30,3698,4933,3500,3663,1626896
2014-09-30,3700,3750,3150,3448,703242
2014-12-31,3498,3700,2828,3700,793666
2015-03-31,3750,4100,3300,4000,674432
2015-06-30,3998,4773,3750,4718,970908
2015-09-30,4718,6800,4600,6500,1889852
2015-12-31,6400,7500,5950,7500,2730374
2016-03-31,7425,7425,6325,7250,2774030
2016-06-30,7075,7475,6500,6750,717446
2016-09-30,6725,6750,6050,6400,243630
2016-12-31,6400,6445,5000,6000,548442
2017-03-31,6000,6250,4668,5500,544740
2017-06-30,5498,5500,4050,4698,454968
2017-09-30,4500,4500,3600,3850,473570
2017-12-31,3843,4780,3100,4780,804772
2018-03-31,4450,4450,3805,4300,1115688
2018-06-30,4200,4650,3900,3998,7714534
2018-09-30,3980,4250,3500,3900,572218
2018-12-31,3900,4500,3600,4150,406463
2019-03-31,4290,4550,4000,4350,182331
2019-06-30,4300,4925,3850,4000,260537
2019-09-30,4000,4000,2950,2950,116655
2019-12-31,3000,3005,2600,2705,318967
2020-03-31,2705,3480,2700,3200,324893
2020-06-30,3200,3480,2925,2990,302857
2020-09-30,2990,3045,2695,2715,539257
2020-12-31,2730,3000,2650,2865,496481
2021-03-31,2865,3495,2800,3385,546747
2021-06-30,3400,3695,3055,3300,469254
2021-09-30,3280,4115,3205,4045,544047
2021-12-31,4020,4200,3800,3945,778074
2022-03-31,3950,4990,3830,4980,430940
2022-06-30,4980,4985,3750,3760,472014
2022-09-30,3770,4100,3700,4075,302927
2022-12-31,3900,4000,3195,3200,225298
2023-03-31,3200,3595,2960,3300,263049
2023-06-30,3250,3400,2510,2690,242608
2023-09-30,2695,2710,2165,2200,343304
2023-12-31,2200,2365,2000,2280,310958
2024-03-31,2285,2395,2010,2300,307190
2024-06-30,2300,2880,2250,2800,664248
2024-09-30,2845,3000,2305,2450,494190
2024-12-31,2455,2500,2195,2295,494277
2025-03-31,2290,2895,2080,2770,320900
2025-06-30,2750,2780,2250,2600,289655
2025-09-30,2600,2705,2200,2360,457667
2025-12-31,2345,2600,2300,2485,243988
2026-03-31,2300,3095,2300,2950,375321
2026-06-30,2950,3100,2515,2800,196301
2026-09-30,2850,3000,2550,2945,261068
