Date,Open,High,Low,Close,Volume
2009-05-04,2395,2395.0,2395.0,2395,25000
2009-05-11,2395,2500.0,2395.0,2500,8020
2009-05-18,2500,2500.0,2500.0,2500,17420
2009-05-25,2510,2510.0,2500.0,2500,5040
2009-06-01,2500,2525.0,2500.0,2500,5160
2009-06-08,2500,2500.0,2500.0,2500,1460
2009-06-15,2500,2500.0,2500.0,2500,820
2009-06-22,2500,2500.0,2500.0,2500,1060
2009-06-29,2500,2500.0,2500.0,2500,4300
2009-07-06,2500,2500.0,2500.0,2500,2120
2009-07-13,2500,2500.0,2500.0,2500,2920
2009-07-20,2500,2500.0,2500.0,2500,420
2009-07-27,2500,2500.0,2500.0,2500,880
2009-08-03,2500,2500.0,2500.0,2500,1400
2009-08-10,2500,2500.0,2500.0,2500,780
2009-08-17,2500,2500.0,2450.0,2450,1460
2009-08-24,2400,2450.0,2400.0,2450,6560
2009-08-31,2450,2450.0,2450.0,2450,4980
2009-09-07,2450,2500.0,2449.0,2500,20180
2009-09-14,2500,2500.0,2494.0,2500,63340
2009-09-21,2500,2500.0,2450.0,2450,1740
2009-09-28,2450,2450.0,2450.0,2450,3680
2009-10-05,2450,2450.0,2425.0,2425,2280
2009-10-12,2425,2425.0,2425.0,2425,1600
2009-10-19,2425,2425.0,2424.0,2424,3000
2009-10-26,2400,2400.0,2400.0,2400,2020
2009-11-02,2400,2400.0,2400.0,2400,140
2009-11-09,2400,2400.0,2400.0,2400,10820
2009-11-16,2400,2400.0,2400.0,2400,14540
2009-11-23,2400,2400.0,2400.0,2400,3260
2009-11-30,2400,2400.0,2400.0,2400,160
2009-12-07,2400,2400.0,2375.0,2375,760
2009-12-14,2400,2400.0,2375.0,2400,2200
2009-12-21,2400,2400.0,2400.0,2400,25420
2009-12-28,2424,2424.0,2400.0,2400,960
2010-01-04,2425,2425.0,2425.0,2425,1500
2010-01-11,2425,2450.0,2425.0,2450,5800
2010-01-18,2450,2450.0,2450.0,2450,1200
2010-01-25,2450,2450.0,2450.0,2450,2600
2010-02-01,2450,2450.0,2450.0,2450,240
2010-02-08,2450,2450.0,2450.0,2450,3220
2010-02-15,2450,2450.0,2450.0,2450,3680
2010-02-22,2450,2450.0,2450.0,2450,2740
2010-03-01,2450,2450.0,2450.0,2450,3120
2010-03-08,2450,2450.0,2450.0,2450,2560
2010-03-15,2450,2450.0,2450.0,2450,2760
2010-03-22,2450,2451.0,2450.0,2451,1100
2010-03-29,2450,2450.0,2450.0,2450,5900
2010-04-05,2445,2445.0,2445.0,2445,240
2010-04-12,2445,2445.0,2440.0,2440,4140
2010-04-19,2440,2440.0,2400.0,2400,620
2010-04-26,2250,2400.0,2250.0,2400,335700
2010-05-10,2425,2425.0,2425.0,2425,1660
2010-05-17,2300,2400.0,2250.0,2400,1920
2010-05-24,2400,2400.0,2400.0,2400,660
2010-05-31,2400,2400.0,2395.0,2395,3180
2010-06-07,2395,2395.0,2350.0,2350,4660
2010-06-14,2350,2350.0,2350.0,2350,6620
2010-06-21,2350,2350.0,2350.0,2350,860
2010-06-28,2350,2350.0,2350.0,2350,4500
2010-07-05,2350,2350.0,2348.0,2349,6360
2010-07-12,2348,2348.0,2325.0,2325,600
2010-07-19,2325,2340.0,2325.0,2339,3280
2010-07-26,2315,2315.0,2250.0,2275,1140
2010-08-02,2275,2275.0,2250.0,2250,10400
2010-08-09,2275,2300.0,2275.0,2300,4420
2010-08-16,2300,2300.0,2300.0,2300,3940
2010-08-23,2300,2300.0,2300.0,2300,14100
2010-08-30,2270,2300.0,2270.0,2300,16760
2010-09-06,2300,2300.0,2250.0,2250,2340
2010-09-13,2250,2250.0,2250.0,2250,2660
2010-09-20,2250,2250.0,2250.0,2250,1520
2010-09-27,2250,2250.0,2250.0,2250,1100
2010-10-04,2250,2250.0,2225.0,2250,2520
2010-10-11,2250,2250.0,2250.0,2250,1380
2010-10-18,2250,2250.0,2250.0,2250,840
2010-10-25,2250,2250.0,2225.0,2225,4060
2010-11-01,2225,2225.0,2225.0,2225,1740
2010-11-08,2225,2225.0,2225.0,2225,2060
2010-11-15,2225,2225.0,2200.0,2225,8500
2010-11-22,2225,2250.0,2225.0,2248,5380
2010-11-29,2248,2250.0,2248.0,2250,2080
2010-12-06,2248,2248.0,2248.0,2248,143200
2010-12-13,2248,2248.0,2248.0,2248,21180
2010-12-20,2250,2250.0,2250.0,2250,9280
2010-12-27,2251,2251.0,2250.0,2250,3640
2011-01-03,2255,2275.0,2255.0,2275,1320
2011-01-10,2275,2275.0,2275.0,2275,4980
2011-01-17,2275,2300.0,2275.0,2300,500
2011-01-24,2350,2400.0,2350.0,2400,2600
2011-01-31,2500,2500.0,2400.0,2400,6200
2011-02-07,2400,2400.0,2400.0,2400,5220
2011-02-14,2400,2450.0,2400.0,2450,10720
2011-03-07,2450,2450.0,2410.0,2410,4660
2011-03-14,2410,2410.0,2325.0,2325,1480
2011-03-21,2350,2375.0,2350.0,2375,24660
2011-03-28,2375,2375.0,2375.0,2375,840
2011-04-04,2370,2375.0,2350.0,2350,2540
2011-04-11,2350,2350.0,2350.0,2350,120
2011-04-18,2350,2350.0,2350.0,2350,2000
2011-04-25,2350,2350.0,2350.0,2350,1040
2011-05-02,2350,2350.0,2350.0,2350,480
2011-05-09,2350,2375.0,2350.0,2375,7020
2011-05-16,2350,2350.0,2350.0,2350,940
2011-05-23,2350,2350.0,2350.0,2350,940
2011-05-30,2350,2350.0,2350.0,2350,1400
2011-06-06,2350,2350.0,2325.0,2325,1200
2011-06-13,2350,2350.0,2350.0,2350,1020
2011-06-20,2350,2350.0,2350.0,2350,1640
