Date,Open,High,Low,Close,Volume
2009-12-31,2395,2525,2375,2425,247400
2010-12-31,2425,2451,2200,2275,675140
2011-12-31,2275,2500,2000,2200,225080
2012-12-31,2200,2350,1860,2250,444080
2013-12-31,2275,3450,2125,3050,4521442
2014-12-31,3050,4933,2828,3700,4894336
2015-12-31,3750,7500,3300,7500,6265566
2016-12-31,7425,7475,5000,6000,4283548
2017-12-31,6000,6250,3100,4780,2278050
2018-12-31,4450,4650,3500,4150,9808903
2019-12-31,4290,4925,2600,2705,878490
2020-12-31,2705,3480,2650,2865,1663488
2021-12-31,2865,4200,2800,3945,2338122
2022-12-31,3950,4990,3195,3200,1431179
2023-12-31,3200,3595,2000,2280,1159919
2024-12-31,2285,3000,2010,2295,1959905
2025-12-31,2290,2895,2080,2485,1312210
2026-12-31,2300,3100,2300,2805,886738
