Date,Open,High,Low,Close,Volume
2022-12-30,10210,10210,9505,10210,50274
2023-01-02,10220,10925,10220,10925,14868
2023-01-03,10920,10925,10500,10500,31367
2023-01-04,10475,11000,10005,10500,20463
2023-01-05,10290,10495,10290,10485,9471
2023-01-06,10460,10460,10185,10370,2144
2023-01-09,10290,10290,9805,10190,17793
2023-01-10,10005,10200,9800,10200,11444
2023-01-11,10100,10285,10000,10000,32458
2023-01-12,10200,10200,10010,10200,3242
2023-01-13,10200,10200,10015,10190,1684
2023-01-16,10200,10200,10015,10175,864
2023-01-17,10175,10175,9995,10000,8718
2023-01-18,10090,10090,9900,10000,23407
2023-01-19,10000,10000,9990,10000,4589
2023-01-20,10000,10000,9980,10000,2722
2023-01-23,10000,10180,9980,10000,14486
2023-01-24,10000,10100,10000,10000,2952
2023-01-25,10000,10100,10000,10000,6663
2023-01-26,10000,10050,10000,10050,2951
2023-01-27,10050,10050,10000,10050,1690
2023-01-30,10050,10050,10005,10050,2129
2023-01-31,10050,10295,10050,10150,18653
2023-02-01,10105,10450,10105,10450,73631
2023-02-02,10300,10445,10255,10445,6768
2023-02-03,10440,10500,10300,10300,109586
2023-02-06,10400,10495,10300,10495,222028
2023-02-07,10360,10495,10315,10495,90975
2023-02-08,10495,10495,10355,10485,3408
2023-02-09,10490,10490,10255,10475,3858
2023-02-10,10480,10480,10310,10400,142
2023-02-13,10350,10450,10300,10400,657
2023-02-14,10400,10400,10300,10305,3101
2023-02-15,10250,10250,10100,10195,16371
2023-02-16,10195,10230,10105,10200,3955
2023-02-17,10150,10300,10150,10200,2560
2023-02-20,10200,10235,10200,10200,1043
2023-02-21,10225,10230,10200,10200,4910
2023-02-22,10200,10235,10100,10200,2580
2023-02-23,10200,10235,10200,10235,765
2023-02-24,10200,10200,10150,10195,2764
2023-02-27,10200,10200,10150,10150,768
2023-02-28,10050,10185,10000,10100,6759
2023-03-01,10095,10150,10005,10010,2829
2023-03-02,10010,10095,9960,10010,13717
2023-03-03,10010,10010,9965,10000,1858
2023-03-06,10000,10200,9970,10010,5727
2023-03-07,10010,10190,10010,10100,369
2023-03-08,10010,10100,10000,10000,6530
2023-03-09,9990,10000,9990,10000,1692
2023-03-10,10000,10000,9970,10000,1596
2023-03-13,10000,10000,9970,9995,2988
2023-03-14,9995,9995,9800,9800,2922
2023-03-15,9800,9890,9750,9890,4822
2023-03-16,9890,9890,9600,9850,6665
2023-03-17,9805,9805,9705,9805,1618
2023-03-20,9600,9795,9500,9600,5013
2023-03-21,9505,9600,9500,9500,3877
2023-03-22,9500,9550,9500,9500,4109
2023-03-23,9495,9500,9495,9500,2067
2023-03-24,9500,9530,9500,9520,3830
2023-03-27,9520,9530,9510,9530,932
2023-03-28,9520,9530,9500,9500,6845
2023-03-29,9500,9500,9450,9500,964
2023-03-30,9500,9500,9495,9500,1489
2023-03-31,9500,9500,9450,9500,5870
2023-04-03,9495,9500,9405,9500,1852
2023-04-04,9400,9490,9400,9450,1423
2023-04-05,9450,9450,9400,9400,3566
2023-04-06,9450,9495,9300,9300,2080
2023-04-07,9300,9400,9300,9400,569
2023-04-11,9400,9400,9005,9395,3291
2023-04-12,9100,9300,9100,9300,1271
2023-04-13,9200,9295,9200,9200,1440
2023-04-14,9230,9230,9000,9190,3899
2023-04-17,9190,9190,8800,9050,945
2023-04-19,9000,9000,8505,8995,2241
2023-04-20,8995,9000,8505,9000,7868
2023-04-24,9000,9050,8500,9050,5005
2023-04-25,9000,9145,8995,9145,4897
2023-04-26,9050,9150,9050,9150,218
2023-04-27,9145,9150,9000,9150,1056
2023-04-28,9150,9275,9150,9275,455
2023-05-02,9275,9400,9150,9400,586
2023-05-03,9400,9400,9395,9395,141
2023-05-04,9350,9475,9350,9475,1423
2023-05-05,9475,9490,9355,9490,585
2023-05-08,9490,9490,9305,9400,2873
2023-05-09,9400,9500,9400,9500,2084
2023-05-10,9495,10000,9400,9500,22947
2023-05-11,9490,9500,9450,9500,412
2023-05-12,9495,9500,9495,9500,1187
2023-05-15,9500,9595,9400,9500,1867
2023-05-16,9500,9550,9350,9500,1577
2023-05-17,9500,9500,9350,9500,1661
2023-05-19,9500,9500,9360,9500,5922
2023-05-22,9500,9500,9355,9500,3081
2023-05-23,9480,9500,9450,9500,5544
2023-05-24,9360,9500,9360,9450,25134
2023-05-25,9450,9590,9450,9590,2003
2023-05-26,9590,9590,9500,9500,952
2023-05-30,9500,9590,9450,9500,574
2023-05-31,9500,9575,9500,9575,31509
2023-06-01,9590,9590,9500,9575,1712
2023-06-02,9590,9590,9500,9550,31757
2023-06-05,9590,9600,9590,9600,4083
2023-06-06,9600,9600,9575,9600,2954
2023-06-07,9650,9650,9600,9605,1835
2023-06-08,9655,9995,9500,9550,31907
2023-06-09,9990,10000,9950,9950,560
2023-06-12,9950,9950,9600,9600,3004
2023-06-13,9480,9500,9195,9210,6273
2023-06-14,9210,9450,9025,9450,4864
2023-06-15,9300,9590,9300,9305,2248
2023-06-16,9580,9580,9350,9455,312
2023-06-19,9455,9500,9400,9400,3167
2023-06-20,9400,9550,9400,9545,12744
2023-06-21,9520,9570,9500,9500,14062
2023-06-22,9500,9520,9500,9500,15025
2023-06-23,9500,9500,9500,9500,9652
2023-06-26,9505,9510,9500,9500,2147
2023-06-27,9500,9505,9500,9500,14981
2023-06-29,9500,9510,9500,9505,5094
2023-06-30,9500,9510,9500,9510,403
2023-07-03,9510,9600,9510,9560,8897
2023-07-04,9560,9625,9560,9610,2841
2023-07-05,9605,9700,9600,9700,4912
2023-07-06,9700,9800,9600,9800,2565
2023-07-07,9900,9900,9700,9890,6535
2023-07-10,9890,10000,9890,10000,14481
2023-07-11,10000,10090,9800,10000,4545
2023-07-12,10000,10005,10000,10005,828
2023-07-13,10000,10090,10000,10000,41454
2023-07-14,9995,10000,9805,9995,1164
2023-07-17,9990,10100,9990,9990,6312
2023-07-18,10000,10000,9950,9950,6167
2023-07-19,9990,10000,9825,9825,1401
2023-07-20,10000,10000,9850,9995,1899
2023-07-21,9995,10000,9850,9995,3767
2023-07-24,9995,9995,9850,9990,2322
2023-07-25,9995,10000,9995,9995,1773
2023-07-26,9995,10000,9990,10000,7122
2023-07-27,10000,10050,10000,10000,1754
2023-07-28,10000,10000,9910,10000,229
2023-07-31,10000,10000,9990,9990,746
2023-08-01,9990,9990,9800,9800,2349
2023-08-02,9990,9995,9850,9905,433
2023-08-03,9900,9995,9800,9805,4371
2023-08-04,9815,9995,9800,9850,429
2023-08-08,9950,9950,9800,9800,6018
2023-08-09,9800,9900,9800,9805,1269
2023-08-10,9900,9900,9815,9900,233
2023-08-11,9900,9900,9805,9810,2412
2023-08-14,9805,9900,9805,9900,3453
2023-08-16,9900,9950,9810,9950,616
2023-08-17,10005,10255,10005,10210,5732
2023-08-18,10300,10495,10200,10495,4720
2023-08-21,10410,10695,10400,10695,10383
2023-08-22,10695,10695,10420,10680,847
2023-08-23,10450,10600,10450,10450,415
2023-08-24,10450,10500,10400,10450,14151
2023-08-25,10450,10495,10450,10495,4251
2023-08-28,10490,10490,10450,10450,1678
2023-08-29,10450,10480,10450,10455,489
2023-08-30,10455,10500,10455,10500,474
2023-08-31,10500,10750,10450,10750,4179
2023-09-01,10750,10950,10710,10950,850
2023-09-04,10800,10850,10710,10800,5146
2023-09-05,10795,10800,10795,10795,2390
2023-09-06,10700,10750,10700,10750,364
2023-09-07,10730,10850,10730,10850,2466
2023-09-08,10700,10900,10700,10795,703
2023-09-11,10800,10950,10800,10805,1021
2023-09-12,10950,10950,10700,10805,7510
2023-09-13,10950,10995,10850,10995,2326
2023-09-14,10900,11100,10900,11100,985
2023-09-15,11100,11100,10750,10900,949
2023-09-18,10900,10950,10850,10850,594
2023-09-19,10815,10995,10650,10700,10391
2023-09-20,10800,10800,10500,10500,8931
2023-09-21,10700,10700,10500,10500,1099
2023-09-22,10700,10700,10500,10600,6519
2023-09-25,10700,10700,10600,10680,1547
2023-09-26,10700,10700,10500,10500,265
2023-09-28,10500,10670,10500,10505,25849
2023-09-29,10505,10680,10500,10600,170
2023-10-02,10505,10600,10505,10505,109
2023-10-03,10500,10600,10500,10500,3222
2023-10-04,10450,10500,10450,10500,3415
2023-10-05,10680,10800,10450,10800,15531
2023-10-06,10500,10800,10500,10800,10939
2023-10-09,10800,10800,10505,10510,199
2023-10-10,10600,10800,10505,10505,2216
2023-10-11,10505,10750,10505,10550,5222
2023-10-12,10550,10700,10510,10600,797
2023-10-13,10700,10800,10505,10800,1598
2023-10-16,10900,10900,10800,10800,260
2023-10-17,10900,10900,10800,10800,534
2023-10-18,10700,10800,10605,10605,1177
2023-10-19,10610,10800,10605,10800,1403
2023-10-20,10610,10795,10610,10785,418
2023-10-23,10610,10735,10605,10610,311
2023-10-24,10605,10690,10605,10690,1607
2023-10-25,10650,10685,10605,10610,243
2023-10-26,10685,10685,10685,10685,159
2023-10-27,10690,10800,10650,10700,6277
2023-10-30,10700,10850,10660,10750,427
2023-10-31,10620,10620,10350,10350,24129
2023-11-02,10300,10345,10020,10020,31994
2023-11-03,10100,10750,10100,10740,3920
2023-11-06,10500,10500,10020,10400,864
2023-11-07,10400,10450,10300,10450,260
2023-11-08,10450,10500,10400,10500,2190
2023-11-09,10500,10500,10490,10490,220
2023-11-10,10490,10490,10410,10490,399
2023-11-13,10500,10500,10450,10490,525
2023-11-14,10450,10490,10450,10490,1062
2023-11-16,10400,10500,10400,10500,25115
2023-11-17,10600,10600,10400,10495,625
2023-11-20,10495,10495,10400,10400,588
2023-11-21,10490,10490,10400,10450,25947
2023-11-22,10450,10490,10450,10490,947
2023-11-23,10490,10550,10460,10550,753
2023-11-24,10550,10700,10490,10700,1700
2023-11-27,10500,10700,10500,10700,822
2023-11-28,10605,10900,10500,10900,2908
2023-11-29,10800,11500,10520,11500,27409
2023-11-30,11450,11450,10655,11450,489
2023-12-01,10665,10900,10665,10800,9206
2023-12-04,10800,10800,10700,10700,7744
2023-12-05,10750,10750,10655,10700,4827
2023-12-06,10700,10700,10500,10500,647
2023-12-07,10500,10695,10500,10695,730
2023-12-08,10695,10700,10500,10700,920
2023-12-11,10700,10700,10500,10500,291
2023-12-12,10490,10550,10490,10490,1517
2023-12-13,10510,10900,10455,10850,5306
2023-12-14,10900,10900,10500,10600,403
2023-12-15,10600,10600,10455,10600,1217
2023-12-18,10595,10600,10455,10595,2571
2023-12-19,10595,10595,10450,10450,918
2023-12-20,10995,10995,10450,10880,7514
2023-12-21,10750,10850,10500,10850,175
2023-12-22,10600,10900,10600,10700,243
2023-12-26,10625,10690,10500,10500,1587
2023-12-27,10690,10690,10500,10600,7856
2023-12-28,10600,11200,10600,11145,12275
2023-12-29,10600,11000,10600,10900,642
2024-01-02,11000,11000,10600,10600,4803
2024-01-03,10600,11000,10600,10900,5929
2024-01-04,10900,10900,10700,10900,375
2024-01-05,10700,10900,10605,10900,296
2024-01-08,10900,10900,10605,10850,121
2024-01-09,10605,10850,10605,10845,787
2024-01-10,10850,10850,10825,10825,167
2024-01-11,10610,10795,10610,10795,94
2024-01-12,10800,10800,10610,10800,411
2024-01-15,10750,10800,10610,10800,326
2024-01-16,10750,10750,10655,10655,225
2024-01-17,10655,10750,10650,10750,5162
2024-01-18,10655,10700,10655,10655,603
2024-01-19,10700,10700,10655,10700,182
2024-01-22,10655,10655,10655,10655,430
2024-01-23,10655,10700,10655,10700,112
2024-01-24,10700,10700,10655,10655,1037
2024-01-25,10665,10700,10655,10660,2155
2024-01-26,10660,10700,10660,10660,734
2024-01-29,10660,10700,10655,10700,291
2024-01-30,10655,10700,10655,10655,309
2024-01-31,10655,10700,10655,10655,126
2024-02-01,10655,10700,10655,10700,948
2024-02-02,10700,10800,10700,10800,377
2024-02-05,10840,10840,10800,10800,393
2024-02-06,10800,10800,10700,10700,1698
2024-02-07,10700,10700,10660,10660,656
2024-02-08,10695,10695,10695,10695,1
2024-02-09,10655,10700,10655,10655,666
2024-02-13,10655,10700,10655,10660,534
2024-02-14,10660,10660,10655,10660,401
2024-02-15,10660,10695,10660,10660,1732
2024-02-16,10660,10700,10660,10700,34
2024-02-19,10660,10700,10660,10700,579
2024-02-20,10700,10750,10700,10745,140
2024-02-21,10700,10700,10660,10660,421
2024-02-22,10660,10730,10660,10660,3012
2024-02-23,10730,10730,10660,10730,214
2024-02-26,10730,11250,10700,10730,1320
2024-02-27,10700,10730,10700,10730,940
2024-02-28,10785,10785,10705,10730,109
2024-02-29,10705,10950,10705,10950,802
2024-03-01,11000,11000,10950,10995,1658
2024-03-04,10950,10985,10800,10985,1026
2024-03-05,10975,10985,10800,10950,713
2024-03-06,10855,10950,10705,10705,3796
2024-03-07,10900,10900,10805,10890,705
2024-03-08,10885,10890,10885,10890,631
2024-03-11,10890,10890,10700,10710,6882
2024-03-12,10890,10890,10750,10850,463
2024-03-13,10750,10800,10750,10800,483
2024-03-14,10750,10800,10750,10750,231
2024-03-15,10760,10760,10750,10750,452
2024-03-18,10750,10890,10750,10890,11280
2024-03-19,10800,10800,10750,10750,123
2024-03-20,10800,10800,10750,10750,1563
2024-03-21,10750,10800,10750,10790,488
2024-03-22,10750,10890,10750,10800,751
2024-03-25,10880,10880,10750,10850,2380
2024-03-26,10750,10850,10750,10850,615
2024-03-27,10850,10850,10790,10795,2387
2024-03-28,10845,10850,10790,10845,545
2024-03-29,10790,10845,10790,10845,59
2024-04-02,10845,10845,10800,10845,1006
2024-04-03,10900,10900,10900,10900,820
2024-04-04,10795,10900,10795,10900,781
2024-04-05,10895,10900,10790,10800,541
2024-04-08,10800,10990,10800,10845,699
2024-04-09,10845,10990,10800,10845,4564
2024-04-11,10800,10900,10800,10845,6936
2024-04-12,10800,10850,10800,10845,979
2024-04-15,10850,11000,10850,11000,40
2024-04-16,11000,11000,10800,10850,1485
2024-04-17,10850,11000,10850,11000,52
2024-04-18,11000,11000,10845,10845,1465
2024-04-19,11000,11000,10850,10850,3
2024-04-22,10850,11000,10850,10855,115
2024-04-23,10995,10995,10855,10855,100
2024-04-24,10855,10855,10800,10855,10721
2024-04-25,10790,10845,10790,10845,373
