Date,Open,High,Low,Close,Volume
2022-12-31,10210,10210,9505,10210,50274
2023-01-31,10220,11000,9800,10150,234758
2023-02-28,10105,10500,10000,10100,556629
2023-03-31,10095,10200,9450,9500,88329
2023-04-30,9495,9500,8500,9275,42076
2023-05-31,9275,10000,9150,9575,112062
2023-06-30,9590,10000,9025,9510,168784
2023-07-31,9510,10100,9510,9990,121714
2023-08-31,9990,10750,9800,10750,68902
2023-09-30,10750,11100,10500,10600,80075
2023-10-31,10505,10900,10350,10350,80193
2023-11-30,10300,11500,10020,11450,128737
2023-12-31,10665,11200,10450,10900,66589
2024-01-31,11000,11000,10600,10655,24675
2024-02-29,10655,11250,10655,10950,14977
2024-03-31,11000,11000,10700,10845,37231
2024-04-30,10845,11000,10790,10955,37192
2024-05-31,10990,12200,10850,11495,33948
2024-06-30,11480,12000,10595,11800,23423
2024-07-31,11800,13435,11750,12655,54067
2024-08-31,12655,15000,12655,14600,75873
2024-09-30,14880,15965,14700,15750,51092
2024-10-31,15700,16800,14900,15800,47310
2024-11-30,15725,17600,15725,17350,36576
2024-12-31,17300,18240,16100,17500,206120
2025-01-31,17400,19185,16700,17700,62983
2025-02-28,17700,18000,16000,17600,53351
2025-03-31,17600,17600,12925,14500,49194
2025-04-30,15000,15750,14005,14695,55529
2025-05-31,14700,16000,14700,15790,21416
2025-06-30,15790,16000,14500,15350,53565
2025-07-31,15250,15395,14000,14050,58480
2025-08-31,14005,15000,13790,15000,63665
2025-09-30,14800,15000,14015,14650,26590
2025-10-31,14800,15300,14255,14480,61514
2025-11-30,14400,15695,13800,14650,93128
2025-12-31,15095,15695,14000,14250,36349
2026-01-31,14250,14500,13800,14490,43039
2026-02-28,14450,15800,14020,15555,81498
2026-03-31,15555,16000,14000,15200,40677
2026-04-30,15200,15500,14650,15200,18868
2026-05-31,15250,16000,14800,16000,34126
2026-06-30,16000,17100,15200,16750,42257
2026-07-31,16450,17200,15200,16995,105125
2026-08-31,17000,20600,16705,20205,24950
