Date,Open,High,Low,Close,Volume
2019-04-16,4250,4250,3950,4200,15222
2019-04-17,4170,4170,3995,4150,12877
2019-04-18,4000,4100,4000,4100,37495
2019-04-19,4095,4170,4090,4165,37547
2019-04-23,4100,4200,4100,4200,29060
2019-04-24,4000,4270,4000,4270,44259
2019-04-25,4000,4300,4000,4300,36520
2019-04-26,4215,4495,4215,4495,13558
2019-04-29,4300,4690,4300,4690,14846
2019-04-30,4425,4995,4420,4995,10614
2019-05-02,4625,5000,4625,5000,31416
2019-05-03,4885,4890,4885,4890,49
2019-05-06,4585,4600,4585,4600,518
2019-05-07,4495,4495,4440,4440,23
2019-05-08,4340,4340,4300,4300,35
2019-05-09,4275,4280,3980,4100,498
2019-05-10,4050,4100,4000,4100,947
2019-05-13,4070,4100,4070,4100,1532
2019-05-14,4000,4100,4000,4100,2652
2019-05-15,4095,4100,4095,4100,351
2019-05-16,4100,4100,4055,4100,490
2019-05-17,4050,4100,4000,4100,575
2019-05-20,4100,4100,4100,4100,70
2019-05-21,4000,4100,3950,4100,2870
2019-05-22,4095,4100,4095,4100,32
2019-05-23,4000,4100,4000,4100,799
2019-05-24,4100,4100,4100,4100,2
2019-05-27,4000,4100,3920,4100,1804
2019-05-28,3920,4100,3920,4100,270
2019-05-29,3950,4100,3920,4100,2440
2019-05-31,4095,4100,4095,4100,423
2019-06-03,3920,4100,3920,4100,493
2019-06-05,3920,4100,3920,4100,6381
2019-06-06,4095,4100,4095,4100,2000
2019-06-11,4025,4100,4025,4100,2016
2019-06-12,3920,4100,3920,4100,2113
2019-06-14,4050,4100,4050,4100,1010
2019-06-17,4050,4100,4050,4100,1262
2019-06-18,4090,4100,4090,4100,4110
2019-06-19,4090,4100,4000,4100,4073
2019-06-20,4095,4100,4095,4100,1501
2019-06-21,4050,4100,4050,4100,531
2019-06-24,4050,4100,4050,4100,935
2019-06-25,4045,4100,4045,4100,3800
2019-06-26,4090,4100,4090,4100,2923
2019-06-27,4000,4000,4000,4000,502
2019-07-01,4000,4000,4000,4000,150
2019-07-02,4000,4000,4000,4000,2
2019-07-03,3995,4000,3995,4000,142
2019-07-04,3900,4000,3825,4000,282
2019-07-05,4000,4000,4000,4000,349
2019-07-08,3900,4000,3900,4000,403
2019-07-09,4000,4000,4000,4000,100
2019-07-10,3995,4000,3995,4000,176
2019-07-11,3995,4000,3995,4000,703
2019-07-12,4000,4000,3990,4000,450
2019-07-15,3995,4000,3995,4000,758
2019-07-16,3995,4000,3900,4000,439
2019-07-17,3900,4000,3900,4000,537
2019-07-18,4000,4000,4000,4000,150
2019-07-19,4000,4000,4000,4000,100
2019-07-22,3900,4000,3900,4000,907
2019-07-23,3900,4000,3900,4000,105
2019-07-24,3995,4000,3995,4000,1022
2019-07-25,3900,4000,3900,4000,1805
2019-07-26,3900,4000,3900,4000,320
2019-07-29,4000,4000,3715,4000,119
2019-07-30,3710,4000,3710,4000,68
2019-07-31,3710,4000,3710,4000,821
2019-08-01,3975,4000,3975,4000,221
2019-08-02,3900,4000,3805,4000,316
2019-08-05,4000,4000,4000,4000,205
2019-08-06,3800,4000,3800,4000,2219
2019-08-08,3995,4000,3995,4000,70
2019-08-09,4000,4000,3800,4000,1837
2019-08-14,3990,4000,3990,4000,413
2019-08-16,3985,4000,3985,4000,1784
2019-08-19,3900,3995,3900,3995,1256
