Date,Open,High,Low,Close,Volume
2019-06-30,4250,5000,3920,4000,333444
2019-09-30,4000,4000,3710,3990,35039
2019-12-31,3900,4150,3710,4150,86731
2020-03-31,3950,4100,3700,3900,63812
2020-06-30,3850,4005,3560,3950,52917
2020-09-30,3900,4095,3605,3970,144073
2020-12-31,3955,4150,3255,4150,76270
2021-03-31,4100,4145,3425,3875,56295
2021-06-30,3850,4095,3585,3990,107035
2021-09-30,3990,4350,3700,4330,183659
2021-12-31,4060,4400,3700,4190,89543
2022-03-31,4190,4250,3805,3900,53623
2022-06-30,3900,4030,3510,3790,230187
2022-09-30,3520,4150,3360,3800,6163341
2022-12-31,3880,3980,2800,3925,166698
2023-03-31,3800,3800,2570,2750,93962
2023-06-30,2750,2825,2100,2540,91280
2023-09-30,2680,2890,2300,2700,39508
2023-12-31,2700,2890,2100,2640,98128
2024-03-31,2500,2630,2030,2250,56744
2024-06-30,2250,2250,1565,1960,49684
2024-09-30,1955,2040,1635,1885,32430
2024-12-31,1880,1920,1600,1920,140166
2025-03-31,1845,1850,1500,1595,212501
2025-06-30,1595,1800,1500,1645,176542
2025-09-30,1645,2680,1560,2680,221170
2025-12-31,2685,2890,2315,2400,287212
2026-03-31,2425,3995,2425,3655,499030
2026-06-30,3695,3695,2430,2690,374165
2026-09-30,2700,3335,2650,3335,200844
