Date,Open,High,Low,Close,Volume
2019-04-22,4250,4250,3950,4165,103141
2019-04-29,4100,4690,4000,4690,138243
2019-05-06,4425,5000,4420,4600,42597
2019-05-13,4495,4495,3980,4100,3035
2019-05-20,4000,4100,4000,4100,4138
2019-05-27,4000,4100,3920,4100,5507
2019-06-03,3920,4100,3920,4100,3626
2019-06-10,3920,4100,3920,4100,8381
2019-06-17,4025,4100,3920,4100,6401
2019-06-24,4090,4100,4000,4100,11150
2019-07-01,4045,4100,4000,4000,7375
2019-07-08,4000,4000,3825,4000,1178
2019-07-15,4000,4000,3990,4000,2187
2019-07-22,3995,4000,3900,4000,2133
2019-07-29,3900,4000,3715,4000,3371
2019-08-05,3710,4000,3710,4000,1631
2019-08-12,3800,4000,3800,4000,4126
2019-08-19,3990,4000,3900,3995,3453
2019-08-26,3950,4000,3750,4000,6629
2019-09-02,4000,4000,3950,4000,2026
2019-09-09,3990,4000,3920,4000,1996
2019-09-16,4000,4000,3920,4000,3199
2019-09-23,3990,4000,3760,3990,1269
2019-09-30,3805,3995,3805,3990,1691
2019-10-07,3900,3990,3800,3990,2187
2019-10-14,3980,3990,3920,3980,1397
2019-10-21,3950,3980,3900,3975,6796
2019-10-28,3945,3980,3895,3960,4178
2019-11-04,3950,3965,3850,3955,1978
2019-11-11,3965,3975,3900,3975,4942
2019-11-18,3975,3975,3900,3940,825
2019-11-25,3935,3965,3710,3965,1636
2019-12-02,3960,3970,3900,3965,5763
2019-12-09,3900,3965,3900,3965,2504
2019-12-16,3965,3970,3940,3950,22744
2019-12-23,3950,4000,3950,4000,16960
2019-12-30,3995,4000,3950,4000,234
2020-01-06,3995,4150,3950,4090,16100
2020-01-13,3800,4090,3800,4050,1406
2020-01-20,3995,4000,3795,3995,2357
2020-01-27,3900,4085,3800,4070,5251
2020-02-03,3995,4070,3995,4050,866
2020-02-10,4050,4050,3995,4000,3761
2020-02-17,4000,4050,3900,4050,29275
2020-02-24,4000,4000,3800,3985,1722
2020-03-02,3805,3990,3790,3990,4449
2020-03-09,3805,3990,3800,3990,6159
2020-03-16,3900,3990,3800,3920,733
2020-03-23,3800,3950,3700,3925,1821
2020-03-30,3895,3900,3715,3900,2915
2020-04-06,3850,3925,3800,3900,3466
2020-04-13,3850,3900,3845,3900,2214
2020-04-20,3900,3985,3900,3985,7946
2020-04-27,3900,3985,3655,3980,18481
2020-05-04,3975,3985,3975,3985,162
2020-05-11,3800,3985,3800,3985,2981
2020-05-18,3880,3985,3880,3980,354
2020-05-25,3945,3980,3845,3980,775
2020-06-01,3895,3985,3895,3900,227
2020-06-08,3900,4005,3900,3970,16274
2020-06-15,3970,4000,3970,4000,406
2020-06-22,3950,4000,3700,3990,487
2020-06-29,3695,3950,3560,3950,728
2020-07-06,3900,3950,3895,3945,1890
2020-07-13,3920,4000,3800,3900,1314
2020-07-20,3795,3900,3695,3900,6638
2020-07-27,3825,3900,3605,3900,2060
2020-08-03,3895,3925,3725,3725,2068
2020-08-10,3795,3900,3795,3900,945
2020-08-17,3850,3945,3850,3900,23457
2020-08-24,3850,3900,3845,3900,1437
2020-08-31,3885,4095,3810,4095,20356
2020-09-07,3885,4000,3840,3850,4804
2020-09-14,3780,4000,3780,4000,78421
2020-09-21,3920,4000,3920,3995,495
2020-09-28,3995,3995,3700,3965,183
2020-10-05,3970,3970,3955,3955,7
2020-10-12,3945,3960,3665,3900,710
2020-10-19,3895,3960,3560,3845,468
2020-10-26,3785,3950,3565,3850,2185
2020-11-02,3845,3850,3845,3850,102
2020-11-09,3795,3850,3775,3850,2055
2020-11-16,3850,3900,3600,3895,11118
2020-11-23,3605,3800,3255,3775,11282
2020-11-30,3700,3850,3495,3835,3547
2020-12-07,3750,3830,3525,3810,3620
2020-12-14,3780,3820,3780,3815,1150
2020-12-21,3530,3800,3530,3800,1348
2020-12-28,3550,3800,3550,3695,976
2021-01-04,3550,4150,3540,4145,38337
2021-01-11,3900,4115,3610,3995,534
2021-01-18,3700,4000,3425,3900,6176
2021-01-25,3850,4000,3565,4000,498
2021-02-01,3950,4090,3700,4090,2623
2021-02-08,4090,4135,3700,4100,9431
2021-02-15,3795,4080,3500,3790,5277
2021-02-22,3510,3790,3450,3695,5273
2021-03-01,3695,3990,3530,3990,18510
2021-03-08,3900,3900,3650,3895,322
2021-03-15,3850,3900,3610,3880,702
2021-03-22,3600,3840,3600,3840,1610
2021-03-29,3800,3875,3580,3875,1311
2021-04-05,3600,3875,3600,3875,3418
2021-04-12,3585,3890,3585,3890,1112
2021-04-19,3600,3830,3600,3600,1557
2021-04-26,3800,4000,3600,4000,4599
2021-05-03,4000,4095,3700,4095,7217
2021-05-10,3790,4080,3700,3700,2510
2021-05-17,3700,3895,3700,3800,3134
2021-05-24,3705,4000,3705,3710,1824
2021-05-31,3700,4030,3700,4030,28066
2021-06-07,3750,3995,3750,3945,567
2021-06-14,3750,3990,3750,3990,1219
2021-06-21,3950,3975,3705,3900,3775
2021-06-28,3700,3990,3700,3990,1368
2021-07-05,3990,3990,3900,3990,50148
2021-07-12,3985,3985,3705,3980,507
2021-07-19,3705,3890,3700,3890,655
2021-07-26,3760,3950,3760,3940,3745
2021-08-02,3980,3990,3800,3990,8264
2021-08-09,3945,3990,3750,3990,12830
2021-08-16,3905,3990,3800,3985,18179
2021-08-23,3985,3990,3800,3990,19812
2021-08-30,3850,3990,3850,3900,283
2021-09-06,3985,3995,3850,3995,5722
2021-09-13,3900,3995,3700,3900,2521
2021-09-20,3700,3995,3700,3990,5870
2021-09-27,3990,4350,3990,4010,90001
2021-10-04,4000,4330,4000,4325,19524
2021-10-11,4100,4325,4015,4175,8320
2021-10-18,4050,4150,4000,4000,2490
2021-10-25,4000,4145,3905,4050,2486
2021-11-01,4050,4330,4000,4330,3992
2021-11-08,4330,4350,4060,4095,4891
2021-11-15,4060,4060,3800,4000,2642
2021-11-22,3815,4090,3815,4000,465
2021-11-29,4000,4000,3900,4000,1214
2021-12-06,3995,4100,3995,4000,26646
2021-12-13,4100,4400,4025,4295,6089
2021-12-20,4250,4290,3980,4000,1084
2021-12-27,3910,4090,3800,3900,3920
2022-01-03,3805,4250,3700,4250,21121
2022-01-10,4200,4200,3805,4100,1744
2022-01-17,4100,4250,3935,4235,1456
2022-01-24,3950,4235,3840,4000,7323
2022-01-31,4000,4000,3945,3945,607
2022-02-07,3945,4000,3870,3900,7432
2022-02-14,3900,4000,3845,4000,4446
2022-02-21,3905,4150,3805,4065,7828
2022-02-28,3900,4150,3895,4150,7055
2022-03-07,3885,4145,3885,4090,1181
2022-03-14,3905,4090,3900,4000,1138
2022-03-21,3995,4000,3865,4000,6007
2022-03-28,4000,4000,3900,4000,1007
2022-04-04,4000,4000,3865,3900,6968
2022-04-11,3880,4000,3850,4000,5286
2022-04-18,4000,4000,3875,3900,792
