Date,Open,High,Low,Close,Volume
1999-10-18,4000,4000,4000,4000,2000
1999-10-25,3168,3168,3168,3168,580
1999-10-27,3000,3000,3000,3000,20
1999-10-29,3000,3000,3000,3000,448
1999-11-03,2995,2995,2995,2995,24
1999-11-05,3000,3000,3000,3000,2830
1999-11-08,3000,3000,3000,3000,2000
1999-11-10,3000,3000,3000,3000,296
1999-11-17,3000,3000,3000,3000,490
1999-11-19,3000,3000,3000,3000,948
1999-11-22,3000,3000,3000,3000,420
1999-11-24,3000,3000,3000,3000,886
1999-11-26,3000,3000,3000,3000,50
1999-12-01,3000,3000,3000,3000,390
1999-12-03,3000,3000,3000,3000,546
1999-12-06,3000,3000,3000,3000,498
1999-12-08,3000,3000,3000,3000,100
1999-12-10,3000,3000,3000,3000,40
1999-12-13,3000,3000,3000,3000,300
1999-12-15,3000,3000,3000,3000,594
1999-12-17,3000,3000,3000,3000,3746
1999-12-20,3000,3000,3000,3000,45590
1999-12-22,3000,3000,3000,3000,1324
1999-12-29,3000,3000,3000,3000,2234
2000-01-05,3000,3000,3000,3000,400
2000-01-12,3000,3000,3000,3000,88
2000-01-14,3000,3000,3000,3000,210
2000-01-19,3000,3000,3000,3000,140
2000-01-28,3000,3000,3000,3000,20
2000-02-07,3000,3000,3000,3000,30
2000-02-09,3000,3000,3000,3000,20
2000-02-11,3000,3000,3000,3000,20
2000-02-25,2500,2500,2500,2500,4012
2000-03-01,2500,2500,2500,2500,130
2000-03-20,2500,2500,2500,2500,60
2000-03-22,2500,2500,2500,2500,160
2000-03-24,2500,2500,2500,2500,598
2000-03-29,2500,2500,2500,2500,640
2000-03-31,2500,2500,2500,2500,76
2000-04-05,2500,2500,2500,2500,16
2000-04-07,2500,2500,2500,2500,100
2000-04-12,2500,2500,2500,2500,340
2000-04-19,2500,2500,2500,2500,396
2000-04-26,2500,2500,2500,2500,80
2000-05-05,2500,2500,2500,2500,24
2000-05-12,2500,2500,2500,2500,230
2000-05-15,2500,2500,2500,2500,58
2000-05-22,2500,2500,2500,2500,40
2000-06-19,2500,2500,2500,2500,200
2000-06-28,2500,2500,2500,2500,6
2000-07-12,2500,2500,2500,2500,80
2000-07-19,2500,2500,2500,2500,200
2000-07-21,2500,2500,2500,2500,3600
2000-07-26,2500,2500,2500,2500,40
2000-08-09,2495,2495,2495,2495,2288
2000-08-16,2350,2350,2350,2350,304
2000-08-18,2350,2350,2350,2350,8
2000-08-21,2348,2348,2348,2348,396
2000-08-23,2348,2348,2348,2348,20
2000-08-30,2250,2250,2250,2250,458
2000-09-01,2250,2250,2250,2250,1656
2000-09-04,2250,2250,2250,2250,202
2000-09-06,2250,2250,2250,2250,826
2000-09-08,2250,2250,2250,2250,228
2000-09-11,2250,2250,2250,2250,110
2000-09-13,2250,2250,2250,2250,1122
2000-09-15,2250,2250,2250,2250,150
2000-09-20,2250,2250,2250,2250,240
2000-09-22,2250,2250,2250,2250,496
2000-09-25,2250,2250,2250,2250,126
2000-09-27,2250,2250,2250,2250,598
2000-09-29,2250,2250,2250,2250,400
2000-10-02,2250,2250,2250,2250,670
2000-10-06,2250,2250,2250,2250,860
2000-10-09,2253,2253,2253,2253,200
2000-10-11,2253,2253,2253,2253,10
2000-10-16,2250,2250,2250,2250,4182
2000-10-20,2100,2100,2100,2100,1350
