Date,Open,High,Low,Close,Volume
1999-10-31,4000,4000.0,3000.0,3000,3048
1999-11-30,2995,3000.0,2995.0,3000,7944
1999-12-31,3000,3000.0,3000.0,3000,55362
2000-01-31,3000,3000.0,3000.0,3000,858
2000-02-29,3000,3000.0,2500.0,2500,4082
2000-03-31,2500,2500.0,2500.0,2500,1664
2000-04-30,2500,2500.0,2500.0,2500,932
2000-05-31,2500,2500.0,2500.0,2500,352
2000-06-30,2500,2500.0,2500.0,2500,206
2000-07-31,2500,2500.0,2500.0,2500,3920
2000-08-31,2495,2495.0,2250.0,2250,3474
2000-09-30,2250,2250.0,2250.0,2250,6154
2000-10-31,2250,2253.0,2100.0,2100,7312
2000-11-30,2100,2100.0,2000.0,2000,12076
2000-12-31,2100,2100.0,2073.0,2073,7286
2001-01-31,2060,2060.0,1950.0,1950,7084
2001-02-28,1950,1950.0,1950.0,1950,4522
2001-03-31,1950,2000.0,1950.0,2000,3974
2001-04-30,2000,2000.0,1950.0,2000,3114
2001-05-31,1950,2000.0,1950.0,1950,2754
2001-06-30,1950,1950.0,1750.0,1750,3136
2001-07-31,1750,1750.0,1750.0,1750,2046
2001-08-31,1750,1750.0,1750.0,1750,3040
2001-09-30,1750,1750.0,1750.0,1750,20
2001-10-31,1600,1600.0,1598.0,1598,16220
2001-12-31,1598,1598.0,1598.0,1598,10002
2002-01-31,1500,1500.0,1500.0,1500,600
2002-02-28,1475,1475.0,1475.0,1475,152
2002-03-31,1475,1475.0,1475.0,1475,2
2002-05-31,1475,1475.0,1475.0,1475,2910
2002-06-30,1263,1400.0,1263.0,1395,2690
2002-07-31,1300,1300.0,1300.0,1300,1302
2002-08-31,1298,1298.0,1295.0,1295,80
2002-09-30,1290,1290.0,1290.0,1290,60
2002-10-31,1285,1285.0,1285.0,1285,1780
2002-12-31,1285,1500.0,1285.0,1500,1514
2003-03-31,1500,1500.0,1500.0,1500,8
2003-04-30,1388,1388.0,1388.0,1388,148
2003-05-31,1250,1250.0,1250.0,1250,1000
2003-07-31,1000,1000.0,1000.0,1000,8302
2003-08-31,1000,1000.0,1000.0,1000,2066
2003-09-30,1000,1000.0,998.0,998,1612
2003-10-31,1000,1000.0,1000.0,1000,2212
2003-11-30,1000,1000.0,1000.0,1000,20
2003-12-31,988,1100.0,923.0,1075,1356
2004-04-30,1075,1075.0,995.0,995,3646
2004-05-31,995,995.0,995.0,995,634
2004-06-30,995,995.0,995.0,995,100
2004-07-31,995,995.0,995.0,995,972
2004-08-31,995,995.0,995.0,995,2034
2004-09-30,995,995.0,995.0,995,240
2004-10-31,948,948.0,948.0,948,2342
2004-11-30,948,950.0,948.0,950,432
2004-12-31,950,950.0,950.0,950,11442
2005-01-31,950,950.0,950.0,950,60
2005-03-31,950,950.0,950.0,950,2
2005-04-30,950,950.0,948.0,950,3544
2005-05-31,950,950.0,950.0,950,846
2005-06-30,950,950.0,950.0,950,804
2005-07-31,950,950.0,950.0,950,1354
2005-08-31,950,950.0,900.0,900,4820
2005-09-30,900,900.0,833.0,833,160
2005-10-31,833,833.0,833.0,833,10
2005-11-30,825,825.0,825.0,825,400
2005-12-31,800,800.0,800.0,800,226
2006-01-31,800,800.0,800.0,800,440
2006-02-28,800,800.0,698.0,698,780
2006-03-31,700,700.0,650.0,650,448
2006-04-30,648,650.0,598.0,598,2450
2006-05-31,575,675.0,533.0,675,24556
2006-06-30,835,1350.0,835.0,1350,2844
2006-07-31,1425,1450.0,1350.0,1408,8204
2006-08-31,1575,1800.0,1575.0,1800,6786
2006-09-30,1800,1800.0,1800.0,1800,958
2006-10-31,1500,1500.0,1500.0,1500,368
2006-11-30,1500,1500.0,1500.0,1500,2250
2006-12-31,1450,1500.0,1450.0,1500,2518
2007-01-31,1500,1500.0,1500.0,1500,2144
2007-02-28,1600,1675.0,1600.0,1675,4912
2007-03-31,1750,2478.0,1750.0,2478,2608
2007-04-30,2655,3300.0,2655.0,3300,8746
2007-05-31,3303,4625.0,3303.0,4000,6504
2007-06-30,3750,4100.0,3200.0,3998,24106
2007-07-31,4400,5000.0,4398.0,4950,28402
2007-08-31,4950,5650.0,4660.0,5375,661156
2007-09-30,5725,6000.0,5700.0,5700,3366
2007-10-31,5500,5500.0,4450.0,4450,5420
2007-11-30,4250,4750.0,3750.0,4750,43650
2007-12-31,4750,5100.0,4750.0,5100,1480730
2008-01-31,5100,5750.0,5100.0,5750,187658
2008-02-29,6078,6125.0,5575.0,5850,1639116
2008-03-31,5995,7900.0,5995.0,7900,7976
2008-04-30,8000,10700.0,8000.0,10000,22192
2008-05-31,10000,10250.0,9500.0,9500,51758
2008-06-30,9500,12768.0,9500.0,12768,7876
2008-07-31,13475,13500.0,12900.0,12900,17030
2008-08-31,12900,12900.0,12290.0,12290,20336
2008-09-30,12998,12998.0,11500.0,11500,5346
2008-10-31,10995,11003.0,9425.0,9425,22308
2008-11-30,8068,8068.0,7500.0,7500,5570
2008-12-31,7498,7500.0,6950.0,7050,3176
2009-01-31,7050,7050.0,6475.0,6475,3152
2009-02-28,5998,5998.0,5100.0,5100,1478506
2009-03-31,4943,4943.0,4498.0,4498,338
2009-04-30,4350,4350.0,3000.0,3000,2378
2009-05-31,3000,3000.0,2500.0,2500,4794
2009-06-30,2500,4100.0,2500.0,4000,26570
2009-07-31,4300,4300.0,3595.0,4000,207334
2009-08-31,4000,4160.0,3750.0,3998,5876
2009-09-30,3895,3900.0,3503.0,3600,6360
2009-10-31,3600,3600.0,3000.0,3000,5512
2009-11-30,2775,3650.0,2760.0,3650,24046
2009-12-31,3650,3650.0,3283.0,3548,5238
2010-01-31,3545,3548.0,3000.0,3000,2168
2010-02-28,3225,3250.0,2825.0,3003,70004
2010-03-31,3003,3250.0,2850.0,3000,226920
2010-04-30,2950,2950.0,2500.0,2598,5484
2010-05-31,2598,2598.0,2475.0,2598,22824
2010-06-30,2778,3675.0,2778.0,3465,10738
2010-07-31,3500,4708.0,3250.0,4708,23846
2010-08-31,5000,6250.0,4500.0,4500,28432
2010-09-30,4500,5788.0,4500.0,5500,153386
2010-10-31,5875,6650.0,5550.0,6650,11990
2010-11-30,7000,7753.0,6968.0,7000,11916
2010-12-31,7000,7500.0,6500.0,6988,15280
2011-01-31,6988,7495.0,6500.0,7000,8956
2011-02-28,6950,6950.0,6125.0,6125,25678
2011-05-31,6500,6500.0,5645.0,5645,73464
2011-06-30,5645,5650.0,4498.0,4500,23860
2011-07-31,4448,6220.0,4443.0,6220,18360
2011-08-31,6685,7250.0,6000.0,6000,67568
2011-09-30,6000,6725.0,5998.0,6725,66154
2011-10-31,6750,10000.0,6400.0,9600,123820
2011-11-30,9000,9248.0,6750.0,6803,44984
2011-12-31,6503,8000.0,6300.0,7750,21216
2012-01-31,8000,8500.0,7500.0,8445,16822
2012-02-29,8445,10000.0,8445.0,10000,96834
2012-03-31,10000,10503.0,9300.0,9300,57032
2012-04-30,9300,10500.0,9300.0,10248,37138
2012-05-31,10000,10000.0,9000.0,9275,13828
2012-06-30,9275,11328.0,8750.0,11328,44188
2012-07-31,11000,11000.0,9750.0,10000,20194
2012-08-31,10288,10500.0,10003.0,10500,19226
2012-09-30,10495,10500.0,9250.0,9750,29352
2012-10-31,9998,9998.0,7700.0,8150,40468
2012-11-30,8250,9000.0,7750.0,7950,36748
2012-12-31,7950,8950.0,6663.0,8950,24448
2013-01-31,9498,9498.0,7500.0,7850,10732
2013-02-28,8250,8600.0,7498.0,8398,23424
2013-03-31,8300,9500.0,7700.0,9500,56924
2013-04-30,9500,10000.0,9500.0,9500,92952
2013-05-31,9500,10500.0,9500.0,10245,151430
2013-06-30,10243,10243.0,8165.0,8748,12374
2013-07-31,8450,9000.0,8093.0,8500,11896
2013-08-31,8500,8500.0,7500.0,8000,16604
2013-09-30,8000,8250.0,7600.0,7750,9370
2013-10-31,7750,8600.0,7750.0,7775,12574
2013-11-30,8000,8500.0,7900.0,8250,18266
2013-12-31,8250,10500.0,8000.0,10500,13222
2014-01-31,10500,10500.0,9200.0,9998,103808
2014-02-28,10000,10000.0,9250.0,9325,16510
2014-03-31,9400,9950.0,9000.0,9000,8038
2014-04-30,9000,9245.0,8250.0,8253,6770
2014-05-31,8100,9450.0,8100.0,8750,82520
2014-06-30,8750,9000.0,8000.0,8553,13822
2014-07-31,8555,9400.0,8500.0,9400,199096
2014-08-31,9400,9500.0,8900.0,9000,61910
2014-09-30,9000,9000.0,8555.0,8750,56186
2014-10-31,8653,8750.0,7255.0,7500,50068
2014-11-30,7650,9250.0,7503.0,8500,43944
2014-12-31,8450,8750.0,7860.0,8475,17248
2015-01-31,8475,9650.0,8200.0,9350,17506
2015-02-28,9350,9675.0,8800.0,9000,9140
2015-03-31,9000,9200.0,8750.0,9000,12564
2015-04-30,8950,9675.0,8500.0,9000,37310
2015-05-31,9000,9500.0,8350.0,8750,24598
2015-06-30,8720,8750.0,7840.0,8250,57064
2015-07-31,8250,8250.0,7250.0,7250,339794
2015-08-31,7255,8200.0,7000.0,7600,254454
2015-09-30,7503,7600.0,7000.0,7248,33688
2015-10-31,7200,7750.0,6475.0,7248,63864
2015-11-30,7248,7250.0,6018.0,6018,17930
2015-12-31,5900,6000.0,4750.0,6000,15044
2016-01-31,6000,6000.0,5000.0,5250,86582
2016-02-29,5500,5500.0,4700.0,5000,250906
2016-03-31,5000,5000.0,4625.0,4750,13668
2016-04-30,4750,5300.0,4650.0,5300,107826
2016-05-31,5698,6610.0,5050.0,5300,136480
2016-06-30,5300,5500.0,4100.0,4903,35002
2016-07-31,5270,6085.0,4535.0,5375,317638
2016-08-31,5750,5750.0,4900.0,5100,95762
2016-09-30,5100,6250.0,5000.0,6250,65808
2016-10-31,6250,6700.0,6000.0,6100,146478
2016-11-30,6250,6648.0,6000.0,6400,146570
2016-12-31,6375,7000.0,6050.0,7000,88100
2017-01-31,6500,6600.0,5508.0,6238,23562
2017-02-28,6235,7000.0,6235.0,7000,22174
2017-03-31,6500,6550.0,6000.0,6550,30834
2017-04-30,6475,7250.0,6250.0,7248,42150
2017-05-31,7248,7250.0,6000.0,6050,18638
2017-06-30,6000,6250.0,5500.0,5500,5270
2017-07-31,5500,5800.0,5250.0,5425,127304
2017-08-31,5423,5750.0,5050.0,5050,12736
2017-09-30,5050,5248.0,3895.0,4105,15796
2017-10-31,4250,4568.0,4003.0,4500,15630
2017-11-30,4500,4750.0,3700.0,4000,39349
2017-12-31,4000,5600.0,4000.0,5500,4698
2018-01-31,5300,5800.0,5090.0,5090,30672
2018-02-28,5100,7500.0,5000.0,7490,19627
2018-03-31,6930,7550.0,5785.0,7400,24599
2018-04-30,7295,7500.0,5405.0,6000,19374
