Date,Open,High,Low,Close,Volume
1999-12-31,4000,4000.0,2995.0,3000,66354
2000-03-31,3000,3000.0,2500.0,2500,6604
2000-06-30,2500,2500.0,2500.0,2500,1490
2000-09-30,2500,2500.0,2250.0,2250,13548
2000-12-31,2250,2253.0,2000.0,2073,26674
2001-03-31,2060,2060.0,1950.0,2000,15580
2001-06-30,2000,2000.0,1750.0,1750,9004
2001-09-30,1750,1750.0,1750.0,1750,5106
2001-12-31,1600,1600.0,1598.0,1598,26222
2002-03-31,1500,1500.0,1475.0,1475,754
2002-06-30,1475,1475.0,1263.0,1395,5600
2002-09-30,1300,1300.0,1290.0,1290,1442
2002-12-31,1285,1500.0,1285.0,1500,3294
2003-03-31,1500,1500.0,1500.0,1500,8
2003-06-30,1388,1388.0,1250.0,1250,1148
2003-09-30,1000,1000.0,998.0,998,11980
2003-12-31,1000,1100.0,923.0,1075,3588
2004-06-30,1075,1075.0,995.0,995,4380
2004-09-30,995,995.0,995.0,995,3246
2004-12-31,948,950.0,948.0,950,14216
2005-03-31,950,950.0,950.0,950,62
2005-06-30,950,950.0,948.0,950,5194
2005-09-30,950,950.0,833.0,833,6334
2005-12-31,833,833.0,800.0,800,636
2006-03-31,800,800.0,650.0,650,1668
2006-06-30,648,1350.0,533.0,1350,29850
2006-09-30,1425,1800.0,1350.0,1800,15948
2006-12-31,1500,1500.0,1450.0,1500,5136
2007-03-31,1500,2478.0,1500.0,2478,9664
2007-06-30,2655,4625.0,2655.0,3998,39356
2007-09-30,4400,6000.0,4398.0,5700,692924
2007-12-31,5500,5500.0,3750.0,5100,1529800
2008-03-31,5100,7900.0,5100.0,7900,1834750
2008-06-30,8000,12768.0,8000.0,12768,81826
2008-09-30,13475,13500.0,11500.0,11500,42712
2008-12-31,10995,11003.0,6950.0,7050,31054
2009-03-31,7050,7050.0,4498.0,4498,1481996
2009-06-30,4350,4350.0,2500.0,4000,33742
2009-09-30,4300,4300.0,3503.0,3600,219570
2009-12-31,3600,3650.0,2760.0,3548,34796
2010-03-31,3545,3548.0,2825.0,3000,299092
2010-06-30,2950,3675.0,2475.0,3465,39046
2010-09-30,3500,6250.0,3250.0,5500,205664
2010-12-31,5875,7753.0,5550.0,6988,39186
2011-03-31,6988,7495.0,6125.0,6125,34634
2011-06-30,6500,6500.0,4498.0,4500,97324
2011-09-30,4448,7250.0,4443.0,6725,152082
2011-12-31,6750,10000.0,6300.0,7750,190020
2012-03-31,8000,10503.0,7500.0,9300,170688
2012-06-30,9300,11328.0,8750.0,11328,95154
2012-09-30,11000,11000.0,9250.0,9750,68772
2012-12-31,9998,9998.0,6663.0,8950,101664
2013-03-31,9498,9500.0,7498.0,9500,91080
2013-06-30,9500,10500.0,8165.0,8748,256756
2013-09-30,8450,9000.0,7500.0,7750,37870
2013-12-31,7750,10500.0,7750.0,10500,44062
2014-03-31,10500,10500.0,9000.0,9000,128356
2014-06-30,9000,9450.0,8000.0,8553,103112
2014-09-30,8555,9500.0,8500.0,8750,317192
2014-12-31,8653,9250.0,7255.0,8475,111260
2015-03-31,8475,9675.0,8200.0,9000,39210
2015-06-30,8950,9675.0,7840.0,8250,118972
2015-09-30,8250,8250.0,7000.0,7248,627936
2015-12-31,7200,7750.0,4750.0,6000,96838
2016-03-31,6000,6000.0,4625.0,4750,351156
2016-06-30,4750,6610.0,4100.0,4903,279308
2016-09-30,5270,6250.0,4535.0,6250,479208
2016-12-31,6250,7000.0,6000.0,7000,381148
2017-03-31,6500,7000.0,5508.0,6550,76570
2017-06-30,6475,7250.0,5500.0,5500,66058
2017-09-30,5500,5800.0,3895.0,4105,155836
2017-12-31,4250,5600.0,3700.0,5500,59677
2018-03-31,5300,7550.0,5000.0,7400,74898
2018-06-30,7295,7500.0,3050.0,3200,29396
2018-09-30,3060,3500.0,3000.0,3145,111385
2018-12-31,3100,3100.0,1725.0,1900,19025
2019-03-31,1850,1935.0,1500.0,1500,21105
2019-06-30,1500,1500.0,1145.0,1145,80607
2019-09-30,1130,1155.0,900.0,950,107083
2019-12-31,960,1820.0,885.0,1820,225006
2020-03-31,1700,2450.0,1195.0,1195,51185
2020-06-30,1200,1265.0,905.0,1245,9699
2020-09-30,1245,1300.0,1075.0,1255,19560
2020-12-31,1260,2305.0,1250.0,2250,246179
2021-03-31,2200,3900.0,2200.0,3000,156778
2021-06-30,3200,4675.0,3000.0,4350,27185
2021-09-30,4350,6075.0,4015.0,5370,56112
2021-12-31,5770,7100.0,5500.0,6990,146022
2022-03-31,6900,9700.0,6710.0,9300,313467
2022-06-30,9250,13550.0,9020.0,12625,454969
2022-09-30,12625,12645.0,9700.0,10995,591773
2022-12-31,10995,11490.0,9100.0,10385,547481
2023-03-31,10000,11095.0,9500.0,10980,336802
2023-06-30,10950,11000.0,9400.0,10600,202676
2023-09-30,10020,10555.0,7125.0,7600,232335
2023-12-31,7650,7695.0,6250.0,6750,88006
2024-03-31,6750,7000.0,6300.0,6995,102282
2024-06-30,6995,8085.0,5305.0,6250,147066
2024-09-30,6195,6245.0,4585.0,4810,275052
2024-12-31,4765,5000.0,4485.0,5000,283037
2025-03-31,5000,6595.0,4495.0,6400,397780
2025-06-30,6400,8380.0,5095.0,8380,559796
2025-09-30,8500,9255.0,8150.0,9150,287929
2025-12-31,9105,9895.0,6615.0,8100,425935
2026-03-31,8100,9500.0,7475.0,8100,219891
2026-06-30,8100,8900.0,6765.0,8700,216353
2026-09-30,8600,9650.0,8450.0,9015,146137
