Date,Open,High,Low,Close,Volume
1999-10-18,4000,4000.0,4000.0,4000,2000
1999-10-25,3168,3168.0,3168.0,3168,580
1999-11-01,3000,3000.0,3000.0,3000,468
1999-11-08,2995,3000.0,2995.0,3000,4854
1999-11-15,3000,3000.0,3000.0,3000,296
1999-11-22,3000,3000.0,3000.0,3000,1858
1999-11-29,3000,3000.0,3000.0,3000,936
1999-12-06,3000,3000.0,3000.0,3000,1434
1999-12-13,3000,3000.0,3000.0,3000,440
1999-12-20,3000,3000.0,3000.0,3000,49930
1999-12-27,3000,3000.0,3000.0,3000,1324
2000-01-03,3000,3000.0,3000.0,3000,2234
2000-01-10,3000,3000.0,3000.0,3000,400
2000-01-17,3000,3000.0,3000.0,3000,298
2000-01-24,3000,3000.0,3000.0,3000,140
2000-01-31,3000,3000.0,3000.0,3000,20
2000-02-07,3000,3000.0,3000.0,3000,30
2000-02-14,3000,3000.0,3000.0,3000,40
2000-02-28,2500,2500.0,2500.0,2500,4012
2000-03-06,2500,2500.0,2500.0,2500,130
2000-03-20,2500,2500.0,2500.0,2500,60
2000-03-27,2500,2500.0,2500.0,2500,758
2000-04-03,2500,2500.0,2500.0,2500,716
2000-04-10,2500,2500.0,2500.0,2500,116
2000-04-17,2500,2500.0,2500.0,2500,340
2000-04-24,2500,2500.0,2500.0,2500,396
2000-05-01,2500,2500.0,2500.0,2500,80
2000-05-08,2500,2500.0,2500.0,2500,24
2000-05-15,2500,2500.0,2500.0,2500,288
2000-05-22,2500,2500.0,2500.0,2500,40
2000-06-19,2500,2500.0,2500.0,2500,200
2000-07-03,2500,2500.0,2500.0,2500,6
2000-07-17,2500,2500.0,2500.0,2500,80
2000-07-24,2500,2500.0,2500.0,2500,3800
2000-07-31,2500,2500.0,2500.0,2500,40
2000-08-14,2495,2495.0,2495.0,2495,2288
2000-08-21,2350,2350.0,2348.0,2348,708
2000-08-28,2348,2348.0,2348.0,2348,20
2000-09-04,2250,2250.0,2250.0,2250,2316
2000-09-11,2250,2250.0,2250.0,2250,1164
2000-09-18,2250,2250.0,2250.0,2250,1272
2000-09-25,2250,2250.0,2250.0,2250,862
2000-10-02,2250,2250.0,2250.0,2250,1668
2000-10-09,2250,2253.0,2250.0,2253,1060
2000-10-16,2253,2253.0,2250.0,2250,4192
2000-10-23,2100,2100.0,2100.0,2100,1350
2000-10-30,2100,2100.0,2100.0,2100,40
2000-11-13,2100,2100.0,2100.0,2100,400
2000-11-20,2000,2100.0,2000.0,2100,11222
2000-11-27,2100,2100.0,2100.0,2100,10
2000-12-04,2000,2100.0,2000.0,2100,664
2000-12-11,2100,2100.0,2098.0,2098,3852
2000-12-18,2075,2075.0,2075.0,2075,2194
2000-12-25,2073,2073.0,2073.0,2073,1020
2001-01-08,2060,2060.0,2060.0,2060,992
2001-01-22,2060,2060.0,2058.0,2058,40
2001-01-29,2000,2000.0,1950.0,1950,2512
2001-02-05,1950,1950.0,1950.0,1950,4420
2001-02-12,1950,1950.0,1950.0,1950,786
2001-02-19,1950,1950.0,1950.0,1950,1984
2001-02-26,1950,1950.0,1950.0,1950,812
2001-03-05,1950,1950.0,1950.0,1950,150
2001-03-12,1950,1950.0,1950.0,1950,336
2001-03-19,1950,1950.0,1950.0,1950,2130
2001-03-26,1950,1950.0,1950.0,1950,1164
2001-04-02,1950,2000.0,1950.0,2000,254
2001-04-09,2000,2000.0,1950.0,1950,442
2001-04-16,1950,1950.0,1950.0,1950,2352
2001-04-23,1950,1950.0,1950.0,1950,240
2001-04-30,2000,2000.0,2000.0,2000,80
