Date,Open,High,Low,Close,Volume
1999-12-31,4000,4000,2995,3000,66354
2000-12-31,3000,3000,2000,2073,48316
2001-12-31,2060,2060,1598,1598,55912
2002-12-31,1500,1500,1263,1500,11090
2003-12-31,1500,1500,923,1075,16724
2004-12-31,1075,1075,948,950,21842
2005-12-31,950,950,800,800,12226
2006-12-31,800,1800,533,1500,52602
2007-12-31,1500,6000,1500,5100,2271744
2008-12-31,5100,13500,5100,7050,1990342
2009-12-31,7050,7050,2500,3548,1770104
2010-12-31,3545,7753,2475,6988,582988
2011-12-31,6988,10000,4443,7750,474060
2012-12-31,8000,11328,6663,8950,436278
2013-12-31,9498,10500,7498,10500,429768
2014-12-31,10500,10500,7255,8475,659920
2015-12-31,8475,9675,4750,6000,882956
2016-12-31,6000,7000,4100,7000,1490820
2017-12-31,6500,7250,3700,5500,358141
2018-12-31,5300,7550,1725,1900,234704
2019-12-31,1850,1935,885,1820,433801
2020-12-31,1700,2450,905,2250,326623
2021-12-31,2200,7100,2200,6990,386097
2022-12-31,6900,13550,6710,10385,1907690
2023-12-31,10000,11095,6250,6750,859819
2024-12-31,6750,8085,4485,5000,807437
2025-12-31,5000,9895,4495,8100,1671440
2026-12-31,8100,9650,6765,9500,571337
