Date,Open,High,Low,Close,Volume
1998-09-23,1011,1011,1011,1011,1088
1998-09-25,1062,1062,1062,1062,320
1998-09-30,1063,1063,1063,1063,512
1998-10-02,1141,1141,1141,1141,32640
1998-10-09,1225,1225,1225,1225,4160
1998-10-16,1225,1225,1225,1225,320
1998-10-21,1281,1281,1281,1281,3904
1998-11-02,1281,1281,1281,1281,16000
1998-11-25,1250,1250,1250,1250,1920
1998-12-11,1250,1250,1250,1250,3968
1998-12-23,1266,1266,1266,1266,32448
1998-12-30,1250,1250,1250,1250,640
1999-01-08,1250,1250,1250,1250,704
1999-02-03,1219,1219,1219,1219,1280
1999-02-05,1219,1219,1219,1219,1152
1999-03-24,1219,1219,1219,1219,48000
1999-03-26,1219,1219,1219,1219,8960
1999-03-29,1219,1219,1219,1219,896
1999-03-31,1219,1219,1219,1219,1600
1999-04-02,1219,1219,1219,1219,2048
1999-04-14,1219,1219,1219,1219,1600
1999-04-19,1219,1219,1219,1219,320
1999-04-21,1203,1203,1203,1203,2048
1999-04-30,1116,1116,1116,1116,960
1999-06-25,1016,1016,1016,1016,512
1999-07-14,870,870,870,870,6400
1999-07-16,805,805,805,805,896
1999-08-02,744,744,744,744,512
1999-08-13,688,688,688,688,80000
1999-08-16,656,656,656,656,3264
1999-08-20,656,656,656,656,320
1999-08-25,656,656,656,656,2432
1999-08-27,664,664,664,664,32832
1999-09-01,656,656,656,656,640
1999-09-03,656,656,656,656,320
1999-09-06,656,656,656,656,256
1999-09-10,657,657,657,657,2048
1999-10-01,655,655,655,655,1600
1999-10-13,703,703,703,703,3520
1999-10-20,703,703,703,703,2624
1999-10-22,703,703,703,703,2112
1999-10-27,703,703,703,703,192
1999-11-03,703,703,703,703,1024
1999-11-12,703,703,703,703,960
1999-11-17,703,703,703,703,640
1999-11-19,703,703,703,703,448
1999-12-06,703,703,703,703,3520
1999-12-15,703,703,703,703,256
1999-12-17,703,703,703,703,2880
2000-01-05,703,703,703,703,35904
2000-01-12,703,703,703,703,1600
2000-01-21,703,703,703,703,12096
2000-01-26,705,705,705,705,3200
2000-01-31,705,705,705,705,704
2000-02-02,705,705,705,705,320
2000-02-04,705,705,705,705,128
2000-02-09,703,703,703,703,1344
2000-02-11,703,703,703,703,12800
2000-02-14,703,703,703,703,5440
2000-03-01,703,703,703,703,15488
2000-04-17,703,703,703,703,1152
2000-04-28,703,703,703,703,64
2000-06-09,703,703,703,703,21952
2000-06-16,703,703,703,703,3136
2000-06-19,703,703,703,703,2048
2000-06-23,703,703,703,703,832
2000-06-30,703,703,703,703,4480
2000-08-02,688,688,688,688,1856
2000-08-04,688,688,688,688,1728
2000-08-25,688,688,688,688,128
2000-08-30,688,688,688,688,256
2000-09-13,688,688,688,688,320
2000-09-15,688,688,688,688,256
2000-10-27,688,688,688,688,2880
2000-11-06,688,688,688,688,3968
