Date,Open,High,Low,Close,Volume
1998-09-30,1011,1063.0,1011.0,1063,1920
1998-10-31,1141,1281.0,1141.0,1281,41024
1998-11-30,1281,1281.0,1250.0,1250,17920
1998-12-31,1250,1266.0,1250.0,1250,37056
1999-01-31,1250,1250.0,1250.0,1250,704
1999-02-28,1219,1219.0,1219.0,1219,2432
1999-03-31,1219,1219.0,1219.0,1219,59456
1999-04-30,1219,1219.0,1116.0,1116,6976
1999-06-30,1016,1016.0,1016.0,1016,512
1999-07-31,870,870.0,805.0,805,7296
1999-08-31,744,744.0,656.0,664,119360
1999-09-30,656,657.0,656.0,657,3264
1999-10-31,655,703.0,655.0,703,10048
1999-11-30,703,703.0,703.0,703,3072
1999-12-31,703,703.0,703.0,703,6656
2000-01-31,703,705.0,703.0,705,53504
2000-02-29,705,705.0,703.0,703,20032
2000-03-31,703,703.0,703.0,703,15488
2000-04-30,703,703.0,703.0,703,1216
2000-06-30,703,703.0,703.0,703,32448
2000-08-31,688,688.0,688.0,688,3968
2000-09-30,688,688.0,688.0,688,576
2000-10-31,688,688.0,688.0,688,2880
2000-11-30,688,688.0,688.0,688,16832
2000-12-31,688,688.0,688.0,688,27584
2001-01-31,688,688.0,688.0,688,7872
2001-02-28,688,688.0,688.0,688,3968
2001-03-31,688,688.0,688.0,688,8128
2001-04-30,688,688.0,688.0,688,11136
2001-05-31,688,688.0,688.0,688,20288
2001-06-30,688,688.0,688.0,688,9536
2001-07-31,688,688.0,688.0,688,3392
2001-08-31,688,688.0,688.0,688,16256
2001-09-30,688,688.0,688.0,688,57856
2001-10-31,688,688.0,688.0,688,9728
2001-11-30,688,688.0,688.0,688,3264
2001-12-31,688,688.0,688.0,688,19008
2002-01-31,688,688.0,688.0,688,13440
2002-02-28,688,688.0,688.0,688,4864
2002-03-31,688,688.0,688.0,688,21056
2002-04-30,688,688.0,688.0,688,64
2002-05-31,688,688.0,688.0,688,1472
2002-06-30,688,688.0,688.0,688,10880
2002-07-31,688,688.0,688.0,688,17280
2002-08-31,688,688.0,688.0,688,11200
2002-09-30,688,688.0,688.0,688,28032
2002-10-31,688,688.0,688.0,688,18560
2002-11-30,688,688.0,688.0,688,448
2002-12-31,688,688.0,688.0,688,320
2003-01-31,688,688.0,688.0,688,13376
2003-03-31,688,688.0,688.0,688,1280
2003-04-30,688,688.0,688.0,688,1408
2003-06-30,688,688.0,688.0,688,3328
2003-08-31,578,578.0,578.0,578,2624
2003-09-30,578,578.0,578.0,578,14336
2003-10-31,578,578.0,578.0,578,128
2003-11-30,586,586.0,580.0,580,7680
2003-12-31,580,580.0,580.0,580,640
2004-01-31,580,580.0,580.0,580,2880
2004-02-29,578,578.0,578.0,578,6080
2004-03-31,578,578.0,578.0,578,64
2004-05-31,621,719.0,621.0,719,94336
2004-07-31,719,719.0,705.0,705,9600
2004-08-31,705,705.0,705.0,705,320
2004-09-30,652,652.0,652.0,652,1536
2004-12-31,652,652.0,652.0,652,128
2005-01-31,603,603.0,603.0,603,10624
2005-02-28,603,603.0,603.0,603,640
2005-04-30,603,603.0,603.0,603,896
2005-05-31,603,603.0,603.0,603,128
2005-06-30,603,603.0,603.0,603,128
2005-08-31,540,540.0,540.0,540,256
2005-09-30,540,540.0,540.0,540,320
2005-10-31,540,540.0,540.0,540,1280
2005-11-30,540,540.0,540.0,540,640
2005-12-31,547,547.0,547.0,547,131456
