Date,Open,High,Low,Close,Volume
1998-09-30,1011,1063.0,1011.0,1063,1920
1998-12-31,1141,1281.0,1141.0,1250,96000
1999-03-31,1250,1250.0,1219.0,1219,62592
1999-06-30,1219,1219.0,1016.0,1016,7488
1999-09-30,870,870.0,656.0,657,129920
1999-12-31,655,703.0,655.0,703,19776
2000-03-31,703,705.0,703.0,703,89024
2000-06-30,703,703.0,703.0,703,33664
2000-09-30,688,688.0,688.0,688,4544
2000-12-31,688,688.0,688.0,688,47296
2001-03-31,688,688.0,688.0,688,19968
2001-06-30,688,688.0,688.0,688,40960
2001-09-30,688,688.0,688.0,688,77504
2001-12-31,688,688.0,688.0,688,32000
2002-03-31,688,688.0,688.0,688,39360
2002-06-30,688,688.0,688.0,688,12416
2002-09-30,688,688.0,688.0,688,56512
2002-12-31,688,688.0,688.0,688,19328
2003-03-31,688,688.0,688.0,688,14656
2003-06-30,688,688.0,688.0,688,4736
2003-09-30,578,578.0,578.0,578,16960
2003-12-31,578,586.0,578.0,580,8448
2004-03-31,580,580.0,578.0,578,9024
2004-06-30,621,719.0,621.0,719,94336
2004-09-30,719,719.0,652.0,652,11456
2004-12-31,652,652.0,652.0,652,128
2005-03-31,603,603.0,603.0,603,11264
2005-06-30,603,603.0,603.0,603,1152
2005-09-30,540,540.0,540.0,540,576
2005-12-31,540,547.0,540.0,547,133376
2006-03-31,547,555.0,547.0,555,20672
2006-06-30,555,573.0,555.0,573,10304
2006-09-30,578,588.0,578.0,588,14720
2006-12-31,711,719.0,711.0,719,6784
2007-03-31,719,719.0,703.0,711,44544
2007-06-30,711,711.0,711.0,711,8704
2007-09-30,719,781.0,719.0,781,24384
2007-12-31,840,852.0,781.0,852,12352
2008-03-31,852,859.0,852.0,859,11136
2008-06-30,859,1532.0,859.0,1532,10752
2008-09-30,1647,2458.0,1647.0,2458,28992
2008-12-31,2492,2492.0,1879.0,1879,55168
2009-03-31,1879,1879.0,1879.0,1879,512
2009-06-30,1875,1875.0,1875.0,1875,512
2009-09-30,1875,1875.0,1797.0,1813,18176
2009-12-31,1813,1813.0,1813.0,1813,64
2010-03-31,1813,1813.0,1813.0,1813,320
2010-09-30,1563,1563.0,1563.0,1563,7296
2010-12-31,1563,1563.0,1562.0,1563,27200
2011-03-31,1563,1563.0,1484.0,1484,9920
2011-06-30,1484,1563.0,1484.0,1563,8064
2011-09-30,1188,1269.0,1172.0,1203,11712
2011-12-31,1250,1406.0,1250.0,1313,3840
2012-03-31,1250,1250.0,1250.0,1250,4352
2012-06-30,1281,1411.0,1281.0,1327,6080
2012-09-30,1327,1344.0,1250.0,1250,9536
2012-12-31,1281,1563.0,1281.0,1453,17088
2013-03-31,1453,1780.0,1453.0,1688,11776
2013-06-30,1814,1938.0,1785.0,1785,7168
2013-09-30,1792,1922.0,1641.0,1641,20544
2013-12-31,1608,1881.0,1600.0,1750,8448
2014-03-31,1767,1781.0,1766.0,1781,2432
2014-06-30,1906,2719.0,1906.0,2664,37824
2014-09-30,2660,2660.0,2461.0,2578,12672
2014-12-31,2578,2641.0,2578.0,2641,30784
2015-03-31,2609,2805.0,2609.0,2802,11968
2015-06-30,2802,4117.0,2747.0,3626,34176
2015-09-30,3354,4484.0,3313.0,4484,25472
2015-12-31,4219,6406.0,4219.0,6328,75328
2016-03-31,6375,11328.0,6375.0,10922,86720
2016-06-30,10117,10781.0,8020.0,8020,51904
2016-09-30,7422,7813.0,5625.0,5625,15232
2016-12-31,5781,6719.0,5313.0,6641,10944
2017-03-31,6250,6250.0,3750.0,3750,16064
2017-06-30,3750,3981.0,3516.0,3906,16960
2017-09-30,3906,6139.0,3906.0,5172,42368
2017-12-31,5172,5313.0,4469.0,4509,36992
2018-03-31,4531,4531.0,3092.0,3092,3712
2018-06-30,3094,3094.0,2656.0,2656,20544
2018-09-30,2809,2809.0,1984.0,2008,5376
2018-12-31,2008,2008.0,1937.0,1937,1600
2019-03-31,1906,1906.0,1874.0,1874,384
2019-06-30,1873,1875.0,1844.0,1859,12736
2019-09-30,1859,2008.0,1859.0,1875,9600
2019-12-31,1875,2700.0,1859.0,2695,22353
2020-03-31,2895,3350.0,2680.0,2900,22868
2020-06-30,2900,3150.0,2900.0,3000,839
2020-09-30,3000,3000.0,2530.0,2530,6136
2020-12-31,2345,2350.0,2035.0,2195,21129
2021-03-31,2195,2195.0,2000.0,2100,16889
2021-06-30,2095,2860.0,1870.0,2585,15823
2021-09-30,2500,3115.0,2500.0,3110,29900
2021-12-31,3110,4200.0,2900.0,4200,45493
2022-03-31,4200,5375.0,3600.0,4710,62362
2022-06-30,4750,4975.0,3240.0,3545,61599
2022-09-30,3490,3855.0,3400.0,3600,18432
2022-12-31,3500,3700.0,2940.0,3195,11125
2023-03-31,3160,3175.0,2730.0,2900,34405
2023-06-30,2900,3105.0,2600.0,3100,25662
2023-09-30,3000,3450.0,2780.0,2800,23072
2023-12-31,2805,3015.0,1610.0,1900,38392
2024-03-31,1900,2325.0,1685.0,2280,15720
2024-06-30,2280,2300.0,2000.0,2295,36611
2024-09-30,2295,2795.0,2040.0,2150,10221
2024-12-31,2150,2275.0,1835.0,2200,14617
2025-03-31,2200,2300.0,1760.0,2035,39354
2025-06-30,2000,2630.0,1800.0,2500,31471
2025-09-30,2600,2875.0,2330.0,2345,36759
2025-12-31,2500,4735.0,2500.0,3875,208842
2026-03-31,3875,5850.0,3510.0,4875,108386
2026-06-30,4890,5100.0,3600.0,4700,61144
2026-09-30,4700,4700.0,4150.0,4400,30797
