Date,Open,High,Low,Close,Volume
1998-09-28,1011,1062.0,1011.0,1062,1408
1998-10-05,1063,1141.0,1063.0,1141,33152
1998-10-12,1225,1225.0,1225.0,1225,4160
1998-10-19,1225,1225.0,1225.0,1225,320
1998-10-26,1281,1281.0,1281.0,1281,3904
1998-11-02,1281,1281.0,1281.0,1281,16000
1998-11-30,1250,1250.0,1250.0,1250,1920
1998-12-14,1250,1250.0,1250.0,1250,3968
1998-12-28,1266,1266.0,1266.0,1266,32448
1999-01-04,1250,1250.0,1250.0,1250,640
1999-01-11,1250,1250.0,1250.0,1250,704
1999-02-08,1219,1219.0,1219.0,1219,2432
1999-03-29,1219,1219.0,1219.0,1219,57856
1999-04-05,1219,1219.0,1219.0,1219,3648
1999-04-19,1219,1219.0,1219.0,1219,1920
1999-04-26,1203,1203.0,1203.0,1203,2048
1999-05-03,1116,1116.0,1116.0,1116,960
1999-06-28,1016,1016.0,1016.0,1016,512
1999-07-19,870,870.0,805.0,805,7296
1999-08-02,744,744.0,744.0,744,512
1999-08-16,688,688.0,656.0,656,83264
1999-08-23,656,656.0,656.0,656,320
1999-08-30,656,664.0,656.0,664,35264
1999-09-06,656,656.0,656.0,656,1216
1999-09-13,657,657.0,657.0,657,2048
1999-10-04,655,655.0,655.0,655,1600
1999-10-18,703,703.0,703.0,703,3520
1999-10-25,703,703.0,703.0,703,4736
1999-11-01,703,703.0,703.0,703,192
1999-11-08,703,703.0,703.0,703,1024
1999-11-15,703,703.0,703.0,703,960
1999-11-22,703,703.0,703.0,703,1088
1999-12-06,703,703.0,703.0,703,3520
1999-12-20,703,703.0,703.0,703,3136
2000-01-10,703,703.0,703.0,703,35904
2000-01-17,703,703.0,703.0,703,1600
2000-01-24,703,703.0,703.0,703,12096
2000-01-31,705,705.0,705.0,705,3904
2000-02-07,705,705.0,705.0,705,448
2000-02-14,703,703.0,703.0,703,19584
2000-03-06,703,703.0,703.0,703,15488
2000-04-17,703,703.0,703.0,703,1152
2000-05-01,703,703.0,703.0,703,64
2000-06-12,703,703.0,703.0,703,21952
2000-06-19,703,703.0,703.0,703,5184
2000-06-26,703,703.0,703.0,703,832
2000-07-03,703,703.0,703.0,703,4480
2000-08-07,688,688.0,688.0,688,3584
2000-08-28,688,688.0,688.0,688,128
2000-09-04,688,688.0,688.0,688,256
2000-09-18,688,688.0,688.0,688,576
2000-10-30,688,688.0,688.0,688,2880
2000-11-06,688,688.0,688.0,688,3968
2000-11-13,688,688.0,688.0,688,4864
2000-11-27,688,688.0,688.0,688,4800
2000-12-04,688,688.0,688.0,688,5248
2000-12-11,688,688.0,688.0,688,9728
2000-12-18,688,688.0,688.0,688,4992
2000-12-25,688,688.0,688.0,688,10816
2001-01-15,688,688.0,688.0,688,3520
2001-01-22,688,688.0,688.0,688,3456
2001-01-29,688,688.0,688.0,688,192
2001-02-05,688,688.0,688.0,688,704
2001-02-12,688,688.0,688.0,688,3840
2001-03-05,688,688.0,688.0,688,768
2001-03-12,688,688.0,688.0,688,768
2001-03-26,688,688.0,688.0,688,640
2001-04-02,688,688.0,688.0,688,6336
2001-04-09,688,688.0,688.0,688,5312
2001-04-23,688,688.0,688.0,688,256
2001-04-30,688,688.0,688.0,688,5312
2001-05-07,688,688.0,688.0,688,256
2001-05-14,688,688.0,688.0,688,15360
2001-05-28,688,688.0,688.0,688,3136
2001-06-04,688,688.0,688.0,688,1536
2001-06-11,688,688.0,688.0,688,3200
2001-06-18,688,688.0,688.0,688,4928
2001-07-02,688,688.0,688.0,688,4608
2001-07-09,688,688.0,688.0,688,192
2001-08-06,688,688.0,688.0,688,1472
2001-08-13,688,688.0,688.0,688,3200
2001-08-20,688,688.0,688.0,688,320
2001-09-03,688,688.0,688.0,688,11264
2001-09-10,688,688.0,688.0,688,51136
2001-09-17,688,688.0,688.0,688,3520
2001-09-24,688,688.0,688.0,688,3200
2001-10-08,688,688.0,688.0,688,768
2001-10-15,688,688.0,688.0,688,192
2001-10-29,688,688.0,688.0,688,8768
2001-11-05,688,688.0,688.0,688,384
2001-11-19,688,688.0,688.0,688,1920
2001-12-03,688,688.0,688.0,688,960
2001-12-10,688,688.0,688.0,688,8960
2001-12-17,688,688.0,688.0,688,2240
2001-12-24,688,688.0,688.0,688,7168
2001-12-31,688,688.0,688.0,688,640
2002-01-14,688,688.0,688.0,688,960
2002-01-21,688,688.0,688.0,688,1088
2002-01-28,688,688.0,688.0,688,8192
2002-02-04,688,688.0,688.0,688,3200
2002-02-25,688,688.0,688.0,688,1088
2002-03-04,688,688.0,688.0,688,4096
2002-03-18,688,688.0,688.0,688,384
2002-03-25,688,688.0,688.0,688,7552
2002-04-01,688,688.0,688.0,688,12800
2002-04-08,688,688.0,688.0,688,64
2002-05-06,688,688.0,688.0,688,1472
2002-06-24,688,688.0,688.0,688,10880
2002-07-08,688,688.0,688.0,688,16000
2002-07-15,688,688.0,688.0,688,320
2002-07-22,688,688.0,688.0,688,960
2002-08-05,688,688.0,688.0,688,832
2002-08-12,688,688.0,688.0,688,576
2002-08-26,688,688.0,688.0,688,8960
2002-09-02,688,688.0,688.0,688,832
2002-09-16,688,688.0,688.0,688,27648
2002-09-23,688,688.0,688.0,688,256
2002-09-30,688,688.0,688.0,688,128
2002-10-07,688,688.0,688.0,688,192
2002-10-14,688,688.0,688.0,688,5824
2002-10-21,688,688.0,688.0,688,12544
2002-12-02,688,688.0,688.0,688,448
2002-12-09,688,688.0,688.0,688,320
2003-01-20,688,688.0,688.0,688,576
2003-01-27,688,688.0,688.0,688,320
2003-02-03,688,688.0,688.0,688,12480
2003-03-10,688,688.0,688.0,688,320
2003-03-24,688,688.0,688.0,688,448
2003-03-31,688,688.0,688.0,688,512
2003-04-21,688,688.0,688.0,688,1344
2003-04-28,688,688.0,688.0,688,64
2003-06-23,688,688.0,688.0,688,3328
2003-08-11,578,578.0,578.0,578,1344
2003-08-18,578,578.0,578.0,578,1280
2003-09-22,578,578.0,578.0,578,2560
2003-09-29,578,578.0,578.0,578,11776
2003-10-06,578,578.0,578.0,578,128
2003-11-24,586,586.0,586.0,586,7040
2003-12-01,580,580.0,580.0,580,640
2003-12-22,580,580.0,580.0,580,640
2004-01-26,580,580.0,580.0,580,2880
2004-02-09,578,578.0,578.0,578,768
2004-02-16,578,578.0,578.0,578,320
2004-03-01,578,578.0,578.0,578,5056
2004-05-03,621,621.0,621.0,621,1984
2004-05-10,668,719.0,668.0,719,90368
2004-05-17,719,719.0,719.0,719,1920
2004-05-31,719,719.0,719.0,719,64
2004-07-19,719,719.0,705.0,705,3136
2004-07-26,705,705.0,705.0,705,6464
2004-08-23,705,705.0,705.0,705,64
2004-08-30,705,705.0,705.0,705,256
2004-09-13,652,652.0,652.0,652,1216
2004-10-04,652,652.0,652.0,652,320
2004-12-27,652,652.0,652.0,652,128
2005-01-10,603,603.0,603.0,603,6144
2005-01-31,603,603.0,603.0,603,4480
2005-02-21,603,603.0,603.0,603,640
2005-04-18,603,603.0,603.0,603,832
2005-05-02,603,603.0,603.0,603,64
2005-05-23,603,603.0,603.0,603,128
2005-06-06,603,603.0,603.0,603,64
2005-06-13,603,603.0,603.0,603,64
2005-08-22,540,540.0,540.0,540,256
2005-09-12,540,540.0,540.0,540,320
2005-10-24,540,540.0,540.0,540,1280
2005-11-07,540,540.0,540.0,540,640
2006-01-02,547,547.0,547.0,547,131456
2006-02-06,547,547.0,547.0,547,6400
2006-02-13,547,547.0,547.0,547,4480
2006-02-20,547,547.0,547.0,547,448
2006-02-27,547,547.0,547.0,547,1984
2006-03-06,555,555.0,555.0,555,6400
2006-03-20,555,555.0,555.0,555,768
2006-03-27,555,555.0,555.0,555,128
2006-04-03,555,555.0,555.0,555,64
2006-05-01,555,555.0,555.0,555,320
2006-05-08,556,556.0,556.0,556,640
2006-05-15,556,556.0,556.0,556,1920
2006-05-29,571,571.0,571.0,571,512
2006-06-05,573,573.0,573.0,573,6400
2006-06-19,573,573.0,573.0,573,512
2006-07-03,578,578.0,578.0,578,896
2006-08-07,588,588.0,588.0,588,6400
2006-08-28,588,588.0,588.0,588,512
2006-09-04,588,588.0,588.0,588,6592
2006-09-11,588,588.0,588.0,588,320
2006-10-30,711,711.0,711.0,711,704
2006-11-06,713,713.0,713.0,713,640
2006-11-13,713,719.0,713.0,719,4160
2006-12-04,719,719.0,719.0,719,1280
2007-01-15,719,719.0,719.0,719,22400
2007-01-22,719,719.0,719.0,719,4480
2007-02-05,703,703.0,703.0,703,6400
2007-02-12,703,703.0,703.0,703,2880
2007-03-05,703,711.0,703.0,711,6720
2007-03-26,711,711.0,711.0,711,1664
2007-04-30,711,711.0,711.0,711,8704
2007-07-30,719,719.0,719.0,719,1280
2007-09-24,772,781.0,772.0,781,22528
2007-10-01,781,840.0,781.0,840,6976
2007-10-15,781,781.0,781.0,781,128
2007-10-29,781,840.0,781.0,840,3200
2007-11-12,840,840.0,840.0,840,128
2007-11-19,840,840.0,840.0,840,1984
2007-12-03,852,852.0,852.0,852,512
2008-01-14,852,852.0,852.0,852,192
2008-01-21,859,859.0,859.0,859,4480
2008-02-04,859,859.0,859.0,859,6400
2008-02-11,859,859.0,859.0,859,64
2008-04-07,859,859.0,859.0,859,6400
2008-04-21,859,859.0,859.0,859,64
2008-05-12,859,859.0,859.0,859,64
2008-06-16,1068,1068.0,1068.0,1068,1472
2008-06-23,1148,1234.0,1148.0,1234,1152
2008-06-30,1425,1532.0,1425.0,1532,1600
2008-07-07,1647,2172.0,1647.0,2172,4096
2008-07-14,2335,2335.0,2188.0,2188,2752
2008-07-21,2188,2188.0,2188.0,2188,1472
2008-07-28,2266,2344.0,2266.0,2344,1856
2008-08-04,2344,2458.0,2344.0,2458,13120
2008-08-11,2458,2458.0,2458.0,2458,640
2008-08-18,2458,2458.0,2458.0,2458,1024
2008-09-01,2458,2458.0,2458.0,2458,960
2008-09-08,2458,2458.0,2458.0,2458,1408
2008-09-15,2458,2458.0,2458.0,2458,1472
2008-09-22,2458,2458.0,2458.0,2458,192
2008-10-06,2492,2492.0,2458.0,2458,9344
2008-10-27,2492,2492.0,2492.0,2492,3328
2008-11-10,2492,2492.0,2492.0,2492,1856
2008-11-24,2344,2344.0,2344.0,2344,3200
2008-12-01,2188,2188.0,2188.0,2188,640
2008-12-08,2188,2188.0,2188.0,2188,1920
2008-12-15,2188,2188.0,2188.0,2188,576
2008-12-29,2031,2031.0,1879.0,1879,23040
2009-01-05,1879,1879.0,1879.0,1879,11264
2009-02-09,1879,1879.0,1879.0,1879,128
2009-03-16,1879,1879.0,1879.0,1879,384
2009-06-29,1875,1875.0,1875.0,1875,512
2009-07-06,1875,1875.0,1875.0,1875,6784
2009-08-24,1827,1827.0,1797.0,1797,2368
2009-08-31,1813,1813.0,1813.0,1813,1920
2009-09-07,1813,1813.0,1813.0,1813,6592
2009-09-14,1813,1813.0,1813.0,1813,384
2009-10-05,1813,1813.0,1813.0,1813,128
2009-11-02,1813,1813.0,1813.0,1813,64
2010-02-01,1813,1813.0,1813.0,1813,320
2010-09-06,1563,1563.0,1563.0,1563,6400
2010-09-27,1563,1563.0,1563.0,1563,896
2010-10-04,1563,1563.0,1563.0,1563,6400
2010-10-11,1563,1563.0,1563.0,1563,2816
2010-10-25,1563,1563.0,1563.0,1563,192
2010-11-08,1562,1562.0,1562.0,1562,960
2010-11-15,1563,1563.0,1563.0,1563,10368
2010-12-06,1563,1563.0,1563.0,1563,6400
2011-01-03,1563,1563.0,1563.0,1563,64
