Date,Open,High,Low,Close,Volume
1998-12-31,1011,1281,1011,1250,97920
1999-12-31,1250,1250,655,703,219776
2000-12-31,703,705,688,688,174528
2001-12-31,688,688,688,688,170432
2002-12-31,688,688,688,688,127616
2003-12-31,688,688,578,580,44800
2004-12-31,580,719,578,652,114944
2005-12-31,603,603,540,547,146368
2006-12-31,547,719,547,719,52480
2007-12-31,719,852,703,852,89984
2008-12-31,852,2492,852,1879,106048
2009-12-31,1879,1879,1797,1813,19264
2010-12-31,1813,1813,1562,1563,34816
2011-12-31,1563,1563,1172,1313,33536
2012-12-31,1250,1563,1250,1453,37056
2013-12-31,1453,1938,1453,1750,47936
2014-12-31,1767,2719,1766,2641,83712
2015-12-31,2609,6406,2609,6328,146944
2016-12-31,6375,11328,5313,6641,164800
2017-12-31,6250,6250,3516,4509,112384
2018-12-31,4531,4531,1937,1937,31232
2019-12-31,1906,2700,1844,2695,45073
2020-12-31,2895,3350,2035,2195,50972
2021-12-31,2195,4200,1870,4200,108105
2022-12-31,4200,5375,2940,3195,153518
2023-12-31,3160,3450,1610,1900,121531
2024-12-31,1900,2795,1685,2200,77169
2025-12-31,2200,4735,1760,3875,316426
2026-12-31,3875,5850,3510,4405,193608
