Date,Open,High,Low,Close,Volume
1998-09-23,556,556,556,556,88
1998-10-02,577,577,577,577,177
1998-10-07,617,617,617,617,11401
1998-10-14,656,656,656,656,795
1998-10-21,656,656,656,656,1768
1998-10-23,668,668,668,668,3359
1998-10-30,562,562,562,562,5480
1998-11-25,566,566,566,566,4154
1998-12-11,600,600,600,600,1414
1998-12-23,600,600,600,600,457731
1999-02-26,588,588,588,588,884
1999-03-24,588,588,588,588,7778
1999-03-26,632,632,632,632,1768
1999-04-02,632,632,632,632,884
1999-04-30,622,622,622,622,9192
1999-08-20,554,554,554,554,12374
1999-08-25,532,532,532,532,12815
1999-08-27,531,531,531,531,5745
1999-08-30,530,530,530,530,1326
1999-12-31,530,530,530,530,442
2000-02-04,487,487,487,487,795
2000-02-11,487,487,487,487,619
2000-07-10,430,430,430,430,3359
2000-07-12,430,430,430,430,2828
2000-07-17,430,430,430,430,442
2000-08-18,430,430,430,430,795
2000-08-23,430,430,430,430,619
2000-08-30,430,430,430,430,177
2000-09-01,430,430,430,430,177
2000-09-08,419,419,419,419,3535
2000-09-13,407,407,407,407,2033
2000-09-15,407,407,407,407,354
2000-11-08,407,407,407,407,442
2000-11-16,407,407,407,407,35972
2000-11-17,407,407,407,407,442
2000-11-29,407,407,407,407,884
2000-12-15,407,407,407,407,442
2000-12-29,407,407,407,407,354
2001-02-14,407,407,407,407,177
2001-03-26,407,407,407,407,707
2001-04-20,407,407,407,407,2651
2001-09-05,407,407,407,407,354
2001-09-21,407,407,407,407,354
2001-12-31,407,407,407,407,4331
2002-03-06,407,407,407,407,88
2002-03-26,407,407,407,407,530293
2002-04-03,407,407,407,407,88
2002-04-22,407,407,407,407,1149
2002-04-23,407,407,407,407,177
2002-06-07,407,407,407,407,4773
2002-06-24,407,407,407,407,4773
2002-07-05,407,407,407,407,177
2002-11-05,407,407,407,407,2033
2002-12-30,407,407,407,407,88
2002-12-31,407,407,407,407,15467
2003-10-15,407,407,407,407,177
2003-11-24,407,407,407,407,177
2003-12-31,407,407,407,407,4684
2004-12-31,385,385,385,385,4331
2005-03-04,385,385,385,385,2828
2005-03-29,362,362,362,362,1414
2005-06-22,328,328,328,328,884
2005-07-20,328,328,328,328,707
2005-07-21,353,353,353,353,8131
2005-07-22,353,353,353,353,1944
2005-07-25,362,362,362,362,111096
2005-08-01,362,362,362,362,88
2005-08-23,362,362,362,362,335941
2005-08-24,362,362,362,362,18825
2005-08-26,362,362,362,362,265
2005-09-15,328,328,328,328,707
2005-10-05,328,328,328,328,265
2005-11-23,353,353,353,353,884
2005-11-24,362,362,362,362,354324
2005-12-30,362,362,362,362,2872597
2006-02-03,362,362,362,362,177
2006-02-28,362,362,362,362,7601
2006-03-13,362,362,362,362,442
2006-04-18,362,362,362,362,354
2006-04-26,351,351,351,351,4419
2006-05-03,328,328,328,328,4419
2006-05-04,305,305,305,305,5303
2006-05-05,283,283,283,283,3889
2006-05-11,262,262,262,262,1679
2006-05-17,282,282,282,282,1768
2006-05-30,282,282,282,282,177
2006-05-31,272,272,272,272,1061
2006-06-23,272,272,272,272,4419
2006-07-26,272,272,272,272,1768
2006-09-04,272,272,272,272,18383
2006-09-26,272,272,272,272,884
2006-11-21,272,272,272,272,88
2006-12-05,260,260,260,260,141235
2006-12-28,260,260,260,260,713156
2006-12-29,260,260,260,260,884
2007-01-18,260,260,260,260,88
2007-03-19,260,260,260,260,88
2007-04-25,261,261,261,261,3359
2007-04-27,261,261,261,261,2475
2007-06-18,261,261,261,261,972
2007-06-21,261,261,261,261,177
2007-07-12,261,261,261,261,88
2007-08-02,283,283,283,283,707
2007-08-08,283,283,283,283,88
2007-08-10,283,283,283,283,177
2007-08-22,283,283,283,283,2210
2007-08-23,283,283,283,283,442
2007-10-31,283,283,283,283,707
2007-12-28,283,283,283,283,1326
2008-02-05,294,294,294,294,4242
2008-03-05,301,301,301,301,884
2008-03-11,323,323,323,323,2210
2008-03-12,328,328,328,328,1061
2008-03-13,335,335,335,335,227142
2008-04-15,335,335,335,335,795
2008-05-13,335,335,335,335,7778
2008-05-30,339,339,339,339,7778
2008-06-13,339,339,339,339,177
2008-06-17,339,339,339,339,88
2008-06-27,339,339,339,339,442
2008-07-04,356,356,356,356,1061
2008-08-13,358,358,358,358,2386
2008-08-29,362,362,362,362,1061
2008-09-10,362,362,362,362,88
2008-10-02,368,368,368,368,782889
2008-10-03,368,368,368,368,265
2008-10-07,368,368,368,368,354
2008-10-27,395,395,395,395,1768
2008-10-29,425,425,425,425,10606
2008-10-31,425,425,425,425,1061
2008-11-13,425,425,425,425,1768
2009-02-16,402,402,402,402,1768
2009-03-04,402,402,402,402,884
2009-03-06,402,402,402,402,88
2009-03-16,396,396,396,396,884
2009-03-20,390,390,390,390,1326
2009-06-17,362,362,362,362,16793
2009-06-22,362,362,362,362,1768
2009-06-24,362,362,362,362,884
2009-07-13,335,335,335,335,1326
2009-07-14,335,335,335,335,3005
2009-08-17,335,335,335,335,1414
2009-08-18,335,335,335,335,354
2009-08-26,335,335,335,335,4419
2009-08-31,335,335,335,335,88
2009-10-09,331,331,331,331,1856
2009-10-22,331,331,331,331,1768
2009-10-27,331,331,331,331,530
2009-12-02,331,331,331,331,88
2010-03-16,328,328,328,328,4242
2010-07-26,328,328,328,328,44191
2010-07-29,328,328,328,328,88
2010-08-02,328,328,328,328,13257
2010-08-03,328,328,328,328,17765
2010-08-04,328,328,328,328,41628
2010-08-26,328,328,328,328,1149
2010-09-27,305,305,305,305,1237
2010-09-30,294,294,294,294,28282
2010-10-01,294,294,294,294,10959
2010-10-07,294,294,294,294,18295
2010-10-08,294,294,294,294,530
2010-10-13,293,293,293,293,8838
2010-10-14,293,293,293,293,3712
2010-10-15,283,283,283,283,4596
2010-10-18,263,263,263,263,707
2010-11-02,281,281,281,281,707
2011-01-26,277,277,277,277,884
2011-02-08,260,260,260,260,2386
2011-07-26,260,260,260,260,6629
2011-07-29,260,260,260,260,884
2011-08-02,260,260,260,260,88
2011-08-05,260,260,260,260,265
2011-08-25,223,223,223,223,3535
2011-08-31,206,206,206,206,1326
2011-09-01,206,206,206,206,4419
2011-09-02,204,204,204,204,3535
2011-09-05,204,204,204,204,884
2011-09-08,204,204,204,204,177
2011-09-09,204,204,204,204,884
2011-09-12,204,204,204,204,8485
2011-09-13,204,204,204,204,354
2011-09-15,204,204,204,204,707
2011-09-21,204,204,204,204,88
2011-09-28,204,204,204,204,177
2011-10-05,204,204,204,204,442
2011-10-12,215,215,215,215,4419
2011-10-13,226,226,226,226,4419
2011-10-28,226,226,226,226,354
2011-12-08,204,204,204,204,2917
2011-12-09,204,204,204,204,1591
2011-12-14,192,192,192,192,9015
2011-12-15,192,192,192,192,9457
2011-12-16,192,192,192,192,9722
2011-12-19,192,192,192,192,4154
2012-02-21,192,192,192,192,1414
2012-02-22,192,192,192,192,265
2012-02-23,192,192,192,192,1502
2012-03-08,192,192,192,192,88
2012-04-06,192,192,192,192,707
2012-05-10,226,226,226,226,8838
2012-05-14,226,226,226,226,795
2012-05-18,226,226,226,226,88
2012-05-23,226,226,226,226,265
2012-06-11,226,226,226,226,707
2012-06-20,226,226,226,226,442
2012-06-21,226,226,226,226,354
2012-06-25,226,226,226,226,707
2012-07-13,226,226,226,226,442
2012-08-23,232,232,232,232,1768
2012-08-30,232,232,232,232,530
2012-09-10,232,232,232,232,795
2012-09-18,232,232,232,232,8838
2012-10-19,232,232,232,232,177
2012-10-23,232,232,232,232,795
2012-11-28,232,232,232,232,1061
2012-12-04,226,226,226,226,1061
2012-12-06,226,226,226,226,884
2012-12-12,238,238,238,238,8573
2012-12-18,238,238,238,238,442
2013-01-08,238,238,238,238,177
2013-01-17,238,238,238,238,707
2013-02-12,238,238,238,238,972
2013-02-13,238,238,238,238,1679
2013-02-20,238,238,238,238,884
2013-02-21,238,238,238,238,1326
2013-03-07,238,238,238,238,177
2013-03-08,238,238,238,238,619
2013-03-13,238,238,238,238,1414
2013-03-18,255,255,255,255,884
2013-03-29,255,255,255,255,530
2013-04-04,255,255,255,255,3535
2013-04-17,260,260,260,260,18383
2013-05-29,260,260,260,260,1768
2013-06-11,260,260,260,260,442
2013-06-13,260,260,260,260,707
2013-06-18,260,260,260,260,795
2013-06-25,279,279,279,279,707
2013-07-01,279,279,279,279,442
2013-07-05,294,294,294,294,707
2013-07-09,315,315,315,315,707
2013-07-16,322,322,322,322,9103
2013-07-18,347,347,347,347,884
2013-07-19,339,339,339,339,4154
2013-07-22,339,339,339,339,8838
2013-07-29,365,365,365,365,8838
2013-08-02,392,392,392,392,884
2013-08-05,392,392,392,392,2563
2013-08-16,392,392,392,392,1149
2013-08-19,392,392,392,392,3447
2013-08-26,392,392,392,392,1856
2013-09-02,413,413,413,413,4861
2013-09-13,413,413,413,413,265
2013-09-16,419,419,419,419,530
2013-09-18,450,450,450,450,2651
2013-09-24,453,453,453,453,177
2013-09-25,453,453,453,453,884
2013-09-27,444,444,444,444,707
2013-10-02,441,441,441,441,88
2013-10-03,441,441,441,441,2651
2013-10-22,441,441,441,441,3712
2013-10-30,441,441,441,441,354
2013-10-31,441,441,441,441,884
2013-11-05,441,441,441,441,795
2013-11-21,408,408,408,408,88
2013-12-02,413,413,413,413,88
2013-12-06,408,408,408,408,88
2013-12-09,408,408,408,408,88
2013-12-17,407,407,407,407,1679
2013-12-18,407,407,407,407,88
2013-12-19,407,407,407,407,1149
2013-12-20,407,407,407,407,1149
2014-01-28,377,377,377,377,354
2014-02-04,373,373,373,373,1326
2014-02-06,373,373,373,373,88
2014-02-07,373,373,373,373,1326
2014-02-26,373,373,373,373,4419
2014-03-12,377,377,377,377,2210
2014-03-24,373,373,373,373,7954
2014-04-16,373,373,373,373,619
2014-05-13,345,345,345,345,3093
2014-05-15,320,320,320,320,88
2014-06-06,343,343,343,343,177
2014-06-10,343,343,343,343,265
2014-07-10,343,343,343,343,354
2014-09-09,318,318,318,318,1326
2014-09-10,317,317,317,317,4861
2014-09-12,317,317,317,317,707
2014-09-24,328,328,328,328,177
2014-10-01,328,328,328,328,88
2014-10-15,305,305,304,304,707
2014-11-03,297,297,297,297,1768
2014-11-10,275,275,275,275,265
2014-11-28,275,275,275,275,2740
2014-12-11,275,275,275,275,88
2014-12-12,275,275,275,275,177
2014-12-15,272,272,272,272,1768
2014-12-17,275,275,275,275,265
2014-12-23,275,275,275,275,88
2014-12-26,275,275,270,270,2298
2014-12-29,270,270,270,270,265
2015-01-07,270,270,270,270,265
2015-01-09,272,272,270,270,2386
2015-01-14,260,260,260,260,5568
2015-02-11,272,272,272,272,6010
2015-02-24,272,272,272,272,442
2015-03-20,277,277,277,277,177
2015-03-30,272,272,272,272,177
2015-04-01,272,272,272,272,88
2015-06-01,292,292,292,292,1149
2015-06-04,313,313,313,313,88
2015-06-15,337,337,337,337,3270
2015-06-24,337,337,337,337,177
2015-06-26,337,337,313,313,265
2015-07-23,313,313,313,313,884
2015-07-24,313,313,313,313,707
2015-08-06,313,313,313,313,619
2015-08-12,313,313,313,313,88
2015-08-14,311,311,311,311,177
2015-08-18,311,311,311,311,972
2015-08-20,311,311,311,311,2210
2015-08-25,311,311,311,311,1679
2015-09-09,311,311,311,311,442
2015-09-22,311,311,311,311,3535
2015-09-25,310,310,310,310,177
2015-09-28,308,311,308,311,8927
2015-10-08,311,311,311,311,265
2015-10-14,311,311,311,311,707
2015-10-30,311,311,311,311,354
2015-11-03,311,311,311,311,88
2015-12-01,328,328,328,328,11313
2015-12-02,334,334,334,334,6717
2015-12-03,318,318,318,318,442
2015-12-04,334,334,334,334,11313
2015-12-07,351,351,351,351,884
2015-12-08,351,351,351,351,1149
2015-12-31,351,373,351,373,5745
2016-01-08,396,396,396,396,6010
2016-01-12,396,396,396,396,884
2016-01-15,419,419,419,419,530
2016-01-25,419,419,402,402,2917
2016-02-15,407,407,407,407,13257
2016-02-16,402,402,396,396,9810
2016-02-19,385,385,385,385,1061
2016-03-21,356,356,356,356,354
2016-03-23,329,329,329,329,795
2016-03-24,305,305,305,305,88
2016-03-29,305,305,305,305,177
2016-03-30,305,306,305,306,3977
2016-04-07,306,306,306,306,707
2016-04-12,306,306,306,306,88
2016-04-21,306,306,306,306,795
2016-05-03,312,312,312,312,177
2016-05-11,336,336,336,336,265
2016-05-13,336,336,336,336,7601
2016-05-24,336,336,336,336,884
2016-06-14,361,361,361,361,707
2016-06-15,388,388,388,388,1326
2016-06-17,417,417,417,417,1768
2016-06-20,448,448,448,448,442
2016-06-24,453,482,453,482,619
2016-06-27,448,448,448,448,88
2016-06-29,481,481,481,481,177
2016-07-01,481,481,475,475,2298
2016-07-04,511,511,511,511,442
2016-07-07,475,475,475,475,884
2016-07-08,464,464,464,464,88
2016-07-22,429,429,429,429,177
2016-07-28,397,397,397,397,88
2016-08-11,367,367,367,367,88
2016-08-12,362,362,362,362,354
2016-08-16,362,362,362,362,972
2016-08-17,362,362,362,362,2210
2016-08-25,339,339,339,339,1679
2016-08-29,339,339,339,339,177
2016-08-30,317,317,317,317,1149
2016-09-02,322,322,322,322,88
2016-09-07,305,305,305,305,265
2016-09-08,305,305,305,305,619
2016-09-22,305,305,305,305,88
2016-09-23,294,294,294,294,265
2016-09-30,283,283,283,283,1149
2016-10-06,283,283,283,283,3800
2016-10-10,283,283,283,283,354
2016-10-11,283,283,283,283,795
2016-10-14,283,283,283,283,88
2016-10-17,277,277,262,262,354
2016-10-19,262,262,262,262,88
2016-10-26,262,262,262,262,265
2016-10-27,282,282,282,282,4154
2016-10-28,282,282,282,282,7778
2016-11-02,282,282,282,282,1326
2016-11-08,282,282,282,282,177
2016-11-11,282,282,282,282,1414
2016-12-01,282,282,282,282,442
2016-12-02,282,282,282,282,354
2016-12-05,282,282,282,282,795
2016-12-06,282,282,282,282,1944
2016-12-28,261,261,261,261,442
2016-12-30,261,261,261,261,88
2017-01-12,260,260,260,260,88
2017-01-16,241,241,241,241,265
2017-01-20,241,241,241,241,177
2017-01-24,238,238,238,238,442
2017-01-25,238,238,238,238,7954
2017-02-13,220,220,220,220,884
2017-02-14,221,226,221,226,6098
2017-02-22,226,243,226,243,442
2017-02-23,261,261,261,261,88
2017-02-24,281,281,281,281,88
2017-02-28,261,261,261,261,88
2017-03-01,281,281,281,281,2563
2017-03-06,281,281,281,281,177
2017-03-16,281,302,281,302,4331
2017-04-05,300,300,300,300,3270
2017-04-10,299,300,299,300,8838
2017-04-12,299,300,299,300,1768
2017-04-21,299,300,299,300,6275
2017-05-02,277,277,277,277,88
2017-05-12,257,257,257,257,354
2017-05-15,243,243,243,243,177
2017-05-18,225,225,225,225,23421
2017-05-19,226,226,226,226,2651
2017-05-24,215,215,215,215,265
2017-05-26,215,215,209,209,1237
2017-05-29,204,204,204,204,619
2017-05-30,204,215,204,215,5126
2017-05-31,215,215,215,215,3624
2017-06-01,215,215,215,215,619
2017-06-06,215,215,215,215,442
2017-06-13,214,214,214,214,88
2017-06-14,213,213,198,198,2651
2017-06-15,198,198,198,198,88
2017-06-19,198,198,198,198,1768
2017-06-20,198,198,198,198,795
2017-07-31,199,199,198,198,530
2017-08-01,198,198,198,198,1502
2017-08-02,192,192,192,192,1944
2017-08-03,192,192,192,192,1149
2017-08-08,192,192,192,192,177
2017-08-23,206,206,206,206,88
2017-10-03,221,221,221,221,530
2017-10-04,237,237,237,237,2563
2017-10-05,255,255,255,255,15290
2017-10-06,249,249,249,249,442
2017-10-09,249,255,249,255,530
2017-10-10,249,249,249,249,88
2017-10-11,255,255,255,255,707
2017-10-17,274,274,274,274,71
2017-10-20,294,294,294,294,3040
2017-10-30,316,316,316,316,106
2017-11-06,316,316,316,316,354
2017-11-09,316,316,316,316,35
2017-11-16,308,308,308,308,35
2017-11-28,308,331,285,308,141
2017-11-29,308,308,308,308,141
2017-12-29,308,308,308,308,389
2018-01-03,308,308,308,308,177
2018-01-05,308,308,308,308,35
2018-01-08,308,308,308,308,35
2018-01-11,307,308,307,308,601
2018-01-25,308,331,285,285,1061
2018-01-29,283,283,283,283,177
2018-02-26,274,274,274,274,71
2018-03-13,254,254,254,254,177
2018-03-15,235,235,235,235,177
2018-03-16,226,226,226,226,530
2018-03-22,226,226,226,226,177
2018-03-27,209,209,209,209,71
2018-04-03,209,209,209,209,601
2018-04-10,209,209,209,209,283
2018-04-11,209,209,209,209,1768
2018-04-13,209,209,209,209,460
2018-04-26,205,205,205,205,71
2018-05-07,198,198,198,198,71
2018-05-08,198,198,198,198,530
2018-05-14,198,198,198,198,177
2018-05-16,198,198,198,198,35
2018-05-24,184,184,184,184,778
2018-05-30,170,170,170,170,354
2018-06-05,170,170,170,170,35
2018-06-07,170,170,170,170,141
2018-06-08,170,170,170,170,177
2018-06-27,170,170,170,170,354
2018-07-06,171,171,171,171,177
2018-07-19,162,162,162,162,354
2018-08-08,156,156,156,156,601
2018-08-13,156,156,156,156,71
2018-08-14,156,156,156,156,177
2018-08-22,156,156,156,156,283
2018-08-27,156,156,156,156,35
2018-10-03,144,144,144,144,247
2018-10-12,153,153,153,153,7071
2018-10-17,141,141,141,141,71
2018-11-02,141,141,141,141,707
2018-11-05,141,141,141,141,1061
2018-11-06,152,152,152,152,884
2018-11-16,155,155,155,155,141
2018-11-21,156,163,156,163,1626
2018-11-26,161,161,161,161,354
2018-11-29,161,161,161,161,2722
2018-12-06,158,158,158,158,424
2018-12-10,158,158,158,158,141
2018-12-12,158,158,158,158,212
2018-12-13,147,147,147,147,35
2018-12-14,147,147,147,147,7353
2018-12-17,150,150,150,150,71
2018-12-19,150,150,150,150,71
2019-01-08,152,152,149,149,198
2019-01-11,149,149,141,141,120
2019-02-01,152,152,152,152,85
2019-02-25,152,152,152,152,226
2019-02-28,152,152,152,152,7
2019-03-04,156,156,156,156,247
2019-03-05,156,156,152,152,1677
2019-03-06,152,152,145,145,1688
2019-03-13,145,145,145,145,127
