Date,Open,High,Low,Close,Volume
1998-09-30,556,556.0,556.0,556,88
1998-10-31,577,668.0,562.0,562,22980
1998-11-30,566,566.0,566.0,566,4154
1998-12-31,600,600.0,600.0,600,459145
1999-02-28,588,588.0,588.0,588,884
1999-03-31,588,632.0,588.0,632,9546
1999-04-30,632,632.0,622.0,622,10076
1999-08-31,554,554.0,530.0,530,32260
1999-12-31,530,530.0,530.0,530,442
2000-02-29,487,487.0,487.0,487,1414
2000-07-31,430,430.0,430.0,430,6629
2000-08-31,430,430.0,430.0,430,1591
2000-09-30,430,430.0,407.0,407,6099
2000-11-30,407,407.0,407.0,407,37740
2000-12-31,407,407.0,407.0,407,796
2001-02-28,407,407.0,407.0,407,177
2001-03-31,407,407.0,407.0,407,707
2001-04-30,407,407.0,407.0,407,2651
2001-09-30,407,407.0,407.0,407,708
2001-12-31,407,407.0,407.0,407,4331
2002-03-31,407,407.0,407.0,407,530381
2002-04-30,407,407.0,407.0,407,1414
2002-06-30,407,407.0,407.0,407,9546
2002-07-31,407,407.0,407.0,407,177
2002-11-30,407,407.0,407.0,407,2033
2002-12-31,407,407.0,407.0,407,15555
2003-10-31,407,407.0,407.0,407,177
2003-11-30,407,407.0,407.0,407,177
2003-12-31,407,407.0,407.0,407,4684
2004-12-31,385,385.0,385.0,385,4331
2005-03-31,385,385.0,362.0,362,4242
2005-06-30,328,328.0,328.0,328,884
2005-07-31,328,362.0,328.0,362,121878
2005-08-31,362,362.0,362.0,362,355119
2005-09-30,328,328.0,328.0,328,707
2005-10-31,328,328.0,328.0,328,265
2005-11-30,353,362.0,353.0,362,355208
2005-12-31,362,362.0,362.0,362,2872597
2006-02-28,362,362.0,362.0,362,7778
2006-03-31,362,362.0,362.0,362,442
2006-04-30,362,362.0,351.0,351,4773
2006-05-31,328,328.0,262.0,272,18296
2006-06-30,272,272.0,272.0,272,4419
2006-07-31,272,272.0,272.0,272,1768
2006-09-30,272,272.0,272.0,272,19267
2006-11-30,272,272.0,272.0,272,88
2006-12-31,260,260.0,260.0,260,855275
2007-01-31,260,260.0,260.0,260,88
2007-03-31,260,260.0,260.0,260,88
2007-04-30,261,261.0,261.0,261,5834
2007-06-30,261,261.0,261.0,261,1149
2007-07-31,261,261.0,261.0,261,88
2007-08-31,283,283.0,283.0,283,3624
2007-10-31,283,283.0,283.0,283,707
2007-12-31,283,283.0,283.0,283,1326
2008-02-29,294,294.0,294.0,294,4242
2008-03-31,301,335.0,301.0,335,231297
2008-04-30,335,335.0,335.0,335,795
2008-05-31,335,339.0,335.0,339,15556
2008-06-30,339,339.0,339.0,339,707
2008-07-31,356,356.0,356.0,356,1061
2008-08-31,358,362.0,358.0,362,3447
2008-09-30,362,362.0,362.0,362,88
2008-10-31,368,425.0,368.0,425,796943
2008-11-30,425,425.0,425.0,425,1768
2009-02-28,402,402.0,402.0,402,1768
2009-03-31,402,402.0,390.0,390,3182
2009-06-30,362,362.0,362.0,362,19445
2009-07-31,335,335.0,335.0,335,4331
2009-08-31,335,335.0,335.0,335,6275
2009-10-31,331,331.0,331.0,331,4154
2009-12-31,331,331.0,331.0,331,88
2010-03-31,328,328.0,328.0,328,4242
2010-07-31,328,328.0,328.0,328,44279
2010-08-31,328,328.0,328.0,328,73799
2010-09-30,305,305.0,294.0,294,29519
2010-10-31,294,294.0,263.0,263,47637
2010-11-30,281,281.0,281.0,281,707
2011-01-31,277,277.0,277.0,277,884
2011-02-28,260,260.0,260.0,260,2386
2011-07-31,260,260.0,260.0,260,7513
2011-08-31,260,260.0,206.0,206,5214
2011-09-30,206,206.0,204.0,204,19710
2011-10-31,204,226.0,204.0,226,9634
2011-12-31,204,204.0,192.0,192,36856
2012-02-29,192,192.0,192.0,192,3181
2012-03-31,192,192.0,192.0,192,88
2012-04-30,192,192.0,192.0,192,707
2012-05-31,226,226.0,226.0,226,9986
2012-06-30,226,226.0,226.0,226,2210
2012-07-31,226,226.0,226.0,226,442
2012-08-31,232,232.0,232.0,232,2298
2012-09-30,232,232.0,232.0,232,9633
2012-10-31,232,232.0,232.0,232,972
2012-11-30,232,232.0,232.0,232,1061
2012-12-31,226,238.0,226.0,238,10960
2013-01-31,238,238.0,238.0,238,884
2013-02-28,238,238.0,238.0,238,4861
2013-03-31,238,255.0,238.0,255,3624
2013-04-30,255,260.0,255.0,260,21918
2013-05-31,260,260.0,260.0,260,1768
