Date,Open,High,Low,Close,Volume
1998-09-30,556,556.0,556.0,556,88
1998-12-31,577,668.0,562.0,600,486279
1999-03-31,588,632.0,588.0,632,10430
1999-06-30,632,632.0,622.0,622,10076
1999-09-30,554,554.0,530.0,530,32260
1999-12-31,530,530.0,530.0,530,442
2000-03-31,487,487.0,487.0,487,1414
2000-09-30,430,430.0,407.0,407,14319
2000-12-31,407,407.0,407.0,407,38536
2001-03-31,407,407.0,407.0,407,884
2001-06-30,407,407.0,407.0,407,2651
2001-09-30,407,407.0,407.0,407,708
2001-12-31,407,407.0,407.0,407,4331
2002-03-31,407,407.0,407.0,407,530381
2002-06-30,407,407.0,407.0,407,10960
2002-09-30,407,407.0,407.0,407,177
2002-12-31,407,407.0,407.0,407,17588
2003-12-31,407,407.0,407.0,407,5038
2004-12-31,385,385.0,385.0,385,4331
2005-03-31,385,385.0,362.0,362,4242
2005-06-30,328,328.0,328.0,328,884
2005-09-30,328,362.0,328.0,328,477704
2005-12-31,328,362.0,328.0,362,3228070
2006-03-31,362,362.0,362.0,362,8220
2006-06-30,362,362.0,262.0,272,27488
2006-09-30,272,272.0,272.0,272,21035
2006-12-31,272,272.0,260.0,260,855363
2007-03-31,260,260.0,260.0,260,176
2007-06-30,261,261.0,261.0,261,6983
2007-09-30,261,283.0,261.0,283,3712
2007-12-31,283,283.0,283.0,283,2033
2008-03-31,294,335.0,294.0,335,235539
2008-06-30,335,339.0,335.0,339,17058
2008-09-30,356,362.0,356.0,362,4596
2008-12-31,368,425.0,368.0,425,798711
2009-03-31,402,402.0,390.0,390,4950
2009-06-30,362,362.0,362.0,362,19445
2009-09-30,335,335.0,335.0,335,10606
2009-12-31,331,331.0,331.0,331,4242
2010-03-31,328,328.0,328.0,328,4242
2010-09-30,328,328.0,294.0,294,147597
2010-12-31,294,294.0,263.0,281,48344
2011-03-31,277,277.0,260.0,260,3270
2011-09-30,260,260.0,204.0,204,32437
2011-12-31,204,226.0,192.0,192,46490
2012-03-31,192,192.0,192.0,192,3269
2012-06-30,192,226.0,192.0,226,12903
2012-09-30,226,232.0,226.0,232,12373
2012-12-31,232,238.0,226.0,238,12993
2013-03-31,238,255.0,238.0,255,9369
2013-06-30,255,279.0,255.0,279,26337
2013-09-30,279,453.0,279.0,444,53647
2013-12-31,441,441.0,407.0,407,12901
2014-03-31,377,377.0,373.0,373,17677
2014-06-30,373,373.0,320.0,343,4242
2014-09-30,343,343.0,317.0,328,7425
2014-12-31,328,328.0,270.0,270,10517
2015-03-31,270,277.0,260.0,272,15025
2015-06-30,272,337.0,272.0,313,5037
2015-09-30,313,313.0,308.0,311,20417
2015-12-31,311,373.0,311.0,373,38977
2016-03-31,396,419.0,305.0,306,39860
2016-06-30,306,482.0,306.0,481,15644
2016-09-30,481,511.0,283.0,283,13080
2016-12-31,283,283.0,261.0,261,24658
2017-03-31,260,302.0,220.0,302,23685
2017-06-30,300,300.0,198.0,198,64164
2017-09-30,199,206.0,192.0,206,5390
2017-12-31,221,331.0,221.0,308,24462
2018-03-31,308,331.0,209.0,209,3289
2018-06-30,209,209.0,170.0,170,5835
2018-09-30,171,171.0,156.0,156,1698
2018-12-31,144,163.0,141.0,150,23191
2019-03-31,152,156.0,141.0,145,4375
2019-06-30,152,212.0,152.0,212,6448
2019-09-30,226,414.0,226.0,311,11000
2019-12-31,311,318.0,237.0,237,1053
2020-03-31,237,244.0,230.0,240,6808
2020-06-30,240,240.0,233.0,233,275
2020-09-30,226,226.0,209.0,209,2460
2020-12-31,194,209.0,191.0,198,24550
2021-03-31,202,226.0,131.0,131,17404
2021-06-30,131,283.0,124.0,258,41118
2021-09-30,272,672.0,237.0,446,116181
2021-12-31,414,601.0,339.0,601,70370
2022-03-31,587,1616.0,460.0,764,553958
2022-06-30,764,955.0,651.0,693,144724
2022-09-30,693,693.0,456.0,587,138296
2022-12-31,590,644.0,562.0,622,39945
2023-03-31,576,725.0,509.0,675,111172
2023-06-30,672,675.0,523.0,559,2493
2023-09-30,562,562.0,392.0,456,30236
2023-12-31,460,990.0,431.0,916,1211659
2024-03-31,884,916.0,704.0,813,223685
2024-06-30,873,873.0,598.0,689,4296
2024-09-30,689,693.0,520.0,615,20625
2024-12-31,615,615.0,449.0,509,33938
2025-03-31,509,587.0,481.0,559,21147
2025-06-30,559,566.0,417.0,481,118610
2025-09-30,488,1022.0,453.0,1008,933383
2025-12-31,1004,2790.0,1004.0,2337,568856
2026-03-31,2298,4971.0,2203.0,4971,360283
2026-06-30,5335,5343.0,3250.0,4700,535319
2026-09-30,4700,5970.0,3950.0,5610,206327
