Date,Open,High,Low,Close,Volume
1998-09-28,556,556.0,556.0,556,88
1998-10-05,577,577.0,577.0,577,177
1998-10-12,617,617.0,617.0,617,11401
1998-10-19,656,656.0,656.0,656,795
1998-10-26,656,668.0,656.0,668,5127
1998-11-02,562,562.0,562.0,562,5480
1998-11-30,566,566.0,566.0,566,4154
1998-12-14,600,600.0,600.0,600,1414
1998-12-28,600,600.0,600.0,600,457731
1999-03-01,588,588.0,588.0,588,884
1999-03-29,588,632.0,588.0,632,9546
1999-04-05,632,632.0,632.0,632,884
1999-05-03,622,622.0,622.0,622,9192
1999-08-23,554,554.0,554.0,554,12374
1999-08-30,532,532.0,530.0,530,19886
2000-01-03,530,530.0,530.0,530,442
2000-02-07,487,487.0,487.0,487,795
2000-02-14,487,487.0,487.0,487,619
2000-07-10,430,430.0,430.0,430,3359
2000-07-17,430,430.0,430.0,430,3270
2000-08-21,430,430.0,430.0,430,795
2000-08-28,430,430.0,430.0,430,619
2000-09-04,430,430.0,430.0,430,354
2000-09-11,419,419.0,419.0,419,3535
2000-09-18,407,407.0,407.0,407,2387
2000-11-13,407,407.0,407.0,407,442
2000-11-20,407,407.0,407.0,407,36414
2000-12-04,407,407.0,407.0,407,884
2000-12-18,407,407.0,407.0,407,442
2001-01-01,407,407.0,407.0,407,354
2001-02-19,407,407.0,407.0,407,177
2001-03-26,407,407.0,407.0,407,707
2001-04-23,407,407.0,407.0,407,2651
2001-09-10,407,407.0,407.0,407,354
2001-09-24,407,407.0,407.0,407,354
2001-12-31,407,407.0,407.0,407,4331
2002-03-11,407,407.0,407.0,407,88
2002-04-01,407,407.0,407.0,407,530293
2002-04-08,407,407.0,407.0,407,88
2002-04-22,407,407.0,407.0,407,1149
2002-04-29,407,407.0,407.0,407,177
2002-06-10,407,407.0,407.0,407,4773
2002-06-24,407,407.0,407.0,407,4773
2002-07-08,407,407.0,407.0,407,177
2002-11-11,407,407.0,407.0,407,2033
2002-12-30,407,407.0,407.0,407,88
2003-01-06,407,407.0,407.0,407,15467
2003-10-20,407,407.0,407.0,407,177
2003-11-24,407,407.0,407.0,407,177
2004-01-05,407,407.0,407.0,407,4684
2005-01-03,385,385.0,385.0,385,4331
2005-03-07,385,385.0,385.0,385,2828
2005-04-04,362,362.0,362.0,362,1414
2005-06-27,328,328.0,328.0,328,884
2005-07-25,328,362.0,328.0,362,121878
2005-08-01,362,362.0,362.0,362,88
2005-08-29,362,362.0,362.0,362,355031
2005-09-19,328,328.0,328.0,328,707
2005-10-10,328,328.0,328.0,328,265
2005-11-28,353,362.0,353.0,362,355208
2006-01-02,362,362.0,362.0,362,2872597
2006-02-06,362,362.0,362.0,362,177
2006-03-06,362,362.0,362.0,362,7601
2006-03-13,362,362.0,362.0,362,442
2006-04-24,362,362.0,362.0,362,354
2006-05-01,351,351.0,351.0,351,4419
2006-05-08,328,328.0,283.0,283,13611
2006-05-15,262,262.0,262.0,262,1679
2006-05-22,282,282.0,282.0,282,1768
2006-06-05,282,282.0,272.0,272,1238
2006-06-26,272,272.0,272.0,272,4419
2006-07-31,272,272.0,272.0,272,1768
2006-09-04,272,272.0,272.0,272,18383
2006-10-02,272,272.0,272.0,272,884
2006-11-27,272,272.0,272.0,272,88
2006-12-11,260,260.0,260.0,260,141235
2007-01-01,260,260.0,260.0,260,714040
2007-01-22,260,260.0,260.0,260,88
2007-03-19,260,260.0,260.0,260,88
2007-04-30,261,261.0,261.0,261,5834
2007-06-18,261,261.0,261.0,261,972
2007-06-25,261,261.0,261.0,261,177
2007-07-16,261,261.0,261.0,261,88
2007-08-06,283,283.0,283.0,283,707
2007-08-13,283,283.0,283.0,283,265
2007-08-27,283,283.0,283.0,283,2652
2007-11-05,283,283.0,283.0,283,707
2007-12-31,283,283.0,283.0,283,1326
2008-02-11,294,294.0,294.0,294,4242
2008-03-10,301,301.0,301.0,301,884
2008-03-17,323,335.0,323.0,335,230413
2008-04-21,335,335.0,335.0,335,795
2008-05-19,335,335.0,335.0,335,7778
2008-06-02,339,339.0,339.0,339,7778
2008-06-16,339,339.0,339.0,339,177
2008-06-23,339,339.0,339.0,339,88
