Date,Open,High,Low,Close,Volume
1998-12-31,556,668,556,600,486367
1999-12-31,588,632,530,530,53208
2000-12-31,487,487,407,407,54269
2001-12-31,407,407,407,407,8574
2002-12-31,407,407,407,407,559106
2003-12-31,407,407,407,407,5038
2004-12-31,385,385,385,385,4331
2005-12-31,385,385,328,362,3710900
2006-12-31,362,362,260,260,912106
2007-12-31,260,283,260,283,12904
2008-12-31,294,425,294,425,1055904
2009-12-31,402,402,331,331,39243
2010-12-31,328,328,263,281,200183
2011-12-31,277,277,192,192,82197
2012-12-31,192,238,192,238,41538
2013-12-31,238,453,238,407,102254
2014-12-31,377,377,270,270,39861
2015-12-31,270,373,260,373,79456
2016-12-31,396,511,261,261,93242
2017-12-31,260,331,192,308,117701
2018-12-31,308,331,141,150,34013
2019-12-31,152,414,141,237,22876
2020-12-31,237,244,191,198,34093
2021-12-31,202,672,124,601,245073
2022-12-31,587,1616,456,622,876923
2023-12-31,576,990,392,916,1355560
2024-12-31,884,916,449,509,282544
2025-12-31,509,2790,417,2337,1641996
2026-12-31,2298,5970,2203,5850,1119654
