Date,Open,High,Low,Close,Volume
2016-12-29,3494,3494,3494,3494,20
2016-12-30,3755,3755,3755,3755,480
2017-01-02,4036,4036,3624,3624,39912
2017-01-03,3600,3600,3488,3500,15288
2017-01-04,3500,3500,3450,3499,4524
2017-01-05,3463,3499,3425,3425,6908
2017-01-06,3388,3424,3374,3375,3528
2017-01-09,3363,3363,3250,3250,5076
2017-01-10,3250,3275,3250,3250,5612
2017-01-11,3250,3250,3006,3200,3340
2017-01-12,3200,3211,3013,3211,2976
2017-01-13,3210,3210,3013,3013,2276
2017-01-16,3113,3113,3013,3013,6692
2017-01-17,3025,3025,2788,3000,1644
2017-01-18,2999,2999,2775,2800,2492
2017-01-19,2798,2873,2749,2873,5712
2017-01-20,2850,2875,2750,2875,3060
2017-01-23,2801,2875,2751,2875,4984
2017-01-24,2875,2950,2875,2876,2076
2017-01-25,2875,2975,2875,2903,2920
2017-01-26,2925,3000,2900,2924,2872
2017-01-27,2924,2924,2875,2924,3876
2017-01-30,2875,2875,2750,2750,2968
2017-01-31,2750,2750,2705,2750,896
2017-02-01,2751,2824,2751,2800,8868
2017-02-02,2778,2875,2778,2800,6568
2017-02-03,2863,2975,2813,2925,12868
2017-02-06,2916,3000,2901,2944,5892
2017-02-07,2941,2941,2875,2875,1068
2017-02-08,2925,2925,2828,2828,4008
2017-02-09,2875,2875,2828,2828,1420
2017-02-10,2825,2873,2825,2825,712
2017-02-13,2825,2825,2775,2775,1576
2017-02-14,2850,2873,2800,2848,812
2017-02-15,2848,2925,2775,2925,7836
2017-02-16,2999,2999,2751,2825,1304
2017-02-17,2825,2825,2775,2799,476
2017-02-20,2799,2800,2750,2800,3844
2017-02-21,2776,2875,2750,2875,9796
2017-02-22,2875,3090,2875,3090,7272
2017-02-23,3125,3125,2859,2988,1572
2017-02-24,2825,3000,2825,2963,1280
2017-02-27,2881,2881,2800,2800,1584
2017-02-28,2875,3000,2753,3000,20128
2017-03-01,2876,3000,2876,2999,5976
2017-03-02,2900,2900,2801,2801,1752
2017-03-03,2850,2999,2850,2999,920
2017-03-06,2971,2971,2849,2849,1104
2017-03-07,2850,2875,2838,2838,660
2017-03-08,2825,2838,2753,2753,3592
2017-03-09,2775,2775,2750,2750,5488
2017-03-10,2825,2825,2750,2750,716
2017-03-13,2750,2800,2750,2750,7520
2017-03-14,2750,2800,2700,2800,3280
2017-03-15,2750,2950,2700,2950,12888
2017-03-16,2746,2900,2746,2750,7172
2017-03-17,2750,2800,2750,2800,4768
2017-03-20,2750,2875,2750,2750,9676
2017-03-21,2750,2754,2750,2750,29284
2017-03-22,2750,2950,2700,2700,15784
2017-03-23,2700,2903,2700,2700,2720
2017-03-24,2700,2873,2700,2700,14532
2017-03-27,2725,2750,2700,2750,1576
2017-03-28,2750,2750,2700,2750,3192
2017-03-29,2738,2950,2700,2950,9348
2017-03-30,2749,2800,2748,2750,2104
2017-03-31,2750,2775,2728,2728,2504
2017-04-03,2750,2750,2700,2700,2488
2017-04-04,2700,2750,2700,2700,3032
2017-04-05,2750,2750,2750,2750,2148
2017-04-06,2850,2850,2700,2700,7452
2017-04-07,2700,2750,2700,2700,2180
2017-04-10,2700,2700,2625,2700,3948
2017-04-11,2650,2700,2650,2700,1420
2017-04-12,2725,2725,2626,2626,1280
2017-04-13,2625,2673,2625,2650,2788
2017-04-14,2650,2650,2626,2626,3524
2017-04-18,2625,2626,2625,2625,8124
2017-04-19,2500,2649,2500,2625,4328
2017-04-20,2624,2624,2500,2500,5380
2017-04-21,2500,2623,2498,2500,5828
2017-04-24,2500,2500,2375,2375,2272
2017-04-25,2486,2500,2378,2500,1304
2017-04-26,2378,2500,2314,2500,4112
2017-04-27,2375,2500,2313,2499,2916
2017-04-28,2500,2500,2318,2375,1980
2017-05-02,2326,2373,2313,2313,3964
2017-05-03,2350,2350,2313,2313,2144
2017-05-04,2313,2400,2313,2375,7180
2017-05-05,2375,2375,2300,2325,1548
2017-05-08,2325,2325,2250,2250,1352
2017-05-09,2246,2250,2123,2250,5872
2017-05-10,2250,2375,2200,2375,10608
2017-05-11,2250,2250,2248,2249,760
2017-05-12,2250,2250,2175,2175,1228
2017-05-16,2246,2248,2175,2248,1028
2017-05-17,2175,2200,2125,2125,1928
2017-05-18,2125,2200,2124,2125,12260
2017-05-19,2100,2125,2100,2100,1600
2017-05-22,2125,2125,2000,2000,1556
2017-05-23,2024,2125,1850,2125,52476
2017-05-24,2000,2225,2000,2225,4440
2017-05-26,2225,2225,2125,2223,232
2017-05-29,2223,2225,2075,2225,1984
2017-05-30,2225,2225,2063,2120,852
2017-05-31,2098,2248,2000,2248,18000
