Date,Open,High,Low,Close,Volume
2016-12-31,3494,3755,3494,3755,500
2017-01-31,4036,4036,2705,2750,129632
2017-02-28,2751,3125,2750,3000,98884
2017-03-31,2876,3000,2700,2728,146556
2017-04-30,2750,2850,2313,2375,66504
2017-05-31,2326,2400,1850,2248,131012
2017-06-30,2236,2250,1750,1999,120628
2017-07-31,1949,2200,1400,1400,39540
2017-08-31,1400,1425,925,1100,112304
2017-09-30,1038,1213,1000,1100,103808
2017-10-31,1075,1113,950,950,98528
2017-11-30,950,991,786,788,84516
2017-12-31,800,1140,750,1140,121334
2018-01-31,1140,1140,840,950,78546
2018-02-28,950,1900,950,1840,245509
2018-03-31,1780,1830,1225,1600,81163
2018-04-30,1700,1800,1500,1500,42293
2018-05-31,1500,1500,1075,1250,45714
2018-06-30,1200,1205,1045,1150,38495
2018-07-31,1170,1200,1000,1100,42637
2018-08-31,1100,1200,950,1000,51265
2018-09-30,995,1115,950,995,56480
2018-10-31,960,1100,950,995,29223
2018-11-30,1000,1000,900,900,15413
2018-12-31,900,1010,885,950,58386
2019-01-31,905,990,800,990,91206
2019-02-28,995,1215,840,850,89396
2019-03-31,890,1005,850,900,25205
2019-04-30,855,1000,800,900,47617
2019-05-31,935,965,810,815,54236
2019-06-30,800,845,740,740,33206
2019-07-31,740,750,650,675,13512
2019-08-31,680,695,655,655,13294
2019-09-30,655,680,610,680,12504
2019-10-31,680,695,600,600,12005
2019-11-30,600,610,590,595,10496
2019-12-31,600,605,590,605,28310
2020-01-31,610,765,610,695,33511
2020-02-29,695,745,565,590,21671
2020-03-31,590,600,565,580,26588
2020-04-30,600,700,555,555,14380
2020-05-31,550,600,395,550,32788
2020-06-30,555,580,500,580,20317
2020-07-31,580,620,500,500,10457
2020-08-31,500,525,460,470,14781
2020-09-30,495,495,440,450,12017
2020-10-31,460,475,450,450,13537
2020-11-30,450,500,440,500,30906
2020-12-31,500,575,465,500,48061
2021-01-31,500,575,470,550,12366
2021-02-28,585,585,500,500,15468
2021-03-31,500,565,500,545,10124
2021-04-30,540,750,530,675,33629
2021-05-31,675,750,660,745,33263
2021-06-30,750,1130,735,990,107342
2021-07-31,985,1200,940,1185,65361
2021-08-31,1180,1550,1120,1350,72912
2021-09-30,1300,1395,1205,1350,47434
2021-10-31,1280,1290,1005,1220,64729
2021-11-30,1255,1300,905,1100,84655
2021-12-31,1065,1100,875,960,53453
2022-01-31,960,960,875,920,30469
2022-02-28,905,1110,905,1055,124760
2022-03-31,1060,1130,1000,1010,72147
2022-04-30,1030,1050,950,1000,28439
2022-05-31,1000,1000,735,910,37884
2022-06-30,910,1000,850,965,13185
2022-07-31,970,1125,970,1050,40938
2022-08-31,1005,1175,960,1120,52915
2022-09-30,1100,1120,1050,1060,37777
2022-10-31,1060,1190,1020,1180,198966
2022-11-30,1165,1220,970,970,46203
2022-12-31,970,1170,815,925,99230
2023-01-31,860,950,750,800,20942
2023-02-28,800,850,680,685,16309
2023-03-31,695,750,650,670,41844
2023-04-30,670,710,650,685,47828
2023-05-31,685,700,555,595,26052
2023-06-30,595,595,500,540,56417
2023-07-31,540,550,500,550,48156
2023-08-31,550,590,495,500,59578
2023-09-30,510,570,475,570,31134
2023-10-31,560,565,495,500,46893
2023-11-30,500,520,475,495,46001
2023-12-31,495,495,435,475,55845
2024-01-31,475,475,420,440,29425
2024-02-29,440,495,420,465,37314
2024-03-31,465,480,425,475,39371
2024-04-30,445,475,440,460,76286
2024-05-31,450,515,400,500,78725
2024-06-30,490,510,470,500,82607
2024-07-31,500,550,460,540,61094
2024-08-31,540,545,495,530,43647
2024-09-30,530,700,495,690,84592
2024-10-31,690,890,605,860,230129
2024-11-30,860,880,805,830,130103
2024-12-31,830,845,720,775,145398
2025-01-31,770,780,625,745,66370
2025-02-28,745,925,685,780,127605
2025-03-31,805,1025,800,1000,147566
2025-04-30,995,1010,880,960,60678
2025-05-31,970,1015,925,950,139948
2025-06-30,965,1065,880,960,125854
2025-07-31,960,1050,950,1000,88145
2025-08-31,1000,1230,995,1185,206791
2025-09-30,1190,1395,1160,1165,139149
2025-10-31,1165,1420,1120,1295,149767
2025-11-30,1200,1285,985,990,214954
2025-12-31,995,1120,985,1060,83502
2026-01-31,1060,1265,1025,1225,89531
2026-02-28,1225,1700,1205,1650,281872
2026-03-31,1615,1615,1455,1610,147689
2026-04-30,1620,2200,1620,1990,366425
2026-05-31,1845,2845,1845,2775,335935
2026-06-30,2775,3300,2700,3290,232059
2026-07-31,3290,3920,3285,3645,203301
2026-08-31,3645,3700,3350,3375,134794
