Date,Open,High,Low,Close,Volume
2016-12-31,3494,3755,3494,3755,500
2017-03-31,4036,4036,2700,2728,375072
2017-06-30,2750,2850,1750,1999,318144
2017-09-30,1949,2200,925,1100,255652
2017-12-31,1075,1140,750,1140,304378
2018-03-31,1140,1900,840,1600,405218
2018-06-30,1700,1800,1045,1150,126502
2018-09-30,1170,1200,950,995,150382
2018-12-31,960,1100,885,950,103022
2019-03-31,905,1215,800,900,205807
2019-06-30,855,1000,740,740,135059
2019-09-30,740,750,610,680,39310
2019-12-31,680,695,590,605,50811
2020-03-31,610,765,565,580,81770
2020-06-30,600,700,395,580,67485
2020-09-30,580,620,440,450,37255
2020-12-31,460,575,440,500,92504
2021-03-31,500,585,470,545,37958
2021-06-30,540,1130,530,990,174234
2021-09-30,985,1550,940,1350,185707
2021-12-31,1280,1300,875,960,202837
2022-03-31,960,1130,875,1010,227376
2022-06-30,1030,1050,735,965,79508
2022-09-30,970,1175,960,1060,131630
2022-12-31,1060,1220,815,925,344399
2023-03-31,860,950,650,670,79095
2023-06-30,670,710,500,540,130297
2023-09-30,540,590,475,570,138868
2023-12-31,560,565,435,475,148739
2024-03-31,475,495,420,475,106110
2024-06-30,445,515,400,500,237618
2024-09-30,500,700,460,690,189333
2024-12-31,690,890,605,775,505630
2025-03-31,770,1025,625,1000,341541
2025-06-30,995,1065,880,960,326480
2025-09-30,960,1395,950,1165,434085
2025-12-31,1165,1420,985,1060,448223
2026-03-31,1060,1700,1025,1610,519092
2026-06-30,1620,3300,1620,3290,934419
2026-09-30,3290,3920,3285,3565,275651
