Date,Open,High,Low,Close,Volume
2017-01-02,3494,4036,3494,3624,40412
2017-01-09,3600,3600,3250,3250,35324
2017-01-16,3250,3275,3006,3013,20896
2017-01-23,3025,3025,2749,2875,17892
2017-01-30,2875,3000,2750,2750,14712
2017-02-06,2750,3000,2705,2944,35092
2017-02-13,2941,2941,2775,2775,8784
2017-02-20,2850,2999,2750,2800,14272
2017-02-27,2776,3125,2750,2800,21504
2017-03-06,2875,3000,2753,2849,29880
2017-03-13,2850,2875,2750,2750,17976
2017-03-20,2750,2950,2700,2750,37784
2017-03-27,2750,2950,2700,2750,63896
2017-04-03,2750,2950,2700,2700,19636
2017-04-10,2700,2850,2625,2700,18760
2017-04-17,2650,2725,2625,2626,9012
2017-04-24,2625,2649,2375,2375,25932
2017-05-01,2486,2500,2313,2375,10312
2017-05-08,2326,2400,2250,2250,16188
2017-05-15,2246,2375,2123,2175,18468
2017-05-22,2246,2248,2000,2000,18372
2017-05-29,2024,2225,1850,2225,59132
2017-06-05,2225,2248,2000,2000,20180
2017-06-12,2000,2250,1850,1850,19916
2017-06-19,1850,2125,1750,2000,50328
2017-06-26,2000,2125,1965,2000,17704
2017-07-03,1963,2124,1850,1910,31772
2017-07-10,1900,2200,1850,1994,7760
2017-07-17,1998,2100,1750,1750,12920
2017-07-24,1750,1825,1619,1749,10292
2017-07-31,1725,1725,1400,1400,8148
2017-08-07,1400,1425,1179,1179,11976
2017-08-14,1236,1275,1181,1200,77536
2017-08-21,1213,1213,1123,1123,15880
2017-08-28,1123,1123,925,1025,3380
2017-09-04,1036,1101,1025,1095,5180
2017-09-11,1075,1101,1051,1098,22560
2017-09-18,1098,1101,1038,1100,8840
2017-09-25,1099,1213,1099,1125,37092
2017-10-02,1125,1125,1000,1100,34188
2017-10-09,1098,1113,1040,1050,7228
2017-10-16,1000,1050,976,1025,52124
2017-10-23,1000,1000,950,976,7840
2017-10-30,988,1000,950,950,30464
2017-11-06,950,991,873,875,5832
2017-11-13,875,938,875,876,3596
2017-11-20,875,900,850,875,12716
2017-11-27,940,940,786,788,53900
2017-12-04,800,824,788,788,8824
2017-12-11,800,845,750,790,12017
2017-12-18,785,805,750,790,26602
2017-12-25,790,1000,775,900,66540
2018-01-01,900,1140,900,1140,16175
2018-01-08,1140,1140,985,985,6413
2018-01-15,995,995,900,900,30792
2018-01-22,900,955,885,950,8150
2018-01-29,920,990,845,850,27786
2018-02-05,850,990,840,990,204771
2018-02-12,990,1150,980,1125,11151
2018-02-19,1110,1200,1105,1200,14989
2018-02-26,1250,1705,1250,1705,6683
2018-03-05,1830,1900,1465,1465,40000
2018-03-12,1500,1500,1225,1395,30602
2018-03-19,1450,1830,1450,1800,14899
2018-03-26,1800,1800,1500,1650,6964
2018-04-02,1605,1700,1600,1600,2018
2018-04-09,1700,1800,1550,1665,10417
2018-04-16,1645,1650,1505,1550,6982
2018-04-23,1505,1625,1500,1625,8409
2018-04-30,1625,1700,1500,1500,16485
2018-05-07,1500,1500,1295,1320,4377
2018-05-14,1300,1400,1300,1305,5119
