Date,Open,High,Low,Close,Volume
1998-09-16,1289,1289,1289,1289,1294
1998-10-05,1289,1289,1289,1289,15075
1998-10-07,1289,1289,1289,1289,5996
1998-10-09,1289,1289,1289,1289,101
1998-10-16,1600,1600,1600,1600,1643
1998-10-19,1600,1600,1600,1600,45
1998-10-21,1600,1600,1600,1600,3195
1998-10-26,1391,1391,1391,1391,113
1998-10-28,1289,1289,1289,1289,56
1998-10-30,1289,1289,1289,1289,315
1998-11-06,1289,1289,1289,1289,124
1998-11-11,1200,1200,1200,1200,1800
1998-11-13,1200,1200,1200,1200,12701
1998-11-18,1156,1156,1156,1156,68
1998-11-23,1244,1244,1244,1244,191
1998-12-02,1289,1289,1289,1289,135
1998-12-09,1244,1244,1244,1244,833
1998-12-11,1335,1335,1335,1335,3926
1998-12-14,1289,1289,1289,1289,113
1998-12-16,1192,1192,1192,1192,5828
1998-12-23,1244,1244,1244,1244,619
1998-12-28,1289,1289,1289,1289,1193
1998-12-30,1289,1289,1289,1289,1508
1999-01-08,1333,1333,1333,1333,743
1999-01-11,1333,1333,1333,1333,135
1999-01-13,1287,1287,1287,1287,56
1999-01-22,1287,1287,1287,1287,3263
1999-01-27,1333,1333,1333,1333,7988
1999-01-29,1289,1289,1289,1289,2531
1999-02-01,1289,1289,1289,1289,34
1999-02-03,1289,1289,1289,1289,439
1999-02-05,1333,1333,1333,1333,22500
1999-02-08,1333,1333,1333,1333,113
1999-02-10,1333,1333,1333,1333,45056
1999-02-15,1333,1333,1333,1333,39375
1999-02-17,1333,1333,1333,1333,563
1999-02-19,1289,1289,1289,1289,113
1999-02-24,1333,1333,1333,1333,6188
1999-02-26,1333,1333,1333,1333,113
1999-03-03,1333,1333,1333,1333,7133
1999-03-05,1333,1333,1333,1333,4556
1999-03-08,1333,1333,1333,1333,6244
1999-03-10,1333,1333,1333,1333,20475
1999-03-12,1333,1333,1333,1333,146
1999-03-17,1333,1333,1333,1333,540
1999-03-19,1333,1333,1333,1333,675
1999-03-24,1333,1333,1333,1333,34189
1999-03-26,1333,1333,1333,1333,12555
1999-03-31,1333,1333,1333,1333,866
1999-04-02,1333,1333,1333,1333,2846
1999-04-07,1422,1422,1422,1422,281
1999-04-09,1422,1422,1422,1422,135
1999-04-12,1422,1422,1422,1422,1125
1999-04-14,1334,1334,1334,1334,113
1999-04-16,1334,1334,1334,1334,473
1999-04-19,1333,1333,1333,1333,1564
1999-04-21,1334,1334,1334,1334,450
1999-04-30,1333,1333,1333,1333,225
1999-05-14,1333,1333,1333,1333,225
1999-05-17,1333,1333,1333,1333,113
1999-05-28,1333,1333,1333,1333,146
1999-06-02,1289,1289,1289,1289,1238
1999-06-07,1289,1289,1289,1289,293
1999-06-11,1333,1333,1333,1333,900
1999-06-14,1433,1433,1433,1433,1519
1999-06-16,1540,1540,1540,1540,1125
1999-06-18,1600,1600,1600,1600,6458
1999-06-21,1600,1600,1600,1600,2250
1999-06-23,1600,1600,1600,1600,1148
1999-07-14,1378,1378,1378,1378,90
1999-07-19,1481,1481,1481,1481,1125
1999-07-21,1511,1511,1511,1511,1238
1999-07-23,1600,1600,1600,1600,1125
1999-07-26,1600,1600,1600,1600,563
1999-07-28,1599,1599,1599,1599,1125
1999-07-30,1556,1556,1556,1556,563
1999-08-02,1591,1591,1591,1591,1125
1999-08-11,1511,1511,1511,1511,563
1999-08-16,1398,1398,1398,1398,1013
1999-08-23,1333,1333,1333,1333,383
1999-08-25,1244,1244,1244,1244,619
1999-08-27,1244,1244,1244,1244,169
1999-09-01,1244,1244,1244,1244,304
1999-09-03,1244,1244,1244,1244,203
1999-09-06,1244,1244,1244,1244,90
1999-09-10,1244,1244,1244,1244,113
1999-09-13,1244,1244,1244,1244,90
1999-09-17,1244,1244,1244,1244,113
1999-09-24,1228,1228,1228,1228,113
1999-09-29,1227,1227,1227,1227,2250
1999-10-01,1227,1227,1227,1227,6750
1999-10-04,1227,1227,1227,1227,1125
1999-10-06,1227,1227,1227,1227,2048
1999-10-08,1227,1227,1227,1227,1125
1999-10-11,1227,1227,1227,1227,1125
1999-10-13,1227,1227,1227,1227,11250
1999-10-15,1227,1227,1227,1227,21150
1999-10-20,1244,1244,1244,1244,1125
1999-10-22,1253,1253,1253,1253,1271
1999-10-25,1258,1258,1258,1258,1238
1999-10-27,1293,1293,1293,1293,1091
1999-10-29,1293,1293,1293,1293,1080
1999-11-03,1293,1293,1293,1293,608
1999-11-05,1244,1244,1244,1244,968
1999-11-08,1244,1244,1244,1244,158
1999-11-10,1338,1338,1338,1338,225
1999-11-17,1293,1293,1293,1293,225
1999-11-19,1293,1293,1293,1293,1125
1999-11-22,1244,1244,1244,1244,563
1999-11-24,1289,1289,1289,1289,13568
1999-11-26,1289,1289,1289,1289,1463
1999-12-01,1333,1333,1333,1333,563
1999-12-03,1332,1332,1332,1332,563
1999-12-06,1422,1422,1422,1422,3038
1999-12-08,1467,1467,1467,1467,518
1999-12-10,1511,1511,1511,1511,18653
1999-12-17,1511,1511,1511,1511,5625
1999-12-20,1511,1511,1511,1511,79
1999-12-29,1511,1511,1511,1511,563
2000-01-10,1511,1511,1511,1511,113
2000-01-14,1422,1422,1422,1422,113
2000-01-17,1333,1333,1333,1333,113
2000-01-26,1244,1244,1244,1244,101
2000-01-28,1244,1244,1244,1244,281
2000-02-02,1244,1244,1244,1244,304
2000-02-04,1244,1244,1244,1244,11
2000-02-09,1244,1244,1244,1244,281
2000-02-16,1200,1200,1200,1200,135
2000-02-18,1156,1156,1156,1156,754
2000-02-28,1093,1093,1093,1093,4725
2000-03-01,1089,1089,1089,1089,2126
2000-03-03,1084,1084,1084,1084,2160
2000-03-06,1084,1084,1084,1084,4804
2000-03-08,1084,1084,1084,1084,169
2000-03-10,1084,1084,1084,1084,169
2000-03-13,1084,1084,1084,1084,563
2000-03-15,1084,1084,1084,1084,664
2000-03-24,1084,1084,1084,1084,225
2000-03-29,1084,1084,1084,1084,45
2000-03-31,1085,1085,1085,1085,551
2000-04-07,1085,1085,1085,1085,225
2000-04-10,1085,1085,1085,1085,45
2000-04-12,1085,1085,1085,1085,2666
2000-04-14,1111,1111,1111,1111,338
2000-04-19,1111,1111,1111,1111,394
2000-04-21,1111,1111,1111,1111,113
2000-04-28,1111,1111,1111,1111,2284
2000-05-03,1111,1111,1111,1111,169
2000-05-05,1111,1111,1111,1111,11
2000-05-12,1111,1111,1111,1111,394
2000-05-15,1111,1111,1111,1111,135
2000-05-17,1111,1111,1111,1111,191
2000-05-26,1111,1111,1111,1111,56
2000-05-29,1111,1111,1111,1111,338
2000-06-09,1111,1111,1111,1111,45
2000-06-16,1111,1111,1111,1111,22309
2000-06-21,1111,1111,1111,1111,15413
2000-06-23,1111,1111,1111,1111,911
2000-06-26,1156,1156,1156,1156,225
2000-06-30,1156,1156,1156,1156,45
2000-07-07,1156,1156,1156,1156,293
2000-07-10,1156,1156,1156,1156,113
2000-07-12,1200,1200,1200,1200,5344
2000-07-17,1244,1244,1244,1244,3488
2000-07-19,1333,1333,1333,1333,1350
2000-07-21,1378,1378,1378,1378,2396
2000-07-26,1333,1333,1333,1333,675
2000-08-09,1333,1333,1333,1333,23
2000-08-11,1244,1244,1244,1244,225
2000-08-23,1244,1244,1244,1244,113
2000-08-30,1244,1244,1244,1244,68
2000-09-01,1244,1244,1244,1244,563
2000-09-11,1244,1244,1244,1244,23
2000-09-15,1203,1203,1203,1203,2660
2000-09-20,1220,1220,1220,1220,200
2000-09-27,1220,1220,1220,1220,2840
2000-10-04,1220,1220,1220,1220,200
2000-10-06,1220,1220,1220,1220,290
2000-10-11,1220,1220,1220,1220,160
2000-10-13,1200,1200,1200,1200,770
2000-10-18,1200,1200,1200,1200,1540
2000-11-02,1200,1200,1200,1200,50
2000-11-03,1200,1200,1200,1200,340
2000-11-06,1220,1220,1220,1220,130
2000-11-10,1220,1220,1220,1220,300
2000-11-17,1220,1220,1220,1220,50
2000-11-22,1220,1220,1220,1220,1670
2000-11-27,1220,1220,1220,1220,320
2000-11-29,1220,1220,1220,1220,570
2000-12-01,1220,1220,1220,1220,40
2000-12-08,1210,1210,1210,1210,3050
2000-12-11,1200,1200,1200,1200,240
2000-12-13,1200,1200,1200,1200,40
2000-12-15,1200,1200,1200,1200,100
2000-12-22,1199,1199,1199,1199,430
2001-01-02,1199,1199,1199,1199,50
2001-01-03,1198,1198,1198,1198,570
2001-01-12,1198,1198,1198,1198,380
2001-01-17,1150,1150,1150,1150,2060
2001-01-19,1150,1150,1150,1150,640
2001-01-22,1150,1150,1150,1150,300
2001-01-24,1150,1150,1150,1150,250
2001-01-26,1150,1150,1150,1150,1020
2001-01-31,1150,1150,1150,1150,20
2001-02-07,1149,1149,1149,1149,100
2001-02-09,1149,1149,1149,1149,130
2001-02-14,1100,1100,1100,1100,21540
2001-02-16,1100,1100,1100,1100,500
2001-02-19,1100,1100,1100,1100,780
2001-02-21,1100,1100,1100,1100,800
2001-02-23,1100,1100,1100,1100,820
2001-02-26,1100,1100,1100,1100,50
2001-02-28,1100,1100,1100,1100,1090
2001-03-06,1050,1050,1050,1050,460
2001-03-07,1050,1050,1050,1050,1940
2001-03-09,1050,1050,1050,1050,490
2001-03-12,1050,1050,1050,1050,300
2001-03-14,1050,1050,1050,1050,70
2001-03-16,1050,1050,1050,1050,1990
2001-03-21,1050,1050,1050,1050,200
2001-03-23,1050,1050,1050,1050,2230
2001-03-26,1070,1070,1070,1070,750
2001-03-28,1080,1080,1080,1080,2000
2001-03-30,1100,1100,1100,1100,390
2001-04-06,1100,1100,1100,1100,2800
2001-04-11,1100,1100,1100,1100,300
2001-04-13,1100,1100,1100,1100,1470
2001-04-17,1100,1100,1100,1100,1830
2001-04-18,1180,1180,1180,1180,230
2001-04-20,1200,1200,1200,1200,11380
2001-04-25,1200,1200,1200,1200,270
2001-04-27,1200,1200,1200,1200,1500
2001-04-30,1200,1200,1200,1200,560
2001-05-04,1200,1200,1200,1200,400
2001-05-09,1200,1200,1200,1200,400
2001-05-11,1200,1200,1200,1200,680
2001-05-23,1202,1202,1202,1202,460
2001-05-25,1200,1200,1200,1200,2160
2001-05-30,1200,1200,1200,1200,400
2001-06-08,1200,1200,1200,1200,1000
2001-06-13,1200,1200,1200,1200,870
2001-06-15,1200,1200,1200,1200,550
2001-06-29,1200,1200,1200,1200,200
2001-07-02,1200,1200,1200,1200,250
2001-07-06,1200,1200,1200,1200,300
2001-07-11,1200,1200,1200,1200,100
2001-07-20,1185,1185,1185,1185,140
2001-07-23,1185,1185,1185,1185,200
2001-07-27,1185,1185,1185,1185,330
2001-08-01,1185,1185,1185,1185,250
2001-08-03,1185,1185,1185,1185,350
2001-08-08,1185,1185,1185,1185,130
2001-08-10,1185,1185,1185,1185,2020
2001-08-22,1185,1185,1185,1185,260
2001-08-24,1185,1185,1185,1185,320
2001-08-29,1185,1185,1185,1185,250
2001-09-05,1185,1185,1185,1185,100
2001-09-07,1185,1185,1185,1185,300
2001-09-12,1185,1185,1185,1185,830
2001-09-14,1185,1185,1185,1185,410
2001-09-21,1150,1150,1150,1150,700
2001-09-26,1150,1150,1150,1150,2000
2001-10-10,1080,1080,1080,1080,200
2001-10-12,1080,1080,1080,1080,1620
2001-10-15,1080,1080,1080,1080,250
2001-10-17,1080,1080,1080,1080,120
2001-10-19,1100,1100,1100,1100,820
2001-10-22,1183,1183,1183,1183,80
2001-10-24,1100,1100,1100,1100,100
2001-10-26,1100,1100,1100,1100,300
2001-10-29,1100,1100,1100,1100,230
2001-11-13,1100,1100,1100,1100,10
2001-11-19,1100,1100,1100,1100,200
2001-11-21,1100,1100,1100,1100,100
2001-11-23,1100,1100,1100,1100,200
2001-11-30,1080,1080,1080,1080,490
2001-12-03,1080,1080,1080,1080,10
2001-12-06,1080,1080,1080,1080,100
2001-12-10,1080,1080,1080,1080,760
2001-12-21,1161,1161,1161,1161,1000
