Date,Open,High,Low,Close,Volume
1998-09-30,1289,1289.0,1289.0,1289,1294
1998-10-31,1289,1600.0,1289.0,1289,26539
1998-11-30,1289,1289.0,1156.0,1244,14884
1998-12-31,1289,1335.0,1192.0,1289,14155
1999-01-31,1333,1333.0,1287.0,1289,14716
1999-02-28,1289,1333.0,1289.0,1333,114494
1999-03-31,1333,1333.0,1333.0,1333,87379
1999-04-30,1333,1422.0,1333.0,1333,7212
1999-05-31,1333,1333.0,1333.0,1333,484
1999-06-30,1289,1600.0,1289.0,1600,14931
1999-07-31,1378,1600.0,1378.0,1556,5829
1999-08-31,1591,1591.0,1244.0,1244,3872
1999-09-30,1244,1244.0,1227.0,1227,3276
1999-10-31,1227,1293.0,1227.0,1293,50378
1999-11-30,1293,1338.0,1244.0,1289,18903
1999-12-31,1333,1511.0,1332.0,1511,29602
2000-01-31,1511,1511.0,1244.0,1244,721
2000-02-29,1244,1244.0,1093.0,1093,6210
2000-03-31,1089,1089.0,1084.0,1085,11476
2000-04-30,1085,1111.0,1085.0,1111,6065
2000-05-31,1111,1111.0,1111.0,1111,1294
2000-06-30,1111,1156.0,1111.0,1156,38948
2000-07-31,1156,1378.0,1156.0,1333,13659
2000-08-31,1333,1333.0,1244.0,1244,429
2000-09-30,1244,1244.0,1203.0,1220,6286
2000-10-31,1220,1220.0,1200.0,1200,2960
2000-11-30,1200,1220.0,1200.0,1220,3430
2000-12-31,1220,1220.0,1199.0,1199,3900
2001-01-31,1199,1199.0,1150.0,1150,5290
2001-02-28,1149,1149.0,1100.0,1100,25810
2001-03-31,1050,1100.0,1050.0,1100,10820
2001-04-30,1100,1200.0,1100.0,1200,20340
2001-05-31,1200,1202.0,1200.0,1200,4500
2001-06-30,1200,1200.0,1200.0,1200,2620
2001-07-31,1200,1200.0,1185.0,1185,1320
2001-08-31,1185,1185.0,1185.0,1185,3580
2001-09-30,1185,1185.0,1150.0,1150,4340
2001-10-31,1080,1183.0,1080.0,1100,3720
2001-11-30,1100,1100.0,1080.0,1080,1000
2001-12-31,1080,1550.0,1080.0,1550,18330
2002-01-31,1550,1550.0,1490.0,1490,170
2002-02-28,1450,1450.0,1241.0,1241,400
2002-03-31,1200,1200.0,1110.0,1110,102660
2002-04-30,1110,1110.0,1050.0,1051,3030
2002-05-31,1051,1051.0,1050.0,1050,1810
2002-06-30,1050,1050.0,1050.0,1050,430
2002-07-31,1050,1050.0,1050.0,1050,370
2002-08-31,1050,1050.0,1000.0,1000,6120
2002-09-30,1000,1000.0,1000.0,1000,4810
2002-10-31,1000,1000.0,1000.0,1000,4240
2002-11-30,1000,1000.0,1000.0,1000,700
2002-12-31,1000,1075.0,930.0,930,3660
2003-01-31,929,929.0,929.0,929,1670
2003-03-31,929,929.0,858.0,858,1820
2003-04-30,858,858.0,854.0,854,810
2003-05-31,854,854.0,853.0,853,110
2003-06-30,790,790.0,750.0,750,3630
2003-07-31,731,853.0,731.0,853,7780
2003-08-31,790,790.0,790.0,790,1810
2003-09-30,790,853.0,790.0,853,5310
2003-10-31,830,850.0,800.0,850,1400
2003-11-30,800,800.0,800.0,800,1280
2003-12-31,860,995.0,860.0,995,12520
2004-01-31,990,990.0,990.0,990,100
2004-02-29,900,900.0,900.0,900,1730
2004-04-30,900,900.0,900.0,900,250
2004-06-30,900,900.0,900.0,900,18560
2004-07-31,900,900.0,900.0,900,60
2004-08-31,900,900.0,840.0,840,7630
2004-09-30,800,800.0,740.0,740,14030
2004-10-31,740,740.0,648.0,648,20590
2004-11-30,648,650.0,648.0,650,3690
2004-12-31,650,1040.0,650.0,1040,6430
2005-03-31,950,950.0,850.0,850,430
2005-04-30,850,850.0,850.0,850,20
2005-05-31,660,700.0,615.0,700,2690
2005-06-30,701,701.0,651.0,685,5620
2005-07-31,670,670.0,650.0,650,1050
2005-08-31,650,660.0,650.0,660,440
2005-09-30,660,700.0,660.0,660,2130
2005-10-31,611,611.0,560.0,600,10760
2005-11-30,600,605.0,560.0,560,1950
2005-12-31,565,795.0,565.0,795,363870
2006-01-31,800,800.0,800.0,800,100
2006-02-28,600,630.0,600.0,601,2750
2006-03-31,601,601.0,600.0,600,15710
2006-04-30,602,610.0,602.0,610,1100
2006-05-31,625,660.0,625.0,660,7830
2006-06-30,660,661.0,660.0,661,4480
2006-07-31,666,700.0,666.0,700,930
2006-08-31,700,700.0,670.0,670,930
2006-09-30,681,681.0,660.0,660,2180
2006-10-31,620,620.0,620.0,620,2380
2006-11-30,620,620.0,620.0,620,840
2006-12-31,650,670.0,620.0,620,13060
2007-01-31,620,621.0,620.0,621,2570
2007-02-28,670,670.0,670.0,670,3890
2007-03-31,670,670.0,620.0,620,1320
2007-04-30,651,651.0,651.0,651,160
2007-05-31,651,652.0,650.0,650,1080
2007-06-30,656,800.0,656.0,800,1070
2007-07-31,800,801.0,800.0,801,1100
2007-08-31,865,1000.0,865.0,936,7010
2007-09-30,936,1100.0,936.0,1060,13160
2007-10-31,1040,1040.0,900.0,900,14070
2007-11-30,900,1001.0,900.0,1001,8310
2007-12-31,1001,1002.0,995.0,995,3250
2008-01-31,951,994.0,925.0,994,8720
2008-02-29,994,1000.0,994.0,994,6550
2008-03-31,1000,1026.0,1000.0,1026,1930
2008-04-30,1100,1200.0,1100.0,1200,3790
2008-05-31,1200,1200.0,1200.0,1200,5250
2008-06-30,1200,1200.0,1200.0,1200,17740
2008-07-31,1200,1201.0,1200.0,1200,4830
2008-08-31,1200,1200.0,1200.0,1200,490
2008-09-30,1200,1600.0,1200.0,1600,8730
2008-10-31,1600,1650.0,1530.0,1530,4100
2008-11-30,1600,1600.0,1400.0,1400,2510
2008-12-31,1400,1496.0,1295.0,1496,10030
