Date,Open,High,Low,Close,Volume
1998-09-30,1289,1289,1289,1289,1294
1998-12-31,1289,1600,1156,1289,55578
1999-03-31,1333,1333,1287,1333,216589
1999-06-30,1333,1600,1289,1600,22627
1999-09-30,1378,1600,1227,1227,12977
1999-12-31,1227,1511,1227,1511,98883
2000-03-31,1511,1511,1084,1085,18407
2000-06-30,1085,1156,1085,1156,46307
2000-09-30,1156,1378,1156,1220,20374
2000-12-31,1220,1220,1199,1199,10290
2001-03-31,1199,1199,1050,1100,41920
2001-06-30,1100,1202,1100,1200,27460
2001-09-30,1200,1200,1150,1150,9240
2001-12-31,1080,1550,1080,1550,23050
2002-03-31,1550,1550,1110,1110,103230
2002-06-30,1110,1110,1050,1050,5270
2002-09-30,1050,1050,1000,1000,11300
2002-12-31,1000,1075,930,930,8600
2003-03-31,929,929,858,858,3490
2003-06-30,858,858,750,750,4550
2003-09-30,731,853,731,853,14900
2003-12-31,830,995,800,995,15200
2004-03-31,990,990,900,900,1830
2004-06-30,900,900,900,900,18810
2004-09-30,900,900,740,740,21720
2004-12-31,740,1040,648,1040,30710
2005-03-31,950,950,850,850,430
2005-06-30,850,850,615,685,8330
2005-09-30,670,700,650,660,3620
2005-12-31,611,795,560,795,376580
2006-03-31,800,800,600,600,18560
2006-06-30,602,661,602,661,13410
2006-09-30,666,700,660,660,4040
2006-12-31,620,670,620,620,16280
2007-03-31,620,670,620,620,7780
2007-06-30,651,800,650,800,2310
2007-09-30,800,1100,800,1060,21270
2007-12-31,1040,1040,900,995,25630
2008-03-31,951,1026,925,1026,17200
2008-06-30,1100,1200,1100,1200,26780
2008-09-30,1200,1600,1200,1600,14050
2008-12-31,1600,1650,1295,1496,16640
2009-03-31,1496,1496,1203,1203,17840
2009-06-30,1203,1203,1100,1100,7390
2009-09-30,1101,1151,1000,1000,17710
2009-12-31,1000,1100,1000,1020,24050
2010-03-31,1010,1090,800,1090,33900
2010-06-30,1090,1330,1090,1200,17870
2010-09-30,1200,1200,1100,1168,12980
2010-12-31,1210,1300,1100,1150,17950
2011-03-31,1200,1201,1161,1200,5740
2011-06-30,1200,1700,1200,1700,83030
2011-09-30,1700,1700,1400,1650,24820
2011-12-31,1650,1800,1600,1800,16940
2012-03-31,1850,2898,1850,2412,30180
2012-06-30,2592,2820,2300,2311,12070
2012-09-30,2484,3090,2484,3090,37250
2012-12-31,3091,4300,3091,4200,91330
2013-03-31,4200,4500,4000,4500,54980
2013-06-30,4500,4945,3936,4301,86180
2013-09-30,4301,4900,4301,4701,63130
2013-12-31,4701,8346,4700,8160,58450
2014-03-31,8000,8000,5400,7700,41140
2014-06-30,7200,7700,4800,5278,105400
2014-09-30,4950,6250,4900,6250,272840
2014-12-31,6200,9130,5500,9130,454210
2015-03-31,9000,9000,6400,6500,96610
2015-06-30,6500,7620,5500,7010,111270
2015-09-30,7000,8250,7000,8150,121680
2015-12-31,8150,10500,8053,10400,501010
2016-03-31,10300,10400,8850,10320,336880
2016-06-30,10300,10400,8722,9200,73470
2016-09-30,9000,9000,7800,8450,75150
2016-12-31,8550,8565,6200,8450,37690
2017-03-31,8000,8000,6000,6700,18730
2017-06-30,6700,7385,5300,6300,48160
2017-09-30,6300,6450,5400,6450,46490
2017-12-31,6100,6100,2890,5910,48638
2018-03-31,5900,6000,3415,4070,92837
2018-06-30,4070,4580,3600,4150,64129
2018-09-30,4150,4500,3550,3645,22053
2018-12-31,3645,4080,3000,3885,61321
2019-03-31,3885,3885,2850,2890,19043
2019-06-30,2890,3295,2680,3050,36816
2019-09-30,3020,3500,2785,2800,92726
2019-12-31,2990,3215,2600,2800,70682
2020-03-31,2700,3255,2685,2755,41160
2020-06-30,2755,3400,2650,3395,49623
2020-09-30,3395,3400,2300,2795,125890
2020-12-31,2795,3000,2500,2990,115457
2021-03-31,2900,3650,2700,3650,94180
2021-06-30,3460,4500,3040,4500,70003
2021-09-30,4500,4700,3500,4200,295550
2021-12-31,4210,4600,4105,4295,80223
2022-03-31,4500,4500,3750,4495,93959
2022-06-30,4375,5400,4255,5260,61416
2022-09-30,5260,5700,4980,5500,57108
2022-12-31,5495,5690,4505,5465,106991
2023-03-31,5465,5465,4750,5200,75336
2023-06-30,5100,5200,4745,4990,35750
2023-09-30,4990,5450,4650,4845,255185
2023-12-31,4845,4950,4000,4770,82032
2024-03-31,4750,4750,4100,4500,25441
2024-06-30,4500,5340,4200,5325,110958
2024-09-30,5325,6100,4995,5720,126271
2024-12-31,5300,5910,4995,5685,177954
2025-03-31,5690,6600,5500,6580,83180
2025-06-30,6580,6710,5800,6000,63022
2025-09-30,6000,6300,5320,5850,54757
2025-12-31,5900,6250,5605,5800,62631
2026-03-31,5800,8110,5705,7500,102765
2026-06-30,7500,12275,6620,12000,46803
2026-09-30,12120,12150,11000,12090,49972
