Date,Open,High,Low,Close,Volume
1998-09-21,1289,1289.0,1289.0,1289,1294
1998-10-05,1289,1289.0,1289.0,1289,15075
1998-10-12,1289,1289.0,1289.0,1289,6097
1998-10-19,1600,1600.0,1600.0,1600,1688
1998-10-26,1600,1600.0,1391.0,1391,3308
1998-11-02,1289,1289.0,1289.0,1289,371
1998-11-09,1289,1289.0,1289.0,1289,124
1998-11-16,1200,1200.0,1200.0,1200,14501
1998-11-23,1156,1244.0,1156.0,1244,259
1998-12-07,1289,1289.0,1289.0,1289,135
1998-12-14,1244,1335.0,1244.0,1289,4872
1998-12-21,1192,1192.0,1192.0,1192,5828
1998-12-28,1244,1289.0,1244.0,1289,1812
1999-01-04,1289,1289.0,1289.0,1289,1508
1999-01-11,1333,1333.0,1333.0,1333,878
1999-01-18,1287,1287.0,1287.0,1287,56
1999-01-25,1287,1287.0,1287.0,1287,3263
1999-02-01,1333,1333.0,1289.0,1289,10553
1999-02-08,1289,1333.0,1289.0,1333,23052
1999-02-15,1333,1333.0,1333.0,1333,84431
1999-02-22,1333,1333.0,1289.0,1289,676
1999-03-01,1333,1333.0,1333.0,1333,6301
1999-03-08,1333,1333.0,1333.0,1333,17933
1999-03-15,1333,1333.0,1333.0,1333,20621
1999-03-22,1333,1333.0,1333.0,1333,1215
1999-03-29,1333,1333.0,1333.0,1333,46744
1999-04-05,1333,1333.0,1333.0,1333,3712
1999-04-12,1422,1422.0,1422.0,1422,1541
1999-04-19,1334,1334.0,1333.0,1333,2150
1999-04-26,1334,1334.0,1334.0,1334,450
1999-05-03,1333,1333.0,1333.0,1333,225
1999-05-17,1333,1333.0,1333.0,1333,338
1999-05-31,1333,1333.0,1333.0,1333,146
1999-06-07,1289,1289.0,1289.0,1289,1531
1999-06-14,1333,1433.0,1333.0,1433,2419
1999-06-21,1540,1600.0,1540.0,1600,9833
1999-06-28,1600,1600.0,1600.0,1600,1148
1999-07-19,1378,1481.0,1378.0,1481,1215
1999-07-26,1511,1600.0,1511.0,1600,2926
1999-08-02,1599,1599.0,1556.0,1591,2813
1999-08-16,1511,1511.0,1398.0,1398,1576
1999-08-23,1333,1333.0,1333.0,1333,383
1999-08-30,1244,1244.0,1244.0,1244,788
1999-09-06,1244,1244.0,1244.0,1244,597
1999-09-13,1244,1244.0,1244.0,1244,203
1999-09-20,1244,1244.0,1244.0,1244,113
1999-09-27,1228,1228.0,1228.0,1228,113
1999-10-04,1227,1227.0,1227.0,1227,10125
1999-10-11,1227,1227.0,1227.0,1227,4298
1999-10-18,1227,1227.0,1227.0,1227,32400
1999-10-25,1244,1258.0,1244.0,1258,3634
1999-11-01,1293,1293.0,1293.0,1293,2171
1999-11-08,1293,1293.0,1244.0,1244,1734
1999-11-15,1338,1338.0,1338.0,1338,225
1999-11-22,1293,1293.0,1244.0,1244,1913
1999-11-29,1289,1289.0,1289.0,1289,15031
1999-12-06,1333,1422.0,1332.0,1422,4164
1999-12-13,1467,1511.0,1467.0,1511,19171
1999-12-20,1511,1511.0,1511.0,1511,5704
2000-01-03,1511,1511.0,1511.0,1511,563
2000-01-10,1511,1511.0,1511.0,1511,113
2000-01-17,1422,1422.0,1333.0,1333,226
2000-01-31,1244,1244.0,1244.0,1244,382
2000-02-07,1244,1244.0,1244.0,1244,315
