Date,Open,High,Low,Close,Volume
1998-12-31,1289,1600,1156,1289,56872
1999-12-31,1333,1600,1227,1511,351076
2000-12-31,1511,1511,1084,1199,95378
2001-12-31,1199,1550,1050,1550,101670
2002-12-31,1550,1550,930,930,128400
2003-12-31,929,995,731,995,38140
2004-12-31,990,1040,648,1040,73070
2005-12-31,950,950,560,795,388960
2006-12-31,800,800,600,620,52290
2007-12-31,620,1100,620,995,56990
2008-12-31,951,1650,925,1496,74670
2009-12-31,1496,1496,1000,1020,66990
2010-12-31,1010,1330,800,1150,82700
2011-12-31,1200,1800,1161,1800,130530
2012-12-31,1850,4300,1850,4200,170830
2013-12-31,4200,8346,3936,8160,262740
2014-12-31,8000,9130,4800,9130,873590
2015-12-31,9000,10500,5500,10400,830570
2016-12-31,10300,10400,6200,8450,523190
2017-12-31,8000,8000,2890,5910,162018
2018-12-31,5900,6000,3000,3885,240340
2019-12-31,3885,3885,2600,2800,219267
2020-12-31,2700,3400,2300,2990,332130
2021-12-31,2900,4700,2700,4295,539956
2022-12-31,4500,5700,3750,5465,319474
2023-12-31,5465,5465,4000,4770,448303
2024-12-31,4750,6100,4100,5685,440624
2025-12-31,5690,6710,5320,5800,263590
2026-12-31,5800,12300,5705,12000,202790
