Date,Open,High,Low,Close,Volume
2007-02-28,582,582.0,582.0,582,22850
2007-03-31,582,583.0,582.0,583,10100
2007-04-30,600,631.0,600.0,631,4850
2007-05-31,640,753.0,640.0,753,9150
2007-06-30,762,780.0,762.0,780,10900
2007-07-31,760,760.0,680.0,680,25050
2007-08-31,691,1086.0,691.0,1086,21750
2007-09-30,1086,1086.0,960.0,960,28550
2007-10-31,1000,1000.0,940.0,940,30700
2007-11-30,940,1000.0,940.0,944,44700
2007-12-31,944,950.0,942.0,950,32850
2008-01-31,950,950.0,918.0,920,21150
2008-02-29,920,920.0,860.0,920,594950
2008-03-31,900,968.0,900.0,968,32900
2008-04-30,970,1051.0,970.0,1051,6850
2008-05-31,1051,1051.0,920.0,920,61600
2008-06-30,900,1395.0,900.0,1395,36400
2008-07-31,1300,1500.0,1300.0,1390,55800
2008-08-31,1400,1416.0,1400.0,1400,33350
2008-09-30,1400,1400.0,1340.0,1374,27150
2008-10-31,1374,1380.0,1040.0,1040,16900
2008-11-30,1034,1034.0,980.0,982,36000
2008-12-31,984,1140.0,984.0,1133,39650
2009-01-31,1048,1133.0,1048.0,1100,49000
2009-02-28,1100,1100.0,1050.0,1050,52800
2009-03-31,1052,1060.0,1048.0,1048,5650
2009-04-30,1046,1046.0,960.0,1000,29200
2009-05-31,1000,1000.0,940.0,940,1350
2009-06-30,870,870.0,860.0,861,11750
2009-07-31,870,1000.0,870.0,1000,11950
2009-08-31,1000,1000.0,940.0,950,14900
2009-09-30,950,952.0,938.0,938,73100
2009-10-31,938,940.0,938.0,938,38550
2009-11-30,930,930.0,918.0,920,15200
2009-12-31,920,938.0,896.0,896,6950
2010-01-31,898,900.0,850.0,850,71950
2010-02-28,850,940.0,850.0,940,15300
2010-03-31,940,940.0,910.0,912,30400
2010-04-30,920,960.0,920.0,940,13000
2010-05-31,940,1000.0,940.0,980,19300
2010-06-30,890,990.0,890.0,990,6300
2010-07-31,990,1000.0,950.0,980,24350
2010-08-31,980,1000.0,980.0,980,29550
2010-09-30,980,1000.0,980.0,980,8450
2010-10-31,980,984.0,907.0,907,6000
2010-11-30,920,940.0,920.0,940,25700
2010-12-31,940,944.0,940.0,944,21850
2011-01-31,960,960.0,950.0,960,8700
2011-02-28,960,960.0,958.0,958,2750
2011-03-31,958,958.0,958.0,958,650
2011-05-31,958,960.0,822.0,822,14700
2011-06-30,810,920.0,810.0,920,3450
2011-07-31,912,940.0,912.0,920,7800
2011-08-31,920,920.0,868.0,868,48150
2011-09-30,868,933.0,868.0,933,31950
2011-10-31,933,1003.0,900.0,966,45950
2011-11-30,966,966.0,960.0,960,13100
