Date,Open,High,Low,Close,Volume
2007-03-31,582,583,582,583,32950
2007-06-30,600,780,600,780,24900
2007-09-30,760,1086,680,960,75350
2007-12-31,1000,1000,940,950,108250
2008-03-31,950,968,860,968,649000
2008-06-30,970,1395,900,1395,104850
2008-09-30,1300,1500,1300,1374,116300
2008-12-31,1374,1380,980,1133,92550
2009-03-31,1048,1133,1048,1048,107450
2009-06-30,1046,1046,860,861,42300
2009-09-30,870,1000,870,938,99950
2009-12-31,938,940,896,896,60700
2010-03-31,898,940,850,912,117650
2010-06-30,920,1000,890,990,38600
2010-09-30,990,1000,950,980,62350
2010-12-31,980,984,907,944,53550
2011-03-31,960,960,950,958,12100
2011-06-30,958,960,810,920,18150
2011-09-30,912,940,868,933,87900
2011-12-31,933,1003,900,960,59250
2012-03-31,950,950,798,870,74000
2012-06-30,870,993,800,920,70000
2012-09-30,920,1011,920,950,64450
2012-12-31,960,1400,960,1400,127900
2013-03-31,1400,1800,1360,1700,177450
2013-06-30,1720,2001,1690,2000,158700
2013-09-30,2000,2161,2000,2020,169500
2013-12-31,2000,3213,2000,3200,124750
2014-03-31,3200,3700,2721,3590,98600
2014-06-30,3590,4284,3580,4090,304950
2014-09-30,3850,4320,3760,4060,213200
2014-12-31,4020,4979,2396,4979,960750
2015-03-31,4620,4620,3220,3360,113550
2015-06-30,3358,4250,2660,3677,274050
2015-09-30,3677,4000,3600,3900,330750
2015-12-31,3900,6310,3900,6310,812150
2016-03-31,5837,6180,5080,5900,456550
2016-06-30,5900,6200,5620,5910,504850
2016-09-30,5990,5990,4963,5400,268950
2016-12-31,5300,6000,5120,5940,351200
2017-03-31,5495,5495,4220,4600,66200
2017-06-30,4580,4600,3920,4300,64100
2017-09-30,4000,4780,3450,3500,158263
2017-12-31,3500,5000,3135,4990,171717
2018-03-31,4990,4990,4000,4600,143203
2018-06-30,4400,4600,2775,4000,173634
2018-09-30,3995,3995,2685,3095,63398
2018-12-31,3155,3155,1800,2000,56637
2019-03-31,2000,2290,1590,1850,191470
2019-06-30,1850,1920,1400,1400,184992
2019-09-30,1450,1600,1205,1400,92204
2019-12-31,1400,1610,1300,1500,163169
2020-03-31,1500,2000,1380,1410,248920
2020-06-30,1410,1700,1265,1320,57471
2020-09-30,1400,1405,1185,1185,91916
2020-12-31,1190,1555,1180,1550,357799
2021-03-31,1540,1540,1300,1450,70763
2021-06-30,1410,1820,1300,1595,159616
2021-09-30,1500,2400,1495,2345,373508
2021-12-31,2340,2570,2000,2570,156758
2022-03-31,2570,2760,2100,2400,116172
2022-06-30,2495,2495,1645,1650,119754
2022-09-30,1650,2035,1610,1815,161926
2022-12-31,1815,1815,1115,1395,214469
2023-03-31,1395,1590,1200,1450,207615
2023-06-30,1445,1545,1235,1545,136421
2023-09-30,1530,1700,1420,1610,230239
2023-12-31,1500,1670,1300,1350,369057
2024-03-31,1345,1600,1320,1600,505960
2024-06-30,1595,1715,1210,1275,465550
2024-09-30,1275,1490,1225,1485,297057
2024-12-31,1375,1505,1230,1340,311015
2025-03-31,1340,1425,1230,1390,296173
2025-06-30,1385,1700,1290,1425,540981
2025-09-30,1425,1550,1350,1490,335099
2025-12-31,1465,1780,1345,1515,1606088
2026-03-31,1450,2325,1430,1920,673774
2026-06-30,1920,2620,1550,2445,1058952
2026-09-30,2445,2850,2105,2600,550511
