Date,Open,High,Low,Close,Volume
2007-03-05,582,582.0,582.0,582,27000
2007-03-12,582,582.0,582.0,582,200
2007-03-26,583,583.0,583.0,583,3950
2007-04-02,583,583.0,583.0,583,1800
2007-04-09,600,600.0,600.0,600,850
2007-04-23,600,600.0,600.0,600,1700
2007-04-30,600,631.0,600.0,631,2300
2007-05-07,640,680.0,640.0,680,4150
2007-05-14,700,700.0,700.0,700,1200
2007-05-21,700,700.0,700.0,700,2000
2007-05-28,700,700.0,700.0,700,550
2007-06-04,720,753.0,720.0,753,1250
2007-06-11,762,762.0,762.0,762,400
2007-06-18,764,772.0,764.0,772,7750
2007-06-25,772,772.0,772.0,772,700
2007-07-02,780,780.0,760.0,760,2750
2007-07-09,740,740.0,718.0,718,1900
2007-07-16,680,680.0,680.0,680,18200
2007-07-23,680,680.0,680.0,680,4250
2007-08-13,691,750.0,691.0,750,4500
2007-08-20,812,938.0,812.0,938,5500
2007-08-27,939,1010.0,939.0,1010,10000
2007-09-03,1086,1086.0,1086.0,1086,1750
2007-09-10,1086,1086.0,1000.0,1000,2550
2007-09-17,1000,1000.0,1000.0,1000,100
2007-09-24,1000,1000.0,960.0,960,23150
2007-10-01,960,1000.0,960.0,1000,4150
2007-10-08,1000,1000.0,940.0,958,3700
2007-10-15,940,940.0,940.0,940,3550
2007-10-22,940,1000.0,940.0,1000,10400
2007-10-29,1000,1000.0,940.0,940,8550
2007-11-05,940,940.0,940.0,940,6050
2007-11-12,940,940.0,940.0,940,33050
2007-11-19,940,940.0,940.0,940,2700
2007-11-26,1000,1000.0,1000.0,1000,2550
2007-12-03,942,944.0,942.0,944,3450
2007-12-10,944,944.0,942.0,942,2650
2007-12-17,950,950.0,950.0,950,14550
2007-12-24,950,950.0,949.0,949,6300
2007-12-31,950,950.0,950.0,950,9350
2008-01-07,950,950.0,950.0,950,6600
2008-01-14,950,950.0,940.0,940,2650
2008-01-21,940,940.0,940.0,940,7050
2008-01-28,918,920.0,918.0,920,2400
2008-02-04,920,920.0,920.0,920,9550
2008-02-11,920,920.0,880.0,880,23450
2008-02-18,876,920.0,860.0,920,135300
2008-02-25,920,920.0,919.0,919,403200
2008-03-03,920,920.0,900.0,900,27900
2008-03-10,900,900.0,900.0,900,27200
2008-03-17,900,900.0,900.0,900,2750
2008-03-31,900,968.0,900.0,968,950
2008-04-07,970,985.0,970.0,985,1800
2008-04-14,1042,1042.0,1042.0,1042,1750
2008-04-28,1042,1051.0,1042.0,1051,2850
2008-05-05,1051,1051.0,1051.0,1051,10250
2008-05-12,1051,1051.0,1051.0,1051,7000
2008-05-19,960,960.0,960.0,960,12300
2008-05-26,940,960.0,920.0,920,8250
2008-06-02,920,920.0,920.0,920,24250
2008-06-09,900,920.0,900.0,920,20350
2008-06-16,926,930.0,926.0,930,2650
2008-06-23,930,1075.0,930.0,1075,2250
2008-06-30,1156,1395.0,1156.0,1395,11150
2008-07-07,1300,1500.0,1300.0,1500,22150
2008-07-14,1300,1380.0,1300.0,1380,16950
2008-07-21,1380,1380.0,1380.0,1380,5550
2008-07-28,1390,1396.0,1390.0,1396,4900
2008-08-04,1398,1400.0,1390.0,1400,8400
2008-08-11,1402,1402.0,1400.0,1400,12000
2008-08-18,1400,1400.0,1400.0,1400,950
2008-08-25,1412,1416.0,1400.0,1400,14100
2008-09-01,1400,1400.0,1400.0,1400,4150
2008-09-08,1400,1400.0,1360.0,1400,5850
2008-09-15,1400,1400.0,1340.0,1340,8150
2008-09-22,1340,1374.0,1340.0,1374,10300
2008-09-29,1374,1374.0,1374.0,1374,2850
2008-10-06,1374,1374.0,1374.0,1374,5050
2008-10-13,1375,1375.0,1375.0,1375,3550
2008-10-20,1380,1380.0,1374.0,1374,3500
2008-10-27,1354,1354.0,1200.0,1200,2400
2008-11-03,1040,1040.0,1040.0,1040,2400
2008-11-10,1034,1034.0,1034.0,1034,9350
2008-11-17,1000,1000.0,980.0,980,9650
2008-11-24,980,980.0,980.0,980,7950
2008-12-01,981,984.0,981.0,984,9800
2008-12-08,986,990.0,986.0,990,1000
2008-12-15,1000,1000.0,1000.0,1000,400
2008-12-22,1140,1140.0,1140.0,1140,5950
2008-12-29,1140,1140.0,1055.0,1055,4150
2009-01-05,1054,1133.0,1048.0,1050,59650
2009-01-12,1060,1133.0,1060.0,1133,5500
2009-01-19,1133,1133.0,1133.0,1133,2250
2009-01-26,1100,1100.0,1100.0,1100,6250
2009-02-02,1100,1100.0,1100.0,1100,2750
2009-02-09,1100,1100.0,1060.0,1060,5100
2009-02-16,1060,1060.0,1060.0,1060,3950
2009-02-23,1060,1060.0,1050.0,1050,26400
2009-03-02,1050,1052.0,1050.0,1052,18600
2009-03-09,1052,1052.0,1050.0,1050,1950
2009-03-16,1050,1060.0,1050.0,1060,1150
2009-03-30,1048,1048.0,1048.0,1048,1000
2009-04-06,1048,1048.0,1046.0,1046,1350
2009-04-13,1040,1040.0,1000.0,1000,2250
2009-04-20,1000,1000.0,960.0,960,24350
2009-04-27,960,960.0,960.0,960,650
2009-05-04,960,1000.0,960.0,1000,900
2009-05-11,1000,1000.0,940.0,940,1050
2009-05-18,940,940.0,940.0,940,300
2009-06-08,870,870.0,870.0,870,2350
2009-06-15,870,870.0,860.0,860,2000
2009-06-22,860,860.0,860.0,860,4450
2009-06-29,860,861.0,860.0,861,2950
2009-07-06,870,870.0,870.0,870,1000
2009-07-13,870,882.0,870.0,882,7850
2009-07-20,906,906.0,906.0,906,700
2009-07-27,906,960.0,906.0,960,1750
2009-08-03,1000,1000.0,1000.0,1000,1100
2009-08-10,1000,1000.0,1000.0,1000,1400
2009-08-17,960,960.0,940.0,940,2050
2009-08-24,940,940.0,940.0,940,7850
2009-08-31,950,950.0,950.0,950,3150
2009-09-07,950,952.0,950.0,952,6450
2009-09-14,952,952.0,940.0,940,11800
2009-09-21,938,938.0,938.0,938,1500
2009-09-28,938,938.0,938.0,938,31550
2009-10-05,938,938.0,938.0,938,22000
2009-10-12,938,940.0,938.0,938,12350
2009-10-19,938,938.0,938.0,938,6050
2009-11-02,938,938.0,938.0,938,19950
2009-11-09,930,930.0,930.0,930,2100
2009-11-16,920,920.0,918.0,920,5550
2009-11-23,920,920.0,920.0,920,7300
2009-11-30,920,920.0,920.0,920,250
2009-12-07,920,938.0,920.0,938,2250
2009-12-14,938,938.0,938.0,938,800
2009-12-21,938,938.0,938.0,938,1100
2009-12-28,898,898.0,896.0,896,1300
2010-01-04,896,896.0,896.0,896,1500
2010-01-11,898,900.0,898.0,900,28150
2010-01-18,850,850.0,850.0,850,42000
2010-01-25,850,850.0,850.0,850,1150
2010-02-01,850,850.0,850.0,850,650
2010-02-08,850,850.0,850.0,850,2550
2010-02-15,850,850.0,850.0,850,200
2010-02-22,890,938.0,890.0,938,11250
2010-03-01,940,940.0,940.0,940,1300
2010-03-08,940,940.0,940.0,940,2400
2010-03-15,940,940.0,940.0,940,500
2010-03-22,940,940.0,910.0,910,23050
2010-03-29,913,913.0,912.0,912,4450
2010-04-05,920,920.0,920.0,920,2100
2010-04-12,920,920.0,920.0,920,450
2010-04-19,960,960.0,924.0,924,2950
2010-04-26,940,940.0,940.0,940,750
2010-05-03,940,940.0,940.0,940,15000
2010-05-10,940,940.0,940.0,940,200
2010-05-17,940,940.0,940.0,940,1950
2010-05-24,940,1000.0,940.0,941,2150
2010-05-31,980,980.0,980.0,980,6750
2010-06-21,890,990.0,890.0,990,2100
2010-06-28,990,990.0,990.0,990,4200
