Date,Open,High,Low,Close,Volume
2007-12-31,582,1086,582,950,241450
2008-12-31,950,1500,860,1133,962700
2009-12-31,1048,1133,860,896,310400
2010-12-31,898,1000,850,944,272150
2011-12-31,960,1003,810,960,177400
2012-12-31,950,1400,798,1400,336350
2013-12-31,1400,3213,1360,3200,630400
2014-12-31,3200,4979,2396,4979,1577500
2015-12-31,4620,6310,2660,6310,1530500
2016-12-31,5837,6200,4963,5940,1581550
2017-12-31,5495,5495,3135,4990,460280
2018-12-31,4990,4990,1800,2000,436872
2019-12-31,2000,2290,1205,1500,631835
2020-12-31,1500,2000,1180,1550,756106
2021-12-31,1540,2570,1300,2570,760645
2022-12-31,2570,2760,1115,1395,612321
2023-12-31,1395,1700,1200,1350,943332
2024-12-31,1345,1715,1210,1340,1579582
2025-12-31,1340,1780,1230,1515,2778341
2026-12-31,1450,2850,1430,2600,2283237
