Date,Open,High,Low,Close,Volume
1998-09-30,636,663.0,636.0,663,8720
1998-10-31,663,663.0,488.0,516,562600
1998-11-30,478,513.0,478.0,513,4080
1998-12-31,478,484.0,450.0,484,13040
1999-01-31,475,484.0,450.0,484,1800
1999-03-31,463,463.0,463.0,463,2640
1999-04-30,463,469.0,463.0,463,11560
1999-05-31,463,463.0,463.0,463,17880
1999-06-30,463,463.0,463.0,463,400
1999-07-31,450,483.0,450.0,460,12400
1999-08-31,450,450.0,450.0,450,400
1999-09-30,449,449.0,413.0,413,4520
1999-10-31,413,413.0,408.0,408,3720
1999-11-30,400,400.0,365.0,365,25000
1999-12-31,365,365.0,365.0,365,9520
2000-01-31,365,365.0,365.0,365,400
2000-03-31,365,365.0,365.0,365,1200
2000-04-30,365,365.0,365.0,365,40
2000-05-31,365,365.0,365.0,365,480
2000-06-30,365,365.0,365.0,365,160
2000-07-31,365,365.0,365.0,365,640
2000-08-31,365,365.0,365.0,365,2120
2000-10-31,363,363.0,363.0,363,2400
2001-05-31,363,363.0,363.0,363,2000
2001-06-30,350,350.0,350.0,350,1000
2001-11-30,325,325.0,278.0,278,4080
2001-12-31,275,527.0,275.0,527,38800
2002-03-31,527,527.0,527.0,527,40
2002-05-31,460,460.0,426.0,426,259960
2002-06-30,413,413.0,300.0,300,13400
2002-07-31,300,325.0,300.0,325,3640
2002-08-31,325,338.0,325.0,338,2960
2002-09-30,338,338.0,338.0,338,2800
2002-10-31,363,419.0,363.0,419,2640
2002-11-30,419,481.0,416.0,481,5400
2002-12-31,481,588.0,475.0,588,19880
2003-01-31,588,588.0,588.0,588,400
2003-03-31,550,550.0,550.0,550,400
2003-05-31,509,600.0,509.0,563,9440
2003-06-30,563,625.0,550.0,625,3560
2003-08-31,550,550.0,525.0,525,5200
2003-09-30,525,650.0,525.0,650,3960
2003-12-31,601,700.0,601.0,700,4920
2004-02-29,700,700.0,700.0,700,9480
2004-05-31,648,648.0,648.0,648,2120
2004-06-30,649,700.0,649.0,700,4120
2004-07-31,700,700.0,700.0,700,1440
2004-08-31,700,700.0,700.0,700,440
2004-09-30,650,650.0,650.0,650,4400
2004-10-31,650,650.0,601.0,601,3960
2004-11-30,700,700.0,700.0,700,600
2004-12-31,601,747.0,601.0,747,2960
2005-01-31,650,650.0,605.0,605,2440
2005-02-28,563,575.0,563.0,575,4560
2005-03-31,575,575.0,575.0,575,400
2005-04-30,578,590.0,578.0,578,3800
2005-05-31,578,700.0,578.0,700,16560
2005-06-30,700,700.0,625.0,625,5760
2005-07-31,625,625.0,625.0,625,2120
2005-08-31,625,625.0,625.0,625,2400
2005-09-30,625,625.0,625.0,625,4000
2005-10-31,625,638.0,625.0,626,3880
2005-11-30,626,626.0,625.0,625,3000
2005-12-31,625,625.0,625.0,625,2160
2006-01-31,625,626.0,625.0,626,2280
2006-02-28,624,624.0,624.0,624,2880
2006-03-31,613,613.0,575.0,575,13720
2006-04-30,576,625.0,576.0,578,67040
2006-05-31,595,686.0,595.0,686,4280
2006-06-30,685,763.0,685.0,763,3880
2006-07-31,735,735.0,700.0,700,10760
2006-08-31,675,688.0,675.0,688,7920
2006-09-30,688,750.0,688.0,750,18840
2006-10-31,750,800.0,750.0,800,1480
2006-11-30,800,800.0,750.0,750,16720
2006-12-31,750,750.0,750.0,750,5920
2007-01-31,788,788.0,788.0,788,1600
2007-02-28,825,826.0,825.0,826,2840
2007-03-31,827,900.0,775.0,775,566680
2007-04-30,826,826.0,826.0,826,400
2007-05-31,826,829.0,826.0,829,3400
2007-06-30,851,1016.0,851.0,1016,2600
2007-07-31,1016,1016.0,950.0,950,6320
2007-08-31,950,950.0,888.0,950,10560
2007-09-30,950,1021.0,950.0,1021,6280
2007-10-31,1000,1000.0,1000.0,1000,2920
2007-11-30,925,925.0,925.0,925,13880
2007-12-31,925,950.0,925.0,928,5480
2008-02-29,928,931.0,928.0,931,268720
2008-03-31,933,933.0,931.0,931,92320
2008-04-30,931,931.0,931.0,931,1440
2008-05-31,933,951.0,933.0,951,5080
2008-06-30,950,1000.0,950.0,1000,9560
2008-07-31,1000,1025.0,1000.0,1025,13360
2008-08-31,1025,1050.0,1025.0,1050,7200
2008-09-30,1050,1075.0,1050.0,1075,3200
2008-10-31,1075,1075.0,950.0,950,10360
2008-11-30,950,950.0,950.0,950,360
2009-01-31,950,950.0,950.0,950,480
2009-02-28,938,938.0,935.0,935,2600
2009-03-31,938,938.0,938.0,938,160000
2009-04-30,930,930.0,925.0,925,1000
2009-05-31,900,900.0,900.0,900,600
2009-06-30,875,875.0,875.0,875,600
2009-07-31,875,875.0,875.0,875,400
2009-08-31,875,875.0,862.0,862,4040
2009-09-30,800,800.0,775.0,775,5360
2009-10-31,763,763.0,738.0,738,6880
2009-11-30,738,738.0,600.0,600,5360
2009-12-31,600,847.0,600.0,847,16200
2010-02-28,845,845.0,845.0,845,2800
2010-03-31,800,800.0,800.0,800,6040
2010-04-30,750,750.0,750.0,750,2400
2010-06-30,750,806.0,750.0,806,1680
2010-07-31,867,867.0,867.0,867,1960
2010-08-31,867,867.0,802.0,802,2720
2010-09-30,802,802.0,800.0,800,3280
2010-10-31,800,800.0,800.0,800,4120
2010-11-30,800,800.0,800.0,800,600
2011-01-31,798,798.0,798.0,798,400
2011-02-28,683,683.0,683.0,683,4000
2011-06-30,683,683.0,663.0,663,1160
2011-07-31,613,613.0,613.0,613,920
2011-08-31,613,613.0,613.0,613,880
2011-09-30,600,600.0,600.0,600,4000
2011-10-31,600,600.0,563.0,563,2400
2011-11-30,600,600.0,600.0,600,7520
2011-12-31,600,600.0,571.0,571,4400
2012-01-31,550,591.0,550.0,591,1840
2012-02-29,550,550.0,550.0,550,640
2012-03-31,550,550.0,550.0,550,1000
2012-04-30,550,550.0,550.0,550,320
2012-05-31,550,550.0,550.0,550,2040
2012-06-30,550,550.0,550.0,550,2000
2012-07-31,550,592.0,550.0,592,2760
2012-08-31,592,592.0,592.0,592,1000
2012-09-30,592,592.0,575.0,575,2440
2012-10-31,548,550.0,548.0,550,2560
2012-11-30,550,550.0,500.0,500,8440
2012-12-31,500,591.0,500.0,591,12080
2013-01-31,591,591.0,550.0,550,3160
2013-02-28,575,575.0,575.0,575,2000
2013-03-31,618,618.0,618.0,618,1000
2013-04-30,618,750.0,618.0,750,3480
2013-05-31,750,806.0,745.0,745,4760
2013-06-30,745,745.0,700.0,700,3480
2013-07-31,700,700.0,700.0,700,40
2013-08-31,700,700.0,700.0,700,40
2013-09-30,700,700.0,700.0,700,3000
2013-10-31,700,753.0,700.0,753,4400
2013-11-30,775,813.0,696.0,804,3560
2013-12-31,865,1013.0,865.0,1013,10520
2014-01-31,1013,1013.0,937.0,937,2080
2014-02-28,925,950.0,925.0,925,5120
2014-03-31,925,925.0,925.0,925,1000
2014-04-30,923,923.0,900.0,900,480
2014-05-31,838,838.0,775.0,775,2840
2014-06-30,775,775.0,775.0,775,8680
2014-07-31,775,775.0,717.0,718,13040
2014-08-31,718,718.0,659.0,660,33640
2014-09-30,660,708.0,660.0,660,5040
2014-10-31,660,660.0,588.0,588,4240
