Date,Open,High,Low,Close,Volume
1998-09-30,636,663.0,636.0,663,8720
1998-12-31,663,663.0,450.0,484,579720
1999-03-31,475,484.0,450.0,463,4440
1999-06-30,463,469.0,463.0,463,29840
1999-09-30,450,483.0,413.0,413,17320
1999-12-31,413,413.0,365.0,365,38240
2000-03-31,365,365.0,365.0,365,1600
2000-06-30,365,365.0,365.0,365,680
2000-09-30,365,365.0,365.0,365,2760
2000-12-31,363,363.0,363.0,363,2400
2001-06-30,363,363.0,350.0,350,3000
2001-12-31,325,527.0,275.0,527,42880
2002-03-31,527,527.0,527.0,527,40
2002-06-30,460,460.0,300.0,300,273360
2002-09-30,300,338.0,300.0,338,9400
2002-12-31,363,588.0,363.0,588,27920
2003-03-31,588,588.0,550.0,550,800
2003-06-30,509,625.0,509.0,625,13000
2003-09-30,550,650.0,525.0,650,9160
2003-12-31,601,700.0,601.0,700,4920
2004-03-31,700,700.0,700.0,700,9480
2004-06-30,648,700.0,648.0,700,6240
2004-09-30,700,700.0,650.0,650,6280
2004-12-31,650,747.0,601.0,747,7520
2005-03-31,650,650.0,563.0,575,7400
2005-06-30,578,700.0,578.0,625,26120
2005-09-30,625,625.0,625.0,625,8520
2005-12-31,625,638.0,625.0,625,9040
2006-03-31,625,626.0,575.0,575,18880
2006-06-30,576,763.0,576.0,763,75200
2006-09-30,735,750.0,675.0,750,37520
2006-12-31,750,800.0,750.0,750,24120
2007-03-31,788,900.0,775.0,775,571120
2007-06-30,826,1016.0,826.0,1016,6400
2007-09-30,1016,1021.0,888.0,1021,23160
2007-12-31,1000,1000.0,925.0,928,22280
2008-03-31,928,933.0,928.0,931,361040
2008-06-30,931,1000.0,931.0,1000,16080
2008-09-30,1000,1075.0,1000.0,1075,23760
2008-12-31,1075,1075.0,950.0,950,10720
2009-03-31,950,950.0,935.0,938,163080
2009-06-30,930,930.0,875.0,875,2200
2009-09-30,875,875.0,775.0,775,9800
2009-12-31,763,847.0,600.0,847,28440
2010-03-31,845,845.0,800.0,800,8840
2010-06-30,750,806.0,750.0,806,4080
2010-09-30,867,867.0,800.0,800,7960
2010-12-31,800,800.0,800.0,800,4720
2011-03-31,798,798.0,683.0,683,4400
2011-06-30,683,683.0,663.0,663,1160
2011-09-30,613,613.0,600.0,600,5800
2011-12-31,600,600.0,563.0,571,14320
2012-03-31,550,591.0,550.0,550,3480
2012-06-30,550,550.0,550.0,550,4360
2012-09-30,550,592.0,550.0,575,6200
2012-12-31,548,591.0,500.0,591,23080
2013-03-31,591,618.0,550.0,618,6160
2013-06-30,618,806.0,618.0,700,11720
2013-09-30,700,700.0,700.0,700,3080
2013-12-31,700,1013.0,696.0,1013,18480
2014-03-31,1013,1013.0,925.0,925,8200
2014-06-30,923,923.0,775.0,775,12000
2014-09-30,775,775.0,659.0,660,51720
2014-12-31,660,660.0,575.0,575,12280
2015-03-31,575,618.0,538.0,538,7880
2015-06-30,498,800.0,498.0,800,20000
2015-09-30,800,800.0,625.0,650,31160
2015-12-31,650,1200.0,650.0,1125,478280
2016-03-31,1125,1125.0,856.0,1000,235760
2016-06-30,950,1400.0,950.0,1400,77000
2016-09-30,1400,1505.0,1200.0,1200,119200
2016-12-31,1175,1175.0,762.0,825,32240
2017-03-31,825,1220.0,775.0,875,16760
2017-06-30,849,849.0,625.0,645,10520
2017-09-30,597,597.0,349.0,400,7720
2017-12-31,413,413.0,347.0,347,4240
2018-03-31,363,363.0,325.0,348,30800
2018-06-30,345,363.0,301.0,301,43920
2018-09-30,280,340.0,280.0,335,26000
2018-12-31,335,335.0,289.0,300,14760
2019-03-31,300,355.0,260.0,300,14691
2019-06-30,295,305.0,210.0,215,17104
2019-09-30,215,225.0,165.0,170,22963
2019-12-31,160,170.0,115.0,130,62119
2020-03-31,130,130.0,115.0,115,21597
2020-06-30,115,125.0,110.0,125,17600
2020-09-30,125,235.0,120.0,135,47857
2020-12-31,135,200.0,125.0,200,101734
2021-03-31,200,245.0,185.0,200,147752
2021-06-30,200,460.0,200.0,435,183876
2021-09-30,435,775.0,390.0,770,356498
2021-12-31,775,800.0,625.0,765,109670
2022-03-31,750,770.0,650.0,680,77899
2022-06-30,675,790.0,650.0,700,75972
2022-09-30,700,770.0,640.0,730,34520
2022-12-31,700,745.0,635.0,680,15132
2023-03-31,675,700.0,590.0,650,13640
2023-06-30,650,720.0,600.0,710,6965
2023-09-30,695,725.0,570.0,700,72686
2023-12-31,650,835.0,535.0,700,804608
2026-03-31,750,2900.0,750.0,2000,958688
2026-06-30,2000,2000.0,1350.0,1535,328513
2026-09-30,1535,1660.0,1340.0,1550,224017
