Date,Open,High,Low,Close,Volume
1998-09-21,636,636.0,636.0,636,1600
1998-09-28,650,663.0,650.0,663,7120
1998-10-19,663,663.0,663.0,663,400
1998-11-02,488,516.0,488.0,516,562200
1998-11-23,478,478.0,478.0,478,80
1998-11-30,513,513.0,513.0,513,4000
1998-12-07,478,478.0,478.0,478,40
1998-12-14,478,478.0,478.0,478,200
1998-12-21,475,475.0,450.0,450,5960
1999-01-04,484,484.0,484.0,484,6840
1999-01-18,475,475.0,450.0,450,1200
1999-02-01,484,484.0,484.0,484,600
1999-03-22,463,463.0,463.0,463,280
1999-03-29,463,463.0,463.0,463,560
1999-04-05,463,463.0,463.0,463,6000
1999-04-12,469,469.0,469.0,469,1000
1999-04-19,469,469.0,469.0,469,800
1999-04-26,463,463.0,463.0,463,1000
1999-05-03,463,463.0,463.0,463,4560
1999-05-10,463,463.0,463.0,463,8400
1999-05-17,463,463.0,463.0,463,600
1999-05-24,463,463.0,463.0,463,80
1999-05-31,463,463.0,463.0,463,8800
1999-06-07,463,463.0,463.0,463,400
1999-07-05,450,450.0,450.0,450,320
1999-07-12,450,483.0,450.0,483,11080
1999-07-26,460,460.0,460.0,460,680
1999-08-02,460,460.0,460.0,460,320
1999-08-23,450,450.0,450.0,450,400
1999-09-06,449,449.0,449.0,449,320
1999-09-13,449,449.0,449.0,449,2600
1999-09-20,425,425.0,425.0,425,800
1999-09-27,413,413.0,413.0,413,800
1999-10-11,413,413.0,413.0,413,2400
1999-10-25,408,408.0,408.0,408,1320
1999-11-08,400,400.0,400.0,400,10640
1999-11-15,370,370.0,370.0,370,1200
1999-11-22,370,370.0,370.0,370,6600
1999-11-29,365,365.0,365.0,365,6560
1999-12-13,365,365.0,365.0,365,4560
1999-12-20,365,365.0,365.0,365,200
1999-12-27,365,365.0,365.0,365,4760
2000-01-31,365,365.0,365.0,365,400
2000-03-27,365,365.0,365.0,365,1200
2000-05-01,365,365.0,365.0,365,40
2000-05-22,365,365.0,365.0,365,480
2000-06-19,365,365.0,365.0,365,160
2000-07-17,365,365.0,365.0,365,560
2000-07-24,365,365.0,365.0,365,80
2000-08-14,365,365.0,365.0,365,120
2000-08-21,365,365.0,365.0,365,2000
2000-10-30,363,363.0,363.0,363,2400
2001-05-21,363,363.0,363.0,363,2000
2001-06-04,350,350.0,350.0,350,1000
2001-11-19,325,325.0,325.0,325,320
2001-12-03,278,278.0,278.0,278,3760
2001-12-17,275,275.0,275.0,275,2400
2001-12-24,296,367.0,296.0,367,6520
2001-12-31,424,527.0,424.0,527,29880
2002-03-11,527,527.0,527.0,527,40
2002-05-27,460,460.0,460.0,460,880
2002-06-03,426,426.0,426.0,426,259080
2002-06-10,413,413.0,327.0,327,4680
2002-06-17,302,302.0,300.0,300,3760
2002-06-24,300,300.0,300.0,300,4960
2002-07-15,300,300.0,300.0,300,680
2002-07-22,300,300.0,300.0,300,1720
2002-07-29,303,325.0,303.0,325,1240
2002-08-05,325,325.0,325.0,325,200
2002-08-19,338,338.0,338.0,338,1200
2002-08-26,338,338.0,338.0,338,1360
2002-09-02,338,338.0,338.0,338,200
2002-09-09,338,338.0,338.0,338,2400
2002-09-16,338,338.0,338.0,338,400
2002-10-14,363,364.0,363.0,364,1040
2002-10-21,364,390.0,364.0,390,1200
2002-11-04,419,419.0,419.0,419,400
2002-11-11,419,419.0,419.0,419,2000
2002-12-02,416,481.0,416.0,481,3400
2002-12-09,481,500.0,475.0,500,2600
2002-12-16,517,550.0,517.0,550,2760
2002-12-23,550,550.0,550.0,550,400
2002-12-30,588,588.0,588.0,588,14120
2003-01-06,588,588.0,588.0,588,400
2003-03-17,550,550.0,550.0,550,400
2003-05-19,509,509.0,509.0,509,7760
2003-05-26,550,600.0,550.0,600,1280
2003-06-02,563,563.0,563.0,563,400
2003-06-09,563,591.0,550.0,591,2960
2003-06-16,625,625.0,625.0,625,600
2003-08-04,550,550.0,550.0,550,400
2003-08-25,525,525.0,525.0,525,3560
2003-09-01,525,525.0,525.0,525,1240
2003-09-08,525,525.0,525.0,525,2360
2003-09-15,564,564.0,564.0,564,800
2003-09-22,606,650.0,606.0,650,800
2003-12-22,601,650.0,601.0,650,2200
2003-12-29,700,700.0,700.0,700,2720
2004-02-09,700,700.0,700.0,700,7200
2004-02-16,700,700.0,700.0,700,200
2004-02-23,700,700.0,700.0,700,2080
2004-05-24,648,648.0,648.0,648,2120
2004-06-14,649,700.0,649.0,700,4120
2004-07-26,700,700.0,700.0,700,1280
2004-08-02,700,700.0,700.0,700,160
2004-08-09,700,700.0,700.0,700,440
2004-09-13,650,650.0,650.0,650,4000
2004-09-20,650,650.0,650.0,650,320
2004-10-04,650,650.0,650.0,650,600
2004-10-18,601,601.0,601.0,601,3440
2004-11-29,700,700.0,700.0,700,600
2004-12-20,601,695.0,601.0,695,1560
2004-12-27,747,747.0,747.0,747,1400
2005-01-31,650,650.0,605.0,605,2440
2005-02-14,563,563.0,563.0,563,600
2005-02-21,575,575.0,575.0,575,3120
2005-02-28,575,575.0,575.0,575,840
2005-03-07,575,575.0,575.0,575,400
2005-04-11,578,578.0,578.0,578,1600
2005-04-18,590,590.0,590.0,590,1000
2005-05-02,578,578.0,578.0,578,1200
2005-05-09,578,578.0,578.0,578,240
2005-05-23,578,578.0,578.0,578,4320
2005-06-06,700,700.0,700.0,700,15760
2005-06-13,700,700.0,700.0,700,1200
2005-06-20,625,625.0,625.0,625,800
2005-07-18,625,625.0,625.0,625,40
2005-07-25,625,625.0,625.0,625,1800
2005-08-01,625,625.0,625.0,625,280
2005-08-15,625,625.0,625.0,625,920
2005-08-22,625,625.0,625.0,625,1480
2005-09-19,625,625.0,625.0,625,4000
2005-10-10,625,625.0,625.0,625,200
2005-10-31,638,638.0,626.0,626,3680
2005-11-07,626,626.0,625.0,625,2120
2005-11-28,625,625.0,625.0,625,640
2005-12-05,625,625.0,625.0,625,640
2005-12-12,625,625.0,625.0,625,600
2005-12-19,625,625.0,625.0,625,1160
2006-01-16,625,625.0,625.0,625,640
2006-01-23,625,625.0,625.0,625,440
2006-01-30,626,626.0,626.0,626,1200
2006-02-06,624,624.0,624.0,624,800
2006-02-20,624,624.0,624.0,624,2000
2006-02-27,624,624.0,624.0,624,80
2006-03-13,613,613.0,575.0,575,5880
2006-03-20,575,575.0,575.0,575,400
2006-03-27,575,575.0,575.0,575,200
2006-04-03,575,576.0,575.0,576,8520
2006-04-17,576,576.0,576.0,576,360
2006-04-24,625,625.0,578.0,578,65400
2006-05-15,595,600.0,595.0,600,800
2006-05-22,625,638.0,625.0,638,2720
2006-05-29,686,686.0,686.0,686,400
2006-06-05,686,686.0,686.0,686,360
2006-06-12,685,685.0,685.0,685,1000
2006-06-19,737,738.0,737.0,738,2080
2006-06-26,763,763.0,763.0,763,800
2006-07-03,735,735.0,735.0,735,1720
2006-07-10,725,725.0,720.0,720,2320
2006-07-17,700,700.0,700.0,700,4600
2006-07-31,700,700.0,700.0,700,2120
2006-08-07,675,675.0,675.0,675,440
2006-08-14,675,675.0,675.0,675,800
2006-08-21,675,675.0,675.0,675,2680
2006-09-04,688,688.0,688.0,688,4000
2006-09-11,688,725.0,688.0,725,13480
2006-09-18,738,750.0,738.0,750,3760
2006-09-25,750,750.0,750.0,750,800
2006-10-02,750,750.0,750.0,750,800
2006-10-16,750,800.0,750.0,800,1480
2006-11-06,800,800.0,800.0,800,4320
2006-11-13,800,800.0,750.0,750,5120
2006-11-27,750,750.0,750.0,750,6320
2006-12-04,750,750.0,750.0,750,1600
2006-12-11,750,750.0,750.0,750,3480
2006-12-18,750,750.0,750.0,750,1800
2007-01-15,788,788.0,788.0,788,1200
2007-01-29,788,788.0,788.0,788,400
2007-02-05,825,825.0,825.0,825,480
2007-02-19,826,826.0,826.0,826,2360
2007-03-05,827,827.0,827.0,827,680
2007-03-12,827,827.0,827.0,827,2400
2007-03-19,875,900.0,875.0,900,2400
2007-03-26,775,775.0,775.0,775,561200
2007-04-23,826,826.0,826.0,826,400
2007-05-07,826,826.0,826.0,826,400
2007-05-14,828,828.0,828.0,828,2000
2007-05-21,829,829.0,829.0,829,1000
2007-06-11,851,851.0,851.0,851,400
2007-06-18,900,900.0,900.0,900,800
2007-06-25,950,1000.0,950.0,1000,800
2007-07-02,1016,1016.0,1016.0,1016,600
2007-07-09,1016,1016.0,950.0,950,760
2007-07-23,950,950.0,950.0,950,3920
2007-07-30,950,950.0,950.0,950,1320
2007-08-06,950,950.0,950.0,950,320
2007-08-13,950,950.0,950.0,950,320
2007-08-20,950,950.0,888.0,888,1680
2007-08-27,888,888.0,888.0,888,520
2007-09-03,950,950.0,950.0,950,8040
2007-09-10,950,950.0,950.0,950,1200
2007-09-24,1021,1021.0,1021.0,1021,2800
2007-10-01,1021,1021.0,1000.0,1000,4280
2007-10-08,1000,1000.0,1000.0,1000,760
2007-10-29,1000,1000.0,1000.0,1000,160
2007-11-12,925,925.0,925.0,925,11000
2007-11-19,925,925.0,925.0,925,2280
2007-11-26,925,925.0,925.0,925,400
2007-12-03,925,925.0,925.0,925,600
2007-12-10,925,925.0,925.0,925,480
2007-12-17,928,928.0,928.0,928,400
2007-12-24,950,950.0,928.0,928,3000
2007-12-31,928,928.0,928.0,928,1200
2008-02-11,928,928.0,928.0,928,34240
2008-02-18,928,928.0,928.0,928,176720
2008-02-25,928,931.0,928.0,931,57760
2008-03-10,933,933.0,931.0,931,90360
2008-03-17,931,931.0,931.0,931,1480
2008-03-31,931,931.0,931.0,931,480
2008-04-07,931,931.0,931.0,931,840
2008-04-21,931,931.0,931.0,931,600
2008-05-12,933,933.0,933.0,933,1000
2008-05-19,940,940.0,940.0,940,2400
2008-05-26,940,951.0,940.0,951,1680
2008-06-02,950,950.0,950.0,950,5600
2008-06-16,1000,1000.0,1000.0,1000,2320
2008-06-23,1000,1000.0,1000.0,1000,200
2008-06-30,1000,1000.0,1000.0,1000,1440
2008-07-07,1000,1000.0,1000.0,1000,2800
2008-07-14,1000,1001.0,1000.0,1001,760
2008-07-21,1002,1025.0,1002.0,1025,2120
2008-07-28,1025,1025.0,1025.0,1025,6360
2008-08-04,1025,1025.0,1025.0,1025,5600
2008-08-11,1025,1025.0,1025.0,1025,80
2008-08-18,1050,1050.0,1050.0,1050,2200
2008-08-25,1050,1050.0,1050.0,1050,360
2008-09-01,1050,1050.0,1050.0,1050,280
2008-09-08,1050,1075.0,1050.0,1075,480
2008-09-22,1075,1075.0,1075.0,1075,2600
