Date,Open,High,Low,Close,Volume
1998-12-31,636,663.0,450.0,484,588440
1999-12-31,475,484.0,365.0,365,89840
2000-12-31,365,365.0,363.0,363,7440
2001-12-31,363,527.0,275.0,527,45880
2002-12-31,527,588.0,300.0,588,310720
2003-12-31,588,700.0,509.0,700,27880
2004-12-31,700,747.0,601.0,747,29520
2005-12-31,650,700.0,563.0,625,51080
2006-12-31,625,800.0,575.0,750,155720
2007-12-31,788,1021.0,775.0,928,622960
2008-12-31,928,1075.0,928.0,950,411600
2009-12-31,950,950.0,600.0,847,203520
2010-12-31,845,867.0,750.0,800,25600
2011-12-31,798,798.0,563.0,571,25680
2012-12-31,550,592.0,500.0,591,37120
2013-12-31,591,1013.0,550.0,1013,39440
2014-12-31,1013,1013.0,575.0,575,84200
2015-12-31,575,1200.0,498.0,1125,537320
2016-12-31,1125,1505.0,762.0,825,464200
2017-12-31,825,1220.0,347.0,347,39240
2018-12-31,363,363.0,280.0,300,115480
2019-12-31,300,355.0,115.0,130,116877
2020-12-31,130,235.0,110.0,200,188788
2021-12-31,200,800.0,185.0,765,797796
2022-12-31,750,790.0,635.0,680,203523
2023-12-31,675,835.0,535.0,700,897899
2026-12-31,750,2900.0,750.0,1515,1560388
