Date,Open,High,Low,Close,Volume
1998-09-18,1700,1700,1700,1700,12010
1998-09-21,1828,1828,1828,1828,13120
1998-09-23,1964,1964,1964,1964,2640
1998-09-25,1979,1979,1979,1979,960
1998-09-30,1700,1700,1700,1700,1050
1998-10-02,1700,1700,1700,1700,610
1998-10-05,1700,1700,1700,1700,2000
1998-10-07,1575,1575,1575,1575,40000
1998-10-09,1457,1457,1457,1457,74600
1998-10-12,1500,1500,1500,1500,2910
1998-10-14,1500,1500,1500,1500,1600
1998-10-16,1500,1500,1500,1500,320
1998-10-19,1500,1500,1500,1500,500
1998-10-21,1500,1500,1500,1500,5080
1998-10-28,1500,1500,1500,1500,9130
1998-10-30,1500,1500,1500,1500,2550
1998-11-04,1500,1500,1500,1500,1290
1998-11-09,1500,1500,1500,1500,2370
1998-11-13,1500,1500,1500,1500,2670
1998-11-16,1500,1500,1500,1500,18000
1998-11-18,1500,1500,1500,1500,31920
1998-11-20,1500,1500,1500,1500,6630
1998-11-23,1500,1500,1500,1500,25890
1998-11-27,1500,1500,1500,1500,500
1998-11-30,1500,1500,1500,1500,570
1998-12-04,1500,1500,1500,1500,1790
1998-12-09,1613,1613,1613,1613,1550
1998-12-11,1613,1613,1613,1613,2980
1998-12-16,1500,1500,1500,1500,360
1998-12-18,1500,1500,1500,1500,2290
1998-12-23,1510,1510,1510,1510,28600
1998-12-28,1500,1500,1500,1500,530
1999-01-04,1500,1500,1500,1500,100
1999-01-08,1500,1500,1500,1500,60
1999-01-13,1500,1500,1500,1500,300
1999-01-18,1388,1388,1388,1388,80
1999-01-22,1450,1450,1450,1450,7000
1999-01-27,1478,1478,1478,1478,3920
1999-01-29,1478,1478,1478,1478,3000
1999-02-01,1470,1470,1470,1470,3000
1999-02-05,1470,1470,1470,1470,240
1999-02-08,1470,1470,1470,1470,2000
1999-02-10,1470,1470,1470,1470,1010
1999-02-17,1470,1470,1470,1470,1000
1999-02-19,1470,1470,1470,1470,2000
1999-03-10,1400,1400,1400,1400,400
1999-03-12,1450,1450,1450,1450,500
1999-03-15,1470,1470,1470,1470,500
1999-03-17,1470,1470,1470,1470,500
1999-03-22,1450,1450,1450,1450,300
1999-03-24,1469,1469,1469,1469,1330
1999-03-26,1469,1469,1469,1469,70
1999-03-31,1450,1450,1450,1450,540
1999-04-02,1450,1450,1450,1450,990
1999-04-07,1450,1450,1450,1450,750
1999-04-09,1440,1440,1440,1440,1200
1999-04-12,1440,1440,1440,1440,250
1999-04-16,1420,1420,1420,1420,200
1999-04-19,1403,1403,1403,1403,130
1999-04-23,1298,1298,1298,1298,130
1999-04-28,1200,1200,1200,1200,5100
1999-04-30,1200,1200,1200,1200,5000
1999-05-03,1200,1200,1200,1200,20000
1999-05-05,1150,1150,1150,1150,13840
1999-05-07,1150,1150,1150,1150,5520
1999-05-10,1150,1150,1150,1150,20000
1999-05-12,1150,1150,1150,1150,21050
1999-05-14,1150,1150,1150,1150,30960
1999-05-17,1150,1150,1150,1150,23330
1999-05-19,1236,1236,1236,1236,43350
1999-05-21,1150,1150,1150,1150,9390
1999-05-28,1150,1150,1150,1150,1200
1999-06-02,1236,1236,1236,1236,26510
1999-06-04,1300,1300,1300,1300,73430
1999-06-09,1300,1300,1300,1300,10140
1999-06-11,1300,1300,1300,1300,5790
1999-06-14,1398,1398,1398,1398,100550
1999-06-16,1400,1400,1400,1400,80870
1999-06-18,1470,1470,1470,1470,45300
1999-06-21,1580,1580,1580,1580,2260100
1999-06-23,1500,1500,1500,1500,5500
1999-06-25,1500,1500,1500,1500,2000
1999-06-30,1500,1500,1500,1500,1100
1999-07-02,1490,1490,1490,1490,1000
1999-07-07,1490,1490,1490,1490,500
1999-07-09,1490,1490,1490,1490,150
1999-07-12,1490,1490,1490,1490,500
1999-07-16,1480,1480,1480,1480,500
1999-07-21,1480,1480,1480,1480,500
1999-07-23,1475,1475,1475,1475,2000
1999-07-26,1475,1475,1475,1475,500
1999-08-02,1470,1470,1470,1470,250
1999-08-06,1450,1450,1450,1450,250
1999-08-09,1449,1449,1449,1449,250
1999-08-16,1448,1448,1448,1448,250
1999-08-18,1420,1420,1420,1420,250
1999-08-23,1400,1400,1400,1400,130
1999-08-25,1380,1380,1380,1380,1000
1999-08-27,1375,1375,1375,1375,190
1999-09-10,1350,1350,1350,1350,100
1999-11-03,1175,1175,1175,1175,1000
1999-11-05,1263,1263,1263,1263,15000
1999-11-08,1358,1358,1358,1358,2750
1999-11-10,1459,1459,1459,1459,4220
1999-11-12,1568,1568,1568,1568,1000
1999-11-17,1459,1459,1459,1459,300
1999-11-19,1459,1459,1459,1459,500
1999-11-22,1459,1459,1459,1459,500
1999-11-24,1459,1459,1459,1459,270
1999-11-26,1459,1459,1459,1459,500
1999-11-29,1459,1459,1459,1459,500
1999-12-01,1459,1459,1459,1459,5000
1999-12-03,1459,1459,1459,1459,2250
1999-12-06,1459,1459,1459,1459,10000
1999-12-08,1459,1459,1459,1459,6000
1999-12-10,1500,1500,1500,1500,13480
1999-12-13,1510,1510,1510,1510,800
1999-12-17,1510,1510,1510,1510,3500
1999-12-20,1530,1530,1530,1530,3500
1999-12-22,1530,1530,1530,1530,3500
1999-12-27,1530,1530,1530,1530,2662600
1999-12-29,1580,1580,1580,1580,10400
1999-12-31,1699,1699,1699,1699,500
2000-03-10,1450,1450,1450,1450,300
2000-03-27,1450,1450,1450,1450,25000
2000-03-31,1500,1500,1500,1500,25000
2000-04-12,1500,1500,1500,1500,500
2000-04-26,1500,1500,1500,1500,1100
2000-05-12,1500,1500,1500,1500,2277690
2000-06-21,1500,1500,1500,1500,21020
2000-06-30,1499,1499,1499,1499,1440
2000-07-21,1499,1499,1499,1499,13000
2000-07-26,1499,1499,1499,1499,5000
2000-07-31,1499,1499,1499,1499,40000
2000-08-18,1498,1498,1498,1498,4000
2000-08-21,1498,1498,1498,1498,4000
2000-08-23,1497,1497,1497,1497,5000
2000-10-13,1399,1399,1399,1399,26670
2000-10-20,1399,1399,1399,1399,118570
2000-11-27,1300,1300,1300,1300,300
2000-11-29,1397,1397,1397,1397,1950
2000-12-01,1350,1350,1350,1350,2000
2000-12-06,1451,1451,1451,1451,500
2000-12-08,1560,1560,1560,1560,4270
2000-12-11,1677,1677,1677,1677,3000
2000-12-22,1677,1677,1677,1677,6780
2000-12-28,1677,1677,1677,1677,2000
2000-12-29,1677,1677,1677,1677,2250
2001-01-05,1677,1677,1677,1677,1000
2001-01-19,1677,1677,1677,1677,1440
2001-01-22,1677,1677,1677,1677,1250
2001-03-16,1499,1499,1499,1499,80
2001-06-22,1200,1200,1200,1200,640
2001-06-25,1200,1200,1200,1200,100
2001-07-09,1099,1099,1099,1099,120
2001-07-16,1000,1000,1000,1000,5000
2001-07-18,1000,1000,1000,1000,12400
2001-07-20,1000,1000,1000,1000,450
2001-07-25,1000,1000,1000,1000,15330
2001-07-27,999,999,999,999,6450
2001-08-01,998,998,998,998,560
2001-08-03,997,997,997,997,1500
2001-08-08,997,997,997,997,59050
2001-08-10,997,997,997,997,83400
2001-08-13,997,997,997,997,62820
2001-08-16,1007,1007,1007,1007,750
2001-08-17,1050,1050,1050,1050,60430
2001-08-20,1050,1050,1050,1050,60020
2001-08-22,1050,1050,1050,1050,75700
2001-08-24,1050,1050,1050,1050,77680
2001-08-27,1129,1129,1129,1129,60250
2001-08-29,1150,1150,1150,1150,65270
2001-08-31,1100,1100,1100,1100,64700
2001-09-03,1150,1150,1150,1150,1000
