Date,Open,High,Low,Close,Volume
1998-09-30,1700,1979.0,1700.0,1700,29780
1998-10-31,1700,1700.0,1457.0,1500,139300
1998-11-30,1500,1500.0,1500.0,1500,89840
1998-12-31,1500,1613.0,1500.0,1500,38100
1999-01-31,1500,1500.0,1388.0,1478,14460
1999-02-28,1470,1470.0,1470.0,1470,9250
1999-03-31,1400,1470.0,1400.0,1450,4140
1999-04-30,1450,1450.0,1200.0,1200,13750
1999-05-31,1200,1236.0,1150.0,1150,188640
1999-06-30,1236,1580.0,1236.0,1500,2611290
1999-07-31,1490,1490.0,1475.0,1475,5650
1999-08-31,1470,1470.0,1375.0,1375,2570
1999-09-30,1350,1350.0,1350.0,1350,100
1999-11-30,1175,1568.0,1175.0,1459,26540
1999-12-31,1459,1699.0,1459.0,1699,2721530
2000-03-31,1450,1500.0,1450.0,1500,50300
2000-04-30,1500,1500.0,1500.0,1500,1600
2000-05-31,1500,1500.0,1500.0,1500,2277690
2000-06-30,1500,1500.0,1499.0,1499,22460
2000-07-31,1499,1499.0,1499.0,1499,58000
2000-08-31,1498,1498.0,1497.0,1497,13000
2000-10-31,1399,1399.0,1399.0,1399,145240
2000-11-30,1300,1397.0,1300.0,1397,2250
2000-12-31,1350,1677.0,1350.0,1677,20800
2001-01-31,1677,1677.0,1677.0,1677,3690
2001-03-31,1499,1499.0,1499.0,1499,80
2001-06-30,1200,1200.0,1200.0,1200,740
2001-07-31,1099,1099.0,999.0,999,39750
2001-08-31,998,1150.0,997.0,1100,672130
2001-09-30,1150,1150.0,1018.0,1018,18540
2001-10-31,1018,1100.0,1018.0,1100,12640
2001-11-30,1100,1100.0,1100.0,1100,11260
2001-12-31,1100,1956.0,1100.0,1956,321420
2002-01-31,1695,1695.0,1695.0,1695,100
2002-03-31,1590,1590.0,1590.0,1590,116430
2002-04-30,1590,1590.0,1590.0,1590,80
2002-05-31,1590,1590.0,1590.0,1590,100110
2002-07-31,1564,1564.0,1563.0,1563,630
2002-08-31,1563,1563.0,1560.0,1560,8690
2002-09-30,1560,1560.0,1560.0,1560,5710
2002-10-31,1560,1560.0,1400.0,1400,42040
2002-11-30,1400,1400.0,1300.0,1300,7680
2002-12-31,1300,1849.0,1300.0,1594,6660
2003-01-31,1593,1593.0,1593.0,1593,540
2003-02-28,1593,1593.0,1265.0,1352,5400
2003-03-31,1251,1251.0,1251.0,1251,660
2003-04-30,1251,1251.0,1245.0,1245,860
2003-05-31,1152,1152.0,1152.0,1152,230
2003-06-30,1066,1066.0,1066.0,1066,1020
2003-07-31,1000,1000.0,1000.0,1000,12690
2003-08-31,1000,1000.0,950.0,950,33480
2003-09-30,900,1050.0,900.0,1050,8700
2003-10-31,1050,1050.0,1050.0,1050,550750
2003-11-30,1000,1240.0,1000.0,1240,11600
2003-12-31,1330,1595.0,1330.0,1595,5080
2004-01-31,1365,1365.0,1360.0,1360,450
2004-02-29,1360,1360.0,1360.0,1360,30
2004-03-31,1300,1300.0,1300.0,1300,107100
2004-04-30,1300,1300.0,1300.0,1300,2480
2004-05-31,1260,1290.0,1260.0,1290,1460
2004-06-30,1290,1290.0,1200.0,1200,94460
2004-07-31,1200,1200.0,1200.0,1200,150
2004-08-31,1200,1200.0,1001.0,1001,7070
2004-09-30,1000,1010.0,1000.0,1010,5820
2004-10-31,1010,1011.0,1010.0,1011,14110
2004-11-30,1011,1300.0,1011.0,1300,710
2004-12-31,1300,1720.0,1295.0,1700,12680
2005-01-31,1346,1346.0,1203.0,1203,914260
2005-02-28,1293,1300.0,1190.0,1300,11430
2005-03-31,1300,1300.0,1250.0,1250,28010
2005-04-30,1250,1731.0,1250.0,1731,55880
2005-05-31,2000,2000.0,1999.0,2000,27350
2005-06-30,2000,2011.0,1937.0,1937,8630
2005-07-31,1850,1850.0,1800.0,1800,1740
2005-08-31,1800,1800.0,1500.0,1500,11300
2005-09-30,1500,1500.0,1498.0,1500,33330
2005-10-31,1500,1600.0,1500.0,1600,6560
2005-11-30,1500,1706.0,1500.0,1706,9530
2005-12-31,1750,2250.0,1750.0,2250,9420
2006-01-31,2100,2250.0,2100.0,2105,17950
2006-02-28,2110,2180.0,2100.0,2180,6340
2006-03-31,2200,2650.0,2200.0,2650,9120
2006-04-30,2710,3255.0,2710.0,3255,15350
2006-05-31,3490,3490.0,2900.0,2900,22460
2006-06-30,2900,2900.0,2592.0,2592,2050
2006-07-31,2250,2250.0,2250.0,2250,2940
2006-08-31,2250,2250.0,2100.0,2100,3050
2006-09-30,2101,2101.0,2050.0,2050,8220
2006-10-31,2050,2050.0,2050.0,2050,2060
2006-11-30,2050,2050.0,1900.0,2000,8540
2006-12-31,2000,2000.0,1900.0,2000,5200
2007-01-31,2000,2000.0,2000.0,2000,90130
2007-02-28,2000,2250.0,2000.0,2250,7140
2007-03-31,2300,2500.0,2300.0,2500,19410
2007-04-30,2500,2500.0,2500.0,2500,2880
2007-05-31,2687,2900.0,2687.0,2900,7400
2007-06-30,2850,3090.0,2850.0,3090,25270
2007-07-31,2859,2900.0,2550.0,2900,16660
2007-08-31,2900,3000.0,2750.0,2900,711740
2007-09-30,2900,3000.0,2900.0,2900,15160
2007-10-31,2800,2800.0,2600.0,2751,12410
2007-11-30,2900,2900.0,2700.0,2700,9760
2007-12-31,2700,2761.0,2700.0,2760,12260
2008-01-31,2760,2866.0,2695.0,2866,8260
2008-02-29,2866,2905.0,2866.0,2905,2400
2008-03-31,3101,3551.0,3101.0,3550,6010
2008-04-30,3601,3851.0,3330.0,3851,465670
2008-05-31,3900,4600.0,3900.0,4600,7820
2008-06-30,4600,4770.0,4500.0,4770,33630
2008-07-31,4770,4800.0,4700.0,4760,39120
2008-08-31,4810,5101.0,4810.0,4950,6820
2008-09-30,4950,5100.0,4950.0,5050,76330
2008-10-31,5050,5050.0,4950.0,4950,14770
2008-11-30,4579,4579.0,4236.0,4236,3170
2008-12-31,3919,3919.0,3300.0,3400,33450
2009-01-31,3400,3400.0,3130.0,3130,165430
2009-02-28,3130,3130.0,3114.0,3114,34470
2009-03-31,3100,3100.0,2800.0,2805,17480
2009-04-30,2805,2805.0,2600.0,2600,63800
2009-05-31,2600,3400.0,2548.0,3400,47160
2009-06-30,3400,4125.0,3390.0,4125,38200
2009-07-31,4301,4322.0,3885.0,3900,27510
2009-08-31,4000,4100.0,3900.0,3900,14490
2009-09-30,3900,3900.0,3600.0,3600,12770
2009-10-31,3600,3600.0,3560.0,3600,57340
2009-11-30,3600,3700.0,3462.0,3700,23810
2009-12-31,3700,3791.0,3500.0,3720,38650
2010-01-31,3720,4000.0,3720.0,3730,107240
2010-02-28,3976,4000.0,3700.0,3702,5110
2010-03-31,3720,4400.0,3711.0,4400,8450
2010-04-30,4400,4400.0,3995.0,3995,7290
2010-05-31,4000,4400.0,4000.0,4400,45500
2010-06-30,4498,4835.0,4369.0,4795,5750
2010-07-31,4796,4796.0,4230.0,4600,4430
2010-08-31,4600,4620.0,3978.0,4600,18750
2010-09-30,4255,4600.0,4255.0,4500,16960
2010-10-31,4500,4677.0,4255.0,4677,9520
2010-11-30,4678,5000.0,4678.0,4681,9040
2010-12-31,4700,5000.0,4700.0,4825,16200
2011-01-31,4820,5001.0,4000.0,4000,21960
2011-02-28,4000,4193.0,3850.0,3900,14490
2011-03-31,3900,3900.0,3900.0,3900,190
2011-04-30,3608,3608.0,2996.0,2996,260
2011-05-31,3051,3101.0,3051.0,3101,145360
2011-06-30,4141,4200.0,3800.0,3800,46610
2011-07-31,3564,4000.0,3564.0,4000,54060
2011-08-31,4000,4200.0,3900.0,4000,24260
2011-09-30,4150,4150.0,3700.0,4000,27250
2011-10-31,4000,4000.0,3700.0,4000,27390
2011-11-30,3900,3900.0,3700.0,3700,18390
2011-12-31,3700,3700.0,3200.0,3510,10140
2012-01-31,4000,4500.0,3600.0,3650,20290
2012-02-29,3719,4300.0,3719.0,4300,22100
2012-03-31,4300,4300.0,3900.0,4000,41710
2012-04-30,3900,4300.0,3900.0,4300,37290
2012-05-31,4300,4301.0,4200.0,4200,81070
2012-06-30,4261,4945.0,4261.0,4500,15440
2012-07-31,4500,4600.0,4251.0,4500,51050
2012-08-31,4500,4800.0,4500.0,4600,68310
2012-09-30,4600,4811.0,4500.0,4811,19160
2012-10-31,4810,4810.0,4500.0,4700,54620
2012-11-30,4700,6087.0,4700.0,5300,59050
2012-12-31,5300,6000.0,5300.0,5900,55330
2013-01-31,5901,6343.0,5800.0,5900,99430
2013-02-28,5900,6900.0,5900.0,6799,42890
2013-03-31,6300,6665.0,5800.0,6000,415660
2013-04-30,6000,6001.0,5800.0,6000,130500
2013-05-31,6450,7000.0,6150.0,6988,91170
2013-06-30,6900,7399.0,6500.0,7000,22750
2013-07-31,7000,7500.0,6800.0,6900,26890
2013-08-31,6901,6901.0,6000.0,6000,143590
2013-09-30,6000,6500.0,5999.0,6500,97770
2013-10-31,6440,7100.0,6000.0,6110,35050
2013-11-30,6150,6900.0,6150.0,6400,34950
2013-12-31,6400,7500.0,6400.0,7500,23720
2014-01-31,6938,7500.0,6900.0,7500,21030
2014-02-28,7500,7700.0,7300.0,7400,66260
2014-03-31,7600,7690.0,7200.0,7251,49600
2014-04-30,7200,7350.0,6000.0,6934,27570
2014-05-31,7000,7500.0,6475.0,7500,50660
2014-06-30,7500,7500.0,7000.0,7200,65870
2014-07-31,7100,7200.0,6900.0,7200,36780
2014-08-31,7300,8170.0,7100.0,7400,135790
2014-09-30,7400,8250.0,7306.0,8250,63050
2014-10-31,8250,9700.0,8085.0,9200,108670
2014-11-30,9200,9700.0,9000.0,9250,51450
2014-12-31,9200,9700.0,9200.0,9680,45950
2015-01-31,9500,9800.0,9000.0,9500,41390
2015-02-28,9500,9800.0,9311.0,9500,66700
2015-03-31,9500,10000.0,9300.0,9600,114440
2015-04-30,9690,9700.0,9550.0,9700,165830
2015-05-31,9700,10300.0,9600.0,9750,119830
2015-06-30,9700,10850.0,9700.0,10850,37580
2015-07-31,10800,11700.0,9900.0,10449,63160
2015-08-31,10400,10700.0,10200.0,10700,142280
2015-09-30,10698,11500.0,10400.0,11400,88860
2015-10-31,11400,14000.0,11300.0,13000,351860
2015-11-30,13100,13500.0,12400.0,12800,91710
2015-12-31,12800,13500.0,11500.0,13400,64050
2016-01-31,13300,13300.0,12150.0,13000,100870
2016-02-29,13000,15300.0,12750.0,14510,88760
2016-03-31,14501,16125.0,13550.0,15500,112470
2016-04-30,15450,16824.0,15000.0,15600,151570
2016-05-31,15500,15600.0,14430.0,14950,56960
2016-06-30,15000,15500.0,14400.0,14500,43400
2016-07-31,14499,14499.0,11900.0,13500,41030
2016-08-31,13200,13600.0,12600.0,13500,52920
2016-09-30,13500,14500.0,13021.0,13400,79560
2016-10-31,13020,14000.0,12000.0,13500,137930
2016-11-30,13500,14400.0,12801.0,14400,73790
2016-12-31,14500,15000.0,13501.0,14600,67410
2017-01-31,14000,14000.0,13500.0,14000,19720
2017-02-28,14000,15020.0,13810.0,15001,28190
2017-03-31,15002,16000.0,14980.0,15500,89920
2017-04-30,15351,16000.0,15300.0,15900,37750
2017-05-31,15700,16000.0,14900.0,16000,62380
2017-06-30,15500,16000.0,14500.0,14900,43210
2017-07-31,14000,16000.0,12488.0,13800,68330
2017-08-31,13800,13800.0,11073.0,11805,105545
2017-09-30,11805,12000.0,10800.0,11000,175981
2017-10-31,11300,11900.0,10005.0,11105,84346
2017-11-30,11400,12300.0,11000.0,11450,33164
2017-12-31,11450,12000.0,11000.0,11550,45324
2018-01-31,11500,12000.0,10800.0,11795,84992
2018-02-28,11750,14495.0,11500.0,14490,114207
2018-03-31,14495,14495.0,13500.0,14000,92251
2018-04-30,13995,14000.0,13300.0,13500,66179
2018-05-31,13400,13595.0,11000.0,11975,44988
2018-06-30,11750,12500.0,11500.0,12330,44728
2018-07-31,12300,12500.0,11010.0,11885,44073
2018-08-31,11850,11890.0,10500.0,10935,43447
2018-09-30,10895,10895.0,9500.0,9995,13791
2018-10-31,10000,10095.0,8500.0,8890,10683
2018-11-30,8880,8885.0,6700.0,7000,250809
2018-12-31,7100,10000.0,7100.0,7400,16893
2019-01-31,7900,8000.0,7000.0,8000,41089
2019-02-28,8600,9000.0,7800.0,7800,44305
2019-03-31,7825,8500.0,7825.0,8200,22024
2019-04-30,8500,9000.0,7950.0,8000,64214
2019-05-31,8000,8795.0,7990.0,8600,25640
2019-06-30,8510,9000.0,8500.0,9000,37205
2019-07-31,8900,9300.0,8700.0,9000,36928
2019-08-31,8915,9300.0,8700.0,8850,70486
2019-09-30,9000,9005.0,7800.0,8000,22457
2019-10-31,7990,8050.0,7550.0,7840,45457
2019-11-30,7840,7845.0,7660.0,7800,143960
2019-12-31,7800,7845.0,7590.0,7700,411138
2020-01-31,7750,8300.0,7600.0,8300,18997
2020-02-29,8400,8750.0,8275.0,8655,82704
2020-03-31,8650,8725.0,7900.0,7900,26525
2020-04-30,7900,8000.0,7250.0,7800,29539
2020-05-31,8000,8450.0,7400.0,7700,7045
