Date,Open,High,Low,Close,Volume
1998-09-30,1700,1979,1700,1700,29780
1998-12-31,1700,1700,1457,1500,267240
1999-03-31,1500,1500,1388,1450,27850
1999-06-30,1450,1580,1150,1500,2813680
1999-09-30,1490,1490,1350,1350,8320
1999-12-31,1175,1699,1175,1699,2748070
2000-03-31,1450,1500,1450,1500,50300
2000-06-30,1500,1500,1499,1499,2301750
2000-09-30,1499,1499,1497,1497,71000
2000-12-31,1399,1677,1300,1677,168290
2001-03-31,1677,1677,1499,1499,3770
2001-06-30,1200,1200,1200,1200,740
2001-09-30,1099,1150,997,1018,730420
2001-12-31,1018,1956,1018,1956,345320
2002-03-31,1695,1695,1590,1590,116530
2002-06-30,1590,1590,1590,1590,100190
2002-09-30,1564,1564,1560,1560,15030
2002-12-31,1560,1849,1300,1594,56380
2003-03-31,1593,1593,1251,1251,6600
2003-06-30,1251,1251,1066,1066,2110
2003-09-30,1000,1050,900,1050,54870
2003-12-31,1050,1595,1000,1595,567430
2004-03-31,1365,1365,1300,1300,107580
2004-06-30,1300,1300,1200,1200,98400
2004-09-30,1200,1200,1000,1010,13040
2004-12-31,1010,1720,1010,1700,27500
2005-03-31,1346,1346,1190,1250,953700
2005-06-30,1250,2011,1250,1937,91860
2005-09-30,1850,1850,1498,1500,46370
2005-12-31,1500,2250,1500,2250,25510
2006-03-31,2100,2650,2100,2650,33410
2006-06-30,2710,3490,2592,2592,39860
2006-09-30,2250,2250,2050,2050,14210
2006-12-31,2050,2050,1900,2000,15800
2007-03-31,2000,2500,2000,2500,116680
2007-06-30,2500,3090,2500,3090,35550
2007-09-30,2859,3000,2550,2900,743560
2007-12-31,2800,2900,2600,2760,34430
2008-03-31,2760,3551,2695,3550,16670
2008-06-30,3601,4770,3330,4770,507120
2008-09-30,4770,5101,4700,5050,122270
2008-12-31,5050,5050,3300,3400,51390
2009-03-31,3400,3400,2800,2805,217380
2009-06-30,2805,4125,2548,4125,149160
2009-09-30,4301,4322,3600,3600,54770
2009-12-31,3600,3791,3462,3720,119800
2010-03-31,3720,4400,3700,4400,120800
2010-06-30,4400,4835,3995,4795,58540
2010-09-30,4796,4796,3978,4500,40140
2010-12-31,4500,5000,4255,4825,34760
2011-03-31,4820,5001,3850,3900,36640
2011-06-30,3608,4200,2996,3800,192230
2011-09-30,3564,4200,3564,4000,105570
2011-12-31,4000,4000,3200,3510,55920
2012-03-31,4000,4500,3600,4000,84100
2012-06-30,3900,4945,3900,4500,133800
2012-09-30,4500,4811,4251,4811,138520
2012-12-31,4810,6087,4500,5900,169000
2013-03-31,5901,6900,5800,6000,557980
2013-06-30,6000,7399,5800,7000,244420
2013-09-30,7000,7500,5999,6500,268250
2013-12-31,6440,7500,6000,7500,93720
2014-03-31,6938,7700,6900,7251,136890
2014-06-30,7200,7500,6000,7200,144100
2014-09-30,7100,8250,6900,8250,235620
2014-12-31,8250,9700,8085,9680,206070
2015-03-31,9500,10000,9000,9600,222530
2015-06-30,9690,10850,9550,10850,323240
2015-09-30,10800,11700,9900,11400,294300
2015-12-31,11400,14000,11300,13400,507620
2016-03-31,13300,16125,12150,15500,302100
2016-06-30,15450,16824,14400,14500,251930
2016-09-30,14499,14500,11900,13400,173510
2016-12-31,13020,15000,12000,14600,279130
2017-03-31,14000,16000,13500,15500,137830
2017-06-30,15351,16000,14500,14900,143340
2017-09-30,14000,16000,10800,11000,349856
2017-12-31,11300,12300,10005,11550,162834
2018-03-31,11500,14495,10800,14000,291450
2018-06-30,13995,14000,11000,12330,155895
2018-09-30,12300,12500,9500,9995,101311
2018-12-31,10000,10095,6700,7400,278385
2019-03-31,7900,9000,7000,8200,107418
2019-06-30,8500,9000,7950,9000,127059
2019-09-30,8900,9300,7800,8000,129871
2019-12-31,7990,8050,7550,7700,600555
2020-03-31,7750,8750,7600,7900,128226
2020-06-30,7900,8450,7250,7650,47953
2020-09-30,7640,7700,6300,6300,85388
2020-12-31,6350,9000,6200,8095,302772
2021-03-31,7500,8200,7000,7950,65004
2021-06-30,7995,8985,7615,8100,141985
2021-09-30,8100,10470,8030,10350,191839
2021-12-31,10255,11815,10100,10595,84771
2022-03-31,10500,13900,10290,13000,157104
2022-06-30,13105,15500,13100,14800,87056
2022-09-30,14800,15000,13000,13495,68246
2022-12-31,13495,13500,10000,11605,125132
2023-03-31,11600,14000,10640,13860,109689
2023-06-30,13900,16200,12870,15500,83960
2023-09-30,15490,18810,15200,16400,88573
2023-12-31,16500,17000,15605,16050,86211
2024-03-31,16200,18275,15755,17000,70633
2024-06-30,17300,20835,17200,19015,97469
2024-09-30,19025,21275,18965,19400,115743
2024-12-31,19500,21490,18150,21000,443371
2025-03-31,20030,22500,18900,21900,141816
2025-06-30,21900,24900,20165,24850,155002
2025-09-30,24000,28000,23600,27000,104584
2025-12-31,27000,30685,26000,29895,189207
2026-03-31,29875,37895,27205,34500,192021
2026-06-30,34500,39340,31000,38965,322105
2026-09-30,39000,39555,37000,39300,144088
