Date,Open,High,Low,Close,Volume
1998-09-21,1700,1828.0,1700.0,1828,25130
1998-09-28,1964,1979.0,1964.0,1979,3600
1998-10-05,1700,1700.0,1700.0,1700,3660
1998-10-12,1575,1575.0,1457.0,1500,117510
1998-10-19,1500,1500.0,1500.0,1500,2420
1998-10-26,1500,1500.0,1500.0,1500,5080
1998-11-02,1500,1500.0,1500.0,1500,11680
1998-11-09,1500,1500.0,1500.0,1500,3660
1998-11-16,1500,1500.0,1500.0,1500,20670
1998-11-23,1500,1500.0,1500.0,1500,64440
1998-11-30,1500,1500.0,1500.0,1500,1070
1998-12-07,1500,1500.0,1500.0,1500,1790
1998-12-14,1613,1613.0,1613.0,1613,4530
1998-12-21,1500,1500.0,1500.0,1500,2650
1998-12-28,1510,1510.0,1500.0,1500,29130
1999-01-04,1500,1500.0,1500.0,1500,100
1999-01-11,1500,1500.0,1500.0,1500,60
1999-01-18,1500,1500.0,1388.0,1388,380
1999-01-25,1450,1450.0,1450.0,1450,7000
1999-02-01,1478,1478.0,1470.0,1470,9920
1999-02-08,1470,1470.0,1470.0,1470,2240
1999-02-15,1470,1470.0,1470.0,1470,1010
1999-02-22,1470,1470.0,1470.0,1470,3000
1999-03-15,1400,1470.0,1400.0,1470,1400
1999-03-22,1470,1470.0,1450.0,1450,800
1999-03-29,1469,1469.0,1469.0,1469,1400
1999-04-05,1450,1450.0,1450.0,1450,1530
1999-04-12,1450,1450.0,1440.0,1440,2200
1999-04-19,1420,1420.0,1403.0,1403,330
1999-04-26,1298,1298.0,1298.0,1298,130
1999-05-03,1200,1200.0,1200.0,1200,30100
1999-05-10,1150,1150.0,1150.0,1150,39360
1999-05-17,1150,1150.0,1150.0,1150,75340
1999-05-24,1236,1236.0,1150.0,1150,52740
1999-05-31,1150,1150.0,1150.0,1150,1200
1999-06-07,1236,1300.0,1236.0,1300,99940
1999-06-14,1300,1398.0,1300.0,1398,116480
1999-06-21,1400,1580.0,1400.0,1580,2386270
1999-06-28,1500,1500.0,1500.0,1500,7500
1999-07-05,1500,1500.0,1490.0,1490,2100
1999-07-12,1490,1490.0,1490.0,1490,1150
1999-07-19,1480,1480.0,1480.0,1480,500
1999-07-26,1480,1480.0,1475.0,1475,3000
1999-08-02,1470,1470.0,1470.0,1470,250
1999-08-09,1450,1450.0,1449.0,1449,500
1999-08-16,1448,1448.0,1448.0,1448,250
1999-08-23,1420,1420.0,1400.0,1400,380
1999-08-30,1380,1380.0,1375.0,1375,1190
1999-09-13,1350,1350.0,1350.0,1350,100
1999-11-08,1175,1358.0,1175.0,1358,18750
1999-11-15,1459,1568.0,1459.0,1568,5220
1999-11-22,1459,1459.0,1459.0,1459,1300
1999-11-29,1459,1459.0,1459.0,1459,1270
1999-12-06,1459,1459.0,1459.0,1459,17250
1999-12-13,1459,1510.0,1459.0,1510,20280
1999-12-20,1510,1530.0,1510.0,1530,7000
1999-12-27,1530,1530.0,1530.0,1530,2666100
2000-01-03,1580,1699.0,1580.0,1699,10900
2000-03-13,1450,1450.0,1450.0,1450,300
2000-03-27,1450,1450.0,1450.0,1450,25000
2000-04-03,1500,1500.0,1500.0,1500,25000
2000-04-17,1500,1500.0,1500.0,1500,500
2000-05-01,1500,1500.0,1500.0,1500,1100
2000-05-15,1500,1500.0,1500.0,1500,2277690
2000-06-26,1500,1500.0,1500.0,1500,21020
2000-07-03,1499,1499.0,1499.0,1499,1440
2000-07-24,1499,1499.0,1499.0,1499,13000
2000-07-31,1499,1499.0,1499.0,1499,45000
2000-08-21,1498,1498.0,1498.0,1498,8000
2000-08-28,1497,1497.0,1497.0,1497,5000
2000-10-16,1399,1399.0,1399.0,1399,26670
2000-10-23,1399,1399.0,1399.0,1399,118570
2000-11-27,1300,1300.0,1300.0,1300,300
2000-12-04,1397,1397.0,1350.0,1350,3950
2000-12-11,1451,1677.0,1451.0,1677,7770
2000-12-25,1677,1677.0,1677.0,1677,6780
2001-01-01,1677,1677.0,1677.0,1677,4250
2001-01-08,1677,1677.0,1677.0,1677,1000
2001-01-22,1677,1677.0,1677.0,1677,2690
2001-03-19,1499,1499.0,1499.0,1499,80
2001-06-25,1200,1200.0,1200.0,1200,740
2001-07-09,1099,1099.0,1099.0,1099,120
2001-07-16,1000,1000.0,1000.0,1000,5000
2001-07-23,1000,1000.0,1000.0,1000,12850
2001-07-30,1000,1000.0,999.0,999,21780
2001-08-06,998,998.0,997.0,997,2060
2001-08-13,997,997.0,997.0,997,205270
2001-08-20,1007,1050.0,1007.0,1050,121200
2001-08-27,1050,1129.0,1050.0,1129,213630
2001-09-03,1150,1150.0,1100.0,1150,130970
2001-09-10,1100,1100.0,1100.0,1100,11540
2001-09-17,1100,1100.0,1100.0,1100,400
2001-09-24,1018,1018.0,1018.0,1018,4270
2001-10-01,1018,1018.0,1018.0,1018,1330
2001-10-08,1018,1018.0,1018.0,1018,820
2001-10-15,1018,1018.0,1018.0,1018,1000
2001-10-22,1018,1094.0,1018.0,1094,6420
2001-10-29,1100,1100.0,1100.0,1100,3940
2001-11-05,1100,1100.0,1100.0,1100,1620
2001-11-12,1100,1100.0,1100.0,1100,10000
2001-11-26,1100,1100.0,1100.0,1100,100
2001-12-17,1100,1180.0,1100.0,1180,13200
2001-12-24,1269,1364.0,1269.0,1269,293920
2001-12-31,1575,1956.0,1575.0,1956,14300
2002-02-04,1695,1695.0,1695.0,1695,100
2002-03-11,1590,1590.0,1590.0,1590,16380
2002-03-18,1590,1590.0,1590.0,1590,50
2002-04-01,1590,1590.0,1590.0,1590,100000
2002-04-15,1590,1590.0,1590.0,1590,80
2002-05-20,1590,1590.0,1590.0,1590,100050
2002-06-03,1590,1590.0,1590.0,1590,60
2002-07-08,1564,1564.0,1564.0,1564,400
2002-07-15,1564,1564.0,1563.0,1563,230
2002-08-05,1563,1563.0,1563.0,1563,150
2002-08-26,1560,1560.0,1560.0,1560,8540
2002-09-16,1560,1560.0,1560.0,1560,5000
2002-09-23,1560,1560.0,1560.0,1560,50
2002-09-30,1560,1560.0,1560.0,1560,660
2002-10-07,1560,1560.0,1560.0,1560,4940
2002-10-21,1443,1443.0,1443.0,1443,100
2002-10-28,1443,1443.0,1443.0,1443,32280
2002-11-04,1443,1443.0,1400.0,1400,4720
2002-11-25,1400,1400.0,1400.0,1400,7350
2002-12-02,1390,1390.0,1300.0,1300,330
2002-12-09,1300,1397.0,1300.0,1397,5450
2002-12-16,1500,1849.0,1500.0,1849,1000
2002-12-30,1715,1715.0,1715.0,1715,130
2003-01-06,1594,1594.0,1593.0,1593,620
2003-02-03,1593,1593.0,1593.0,1593,3000
2003-02-10,1265,1265.0,1265.0,1265,1000
2003-02-24,1352,1352.0,1352.0,1352,1400
2003-03-31,1251,1251.0,1251.0,1251,660
2003-04-07,1251,1251.0,1251.0,1251,450
2003-04-14,1250,1250.0,1250.0,1250,210
2003-04-28,1245,1245.0,1245.0,1245,200
2003-05-19,1152,1152.0,1152.0,1152,230
2003-06-23,1066,1066.0,1066.0,1066,1020
2003-07-07,1000,1000.0,1000.0,1000,880
2003-07-14,1000,1000.0,1000.0,1000,9990
2003-07-21,1000,1000.0,1000.0,1000,50
2003-07-28,1000,1000.0,1000.0,1000,220
2003-08-04,1000,1000.0,1000.0,1000,1550
2003-08-11,1000,1000.0,1000.0,1000,300
2003-08-25,1000,1000.0,1000.0,1000,1000
2003-09-01,950,950.0,950.0,950,32180
2003-09-08,900,900.0,900.0,900,8060
2003-09-15,1000,1001.0,1000.0,1001,380
2003-09-22,1050,1050.0,1050.0,1050,160
2003-09-29,1050,1050.0,1050.0,1050,100
2003-10-27,1050,1050.0,1050.0,1050,550750
2003-11-10,1000,1075.0,1000.0,1075,11400
2003-12-01,1240,1240.0,1240.0,1240,200
2003-12-22,1330,1537.0,1330.0,1537,2080
2004-01-05,1595,1595.0,1595.0,1595,3000
2004-02-02,1365,1365.0,1360.0,1360,450
2004-02-23,1360,1360.0,1360.0,1360,30
2004-03-01,1300,1300.0,1300.0,1300,300
2004-03-08,1300,1300.0,1300.0,1300,910
2004-03-15,1300,1300.0,1300.0,1300,100190
2004-03-22,1300,1300.0,1300.0,1300,500
2004-03-29,1300,1300.0,1300.0,1300,5200
2004-04-19,1300,1300.0,1300.0,1300,10
2004-04-26,1300,1300.0,1300.0,1300,2390
2004-05-03,1300,1300.0,1300.0,1300,80
2004-05-17,1260,1290.0,1260.0,1290,860
2004-05-24,1290,1290.0,1290.0,1290,600
2004-06-14,1290,1290.0,1290.0,1290,10
2004-06-21,1200,1200.0,1200.0,1200,75430
2004-06-28,1200,1200.0,1200.0,1200,19020
2004-07-19,1200,1200.0,1200.0,1200,100
2004-08-02,1200,1200.0,1200.0,1200,50
2004-08-09,1200,1200.0,1200.0,1200,50
2004-08-23,1030,1030.0,1001.0,1001,6410
2004-08-30,1050,1050.0,1001.0,1001,610
2004-09-13,1000,1000.0,1000.0,1000,4980
2004-09-20,1000,1000.0,1000.0,1000,420
2004-09-27,1000,1010.0,1000.0,1010,420
2004-10-04,1010,1010.0,1010.0,1010,20
2004-10-11,1010,1010.0,1010.0,1010,3560
2004-10-18,1010,1010.0,1010.0,1010,3540
2004-10-25,1010,1011.0,1010.0,1011,5570
2004-11-01,1011,1011.0,1011.0,1011,1420
2004-11-15,1011,1011.0,1011.0,1011,90
2004-12-06,1300,1398.0,1300.0,1398,2970
2004-12-13,1398,1500.0,1295.0,1500,4240
2004-12-20,1500,1600.0,1500.0,1600,2410
2004-12-27,1720,1720.0,1700.0,1700,3680
2005-01-10,1346,1346.0,1300.0,1300,9140
2005-01-17,1300,1300.0,1300.0,1300,10120
2005-01-24,1300,1300.0,1300.0,1300,1430
2005-01-31,1300,1300.0,1203.0,1203,893570
2005-02-07,1293,1300.0,1293.0,1300,5530
2005-02-14,1203,1203.0,1190.0,1190,1800
2005-02-21,1200,1300.0,1200.0,1300,2420
2005-02-28,1300,1300.0,1300.0,1300,1680
2005-03-07,1300,1300.0,1300.0,1300,15000
2005-03-14,1250,1250.0,1250.0,1250,10210
2005-03-21,1250,1250.0,1250.0,1250,1210
2005-03-28,1250,1250.0,1250.0,1250,370
2005-04-04,1250,1250.0,1250.0,1250,1220
2005-04-11,1250,1250.0,1250.0,1250,80
2005-04-18,1250,1250.0,1250.0,1250,760
2005-04-25,1344,1451.0,1344.0,1451,23220
2005-05-02,1500,1731.0,1500.0,1731,31820
2005-05-09,2000,2000.0,2000.0,2000,100
2005-05-16,1999,2000.0,1999.0,2000,400
2005-05-23,2000,2000.0,2000.0,2000,15170
2005-05-30,2000,2000.0,2000.0,2000,10710
2005-06-06,2000,2000.0,2000.0,2000,8130
2005-06-13,2000,2000.0,2000.0,2000,250
2005-06-20,2011,2011.0,2011.0,2011,200
2005-06-27,1938,1938.0,1937.0,1937,1010
2005-07-04,1937,1937.0,1937.0,1937,10
2005-07-18,1850,1850.0,1850.0,1850,700
2005-07-25,1800,1800.0,1800.0,1800,570
2005-08-01,1800,1800.0,1800.0,1800,470
2005-08-08,1800,1800.0,1800.0,1800,200
2005-08-15,1800,1800.0,1750.0,1750,3060
2005-08-22,1650,1650.0,1600.0,1600,1350
2005-08-29,1600,1600.0,1500.0,1500,4100
2005-09-05,1500,1500.0,1500.0,1500,3340
2005-09-12,1500,1500.0,1499.0,1499,2930
2005-09-19,1500,1500.0,1498.0,1500,27280
2005-09-26,1500,1500.0,1500.0,1500,1490
2005-10-03,1500,1500.0,1500.0,1500,880
2005-10-10,1500,1500.0,1500.0,1500,5250
2005-10-17,1500,1500.0,1500.0,1500,30
2005-10-24,1600,1600.0,1500.0,1500,620
2005-10-31,1600,1600.0,1600.0,1600,660
2005-11-07,1500,1500.0,1500.0,1500,150
2005-11-14,1500,1600.0,1500.0,1600,4520
2005-11-21,1600,1601.0,1600.0,1601,1430
2005-11-28,1601,1601.0,1601.0,1601,3030
2005-12-05,1706,1750.0,1706.0,1750,500
2005-12-12,1801,2000.0,1801.0,2000,1460
2005-12-19,2051,2060.0,2051.0,2060,5900
2005-12-26,2071,2101.0,2071.0,2101,540
2006-01-02,2250,2250.0,2250.0,2250,1420
2006-01-09,2100,2100.0,2100.0,2100,3570
2006-01-16,2101,2101.0,2101.0,2101,140
2006-01-23,2250,2250.0,2250.0,2250,1180
2006-01-30,2200,2250.0,2105.0,2105,12580
2006-02-06,2105,2105.0,2105.0,2105,480
2006-02-13,2110,2110.0,2110.0,2110,3260
2006-02-20,2110,2110.0,2110.0,2110,1820
2006-02-27,2100,2180.0,2100.0,2180,1260
2006-03-13,2200,2250.0,2200.0,2250,1750
2006-03-20,2250,2251.0,2250.0,2251,1540
2006-03-27,2251,2400.0,2251.0,2400,5280
2006-04-03,2500,2650.0,2500.0,2650,550
2006-04-10,2710,2710.0,2710.0,2710,8100
2006-04-17,2850,2850.0,2850.0,2850,1770
2006-04-24,2850,2850.0,2850.0,2850,30
2006-05-01,3060,3255.0,3060.0,3255,5450
2006-05-08,3490,3490.0,3300.0,3300,14250
2006-05-29,3100,3100.0,2900.0,2900,5810
2006-06-05,2900,2900.0,2900.0,2900,2420
2006-06-19,2803,2803.0,2593.0,2593,570
2006-06-26,2593,2593.0,2592.0,2592,1460
2006-07-17,2250,2250.0,2250.0,2250,280
2006-07-24,2250,2250.0,2250.0,2250,340
2006-07-31,2250,2250.0,2250.0,2250,2320
2006-08-14,2250,2250.0,2250.0,2250,800
2006-08-21,2250,2250.0,2250.0,2250,580
2006-08-28,2250,2250.0,2250.0,2250,530
2006-09-04,2250,2250.0,2100.0,2101,1660
2006-09-11,2100,2100.0,2100.0,2100,1550
2006-09-18,2100,2100.0,2100.0,2100,2360
2006-09-25,2100,2100.0,2050.0,2050,3360
2006-10-02,2050,2050.0,2050.0,2050,430
2006-10-09,2050,2050.0,2050.0,2050,1400
2006-10-23,2050,2050.0,2050.0,2050,460
2006-10-30,2050,2050.0,2050.0,2050,200
2006-11-06,2050,2050.0,2050.0,2050,370
2006-11-20,2050,2050.0,1950.0,1950,3580
2006-11-27,1900,2001.0,1900.0,2001,3940
2006-12-04,2000,2000.0,2000.0,2000,1050
2006-12-11,1900,2000.0,1900.0,2000,2510
2006-12-18,2000,2000.0,2000.0,2000,980
2007-01-01,2000,2000.0,2000.0,2000,1310
2007-01-08,2000,2000.0,2000.0,2000,300
2007-01-15,2000,2000.0,2000.0,2000,7760
2007-01-22,2000,2000.0,2000.0,2000,81310
2007-01-29,2000,2000.0,2000.0,2000,760
2007-02-05,2000,2000.0,2000.0,2000,1560
2007-02-12,2000,2000.0,2000.0,2000,130
2007-02-19,2000,2000.0,2000.0,2000,710
2007-02-26,2150,2250.0,2150.0,2250,520
2007-03-05,2250,2250.0,2250.0,2250,4220
2007-03-12,2300,2300.0,2300.0,2300,880
2007-03-19,2500,2500.0,2500.0,2500,550
2007-03-26,2500,2500.0,2500.0,2500,1630
2007-04-02,2500,2500.0,2500.0,2500,16660
2007-04-09,2500,2500.0,2500.0,2500,50
2007-04-16,2500,2500.0,2500.0,2500,1400
2007-04-23,2500,2500.0,2500.0,2500,820
2007-04-30,2500,2500.0,2500.0,2500,300
2007-05-07,2687,2687.0,2687.0,2687,1550
2007-05-14,2800,2900.0,2800.0,2900,4680
2007-05-21,2900,2900.0,2900.0,2900,530
2007-05-28,2900,2900.0,2900.0,2900,640
2007-06-11,2850,2850.0,2850.0,2850,3910
2007-06-18,2850,2850.0,2850.0,2850,17810
2007-06-25,2850,2900.0,2850.0,2900,1010
2007-07-02,3060,3090.0,3060.0,3090,2540
2007-07-16,2859,2859.0,2550.0,2550,1810
2007-07-23,2900,2900.0,2900.0,2900,10000
2007-07-30,2851,2900.0,2851.0,2900,4850
2007-08-06,2900,2900.0,2750.0,2750,260370
2007-08-13,2850,3000.0,2850.0,3000,403170
2007-08-20,3000,3000.0,3000.0,3000,570
2007-08-27,3000,3000.0,2900.0,2900,47630
2007-09-10,2900,3000.0,2900.0,3000,3870
2007-09-17,3000,3000.0,3000.0,3000,5090
2007-09-24,2900,2900.0,2900.0,2900,3440
2007-10-01,2900,2900.0,2900.0,2900,2760
2007-10-08,2800,2800.0,2800.0,2800,830
2007-10-15,2800,2800.0,2600.0,2600,1260
2007-10-22,2600,2700.0,2600.0,2700,7980
2007-10-29,2700,2800.0,2700.0,2800,1530
2007-11-05,2751,2900.0,2751.0,2900,1270
2007-11-12,2900,2900.0,2700.0,2700,2070
2007-11-19,2730,2850.0,2730.0,2850,1200
2007-11-26,2800,2800.0,2700.0,2750,3620
2007-12-03,2755,2755.0,2700.0,2700,2640
2007-12-10,2700,2750.0,2700.0,2750,7750
2007-12-17,2751,2761.0,2751.0,2751,930
2007-12-24,2750,2760.0,2750.0,2760,1130
2007-12-31,2760,2760.0,2760.0,2760,2220
2008-01-07,2760,2760.0,2695.0,2695,1450
2008-01-14,2695,2761.0,2695.0,2761,1960
2008-01-21,2800,2816.0,2800.0,2816,270
2008-01-28,2850,2866.0,2850.0,2866,4580
2008-02-11,2866,2900.0,2866.0,2900,140
2008-02-18,2903,2903.0,2900.0,2900,1790
2008-02-25,2903,2905.0,2903.0,2905,470
2008-03-17,3101,3303.0,3101.0,3303,1470
2008-03-31,3551,3551.0,3550.0,3550,4540
