Date,Open,High,Low,Close,Volume
1998-12-31,1700,1979,1457,1500,297020
1999-12-31,1500,1699,1150,1699,5597920
2000-12-31,1450,1677,1300,1677,2591340
2001-12-31,1677,1956,997,1956,1080250
2002-12-31,1695,1849,1300,1594,288130
2003-12-31,1593,1595,900,1595,631010
2004-12-31,1365,1720,1000,1700,246520
2005-12-31,1346,2250,1190,2250,1117440
2006-12-31,2100,3490,1900,2000,103280
2007-12-31,2000,3090,2000,2760,930220
2008-12-31,2760,5101,2695,3400,697450
2009-12-31,3400,4322,2548,3720,541110
2010-12-31,3720,5000,3700,4825,254240
2011-12-31,4820,5001,2996,3510,390360
2012-12-31,4000,6087,3600,5900,525420
2013-12-31,5901,7500,5800,7500,1164370
2014-12-31,6938,9700,6000,9680,722680
2015-12-31,9500,14000,9000,13400,1347690
2016-12-31,13300,16824,11900,14600,1006670
2017-12-31,14000,16000,10005,11550,793860
2018-12-31,11500,14495,6700,7400,827041
2019-12-31,7900,9300,7000,7700,964903
2020-12-31,7750,9000,6200,8095,564339
2021-12-31,7500,11815,7000,10595,483599
2022-12-31,10500,15500,10000,11605,437538
2023-12-31,11600,18810,10640,16050,368433
2024-12-31,16200,21490,15755,21000,727216
2025-12-31,20030,30685,18900,29895,590609
2026-12-31,29875,40000,27205,38085,721065
