Date,Open,High,Low,Close,Volume
1998-09-16,580,580,580,580,14135
1998-09-18,624,624,624,624,13402
1998-09-23,655,655,655,655,11988
1998-09-25,670,670,670,670,3246
1998-09-28,670,670,670,670,524
1998-09-30,659,659,659,659,39682
1998-10-02,708,708,708,708,11988
1998-10-05,708,708,708,708,785
1998-10-07,707,707,707,707,8743
1998-10-09,735,735,735,735,7329
1998-10-12,743,743,743,743,1675
1998-10-14,743,743,743,743,10994
1998-10-16,687,687,687,687,4293
1998-10-23,687,687,687,687,2094
1998-10-26,687,687,687,687,1047
1998-10-28,687,687,687,687,1518
1998-10-30,649,649,649,649,5811
1998-11-02,649,649,649,649,628
1998-11-04,611,611,611,611,1047
1998-11-06,611,611,611,611,628
1998-11-09,573,573,573,573,105
1998-11-11,535,535,535,535,2251
1998-11-13,495,495,495,495,27484
1998-11-16,458,458,458,458,5916
1998-11-18,423,423,423,423,785
1998-11-20,420,420,420,420,2879
1998-11-25,411,411,411,411,3926
1998-11-27,411,411,411,411,14815
1998-11-30,411,411,411,411,17014
1998-12-02,401,401,401,401,25390
1998-12-04,411,411,411,411,4031
1998-12-11,441,441,441,441,12931
1998-12-14,441,441,441,441,733
1998-12-16,449,449,449,449,2251
1998-12-18,458,458,458,458,1256
1998-12-30,492,492,492,492,8376
1999-01-04,516,516,516,516,262
1999-01-06,516,516,516,516,942
1999-01-08,535,535,535,535,471
1999-01-11,535,535,535,535,8900
1999-01-13,535,535,535,535,4188
1999-01-18,516,516,516,516,785
1999-01-29,516,516,516,516,1989
1999-02-01,497,497,497,497,262
1999-02-03,478,478,478,478,942
1999-02-08,439,439,439,439,1832
1999-02-10,439,439,439,439,7853
1999-02-12,430,430,430,430,3403
1999-02-15,430,430,430,430,628
1999-02-17,429,429,429,429,3665
1999-02-19,420,420,420,420,5235
1999-02-22,420,420,420,420,5497
1999-02-24,420,420,420,420,7434
1999-02-26,420,420,420,420,2565
1999-03-03,420,420,420,420,55073
1999-03-05,420,420,420,420,1623
1999-03-08,420,420,420,420,1309
1999-03-10,420,420,420,420,8743
1999-03-12,430,430,430,430,2722
