Date,Open,High,Low,Close,Volume
1998-09-30,580,670.0,580.0,659,82977
1998-10-31,708,743.0,649.0,649,56277
1998-11-30,649,649.0,411.0,411,77478
1998-12-31,401,492.0,401.0,492,54968
1999-01-31,516,535.0,516.0,516,17537
1999-02-28,497,497.0,420.0,420,39316
1999-03-31,420,459.0,420.0,449,87060
1999-04-30,458,516.0,458.0,497,54968
1999-05-31,478,483.0,478.0,483,17539
1999-06-30,483,484.0,483.0,484,83290
1999-07-31,484,484.0,420.0,420,57168
1999-08-31,401,401.0,393.0,393,46646
1999-09-30,402,413.0,394.0,411,25810
1999-10-31,411,432.0,392.0,432,47797
1999-11-30,422,430.0,422.0,430,5733159
1999-12-31,431,458.0,431.0,449,99152
2000-01-31,449,449.0,449.0,449,55807
2000-02-29,449,450.0,449.0,450,139094
2000-03-31,450,450.0,449.0,450,92243
2000-04-30,450,450.0,411.0,411,258036
2000-05-31,411,411.0,411.0,411,21411
2000-06-30,411,420.0,411.0,411,46646
2000-07-31,411,418.0,411.0,416,18848
2000-08-31,411,411.0,409.0,411,55179
2000-09-30,411,411.0,411.0,411,457281
2000-10-31,411,411.0,397.0,397,11727
2000-11-30,397,397.0,397.0,397,13924
2000-12-31,397,397.0,395.0,395,15915
2001-01-31,395,395.0,372.0,372,29368
2001-02-28,372,372.0,325.0,349,107162
2001-03-31,349,382.0,349.0,382,31829
2001-04-30,382,389.0,382.0,389,11258
2001-05-31,392,430.0,392.0,430,11256
2001-06-30,430,430.0,401.0,410,16844
2001-07-31,410,410.0,400.0,400,33750
2001-08-31,400,420.0,390.0,390,60550
2001-09-30,390,390.0,368.0,368,29850
2001-10-31,367,367.0,360.0,360,74050
2001-11-30,345,345.0,345.0,345,13750
2001-12-31,340,340.0,340.0,340,88150
2002-01-31,330,330.0,320.0,320,20000
2002-02-28,320,320.0,300.0,300,13650
2002-03-31,300,300.0,277.0,277,21050
2002-04-30,277,277.0,276.0,276,10100
2002-05-31,276,276.0,270.0,270,41850
2002-06-30,270,270.0,270.0,270,19300
2002-07-31,270,270.0,268.0,268,4050
2002-08-31,248,248.0,200.0,200,61650
2002-09-30,200,200.0,200.0,200,35500
2002-10-31,200,200.0,190.0,190,13650
2002-11-30,190,190.0,180.0,180,19550
2002-12-31,192,223.0,180.0,223,36800
2003-01-31,223,223.0,220.0,220,5000
2003-02-28,220,220.0,220.0,220,250
2003-03-31,219,219.0,200.0,200,9800
2003-04-30,200,200.0,180.0,180,30400
2003-05-31,180,180.0,180.0,180,39200
2003-06-30,180,190.0,180.0,181,77550
2003-07-31,180,180.0,180.0,180,21450
2003-08-31,182,196.0,182.0,196,14000
2003-09-30,201,230.0,201.0,230,15650
2003-10-31,256,256.0,250.0,256,25800
2003-11-30,236,236.0,236.0,236,400
2003-12-31,220,220.0,210.0,210,2750
2004-01-31,210,243.0,210.0,243,11800
2004-02-29,240,250.0,220.0,248,174450
2004-03-31,250,256.0,230.0,256,54050
2004-04-30,256,256.0,230.0,230,23200
2004-05-31,230,256.0,230.0,256,15800
2004-06-30,256,256.0,256.0,256,14800
2004-07-31,260,260.0,220.0,220,26300
2004-08-31,231,256.0,231.0,250,13700
2004-09-30,250,270.0,250.0,250,23650
2004-10-31,244,244.0,231.0,231,32450
2004-11-30,231,240.0,231.0,240,10850
2004-12-31,240,240.0,240.0,240,9250
2005-01-31,240,240.0,240.0,240,2650
2005-02-28,240,250.0,222.0,250,20500
2005-03-31,250,250.0,230.0,232,21500
2005-04-30,232,232.0,232.0,232,8300
2005-05-31,232,236.0,232.0,236,8850
2005-06-30,234,236.0,234.0,234,8250
2005-07-31,220,220.0,220.0,220,4350
2005-08-31,215,215.0,210.0,210,22700
2005-09-30,210,211.0,210.0,211,8450
2005-10-31,211,214.0,211.0,212,31000
2005-11-30,218,220.0,218.0,220,9900
2005-12-31,220,220.0,220.0,220,33650
2006-01-31,222,238.0,220.0,238,102500
2006-02-28,238,240.0,230.0,230,16900
2006-03-31,230,268.0,230.0,268,32100
2006-04-30,268,274.0,268.0,274,41250
2006-05-31,270,270.0,222.0,230,26800
2006-06-30,230,240.0,200.0,240,32250
2006-07-31,240,270.0,240.0,270,29750
2006-08-31,270,270.0,240.0,240,26600
2006-09-30,240,270.0,240.0,270,20550
2006-10-31,270,280.0,270.0,280,19900
2006-11-30,290,290.0,290.0,290,6550
2006-12-31,280,280.0,250.0,260,21500
2007-01-31,260,260.0,260.0,260,8100
2007-02-28,260,261.0,260.0,261,8950
2007-03-31,270,270.0,270.0,270,5400
2007-04-30,280,281.0,280.0,280,16300
2007-05-31,280,281.0,279.0,279,34200
2007-06-30,260,279.0,260.0,270,33950
2007-07-31,270,292.0,270.0,286,30550
2007-08-31,280,292.0,260.0,284,33550
2007-09-30,300,315.0,300.0,315,26050
2007-10-31,315,388.0,312.0,388,21250
2007-11-30,407,440.0,407.0,420,28650
2007-12-31,410,410.0,380.0,380,4450
2008-01-31,380,400.0,380.0,380,46950
2008-02-29,380,380.0,360.0,360,12150
2008-03-31,360,360.0,324.0,326,21100
2008-04-30,326,490.0,326.0,490,89000
2008-05-31,490,710.0,490.0,560,203600
2008-06-30,560,605.0,560.0,605,41850
2008-07-31,620,700.0,620.0,700,105000
2008-08-31,700,1527.0,700.0,1527,72000
2008-09-30,1529,1630.0,1000.0,1000,73150
2008-10-31,946,950.0,583.0,583,66850
2008-11-30,560,694.0,539.0,694,87250
2008-12-31,700,744.0,590.0,590,52350
2009-01-31,600,682.0,600.0,682,30450
2009-02-28,703,820.0,703.0,820,56250
2009-03-31,830,830.0,740.0,740,13000
2009-04-30,640,640.0,400.0,400,17950
2009-05-31,360,360.0,300.0,300,21900
2009-06-30,300,333.0,280.0,333,18900
2009-07-31,358,586.0,358.0,586,36000
2009-08-31,542,542.0,390.0,460,65450
2009-09-30,460,460.0,408.0,408,33050
2009-10-31,408,408.0,370.0,370,20550
2009-11-30,360,360.0,310.0,310,190250
2009-12-31,310,380.0,300.0,356,36950
2010-01-31,340,340.0,328.0,328,37450
2010-02-28,310,310.0,237.0,254,25300
2010-03-31,250,280.0,248.0,280,24050
2010-04-30,280,280.0,259.0,259,6600
2010-05-31,259,259.0,240.0,240,2800
2010-06-30,210,210.0,190.0,200,119850
2010-07-31,210,237.0,210.0,210,31400
2010-08-31,210,210.0,210.0,210,165150
2010-09-30,210,210.0,210.0,210,33600
2010-10-31,210,210.0,206.0,206,96600
2010-11-30,206,350.0,206.0,350,270700
2010-12-31,352,360.0,346.0,360,84750
2011-01-31,360,370.0,356.0,370,55150
2011-02-28,370,370.0,366.0,370,39000
2011-05-31,342,342.0,318.0,330,11500
2011-06-30,330,350.0,316.0,350,56150
2011-07-31,350,370.0,260.0,260,103350
2011-08-31,260,270.0,260.0,270,44500
2011-09-30,270,270.0,240.0,240,72950
2011-10-31,240,270.0,222.0,250,62100
2011-11-30,250,250.0,230.0,250,90500
2011-12-31,240,259.0,240.0,259,79550
2012-01-31,250,260.0,250.0,260,11500
2012-02-29,260,270.0,250.0,252,42012950
2012-03-31,260,396.0,260.0,396,107500
2012-04-30,396,396.0,316.0,320,60400
2012-05-31,320,340.0,320.0,330,22200
2012-06-30,330,420.0,330.0,420,72500
2012-07-31,420,420.0,380.0,400,63650
2012-08-31,400,440.0,400.0,440,54800
2012-09-30,440,546.0,440.0,542,222900
2012-10-31,560,560.0,482.0,500,270450
2012-11-30,510,550.0,480.0,520,189900
2012-12-31,520,546.0,400.0,546,147300
2013-01-31,546,580.0,520.0,520,107450
2013-02-28,520,602.0,520.0,580,84100
2013-03-31,580,645.0,580.0,582,53850
2013-04-30,582,650.0,580.0,600,124550
2013-05-31,640,641.0,600.0,640,49600
2013-06-30,640,677.0,593.0,677,147950
2013-07-31,726,882.0,726.0,882,80850
2013-08-31,820,946.0,814.0,900,80900
2013-09-30,900,940.0,780.0,790,101200
2013-10-31,806,910.0,796.0,796,121000
2013-11-30,840,960.0,840.0,922,120800
2013-12-31,923,1204.0,840.0,1204,129350
2014-01-31,1220,1320.0,1120.0,1140,22100
2014-02-28,1120,1279.0,1120.0,1140,29800
2014-03-31,1120,1140.0,1040.0,1130,64500
2014-04-30,1120,1200.0,1000.0,1090,23300
2014-05-31,1090,1090.0,940.0,940,34150
2014-06-30,940,1010.0,900.0,960,29000
2014-07-31,970,1000.0,920.0,980,84450
2014-08-31,944,1060.0,944.0,1060,78500
2014-09-30,1000,1060.0,970.0,1060,48350
2014-10-31,1100,1134.0,1100.0,1110,63900
2014-11-30,1118,1200.0,1100.0,1110,22800
2014-12-31,1120,1214.0,1100.0,1200,52250
2015-01-31,1180,1198.0,1080.0,1198,39950
2015-02-28,1198,1198.0,1100.0,1140,13850
