Date,Open,High,Low,Close,Volume
1998-09-30,580,670,580,659,82977
1998-12-31,708,743,401,492,188723
1999-03-31,516,535,420,449,143913
1999-06-30,458,516,458,484,155797
1999-09-30,484,484,393,411,129624
1999-12-31,411,458,392,449,5880108
2000-03-31,449,450,449,450,287144
2000-06-30,450,450,411,411,326093
2000-09-30,411,418,409,411,531308
2000-12-31,411,411,395,395,41566
2001-03-31,395,395,325,382,168359
2001-06-30,382,430,382,410,39358
2001-09-30,410,420,368,368,124150
2001-12-31,367,367,340,340,175950
2002-03-31,330,330,277,277,54700
2002-06-30,277,277,270,270,71250
2002-09-30,270,270,200,200,101200
2002-12-31,200,223,180,223,70000
2003-03-31,223,223,200,200,15050
2003-06-30,200,200,180,181,147150
2003-09-30,180,230,180,230,51100
2003-12-31,256,256,210,210,28950
2004-03-31,210,256,210,256,240300
2004-06-30,256,256,230,256,53800
2004-09-30,260,270,220,250,63650
2004-12-31,244,244,231,240,52550
2005-03-31,240,250,222,232,44650
2005-06-30,232,236,232,234,25400
2005-09-30,220,220,210,211,35500
2005-12-31,211,220,211,220,74550
2006-03-31,222,268,220,268,151500
2006-06-30,268,274,200,240,100300
2006-09-30,240,270,240,270,76900
2006-12-31,270,290,250,260,47950
2007-03-31,260,270,260,270,22450
2007-06-30,280,281,260,270,84450
2007-09-30,270,315,260,315,90150
2007-12-31,315,440,312,380,54350
2008-03-31,380,400,324,326,80200
2008-06-30,326,710,326,605,334450
2008-09-30,620,1630,620,1000,250150
2008-12-31,946,950,539,590,206450
2009-03-31,600,830,600,740,99700
2009-06-30,640,640,280,333,58750
2009-09-30,358,586,358,408,134500
2009-12-31,408,408,300,356,247750
2010-03-31,340,340,237,280,86800
2010-06-30,280,280,190,200,129250
2010-09-30,210,237,210,210,230150
2010-12-31,210,360,206,360,452050
2011-03-31,360,370,356,370,94150
2011-06-30,342,350,316,350,67650
2011-09-30,350,370,240,240,220800
2011-12-31,240,270,222,259,232150
2012-03-31,250,396,250,396,42131950
2012-06-30,396,420,316,420,155100
2012-09-30,420,546,380,542,341350
2012-12-31,560,560,400,546,607650
2013-03-31,546,645,520,582,245400
2013-06-30,582,677,580,677,322100
2013-09-30,726,946,726,790,262950
2013-12-31,806,1204,796,1204,371150
2014-03-31,1220,1320,1040,1130,116400
2014-06-30,1120,1200,900,960,86450
2014-09-30,970,1060,920,1060,211300
2014-12-31,1100,1214,1100,1200,138950
2015-03-31,1180,1302,1080,1200,153650
2015-06-30,1200,1269,1100,1202,105250
2015-09-30,1240,1462,1210,1440,616700
2015-12-31,1362,1720,1360,1388,363950
2016-03-31,1380,2671,1284,2220,349150
2016-06-30,2264,4479,1628,4400,460500
2016-09-30,4470,4470,2553,3838,289400
2016-12-31,3550,3855,2424,3000,242732
2017-03-31,3000,3195,1840,2000,446741
2017-06-30,2000,2000,1295,1495,139125
2017-09-30,1495,1500,900,1000,192580
2017-12-31,1000,1000,740,900,129991
2018-03-31,900,1600,775,1400,166406
2018-06-30,1500,1600,890,1100,123259
2018-09-30,1160,1180,855,900,146599
2018-12-31,900,1000,790,945,152853
2019-03-31,945,945,800,920,159927
2019-06-30,890,1150,800,885,110740
2019-09-30,880,895,755,775,73463
2019-12-31,775,830,695,800,186425
2020-03-31,850,910,740,750,116834
2020-06-30,755,755,575,650,163033
2020-09-30,645,675,550,600,244155
2020-12-31,590,680,565,600,240977
2021-03-31,625,660,560,600,161755
2021-06-30,600,800,520,780,272533
2021-09-30,765,950,655,890,181655
2021-12-31,890,1060,775,860,203964
2022-03-31,860,1000,815,925,227373
2022-06-30,925,935,775,840,83998
2022-09-30,830,950,810,875,63507
2022-12-31,870,890,675,750,92337
2023-03-31,750,850,700,790,63095
2023-06-30,790,800,630,755,150167
2023-09-30,755,875,715,845,153091
2023-12-31,800,850,695,790,84945
2024-03-31,790,810,700,795,135517
2024-06-30,795,850,725,850,263903
2024-09-30,850,985,800,850,231082
2024-12-31,850,940,810,880,594742
2025-03-31,880,1080,830,975,197214
2025-06-30,975,1095,900,1065,243439
2025-09-30,1065,1200,975,1200,408465
2025-12-31,1245,1620,1070,1445,394396
2026-03-31,1440,2600,1400,2190,474718
2026-06-30,2195,2295,1715,2165,259264
2026-09-30,2180,2500,2040,2435,190121
