Date,Open,High,Low,Close,Volume
1998-09-21,580,624.0,580.0,624,27537
1998-09-28,655,670.0,655.0,670,15758
1998-10-05,659,708.0,659.0,708,52455
1998-10-12,707,743.0,707.0,743,17747
1998-10-19,743,743.0,687.0,687,15287
1998-10-26,687,687.0,687.0,687,3141
1998-11-02,687,687.0,649.0,649,7957
1998-11-09,611,611.0,573.0,573,1780
1998-11-16,535,535.0,458.0,458,35651
1998-11-23,423,423.0,420.0,420,3664
1998-11-30,411,411.0,411.0,411,35755
1998-12-07,401,411.0,401.0,411,29421
1998-12-14,441,441.0,441.0,441,13664
1998-12-21,449,458.0,449.0,458,3507
1999-01-04,492,516.0,492.0,516,8638
1999-01-11,516,535.0,516.0,535,10313
1999-01-18,535,535.0,516.0,516,4973
1999-02-01,516,516.0,497.0,497,2251
1999-02-08,478,478.0,439.0,439,2774
1999-02-15,439,439.0,430.0,430,11884
1999-02-22,429,429.0,420.0,420,14397
1999-03-01,420,420.0,420.0,420,9999
1999-03-08,420,420.0,420.0,420,58005
1999-03-15,420,430.0,420.0,430,12774
1999-03-22,430,430.0,430.0,430,12250
1999-03-29,439,459.0,439.0,459,3193
1999-04-05,449,458.0,449.0,458,3298
1999-04-12,459,497.0,459.0,497,18166
1999-04-19,497,516.0,497.0,516,25023
1999-04-26,497,497.0,497.0,497,2827
1999-05-03,497,497.0,478.0,478,8063
1999-05-10,478,478.0,478.0,478,6020
1999-05-17,478,478.0,478.0,478,262
1999-05-24,478,478.0,478.0,478,8534
1999-05-31,478,483.0,478.0,483,1152
1999-06-07,483,483.0,483.0,483,50832
1999-06-14,483,483.0,483.0,483,5497
1999-06-21,483,484.0,483.0,484,19474
1999-06-28,484,484.0,484.0,484,7225
1999-07-05,484,484.0,484.0,484,3246
1999-07-12,484,484.0,484.0,484,24343
1999-07-19,483,483.0,420.0,420,19475
1999-07-26,420,420.0,420.0,420,8272
1999-08-02,420,420.0,401.0,401,5916
1999-08-09,401,401.0,401.0,401,23610
1999-08-16,401,401.0,401.0,401,524
1999-08-23,401,401.0,401.0,401,7382
1999-08-30,399,399.0,393.0,393,11308
1999-09-06,402,411.0,394.0,394,5444
1999-09-20,413,413.0,413.0,413,2618
1999-09-27,413,413.0,413.0,413,1833
1999-10-04,411,411.0,411.0,411,16334
1999-10-11,411,411.0,411.0,411,5235
1999-10-18,411,411.0,392.0,392,30730
1999-10-25,401,430.0,401.0,430,5654
1999-11-01,432,432.0,432.0,432,5759
1999-11-08,422,422.0,422.0,422,47535
1999-11-15,422,422.0,422.0,422,5647564
1999-11-22,422,422.0,422.0,422,19789
1999-11-29,422,430.0,422.0,430,18271
1999-12-06,431,439.0,431.0,439,48634
1999-12-13,440,453.0,440.0,453,13611
1999-12-20,458,458.0,439.0,439,29421
1999-12-27,450,450.0,449.0,449,4293
2000-01-03,449,449.0,449.0,449,3193
2000-01-10,449,449.0,449.0,449,8586
2000-01-17,449,449.0,449.0,449,12512
2000-01-24,449,449.0,449.0,449,26489
2000-01-31,449,449.0,449.0,449,8220
2000-02-07,449,449.0,449.0,449,15024
2000-02-14,449,449.0,449.0,449,9998
2000-02-21,449,449.0,449.0,449,31620
2000-02-28,449,450.0,449.0,450,82452
2000-03-06,450,450.0,449.0,449,18899
2000-03-13,449,449.0,449.0,449,6753
2000-03-20,450,450.0,450.0,450,23611
2000-03-27,450,450.0,450.0,450,9843
2000-04-03,450,450.0,450.0,450,33661
2000-04-10,439,439.0,439.0,439,237619
2000-04-17,420,420.0,420.0,420,12983
2000-04-24,420,420.0,420.0,420,5758
2000-05-01,411,411.0,411.0,411,1152
2000-05-08,411,411.0,411.0,411,7277
2000-05-15,411,411.0,411.0,411,8219
2000-05-22,411,411.0,411.0,411,1099
2000-05-29,411,411.0,411.0,411,890
2000-06-05,411,411.0,411.0,411,4973
2000-06-12,411,420.0,411.0,420,10942
2000-06-19,420,420.0,420.0,420,26804
2000-06-26,420,420.0,411.0,411,2460
2000-07-03,411,411.0,411.0,411,5393
2000-07-10,411,411.0,411.0,411,2252
2000-07-17,415,418.0,415.0,418,2618
2000-07-24,411,411.0,411.0,411,7853
2000-07-31,417,417.0,416.0,416,6125
2000-08-07,411,411.0,411.0,411,2147
2000-08-14,411,411.0,411.0,411,28584
2000-08-21,409,411.0,409.0,411,10837
2000-08-28,411,411.0,411.0,411,13559
2000-09-04,411,411.0,411.0,411,1151
2000-09-11,411,411.0,411.0,411,8010
2000-09-18,411,411.0,411.0,411,2565
