Date,Open,High,Low,Close,Volume
1998-12-31,580,743,401,492,271700
1999-12-31,516,535,392,449,6309442
2000-12-31,449,450,395,395,1186111
2001-12-31,395,430,325,340,507817
2002-12-31,330,330,180,223,297150
2003-12-31,223,256,180,210,242250
2004-12-31,210,270,210,240,410300
2005-12-31,240,250,210,220,180100
2006-12-31,222,290,200,260,376650
2007-12-31,260,440,260,380,251400
2008-12-31,380,1630,324,590,871250
2009-12-31,600,830,280,356,540700
2010-12-31,340,360,190,360,898250
2011-12-31,360,370,222,259,614750
2012-12-31,250,560,250,546,43236050
2013-12-31,546,1204,520,1204,1201600
2014-12-31,1220,1320,900,1200,553100
2015-12-31,1180,1720,1080,1388,1239550
2016-12-31,1380,4479,1284,3000,1341782
2017-12-31,3000,3195,740,900,908437
2018-12-31,900,1600,775,945,589117
2019-12-31,945,1150,695,800,530555
2020-12-31,850,910,550,600,764999
2021-12-31,625,1060,520,860,819907
2022-12-31,860,1000,675,750,467215
2023-12-31,750,875,630,790,451298
2024-12-31,790,985,700,880,1225244
2025-12-31,880,1620,830,1445,1243514
2026-12-31,1440,2600,1400,2400,884613
