Date,Open,High,Low,Close,Volume
2016-10-27,1505,1505,1505,1505,3500
2016-10-28,1618,1618,1618,1618,200
2016-10-31,1739,1739,1739,1739,860
2016-11-02,1869,1869,1869,1869,1370
2016-11-03,2009,2009,2009,2009,190
2016-11-04,2159,2159,2159,2159,3290
2016-11-07,2321,2321,2300,2321,2550
2016-11-08,2495,2495,2495,2495,29460
2016-11-09,2682,2682,2682,2682,53310
2016-11-10,2883,2883,2481,2481,399750
2016-11-11,2300,2500,2295,2300,272140
2016-11-14,2300,2400,2300,2400,58850
2016-11-16,2401,2550,2401,2401,112200
2016-11-17,2500,2500,2401,2500,38130
2016-11-18,2490,2490,2313,2313,49030
2016-11-21,2400,2400,2300,2380,12280
2016-11-22,2400,2400,2250,2250,16650
2016-11-23,2250,2300,2200,2200,20890
2016-11-24,2200,2200,2052,2061,32830
2016-11-25,2050,2050,2000,2050,37970
2016-11-28,2050,2051,2020,2050,20650
2016-11-29,2050,2050,2011,2040,32330
2016-11-30,2050,2193,2050,2193,33590
2016-12-01,2357,2357,2357,2357,21430
2016-12-02,2500,2500,2350,2400,117560
2016-12-05,2400,2400,2260,2300,7780
2016-12-06,2300,2300,2172,2200,14820
2016-12-07,2172,2190,2100,2100,140990
2016-12-08,2100,2150,2080,2150,66100
2016-12-09,2150,2155,2150,2152,9210
2016-12-13,2170,2190,2100,2100,24350
2016-12-14,2111,2126,2100,2126,47790
2016-12-15,2130,2225,2130,2201,32410
2016-12-16,2200,2225,2200,2220,15130
2016-12-19,2221,2249,2201,2221,11810
2016-12-20,2221,2270,2220,2250,30200
2016-12-21,2250,2260,2250,2250,19710
2016-12-22,2250,2275,2240,2250,16850
2016-12-23,2251,2350,2250,2350,32400
2016-12-27,2351,2351,2251,2349,21830
2016-12-28,2340,2340,2300,2300,10030
2016-12-29,2330,2350,2300,2310,37980
2016-12-30,2301,2381,2301,2381,26250
2017-01-02,2350,2350,2301,2350,1880
2017-01-03,2330,2350,2301,2340,3110
2017-01-04,2301,2340,2300,2340,11890
2017-01-05,2301,2340,2300,2311,5090
2017-01-06,2311,2311,2251,2270,12100
2017-01-09,2271,2301,2270,2270,38590
2017-01-10,2270,2300,2270,2300,14720
2017-01-11,2270,2296,2250,2260,12700
2017-01-12,2262,2296,2250,2296,30990
2017-01-13,2296,2300,2230,2230,8690
2017-01-16,2250,2300,2230,2298,9000
2017-01-17,2231,2297,2231,2250,14450
2017-01-18,2251,2280,2232,2250,10430
2017-01-19,2280,2280,2233,2250,42940
2017-01-20,2279,2298,2236,2250,38390
2017-01-23,2250,2290,2250,2260,6520
2017-01-24,2275,2275,2241,2246,19330
2017-01-25,2250,2300,2246,2256,15990
2017-01-26,2260,2300,2250,2300,5850
2017-01-27,2300,2300,2235,2250,33140
2017-01-30,2250,2300,2250,2300,19260
2017-01-31,2290,2300,2262,2285,17010
2017-02-01,2300,2300,2285,2300,7970
2017-02-02,2300,2300,2285,2290,14180
2017-02-03,2291,2325,2285,2300,24100
2017-02-06,2325,2325,2300,2300,10550
2017-02-07,2301,2330,2300,2300,25030
2017-02-08,2301,2320,2300,2320,11180
2017-02-09,2300,2350,2300,2300,37450
2017-02-10,2301,2350,2300,2350,41020
2017-02-13,2320,2350,2300,2350,11470
2017-02-14,2350,2350,2303,2350,18520
2017-02-15,2309,2350,2300,2349,18550
2017-02-16,2350,2350,2301,2301,4130
2017-02-17,2325,2380,2325,2360,9480
2017-02-20,2380,2380,2350,2380,17410
2017-02-21,2378,2400,2351,2360,11140
2017-02-22,2378,2400,2351,2378,6220
2017-02-23,2400,2400,2350,2390,20190
2017-02-24,2390,2401,2380,2400,38770
2017-02-27,2401,2420,2390,2402,14950
2017-02-28,2449,2449,2391,2400,68240
2017-03-01,2401,2420,2391,2400,11760
2017-03-02,2400,2420,2390,2420,13210
2017-03-03,2400,2400,2390,2400,13090
2017-03-06,2400,2401,2390,2390,7320
2017-03-07,2390,2400,2390,2390,11210
2017-03-08,2400,2400,2390,2400,25710
2017-03-09,2391,2400,2390,2390,4350
2017-03-10,2400,2400,2380,2380,7870
2017-03-13,2381,2381,2355,2375,8720
2017-03-14,2380,2380,2360,2370,16900
2017-03-15,2360,2370,2360,2370,9610
2017-03-16,2360,2370,2351,2370,23810
2017-03-17,2360,2370,2351,2351,31260
2017-03-20,2351,2370,2350,2350,23250
2017-03-21,2340,2351,2305,2320,25280
2017-03-22,2351,2361,2320,2340,17190
2017-03-23,2340,2370,2320,2370,43240
2017-03-24,2361,2370,2350,2352,40940
2017-03-27,2352,2400,2352,2376,17640
2017-03-28,2371,2381,2360,2360,14900
2017-03-29,2361,2370,2330,2361,58230
2017-03-30,2361,2375,2325,2361,22180
2017-03-31,2361,2380,2360,2380,10490
2017-04-03,2361,2380,2360,2360,11420
2017-04-04,2380,2380,2350,2360,23450
2017-04-05,2360,2380,2355,2360,14440
2017-04-06,2361,2379,2361,2375,14990
2017-04-07,2360,2373,2350,2373,25740
2017-04-10,2370,2385,2360,2385,12820
2017-04-11,2350,2400,2340,2400,20500
2017-04-12,2400,2400,2360,2400,8340
2017-04-13,2390,2400,2360,2400,37350
2017-04-14,2390,2400,2371,2400,8080
2017-04-18,2380,2400,2310,2400,12150
2017-04-19,2310,2400,2310,2400,26150
2017-04-20,2381,2400,2352,2400,12420
2017-04-21,2310,2390,2310,2380,11860
2017-04-24,2395,2395,2321,2365,10060
2017-04-25,2350,2380,2310,2310,15620
2017-04-26,2350,2350,2300,2300,16630
2017-04-27,2300,2349,2300,2300,9010
2017-04-28,2300,2310,2300,2305,8640
2017-05-02,2305,2320,2291,2300,10840
2017-05-03,2291,2300,2280,2300,10120
2017-05-04,2300,2300,2270,2300,9090
2017-05-05,2299,2320,2299,2320,21280
2017-05-08,2330,2380,2280,2380,18800
2017-05-09,2350,2380,2330,2380,9470
2017-05-10,2379,2379,2330,2379,11670
2017-05-11,2300,2350,2300,2350,9410
2017-05-12,2350,2350,2300,2350,9740
2017-05-15,2300,2301,2300,2300,2140
2017-05-16,2300,2300,2300,2300,1860
2017-05-17,2250,2321,2250,2250,8450
2017-05-18,2300,2321,2250,2321,24740
2017-05-19,2300,2321,2275,2300,7540
2017-05-22,2300,2300,2250,2300,8290
2017-05-23,2250,2299,2230,2250,8880
2017-05-24,2280,2300,2250,2260,5160
2017-05-26,2250,2251,2200,2245,17480
2017-05-29,2245,2250,2100,2200,16130
2017-05-30,2200,2200,2150,2200,5830
2017-05-31,2200,2200,2150,2200,3500
2017-06-01,2035,2200,2035,2130,14750
2017-06-02,2100,2100,2000,2100,20810
2017-06-06,2099,2099,2000,2090,3210
2017-06-07,2080,2100,1900,2020,24030
2017-06-08,2000,2020,2000,2020,19680
2017-06-09,2099,2100,1980,2020,9510
2017-06-12,2010,2020,1951,2020,10780
2017-06-13,2000,2020,1950,2017,11030
2017-06-14,2000,2150,1951,2000,37930
2017-06-15,2000,2015,1961,2015,8710
2017-06-16,2015,2015,1980,2010,7880
2017-06-19,2015,2015,1950,2000,10510
2017-06-20,2000,2050,1980,2050,44790
2017-06-21,2200,2200,1980,2050,17160
2017-06-23,2050,2200,2000,2050,10760
2017-06-27,2200,2200,2000,2000,21290
2017-06-28,2000,2149,1950,2100,16270
2017-06-29,2100,2110,1950,2000,18750
2017-06-30,2045,2100,1850,2000,12300
2017-07-03,1851,2020,1850,2020,12660
2017-07-04,2000,2000,1870,1900,6020
2017-07-05,1900,2000,1900,2000,5320
2017-07-06,1960,2000,1900,1900,12240
2017-07-07,1900,1950,1900,1950,4930
2017-07-10,2000,2000,1900,1950,9080
