Date,Open,High,Low,Close,Volume
2016-10-31,1505,1739,1505,1739,4560
2016-11-30,1869,2883,1869,2193,1227460
2016-12-31,2357,2500,2080,2381,704630
2017-01-31,2350,2350,2230,2285,372070
2017-02-28,2300,2449,2285,2400,410550
2017-03-31,2401,2420,2305,2380,458160
2017-04-30,2361,2400,2300,2305,299670
2017-05-31,2305,2380,2100,2200,220420
2017-06-30,2035,2200,1850,2000,320150
2017-07-31,1851,2020,1600,1801,230640
2017-08-31,1801,2000,1700,2000,894650
2017-09-30,2000,2020,1870,1900,599980
2017-10-31,1890,1950,1670,1750,273080
2017-11-30,1701,1750,1453,1600,149100
2017-12-31,1550,1700,1550,1700,300910
2018-01-31,1690,1700,1595,1600,139690
2018-02-28,1600,1700,1590,1637,136860
2018-03-31,1650,1800,1620,1700,222200
2018-04-30,1699,1710,1626,1680,183060
2018-05-31,1670,1828,1645,1700,311860
2018-06-30,1700,1895,1535,1800,145652
2018-07-31,1800,1800,1550,1698,213966
2018-08-31,1690,1700,1400,1493,101248
2018-09-30,1488,1500,1215,1250,112214
2018-10-31,1250,1300,1000,1225,116148
2018-11-30,1260,1260,1050,1173,53956
2018-12-31,1100,1370,1100,1350,67340
2019-01-31,1348,1348,1000,1175,84180
2019-02-28,1155,1350,1155,1250,78830
2019-03-31,1200,1320,1158,1225,60454
2019-04-30,1225,1425,1175,1400,89556
2019-05-31,1375,1473,1355,1433,119712
2019-06-30,1425,1438,1303,1400,97294
2019-07-31,1378,1378,1153,1250,59560
2019-08-31,1263,1275,1130,1198,55762
2019-09-30,1198,1250,1143,1175,77186
2019-10-31,1175,1250,1153,1235,71362
2019-11-30,1245,1400,1175,1400,198426
2019-12-31,1400,1450,1250,1410,52766
2020-01-31,1348,1398,1253,1375,169376
2020-02-29,1375,1403,1300,1308,50676
2020-03-31,1310,1395,1250,1345,122054
2020-04-30,1300,1345,1158,1345,49644
2020-05-31,1345,1348,1245,1270,118490
2020-06-30,1270,1360,1200,1200,129196
2020-07-31,1200,1250,1150,1240,66816
2020-08-31,1238,1290,1195,1250,141982
2020-09-30,1250,1320,1180,1320,159004
2020-10-31,1315,1320,1200,1273,51894
2020-11-30,1273,1400,1200,1300,72424
2020-12-31,1300,1350,1250,1350,120490
2021-01-31,1350,1350,1260,1338,28098
2021-02-28,1325,1350,1250,1350,196242
2021-03-31,1335,1423,1325,1373,76584
2021-04-30,1373,1650,1350,1578,121158
2021-05-31,1593,1693,1550,1690,98970
2021-06-30,1690,1745,1603,1680,339270
2021-07-31,1680,1875,1650,1650,200376
2021-08-31,1695,1935,1655,1870,364396
2021-09-30,1900,2240,1828,1950,376502
2021-10-31,1950,2075,1863,1950,514486
2021-11-30,2003,2095,1893,1933,190670
2021-12-31,1945,2100,1863,1993,207578
2022-01-31,1995,2000,1900,1973,178158
2022-02-28,1970,2123,1945,2098,351134
2022-03-31,2098,2245,2025,2180,251036
2022-04-30,2183,2250,2125,2200,394780
2022-05-31,2225,2350,2203,2310,155692
2022-06-30,2310,2375,2075,2100,169512
2022-07-31,2100,2365,2100,2365,406706
2022-08-31,2360,2360,2150,2298,185536
2022-09-30,2275,2593,2200,2300,156574
2022-10-31,2300,2445,2150,2325,248382
2022-11-30,2300,2325,2175,2175,125194
2022-12-31,2175,2298,2128,2293,106262
2023-01-31,2293,2470,2225,2350,129286
2023-02-28,2353,2498,2353,2380,140440
2023-03-31,2383,2550,2353,2400,318116
2023-04-30,2400,2450,2350,2425,110656
2023-05-31,2425,2500,2400,2475,128188
2023-06-30,2475,2570,2450,2565,111920
2023-07-31,2503,2745,2500,2745,236378
2023-08-31,2745,2850,2505,2600,175106
2023-09-30,2673,2700,2485,2698,197030
2023-10-31,2700,2700,2625,2665,163142
2023-11-30,2665,2700,2553,2670,306536
2023-12-31,2668,2750,2553,2675,106234
2024-01-31,2675,2698,2550,2648,75200
2024-02-29,2648,2745,2600,2745,199620
2024-03-31,2745,2905,2680,2898,97814
2024-04-30,2875,2920,2845,2850,249888
2024-05-31,2875,3050,2703,3000,292164
2024-06-30,3000,3465,2975,3300,94012
2024-07-31,3300,3430,3150,3300,124912
2024-08-31,3300,3300,2925,3050,151598
2024-09-30,3000,3335,3000,3320,108666
2024-10-31,3278,3600,3275,3600,195384
2024-11-30,3870,3870,3500,3595,208293
2024-12-31,3600,3725,3400,3555,85948
2025-01-31,3555,3600,3240,3550,100123
2025-02-28,3550,3900,3505,3900,126580
2025-03-31,3895,4470,3800,4450,141085
2025-04-30,4450,5000,4395,4700,87878
2025-05-31,4600,4950,4350,4800,109175
2025-06-30,4810,4980,4655,4800,302528
2025-07-31,4705,5215,4650,4800,240699
2025-08-31,4805,5000,4650,4975,120048
2025-09-30,4950,6000,4950,5500,158671
2025-10-31,5550,6000,5405,5740,271646
2025-11-30,5550,5785,5500,5775,127954
2025-12-31,5770,5820,5415,5750,149252
2026-01-31,5750,6300,5600,6300,93950
2026-02-28,6385,7310,6300,6925,217264
2026-03-31,6900,7330,6650,6900,260652
2026-04-30,6900,7145,6600,7080,141481
2026-05-31,7100,8325,7000,8195,87224
2026-06-30,8200,9300,8195,8890,271769
2026-07-31,8890,9405,8650,9000,219686
2026-08-31,8800,9545,8705,9100,127244
